java.util.Map,,,,
keyword,caption_name,guid,address,coordinates
lands' end inc.,Lands' End,944b09615c71dd94dfe3e1c8686a982a,,
ameren.com,Ameren,32fed059996069e111a2684ac3c0ce06,,
ameren corp.,Ameren,32fed059996069e111a2684ac3c0ce06,,
aaa.com,AAA,714fe17307dbbe1ae79914dadfd53840,,
aaa national,AAA,714fe17307dbbe1ae79914dadfd53840,,
aaa of michigan,AAA,714fe17307dbbe1ae79914dadfd53840,,
aaa club alliance,AAA,714fe17307dbbe1ae79914dadfd53840,,
ameribev.org,American Beverage,5bea6e034190b9154176bac48302897d,,
aep.com,AEP,41a6ce85ffd66124357de8ba23e871ba,,
american electric power,AEP,41a6ce85ffd66124357de8ba23e871ba,,
la-z-boy.com,Lazy Boy,c7fccc6fbafcc4f670be5bf4446dd47e,,
la-z-boy incorporated,Lazy Boy,c7fccc6fbafcc4f670be5bf4446dd47e,,
la-z-boy inc,Lazy Boy,c7fccc6fbafcc4f670be5bf4446dd47e,,
amfam.com,American Family Mutual,fdc3e96f0a360abb82fed0dce7b692e2,,
american family mutual,American Family Mutual,fdc3e96f0a360abb82fed0dce7b692e2,,
afginc.com,American Financial Group,c0e11213e8c6a4d61a06f67c0c13418b,,
american financial group,American Financial Group,c0e11213e8c6a4d61a06f67c0c13418b,,
atd-us.com,American Tire Distributors,3d2e6a68ae53c746ea24818e6bb41d58,,
american tire distributors,American Tire Distributors,3d2e6a68ae53c746ea24818e6bb41d58,,
amwater.com,American Water,87ca929a420967dc0e8cb9fecefefdb0,,
american water works company,American Water,87ca929a420967dc0e8cb9fecefefdb0,,
mmc.com,Marsh & McLennan,7827e0fb7ded9a79f06203e0b86ff363,,
marsh & mclennan companies,Marsh & McLennan,7827e0fb7ded9a79f06203e0b86ff363,,
ameriprise.com,Ameriprise,c2f3679e60b94f139011aef4ca376ca5,,
ameriprise financial services,Ameriprise,c2f3679e60b94f139011aef4ca376ca5,,
ameriprise-auto-home-01,Ameriprise,c2f3679e60b94f139011aef4ca376ca5,,
ameriprise financial,Ameriprise,c2f3679e60b94f139011aef4ca376ca5,,
ametek.com,Ametek,7ce729ae6c4fa705c699963efb459958,,
ametek,Ametek,7ce729ae6c4fa705c699963efb459958,,
amgen.com,Amgen,cbbf605ac8c153dab40ee70a8371ed1b,,
amgen,Amgen,cbbf605ac8c153dab40ee70a8371ed1b,,
amgen inc.,Amgen,cbbf605ac8c153dab40ee70a8371ed1b,,
amp.com.au,AMP,7643c29b8ce8467c96eed6bda70eca60,,
amp telephones,AMP,7643c29b8ce8467c96eed6bda70eca60,,
amp limited,AMP,7643c29b8ce8467c96eed6bda70eca60,,
nielsen.com,Nielsen,359709fddbbb6282773bf1f358e00901,,
the nielsen company (us) llc,Nielsen,359709fddbbb6282773bf1f358e00901,,
pt nielsen audience measurment,Nielsen,359709fddbbb6282773bf1f358e00901,,
the nielsen company,Nielsen,359709fddbbb6282773bf1f358e00901,,
amway.com,Amway,4cb310f7f256031ffef0b6d7b11221b2,,
alticor inc,Amway,4cb310f7f256031ffef0b6d7b11221b2,,
analog.com,Analog Devices,f44897f85f40b6f4782195431f1d0d3e,,
analog devices,Analog Devices,f44897f85f40b6f4782195431f1d0d3e,,
angloamerican.com,Anglo American,bf042a9b8601a93e9bc636c288d89d69,,
anglo american chile,Anglo American,bf042a9b8601a93e9bc636c288d89d69,,
anglo american plc,Anglo American,bf042a9b8601a93e9bc636c288d89d69,,
anglogoldashanti.com,AngloGold,3f5696c87d2c5b1acbe306aefcca9b75,,
anglogold ashanti,AngloGold,3f5696c87d2c5b1acbe306aefcca9b75,,
ab-inbev.com,AB InBev,7d9d8bbe6e337fc82010de3b67a3d5a1,,
ab inbev efes jsc,AB InBev,7d9d8bbe6e337fc82010de3b67a3d5a1,,
anheuser-busch inbev,AB InBev,7d9d8bbe6e337fc82010de3b67a3d5a1,,
anixter.com,Anixter,1ec80e2e650e0dd58790bce9c30b0cd9,,
anixter,Anixter,1ec80e2e650e0dd58790bce9c30b0cd9,,
anixter inc.,Anixter,1ec80e2e650e0dd58790bce9c30b0cd9,,
anz.com,ANZ,0363c8711ca6883c7d1c908520210f61,,
anz national bank,ANZ,0363c8711ca6883c7d1c908520210f61,,
anz banking group,ANZ,0363c8711ca6883c7d1c908520210f61,,
anz bank,ANZ,0363c8711ca6883c7d1c908520210f61,,
apple.com,Apple,2adac6e9b077021a8c4e5de1a3aa057b,,
apple,Apple,2adac6e9b077021a8c4e5de1a3aa057b,,
apple inc.,Apple,2adac6e9b077021a8c4e5de1a3aa057b,,
aramark.com,ARAMARK,6f7df3ef97b14637087f04a1972e86b3,,
aramark,ARAMARK,6f7df3ef97b14637087f04a1972e86b3,,
aramark-sco,ARAMARK,6f7df3ef97b14637087f04a1972e86b3,,
dropbox.com,Dropbox,75a6131f845974797c5c2823b234ec0f,,
dropbox,Dropbox,75a6131f845974797c5c2823b234ec0f,,
dropbox international limited,Dropbox,75a6131f845974797c5c2823b234ec0f,,
dropbox inc,Dropbox,75a6131f845974797c5c2823b234ec0f,,
adm.com,ADM,b77236a889ac01314f318337ee2f9524,,
adm computer services limited,ADM,b77236a889ac01314f318337ee2f9524,,
adm internet ltda - me,ADM,b77236a889ac01314f318337ee2f9524,,
archer-daniels-midland company,ADM,b77236a889ac01314f318337ee2f9524,,
arconic.com,Arconic,325a917d2233a157964ac67d5e9ba086,,
arconic,Arconic,325a917d2233a157964ac67d5e9ba086,,
ge.com,GE,322ac38925c136d0cdf64421568a1bf7,,
ge capital business process management,GE,322ac38925c136d0cdf64421568a1bf7,,
ge network provedor de internet ltda,GE,322ac38925c136d0cdf64421568a1bf7,,
general electric company,GE,322ac38925c136d0cdf64421568a1bf7,,
aps.com,APS,c457e4efa0a3d55b0915b484d6f557a7,,
mira internet aps,APS,c457e4efa0a3d55b0915b484d6f557a7,,
fionia it aps,APS,c457e4efa0a3d55b0915b484d6f557a7,,
arris.com,ARRIS,75e2d30c9fa45127ae549a47b80d421f,,
arris group,ARRIS,75e2d30c9fa45127ae549a47b80d421f,,
arris technology,ARRIS,75e2d30c9fa45127ae549a47b80d421f,,
arris group inc.,ARRIS,75e2d30c9fa45127ae549a47b80d421f,,
arrow.com,Arrow Electronics,68a10d9e2ce5fb4108cd7cddb2e7a0e3,,
arrow electronics,Arrow Electronics,68a10d9e2ce5fb4108cd7cddb2e7a0e3,,
edwardjones.com,Edward Jones,,,
edward jones,Edward Jones,,,
freddiemac.com,FreddieMac,2f73a63fa56565bb8209179dfe056f48,,
freddie mac,FreddieMac,2f73a63fa56565bb8209179dfe056f48,,
federal home loan mortgage corporation,FreddieMac,2f73a63fa56565bb8209179dfe056f48,,
arubanetworks.com,Aruba Networks,,,
aruba networks,Aruba Networks,,,
panasonic.com,Panasonic,300414e91c9cf1d0de9a668688a8db4b,,
panasonic corporation corporate information system,Panasonic,300414e91c9cf1d0de9a668688a8db4b,,
panasonic corporation of north america,Panasonic,300414e91c9cf1d0de9a668688a8db4b,,
panasonic corporation,Panasonic,300414e91c9cf1d0de9a668688a8db4b,,
asb.co.nz,ASB,,,
asb bank limited,ASB,,,
asb bank,ASB,,,
pg.com,P&G,f362c1e6665b9c8d30e0d33e00e9d721,,
procter & gamble,P&G,f362c1e6665b9c8d30e0d33e00e9d721,,
procter and gamble,P&G,f362c1e6665b9c8d30e0d33e00e9d721,,
ascension.org,Ascension,db9a31ac0ce81817fb5684b4094bd8c4,,
ascension-mdbal,Ascension,db9a31ac0ce81817fb5684b4094bd8c4,,
ascension-wheaton,Ascension,db9a31ac0ce81817fb5684b4094bd8c4,,
ascension health,Ascension,db9a31ac0ce81817fb5684b4094bd8c4,,
pacificlife.com,Pacific Life,,,
pacific life insurance company,Pacific Life,,,
ashland.com,Ashland,b0a5cb7fcb0851acd49bcd0d1ad2bdd7,,
ashalnd llc,Ashland,b0a5cb7fcb0851acd49bcd0d1ad2bdd7,,
asurion.com,Asurion,1371e65cfa6433f3e09ffaf19b743d3c,,
asurion insurance services,Asurion,1371e65cfa6433f3e09ffaf19b743d3c,,
asurion,Asurion,1371e65cfa6433f3e09ffaf19b743d3c,,
atmosenergy.com,Atmos Energy,a0b5ebc872504caa80c88d7d3be35bc6,,
atmos energy corp,Atmos Energy,a0b5ebc872504caa80c88d7d3be35bc6,,
atmos energy corporation,Atmos Energy,a0b5ebc872504caa80c88d7d3be35bc6,,
atriumhealth.org,Atrium Health,acbb6d75ebaa095b6704fdd2db38e352,,
atrium health,Atrium Health,acbb6d75ebaa095b6704fdd2db38e352,,
avangrid.com,Avangrid,c4cf4265ff2a1d7c08b0cc092d237056,,
avangrid inc,Avangrid,c4cf4265ff2a1d7c08b0cc092d237056,,
avaya.com,Avaya,dd98f1acb4c17dfc2e44a860a2b3a7bd,,
avaya,Avaya,dd98f1acb4c17dfc2e44a860a2b3a7bd,,
avaya inc,Avaya,dd98f1acb4c17dfc2e44a860a2b3a7bd,,
averydennison.com,Avery Dennison,2f2cdff763a5bdc7833bfe9ac3d9cab9,,
avery dennison corporation,Avery Dennison,2f2cdff763a5bdc7833bfe9ac3d9cab9,,
kohls.com,Kohls,bebe2053a8d82be1e8c0986f277a27ba,,
kohls department stores,Kohls,bebe2053a8d82be1e8c0986f277a27ba,,
kohl's inc.,Kohls,bebe2053a8d82be1e8c0986f277a27ba,,
avisbudgetgroup.com,Avis Budget,d5c1644dc0c02af8b681c55a1f97ac5d,,
avis budget services ltd.,Avis Budget,d5c1644dc0c02af8b681c55a1f97ac5d,,
avis budget group inc,Avis Budget,d5c1644dc0c02af8b681c55a1f97ac5d,,
myavista.com,Avista,0f6d184a3254c6bd862f4db453a39f2f,,
avista corporation,Avista,0f6d184a3254c6bd862f4db453a39f2f,,
avista incorporated,Avista,0f6d184a3254c6bd862f4db453a39f2f,,
axalta.com,Axalta,00c810b4cd9910f366999eed86c7ad94,,
axalta coating systems,Axalta,00c810b4cd9910f366999eed86c7ad94,,
beaerospace.com,BE Aerospace,bbb3f2a46ae224da9d68f15e6dd91e2e,,
be aerospace,BE Aerospace,bbb3f2a46ae224da9d68f15e6dd91e2e,,
b/e aerospace inc.,BE Aerospace,bbb3f2a46ae224da9d68f15e6dd91e2e,,
baesystems.com,BAE Systems,68de11995b3eaa7243a40b135a58219b,,
bae systems applied intelligence us corp.,BAE Systems,68de11995b3eaa7243a40b135a58219b,,
bae systems,BAE Systems,68de11995b3eaa7243a40b135a58219b,,
bae systems,BAE Systems,68de11995b3eaa7243a40b135a58219b,,
baincapital.com,Bain Capital,274e3b17022db77ad019c20a36cb8fb3,,
bain capital lp,Bain Capital,274e3b17022db77ad019c20a36cb8fb3,,
bain capital llc,Bain Capital,274e3b17022db77ad019c20a36cb8fb3,,
global.honda,Bain Capital,274e3b17022db77ad019c20a36cb8fb3,,
american honda motor co.,Bain Capital,274e3b17022db77ad019c20a36cb8fb3,,
honda motor co.,Bain Capital,274e3b17022db77ad019c20a36cb8fb3,,
honda motor,Bain Capital,274e3b17022db77ad019c20a36cb8fb3,,
honda north america,Bain Capital,274e3b17022db77ad019c20a36cb8fb3,,
bakerhughes.com,Baker Hughes,384ae2e6daea3075beaa74be884c0475,,
baker hughes incorporated,Baker Hughes,384ae2e6daea3075beaa74be884c0475,,
baker hughes,Baker Hughes,384ae2e6daea3075beaa74be884c0475,,
ball.com,Ball Corporation,876a7cfb9c0d79aeb5ea953049aae95a,,
ball corporation,Ball Corporation,876a7cfb9c0d79aeb5ea953049aae95a,,
eby-brown.com,Eby Brown,,,
eby-brown company,Eby Brown,,,
bankofamerica.com,Bank of America,e672678f644ea6ca9d8396db9db0bdf0,,
bank of america,Bank of America,e672678f644ea6ca9d8396db9db0bdf0,,
bank of america corporation,Bank of America,e672678f644ea6ca9d8396db9db0bdf0,,
bofaml.com,BAML,e672678f644ea6ca9d8396db9db0bdf0,,
merrill lynch (bank of america corporation),BAML,e672678f644ea6ca9d8396db9db0bdf0,,
barrick.com,Barrick,93e7c20c0519f2349163811c46f79b74,,
barrick gold corporation,Barrick,93e7c20c0519f2349163811c46f79b74,,
unitedrentals.com,United Rentals,a99297cbc7aa00fd5e4d6942d46bc422,,
united rentals (north america),United Rentals,a99297cbc7aa00fd5e4d6942d46bc422,,
united rentals inc.,United Rentals,a99297cbc7aa00fd5e4d6942d46bc422,,
hy-vee.com,Hy-Vee,93463256c2d9023847b09fba9c188734,,
hy-vee-asn-02,Hy-Vee,93463256c2d9023847b09fba9c188734,,
hy-vee,Hy-Vee,93463256c2d9023847b09fba9c188734,,
basf.com,BASF,8d49b8dc5ba98024dc999c10317deae7,,
basf business services gmbh,BASF,8d49b8dc5ba98024dc999c10317deae7,,
basf corporation,BASF,8d49b8dc5ba98024dc999c10317deae7,,
baxter.com,Baxter,59d2be379b9c76f2e25bcbf751bfd761,,
baxter healthcare,Baxter,59d2be379b9c76f2e25bcbf751bfd761,,
baxter healthcare corporation,Baxter,59d2be379b9c76f2e25bcbf751bfd761,,
bbt.com,BB&T,2916b651bbc29138a226e7904de313ff,,
branch banking and trust company,BB&T,2916b651bbc29138a226e7904de313ff,,
bcg.com,BCG,2e782cdf90647fa9b827009f6d6818e9,,
bcg attorney search,BCG,2e782cdf90647fa9b827009f6d6818e9,,
the boston consulting group,BCG,2e782cdf90647fa9b827009f6d6818e9,,
textronfinancial.com,Textron Financial,8ff2b75def56d2753aeeae9dcc5eb5d6,,
textron inc.,Textron Financial,8ff2b75def56d2753aeeae9dcc5eb5d6,,
beaurivage.com,Beau Rivage,,,
beau rivage palace,Beau Rivage,,,
bechtel.com,Bechtel,,,
bechtel corporation,Bechtel,,,
bechtel global corporation,Bechtel,,,
kochfoods.com,Koch Foods,6722268f4bab041abf4e50b0cbbdd3ca,,
koch foods incorporated,Koch Foods,6722268f4bab041abf4e50b0cbbdd3ca,,
bench.com,Benchmark Electronics,29365b033e7d0e5bb0e3034314f76eb3,,
benchmark electronics,Benchmark Electronics,29365b033e7d0e5bb0e3034314f76eb3,,
u-haul.com,U-Haul,3a991b47125921dba181b242dd96b5a3,,
uhaul international,U-Haul,3a991b47125921dba181b242dd96b5a3,,
u-haul international inc,U-Haul,3a991b47125921dba181b242dd96b5a3,,
benjaminmoore.com,Benjamin Moore,a5d91bcc184582038da424d86dbfb176,,
benjamin moore & co.,Benjamin Moore,a5d91bcc184582038da424d86dbfb176,,
biglots.com,Big Lots,28d88a4eec74c3f84900254f454d6c06,,
big lots stores,Big Lots,28d88a4eec74c3f84900254f454d6c06,,
big lots stores inc.,Big Lots,28d88a4eec74c3f84900254f454d6c06,,
amerco.com,AMERCO,3a991b47125921dba181b242dd96b5a3,,
southwest.com,Southwest Airlines,1fbbad0baa62e0c0298043a29d94cf28,,
southwest airlines co.,Southwest Airlines,1fbbad0baa62e0c0298043a29d94cf28,,
biogen.com,Biogen,1f46a67ae7e6023e6cffca51f4a46c16,,
biogen,Biogen,1f46a67ae7e6023e6cffca51f4a46c16,,
biogen inc.,Biogen,1f46a67ae7e6023e6cffca51f4a46c16,,
bv.com,Black & Veatch,,,
black & veatch international company,Black & Veatch,,,
black & veatch limited,Black & Veatch,,,
black & veatch corporation,Black & Veatch,,,
bloomberg.com,Bloomberg,13973f2df031fdfb9c5478fba4a9b0ba,,
bloomberg lp,Bloomberg,13973f2df031fdfb9c5478fba4a9b0ba,,
bloomberg data management services limited,Bloomberg,13973f2df031fdfb9c5478fba4a9b0ba,,
bluecrossmn.com,BCBS Minnesota,2542d810a3ad46b624ee6795e1082e6f,,
blue cross & blue shield of minnesota,BCBS Minnesota,2542d810a3ad46b624ee6795e1082e6f,,
blue cross blue shield of minnesota,BCBS Minnesota,2542d810a3ad46b624ee6795e1082e6f,,
bcbsal.org,BCBS Alabama,2542d810a3ad46b624ee6795e1082e6f,,
blue cross and blue shield of alabama,BCBS Alabama,2542d810a3ad46b624ee6795e1082e6f,,
blue cross blue shield of alabama,BCBS Alabama,2542d810a3ad46b624ee6795e1082e6f,,
bcbsnd.com,BCBS North Dakota,2542d810a3ad46b624ee6795e1082e6f,,
blue cross blue shield of north dakota,BCBS North Dakota,2542d810a3ad46b624ee6795e1082e6f,,
bwpmlp.com,Boardwalk Pipeline,725e9a850d492c189eabb5e6e16302f0,,
boardwalk pipeline partners,Boardwalk Pipeline,725e9a850d492c189eabb5e6e16302f0,,
boehringer-ingelheim.com,Boehringer,,,
boehringer ingelheim pharmaceuticals,Boehringer,,,
boehringer ingelheim,Boehringer,,,
bombardier.com,Bombardier,941ce0d6b45160d314d37c747db79b5c,,
bombardier,Bombardier,941ce0d6b45160d314d37c747db79b5c,,
bombardier inc.,Bombardier,941ce0d6b45160d314d37c747db79b5c,,
bookingholdings.com,Booking Holdings,e6a55c38ad22d8e1d5ae6646fef048ec,,
priceline.com llc,Booking Holdings,e6a55c38ad22d8e1d5ae6646fef048ec,,
bhp.com,BHP,c503f35fcdc52d4912f2ca64ea221306,,
bhp billiton,BHP,c503f35fcdc52d4912f2ca64ea221306,,
bhp billiton iron ore pty.,BHP,c503f35fcdc52d4912f2ca64ea221306,,
bhp innovation,BHP,c503f35fcdc52d4912f2ca64ea221306,,
bose.com,Bose,960e0d172242014d2a3c40d906cdefce,,
bose products bv,Bose,960e0d172242014d2a3c40d906cdefce,,
bose corporation,Bose,960e0d172242014d2a3c40d906cdefce,,
bostonscientific.com,Boston Scientific,19ed1a9f49895c64e95dc95d23bf95f7,,
boston scientific corporation,Boston Scientific,19ed1a9f49895c64e95dc95d23bf95f7,,
bp.com,BP North America,38d8b69ed5061389a56cf5a9dad770db,,
briggsandstratton.com,Briggs & Stratton,db553c509a6d469d70b00b4f8de8c56b,,
briggs & stratton corporation,Briggs & Stratton,db553c509a6d469d70b00b4f8de8c56b,,
brinker.com,Brinker,f2934b082f9569f375427b3896edc27b,,
brinker international,Brinker,f2934b082f9569f375427b3896edc27b,,
brinker restaurant corp,Brinker,f2934b082f9569f375427b3896edc27b,,
britishairways.com,British Airways,d493454666ce0c6c58eda8c7efe9c863,,
british airways plc,British Airways,d493454666ce0c6c58eda8c7efe9c863,,
bat.com,British American Tobacco,2037bdb717b3511c220447491342823c,,
british american tobacco,British American Tobacco,2037bdb717b3511c220447491342823c,,
brittainresorts.com,Brittain Resorts,,,
usaa.com,USAA,5ef829b144a08f855c8570d2b6cbc57d,,
usaa,USAA,5ef829b144a08f855c8570d2b6cbc57d,,
united services automobile association,USAA,5ef829b144a08f855c8570d2b6cbc57d,,
schwab.com,Charles Schwab,9f4a6cc8e5ded006e3d807d8f4c689f0,,
charles schwab & co.,Charles Schwab,9f4a6cc8e5ded006e3d807d8f4c689f0,,
charles schwab & co. inc.,Charles Schwab,9f4a6cc8e5ded006e3d807d8f4c689f0,,
intlfcstone.com,INTL FCStone,d42133409102523d5085139ab363c6e5,,
intl fcstone financial,INTL FCStone,d42133409102523d5085139ab363c6e5,,
intl fcstone,INTL FCStone,d42133409102523d5085139ab363c6e5,,
cit.com,CIT,7db5b31af2a7a7ba7d997f4b3edbb86e,,
the cit group,CIT,7db5b31af2a7a7ba7d997f4b3edbb86e,,
carlyle.com/,Carlyle,b12cc8ff00ca02fcb6f99f99bc9cf973,,
carlyle investment management l.l.c.,Carlyle,b12cc8ff00ca02fcb6f99f99bc9cf973,,
the carlyle group,Carlyle,b12cc8ff00ca02fcb6f99f99bc9cf973,,
bnymellon.com,BNY Mellon,b2f2c0d486fea7c706245510793f29fd,,
the bank of new york mellon corporation,BNY Mellon,b2f2c0d486fea7c706245510793f29fd,,
the bank of new york mellon,BNY Mellon,b2f2c0d486fea7c706245510793f29fd,,
broadcom.com,Broadcom,46fa5341fd8823652ddc08bdf05fe537,,
genworth.com,Genworth,3fdca3ca1b84b9c5c588b933910500da,,
genworth north america corporation,Genworth,3fdca3ca1b84b9c5c588b933910500da,,
genworth financial,Genworth,3fdca3ca1b84b9c5c588b933910500da,,
genworth financial inc.,Genworth,3fdca3ca1b84b9c5c588b933910500da,,
broadridge.com,Broadridge,7129bc0eddb9c8804b83d476e7abfad2,,
broadridge customer communications canada ulc,Broadridge,7129bc0eddb9c8804b83d476e7abfad2,,
broadridge (deutschland) gmbh,Broadridge,7129bc0eddb9c8804b83d476e7abfad2,,
broadridge financial solutions,Broadridge,7129bc0eddb9c8804b83d476e7abfad2,,
