vulnerability,caption_name,topic_ids,threshold,key_1,value_1,key_2,value_2,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
Orcus RAT trojan C2,Orcus RAT trojan C2,Malware,alert2.local,product,Orcus RAT trojan,,,Consulates,Orcus RAT trojan C2,,shodan_vulnerabilities,ab628c668bc1646f10ac22d5bf9b4a63,shodan_vulnerabilities__ab628c668bc1646f10ac22d5bf9b4a63
Poison Ivy trojan C2,Poison Ivy trojan C2,Malware,alert2.local,product,Poison Ivy trojan,,,ForeignMinister,Poison Ivy trojan C2,,shodan_vulnerabilities,b05ddc4da51af4cc33d908976350fd48,shodan_vulnerabilities__b05ddc4da51af4cc33d908976350fd48
BlackShades trojan C2,BlackShades trojan C2,Malware,alert2.local,product,BlackShades trojan,,,IndustryTerm,BlackShades trojan C2,,shodan_vulnerabilities,f47eefdddc624eb86708aa01c8a17b21,shodan_vulnerabilities__f47eefdddc624eb86708aa01c8a17b21
Bozok RAT trojan C2,Bozok RAT trojan C2,Malware,alert2.local,product,Bozok RAT trojan,,,Person,Bozok RAT trojan C2,,shodan_vulnerabilities,16f4d8a59f9f0eebaf37ce14c6d3bf59,shodan_vulnerabilities__16f4d8a59f9f0eebaf37ce14c6d3bf59
Remcos Pro RAT trojan C2,Remcos Pro RAT trojan C2,Malware,alert2.local,product,Remcos Pro RAT trojan,,,Diplomat,Remcos Pro RAT trojan C2,,shodan_vulnerabilities,908c7d5544114552a4b2087253bcc57e,shodan_vulnerabilities__908c7d5544114552a4b2087253bcc57e
ICS,exposed industrial control system,ICS & IoT,alert2.local,tags,ics,,,FTO,exposed industrial control system,,shodan_vulnerabilities,3ea9371a25c3066679f3ceb2a1f44e78,shodan_vulnerabilities__3ea9371a25c3066679f3ceb2a1f44e78
DICOM,exposed DICOM medical imaging system,ICS & IoT,alert2.local,tags,medical,,,News,exposed DICOM medical imaging system,,shodan_vulnerabilities,20f3e776aacbceb3d7441a60053fbe5b,shodan_vulnerabilities__20f3e776aacbceb3d7441a60053fbe5b
F5 BIG-IP TMUI,has exposed F5 BIG-IP Traffic Management User Interface,Remote Access and Management Systems,alert2.local,http.title,BIG-IP&reg;- Redirect,,,News,has exposed F5 BIG-IP Traffic Management User Interface,,shodan_vulnerabilities,cfacc487e6bd6fbea3f08bdeee12a7c0,shodan_vulnerabilities__cfacc487e6bd6fbea3f08bdeee12a7c0
VMWare ESXi,has exposed VMWare ESXi server,Remote Access and Management Systems,alert2.local,http.title,ID_VC_Welcome,,,ForeignMinister,has exposed VMWare ESXi server,,shodan_vulnerabilities,6f222c2e214b7fb5bfbb649abc7d7d0f,shodan_vulnerabilities__6f222c2e214b7fb5bfbb649abc7d7d0f
SolarWinds Serv-U,SolarWinds Serv-U FTP server,Remote Access and Management Systems,alert2.local,http.favicon.hash,812385209,,,Pipeline,SolarWinds Serv-U FTP server,,shodan_vulnerabilities,696ab168d85b968a947f8b1776915f7c,shodan_vulnerabilities__696ab168d85b968a947f8b1776915f7c
No-Auth RDP,Remote Desktop Protocol on port 3389 with authentication disabled,Remote Access and Management Systems,alert2.local,port,3389,hasScreenshot,TRUE,space,Remote Desktop Protocol on port 3389 with authentication disabled,,shodan_vulnerabilities,5fb3d2872ef54da62ab0a12d38742bde,shodan_vulnerabilities__5fb3d2872ef54da62ab0a12d38742bde
No-Auth VNC,VNC on port 5900 with authentication disabled,Remote Access and Management Systems,alert2.local,port,5900,hasScreenshot,TRUE,Media,VNC on port 5900 with authentication disabled,,shodan_vulnerabilities,512424ff1ffdbd9780607cff03b8293a,shodan_vulnerabilities__512424ff1ffdbd9780607cff03b8293a
No-Auth SMB,Windows SMB server on port 445 with authentication disabled,Remote Access and Management Systems,alert2.local,port,445,data,authentication: disabled,CompanyKeyword,Windows SMB server on port 445 with authentication disabled,,shodan_vulnerabilities,917e78d38660125c062b253980ee57ba,shodan_vulnerabilities__917e78d38660125c062b253980ee57ba
No-Auth MQTT,MQTT server on port 1883 with authentication disabled,ICS & IoT,alert2.local,port,1883,data,Connection Code: 0,ForeignMinister,MQTT server on port 1883 with authentication disabled,,shodan_vulnerabilities,548975fb40c729d52f08e75b26ecac3e,shodan_vulnerabilities__548975fb40c729d52f08e75b26ecac3e
No-Auth FTP,FTP server with authentication disabled,Remote Access and Management Systems,alert2.local,port,21;2121,data,230,Refinery,FTP server with authentication disabled,,shodan_vulnerabilities,cec3e7ce00771f64eb3c72d82c9d19b0,shodan_vulnerabilities__cec3e7ce00771f64eb3c72d82c9d19b0
Exposed Elasticsearch,exposed Elasticsearch databae with authentication disabled,Data Exposure and Breaches,alert2.local,port,9200,data,indices,News,exposed Elasticsearch databae with authentication disabled,,shodan_vulnerabilities,884615472cf0eb95468facae608a93ec,shodan_vulnerabilities__884615472cf0eb95468facae608a93ec
Exposed Memcached,exposed Memcached server with authentication disabled,188350,alert2.local,port,11211,data,stats,Media,exposed Memcached server with authentication disabled,,shodan_vulnerabilities,5becf0b2ed915a4d002d978a29455897,shodan_vulnerabilities__5becf0b2ed915a4d002d978a29455897
Exposed MongoDB,MongoDB database on port 27017 with insufficient authentication enabled,Data Exposure and Breaches,alert2.local,port,27017,data,MongoDB Server Information,Pipeline,MongoDB database on port 27017 with insufficient authentication enabled,,shodan_vulnerabilities,51166b613c980c11ab7b1492d2892d90,shodan_vulnerabilities__51166b613c980c11ab7b1492d2892d90
CVE-2012-0158,CVE-2012-0158 in Microsoft Office configuration,188350,alert2.local,vulns,CVE-2012-0158,,,IndustryTerm,CVE-2012-0158 in Microsoft Office configuration,,shodan_vulnerabilities,f129c2b9deaa98779f21d69eb96d6bd4,shodan_vulnerabilities__f129c2b9deaa98779f21d69eb96d6bd4
CVE-2013-1391,CVE-2013-1391 in Hunt CCTV configuration,ICS & IoT,alert2.local,vulns,CVE-2013-1391,,,Wells,CVE-2013-1391 in Hunt CCTV configuration,,shodan_vulnerabilities,18b48ae5300a575408357c6c52adcc60,shodan_vulnerabilities__18b48ae5300a575408357c6c52adcc60
CVE-2013-1899,CVE-2013-1899 in PostgreSQL configuration,Data Exposure and Breaches,alert2.local,vulns,CVE-2013-1899,,,AAEntity,CVE-2013-1899 in PostgreSQL configuration,,shodan_vulnerabilities,c6844b7806a2a8021de30f6e615c3f8d,shodan_vulnerabilities__c6844b7806a2a8021de30f6e615c3f8d
CVE-2014-0160,CVE-2014-0160 Heartbleed in Heartbleed in OpenSSL configuration,Encryption and Certificates,alert2.local,vulns,CVE-2014-0160,,,Pipeline,CVE-2014-0160 Heartbleed in Heartbleed in OpenSSL configuration,,shodan_vulnerabilities,a7b9395ca2fda38c617b59597eb30720,shodan_vulnerabilities__a7b9395ca2fda38c617b59597eb30720
CVE-2014-1812,CVE-2014-1812 in Microsoft Windows configuration,188350,alert2.local,vulns,CVE-2014-1812,,,DiplomaticFacilities,CVE-2014-1812 in Microsoft Windows configuration,,shodan_vulnerabilities,4a8a0398e6c04103c7fd25614f98f7b9,shodan_vulnerabilities__4a8a0398e6c04103c7fd25614f98f7b9
CVE-2015-0204,CVE-2015-0204 FREAK in OpenSSL configuration,Encryption and Certificates,alert2.local,vulns,CVE-2015-0204,,,AAEntity,CVE-2015-0204 FREAK in OpenSSL configuration,,shodan_vulnerabilities,8f2548f7ea01e23aa0a17ba10bf5e764,shodan_vulnerabilities__8f2548f7ea01e23aa0a17ba10bf5e764
CVE-2015-1635,CVE-2015-1635 in HTPP.sys configuration,188350,alert2.local,vulns,CVE-2015-1635,,,Shipping,CVE-2015-1635 in HTPP.sys configuration,,shodan_vulnerabilities,b05f267cfcfd8bb290e45aa1e1f83d88,shodan_vulnerabilities__b05f267cfcfd8bb290e45aa1e1f83d88
CVE-2015-1641,CVE-2015-1641 in Microsoft Office configuration,188350,alert2.local,vulns,CVE-2015-1641,,,DiplomaticFacilities,CVE-2015-1641 in Microsoft Office configuration,,shodan_vulnerabilities,0dc56ea49f974ee8524a3e402ce8998f,shodan_vulnerabilities__0dc56ea49f974ee8524a3e402ce8998f
CVE-2015-2080,CVE-2015-2080 in Eclipse Jetty configuration,Email and Web Servers,alert2.local,vulns,CVE-2015-2080,,,DiplomaticFacilities,CVE-2015-2080 in Eclipse Jetty configuration,,shodan_vulnerabilities,db065cd84bd86c4edf14d94822a35c53,shodan_vulnerabilities__db065cd84bd86c4edf14d94822a35c53
CVE-2015-4000,CVE-2015-4000 Logjam in TLS configuration,Encryption and Certificates,alert2.local,vulns,CVE-2015-4000,,,AAEntity,CVE-2015-4000 Logjam in TLS configuration,,shodan_vulnerabilities,8dc655bf20ef2485a2f469a0caf1c2cc,shodan_vulnerabilities__8dc655bf20ef2485a2f469a0caf1c2cc
CVE-2015-4852,CVE-2015-4852 in Oracle WebLogic configuration,188350,alert2.local,vulns,CVE-2015-4852,,,AAEntity,CVE-2015-4852 in Oracle WebLogic configuration,,shodan_vulnerabilities,047b8d00ff4b611987f4f9b7cf013625,shodan_vulnerabilities__047b8d00ff4b611987f4f9b7cf013625
CVE-2016-0167,CVE-2016-0167 in Microsoft Windows configuration,Email and Web Servers,alert2.local,vulns,CVE-2016-0167,,,Refinery,CVE-2016-0167 in Microsoft Windows configuration,,shodan_vulnerabilities,d4a43182aa41c357f97ad62377ca0902,shodan_vulnerabilities__d4a43182aa41c357f97ad62377ca0902
CVE-2016-9244,CVE-2016-9244 in F5 BIG-IP configuration,Remote Access and Management Systems,alert2.local,vulns,CVE-2016-9244,,,LegislativeCommittee,CVE-2016-9244 in F5 BIG-IP configuration,,shodan_vulnerabilities,50c9a08b336b316a5871505390c5bb6a,shodan_vulnerabilities__50c9a08b336b316a5871505390c5bb6a
CVE-2017-0143,CVE-2017-0143 in Windows SMB  configuration,Data Exposure and Breaches,alert2.local,vulns,CVE-2017-0143,,,CompanyKeyword,CVE-2017-0143 in Windows SMB  configuration,,shodan_vulnerabilities,e12285bda498ffcb65af3bb0da943b07,shodan_vulnerabilities__e12285bda498ffcb65af3bb0da943b07
CVE-2017-0144,CVE-2017-0144 in Windows SMB configuration,Data Exposure and Breaches,alert2.local,vulns,CVE-2017-0144,,,CompanyKeyword,CVE-2017-0144 in Windows SMB configuration,,shodan_vulnerabilities,beb28405928f39f326dd4fe5fa96f60c,shodan_vulnerabilities__beb28405928f39f326dd4fe5fa96f60c
CVE-2017-0199,CVE-2017-0199 in Microsoft Office configuration,188350,alert2.local,vulns,CVE-2017-0199,,,Diplomat,CVE-2017-0199 in Microsoft Office configuration,,shodan_vulnerabilities,4c11e3c75457cffce58bfd14d3c3e641,shodan_vulnerabilities__4c11e3c75457cffce58bfd14d3c3e641
CVE-2017-11774,CVE-2017-11774 in Microsoft Outlook configuration,Email and Web Servers,alert2.local,vulns,CVE-2017-11774,,,News,CVE-2017-11774 in Microsoft Outlook configuration,,shodan_vulnerabilities,d20b7c8f6711b96edc35af0e033dffa9,shodan_vulnerabilities__d20b7c8f6711b96edc35af0e033dffa9
CVE-2017-11882,CVE-2017-11882 in Microsoft Office configuration,Email and Web Servers,alert2.local,vulns,CVE-2017-11882,,,LegislativeCommittee,CVE-2017-11882 in Microsoft Office configuration,,shodan_vulnerabilities,337d6b00404f681954a41bbede28dfd9,shodan_vulnerabilities__337d6b00404f681954a41bbede28dfd9
CVE-2017-5638,CVE-2017-5638 in Apache Struts configuration,Email and Web Servers,alert2.local,vulns,CVE-2017-5638,,,Shipping,CVE-2017-5638 in Apache Struts configuration,,shodan_vulnerabilities,ab2516ca523f46970d02df9148f4d366,shodan_vulnerabilities__ab2516ca523f46970d02df9148f4d366
CVE-2017-6327,CVE-2017-6327 in Symantec Messaging Gateway configuration,Remote Access and Management Systems,alert2.local,vulns,CVE-2017-6327,,,Pipeline,CVE-2017-6327 in Symantec Messaging Gateway configuration,,shodan_vulnerabilities,5518d97b97b2af7c666f50add9dc5f5c,shodan_vulnerabilities__5518d97b97b2af7c666f50add9dc5f5c
CVE-2017-7269,CVE-2017-7269 in Microsoft IIS Server configuration,188350,alert2.local,vulns,CVE-2017-7269,,,Wells,CVE-2017-7269 in Microsoft IIS Server configuration,,shodan_vulnerabilities,7d360f747477415a3a5e3646a58bf461,shodan_vulnerabilities__7d360f747477415a3a5e3646a58bf461
CVE-2017-8759,CVE-2017-8759 in Microsoft .NET Framework configuration,188350,alert2.local,vulns,CVE-2017-8759,,,AAEntity,CVE-2017-8759 in Microsoft .NET Framework configuration,,shodan_vulnerabilities,b62b588b7efdf306d832b85701038fb3,shodan_vulnerabilities__b62b588b7efdf306d832b85701038fb3
CVE-2018-13379,CVE-2018-13379 in Fortinet Forigate SSL VPN configuration,Remote Access and Management Systems,alert2.local,vulns,CVE-2018-13379,,,Wells,CVE-2018-13379 in Fortinet Forigate SSL VPN configuration,,shodan_vulnerabilities,fe79a1a82ee1c40bfb6250779e60e231,shodan_vulnerabilities__fe79a1a82ee1c40bfb6250779e60e231
CVE-2018-15961,CVE-2018-15961 in Adobe ColdFusion configuration,188350,alert2.local,vulns,CVE-2018-15961,,,ForeignMinistry,CVE-2018-15961 in Adobe ColdFusion configuration,,shodan_vulnerabilities,982f2534376fee1282b5394deae22dfa,shodan_vulnerabilities__982f2534376fee1282b5394deae22dfa
CVE-2018-4878,CVE-2018-4878 in Adobe Flash Player configuration,188350,alert2.local,vulns,CVE-2018-4878,,,CompanyKeyword,CVE-2018-4878 in Adobe Flash Player configuration,,shodan_vulnerabilities,445dd0d85547bb82a1578cb06d62705a,shodan_vulnerabilities__445dd0d85547bb82a1578cb06d62705a
CVE-2018-4939,CVE-2018-4939 in Adobe ColdFusion configuration,188350,alert2.local,vulns,CVE-2018-4939,,,Person,CVE-2018-4939 in Adobe ColdFusion configuration,,shodan_vulnerabilities,77f4c06fef902e1f12e61f45b53463e0,shodan_vulnerabilities__77f4c06fef902e1f12e61f45b53463e0
CVE-2018-6789,CVE-2018-6789 in Exim Mail configuration,188350,alert2.local,vulns,CVE-2018-6789,,,space,CVE-2018-6789 in Exim Mail configuration,,shodan_vulnerabilities,d4939fb9698d43a2d007eff611d6edb7,shodan_vulnerabilities__d4939fb9698d43a2d007eff611d6edb7
CVE-2018-7600,CVE-2018-7600 Drupalgeddon in Drupal configuration,188350,alert2.local,vulns,CVE-2018-7600,,,Exec,CVE-2018-7600 Drupalgeddon in Drupal configuration,,shodan_vulnerabilities,07c2184d1579e6755932d9e444ec1017,shodan_vulnerabilities__07c2184d1579e6755932d9e444ec1017
CVE-2018-7602,CVE-2018-7602 Drupalgeddon2 in Drupal configuration,188350,alert2.local,vulns,CVE-2018-7602,,,Person,CVE-2018-7602 Drupalgeddon2 in Drupal configuration,,shodan_vulnerabilities,52c38b5420fa741a7fd4b7683dff7ce9,shodan_vulnerabilities__52c38b5420fa741a7fd4b7683dff7ce9
CVE-2018-8581,CVE-2018-8581 in Microsoft Exchange Server configuration,188350,alert2.local,vulns,CVE-2018-8581,,,Organization,CVE-2018-8581 in Microsoft Exchange Server configuration,,shodan_vulnerabilities,1b580071b9dc281d2892de657239980b,shodan_vulnerabilities__1b580071b9dc281d2892de657239980b
CVE-2019-0604,CVE-2019-0604 in Microsoft Sharepoint configuration,188350,alert2.local,vulns,CVE-2019-0604,,,Media,CVE-2019-0604 in Microsoft Sharepoint configuration,,shodan_vulnerabilities,f0643bbe3d5d390b2726012c26010f0e,shodan_vulnerabilities__f0643bbe3d5d390b2726012c26010f0e
CVE-2019-0708,CVE-2019-0708 BlueKeep in Remote Desktop Protocol configuration,Remote Access and Management Systems,alert2.local,vulns,CVE-2019-0708,,,Person,CVE-2019-0708 BlueKeep in Remote Desktop Protocol configuration,,shodan_vulnerabilities,2b6752fabd7c0cb923165cba2a722edc,shodan_vulnerabilities__2b6752fabd7c0cb923165cba2a722edc
CVE-2019-0803,CVE-2019-0803 in Microsoft Windows configuration,188350,alert2.local,vulns,CVE-2019-0803,,,Person,CVE-2019-0803 in Microsoft Windows configuration,,shodan_vulnerabilities,70e3b721dc97e57df6d6bef7ef18a37e,shodan_vulnerabilities__70e3b721dc97e57df6d6bef7ef18a37e
CVE-2019-10149,CVE-2019-10149 in Exim Mail configuration,188350,alert2.local,vulns,CVE-2019-10149,,,CompanyKeyword,CVE-2019-10149 in Exim Mail configuration,,shodan_vulnerabilities,da40b63b2dfff9adf842c1fd7e7790c4,shodan_vulnerabilities__da40b63b2dfff9adf842c1fd7e7790c4
CVE-2019-1040,CVE-2019-1040 in Microsoft Windows configuration,188350,alert2.local,vulns,CVE-2019-1040,,,IndustryTerm,CVE-2019-1040 in Microsoft Windows configuration,,shodan_vulnerabilities,5ea7ec5658afa5bb0ef96b9bb2c9bbca,shodan_vulnerabilities__5ea7ec5658afa5bb0ef96b9bb2c9bbca
CVE-2019-11510,CVE-2019-11510 in Pulse VPN configuration,Remote Access and Management Systems,alert2.local,vulns,CVE-2019-11510,,,IndustryTerm,CVE-2019-11510 in Pulse VPN configuration,,shodan_vulnerabilities,dc248fb39db7b4bc265b9ec62b918c4c,shodan_vulnerabilities__dc248fb39db7b4bc265b9ec62b918c4c
CVE-2019-11580,CVE-2019-11580 in Atlassian Crowd configuration,Remote Access and Management Systems,alert2.local,vulns,CVE-2019-11580,,,Pipeline,CVE-2019-11580 in Atlassian Crowd configuration,,shodan_vulnerabilities,4544fe980e998c7a577dc427093ca6b9,shodan_vulnerabilities__4544fe980e998c7a577dc427093ca6b9
CVE-2019-1652,CVE-2019-1652 in Cisco Small Business configuration,Remote Access and Management Systems,alert2.local,vulns,CVE-2019-1652,,,Pipeline,CVE-2019-1652 in Cisco Small Business configuration,,shodan_vulnerabilities,5fea1ec5fbde9b1181bd76b678fa6041,shodan_vulnerabilities__5fea1ec5fbde9b1181bd76b678fa6041
CVE-2019-1653,CVE-2019-1653 in Cisco Small Business configuration,Remote Access and Management Systems,alert2.local,vulns,CVE-2019-1653,,,Organization,CVE-2019-1653 in Cisco Small Business configuration,,shodan_vulnerabilities,315831357ed419ea1551edc3d562a525,shodan_vulnerabilities__315831357ed419ea1551edc3d562a525
CVE-2019-18935,CVE-2019-18935 in Progress Telerik configuration,,alert2.local,vulns,CVE-2019-18935,,,Diplomat,CVE-2019-18935 in Progress Telerik configuration,,shodan_vulnerabilities,8e4213c506e3d8fd54f2ab949653d63a,shodan_vulnerabilities__8e4213c506e3d8fd54f2ab949653d63a
CVE-2019-19781,CVE-2019-19781 in Citrix NetScaler configuration,Remote Access and Management Systems,alert2.local,vulns,CVE-2019-19781,,,Organization,CVE-2019-19781 in Citrix NetScaler configuration,,shodan_vulnerabilities,bc86ad16e434bea91bd12c1f588dfeaa,shodan_vulnerabilities__bc86ad16e434bea91bd12c1f588dfeaa
CVE-2019-3396,CVE-2019-3396 in Atlassian Confluence Server configuration,Email and Web Servers,alert2.local,vulns,CVE-2019-3396,,,Exec,CVE-2019-3396 in Atlassian Confluence Server configuration,,shodan_vulnerabilities,cbbbf81d3001ad46e194ff2404639944,shodan_vulnerabilities__cbbbf81d3001ad46e194ff2404639944
CVE-2019-3398,CVE-2019-3398 in Atlassian Confluence Server configuration,Email and Web Servers,alert2.local,vulns,CVE-2019-3398,,,Pipeline,CVE-2019-3398 in Atlassian Confluence Server configuration,,shodan_vulnerabilities,4a42a505492ebde0901e317d55eede9a,shodan_vulnerabilities__4a42a505492ebde0901e317d55eede9a
CVE-2019-8394,CVE-2019-8394 in Zoho ManageEngine ServiceDesk Plus configuration,,alert2.local,vulns,CVE-2019-8394,,,Diplomat,CVE-2019-8394 in Zoho ManageEngine ServiceDesk Plus configuration,,shodan_vulnerabilities,41ad556a9f3ede787dc26eaecc2ad86d,shodan_vulnerabilities__41ad556a9f3ede787dc26eaecc2ad86d
CVE-2020-0601,CVE-2020-0601 in Windows CryptoAPI configuration,,alert2.local,vulns,CVE-2020-0601,,,Wells,CVE-2020-0601 in Windows CryptoAPI configuration,,shodan_vulnerabilities,ae4761ed6338f22c565082cb7d9f76a4,shodan_vulnerabilities__ae4761ed6338f22c565082cb7d9f76a4
CVE-2020-0688,CVE-2020-0688 in Microsoft Exchange configuration,Email and Web Servers,alert2.local,vulns,CVE-2020-0688,,,Diplomat,CVE-2020-0688 in Microsoft Exchange configuration,,shodan_vulnerabilities,bb9e512c83aa2294f8a42f2a025ef865,shodan_vulnerabilities__bb9e512c83aa2294f8a42f2a025ef865
CVE-2020-0787,CVE-2020-0787 in Windows Background Intelligent Transfer Service configuration,Email and Web Servers,alert2.local,vulns,CVE-2020-0787,,,Shipping,CVE-2020-0787 in Windows Background Intelligent Transfer Service configuration,,shodan_vulnerabilities,cc2751f3674cb897b785fd1ab7cd9a90,shodan_vulnerabilities__cc2751f3674cb897b785fd1ab7cd9a90
CVE-2020-0796,CVE-2020-0796 SMBGhost in Microsoft Server Message Block configuration,,alert2.local,vulns,CVE-2020-0796,,,Person,CVE-2020-0796 SMBGhost in Microsoft Server Message Block configuration,,shodan_vulnerabilities,f75c897e9e46973a57f0ed17cd200c9f,shodan_vulnerabilities__f75c897e9e46973a57f0ed17cd200c9f
CVE-2020-10189,CVE-2020-10189 in Zoho ManageEngine Desktop Central configuration,Email and Web Servers,alert2.local,vulns,CVE-2020-10189,,,Legislator,CVE-2020-10189 in Zoho ManageEngine Desktop Central configuration,,shodan_vulnerabilities,477fae0c24db73ad0116580c6bb62e07,shodan_vulnerabilities__477fae0c24db73ad0116580c6bb62e07
CVE-2020-11651,CVE-2020-11651 in SaltStack Salt configuration,,alert2.local,vulns,CVE-2020-11651,,,ForeignMinister,CVE-2020-11651 in SaltStack Salt configuration,,shodan_vulnerabilities,4ed945914c082a0b1272d90772f18b93,shodan_vulnerabilities__4ed945914c082a0b1272d90772f18b93
CVE-2020-11652,CVE-2020-11652 in SaltStack Salt configuration,,alert2.local,vulns,CVE-2020-11652,,,LegislativeCommittee,CVE-2020-11652 in SaltStack Salt configuration,,shodan_vulnerabilities,66a8f68b2504af7378dfe04a38fcfa8f,shodan_vulnerabilities__66a8f68b2504af7378dfe04a38fcfa8f
CVE-2020-1350,CVE-2020-1350 in Windows Domain Name System configuration,,alert2.local,vulns,CVE-2020-1350,,,Organization,CVE-2020-1350 in Windows Domain Name System configuration,,shodan_vulnerabilities,7ad58b782d867c1085c4bacdfba5e073,shodan_vulnerabilities__7ad58b782d867c1085c4bacdfba5e073
CVE-2020-1472,CVE-2020-1472 Zeologon in Windows Netlogon configuration,,alert2.local,vulns,CVE-2020-1472,,,Consulates,CVE-2020-1472 Zeologon in Windows Netlogon configuration,,shodan_vulnerabilities,4522f5d5477bd745fdeacb4206bf5262,shodan_vulnerabilities__4522f5d5477bd745fdeacb4206bf5262
CVE-2020-14871,CVE-2020-14871 in Oracle Solaris configuration,,alert2.local,vulns,CVE-2020-14871,,,IndustryTerm,CVE-2020-14871 in Oracle Solaris configuration,,shodan_vulnerabilities,d7375bdc003c47dde04e54f741beffa7,shodan_vulnerabilities__d7375bdc003c47dde04e54f741beffa7
CVE-2020-14882,CVE-2020-14882 in Oracle WebLogic Server configuration,,alert2.local,vulns,CVE-2020-14882,,,Refinery,CVE-2020-14882 in Oracle WebLogic Server configuration,,shodan_vulnerabilities,131e832e6b6d032175c23a27e521bbcb,shodan_vulnerabilities__131e832e6b6d032175c23a27e521bbcb
CVE-2020-15505,CVE-2020-15505 in MobileIron configuration,,alert2.local,vulns,CVE-2020-15505,,,Media,CVE-2020-15505 in MobileIron configuration,,shodan_vulnerabilities,f8bf47d515f3d516a91ff0931e5b0adf,shodan_vulnerabilities__f8bf47d515f3d516a91ff0931e5b0adf
CVE-2020-1938,CVE-2020-1938 Ghostcat in Apache Tomcat configuration,,alert2.local,vulns,CVE-2020-1938,,,News,CVE-2020-1938 Ghostcat in Apache Tomcat configuration,,shodan_vulnerabilities,b55824c7d50143aa110b6edcbd9ced20,shodan_vulnerabilities__b55824c7d50143aa110b6edcbd9ced20
CVE-2020-2555,CVE-2020-2555 in Oracle Coherence configuration,,alert2.local,vulns,CVE-2020-2555,,,Diplomat,CVE-2020-2555 in Oracle Coherence configuration,,shodan_vulnerabilities,bb94c4ef8cc95127b4e2736242b1039a,shodan_vulnerabilities__bb94c4ef8cc95127b4e2736242b1039a
CVE-2020-3118,CVE-2020-3118 in Cisco Discovery Protocol configuration,,alert2.local,vulns,CVE-2020-3118,,,DiplomaticFacilities,CVE-2020-3118 in Cisco Discovery Protocol configuration,,shodan_vulnerabilities,84c4a902075032e5cd1e359577e14186,shodan_vulnerabilities__84c4a902075032e5cd1e359577e14186
CVE-2020-4006,CVE-2020-4006 in VMware Workspace One Access configuration,,alert2.local,vulns,CVE-2020-4006,,,Exec,CVE-2020-4006 in VMware Workspace One Access configuration,,shodan_vulnerabilities,f8c271fb53534679c9b327d4f2197a48,shodan_vulnerabilities__f8c271fb53534679c9b327d4f2197a48
