handle,caption_name,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
kris6news,KRIS 6 News,LegislativeCommittee,KRIS 6 News,,basementions_mentionereng,75f1681937706e0695446bb58d387f97,basementions_mentionereng__75f1681937706e0695446bb58d387f97
kltv7,KLTV 7,Person,KLTV 7,,basementions_mentionereng,b3a2d24f079da3ef1c13260d04ef5a69,basementions_mentionereng__b3a2d24f079da3ef1c13260d04ef5a69
wcbinews,WCBI News,AAEntity,WCBI News,,basementions_mentionereng,ef6a438239dfd74cd71a7509658e5411,basementions_mentionereng__ef6a438239dfd74cd71a7509658e5411
ktnv,KTNV 13 Action News,News,KTNV 13 Action News,,basementions_mentionereng,2a9f1b554310c84e35a695ed5c05c6dc,basementions_mentionereng__2a9f1b554310c84e35a695ed5c05c6dc
eastoregonian,East Oregonian,Pipeline,East Oregonian,,basementions_mentionereng,94ef9d12885ac33f6115ea1454424774,basementions_mentionereng__94ef9d12885ac33f6115ea1454424774
fox61news,FOX61,Wells,FOX61,,basementions_mentionereng,e8f0970986f1a2df75fda2a5d5327123,basementions_mentionereng__e8f0970986f1a2df75fda2a5d5327123
coastalpoint,Coastal Point,ForeignMinister,Coastal Point,,basementions_mentionereng,ceb1fdcdb6ab5e91caef855ef8cfd040,basementions_mentionereng__ceb1fdcdb6ab5e91caef855ef8cfd040
930wfmd,WFMD,ForeignMinistry,WFMD,,basementions_mentionereng,8c43e442507cb703cd9228b2a8b8c79c,basementions_mentionereng__8c43e442507cb703cd9228b2a8b8c79c
kvoa,KVOA,Shipping,KVOA,,basementions_mentionereng,1090f678525287603cfea2b8d828a396,basementions_mentionereng__1090f678525287603cfea2b8d828a396
ajc,The Atlanta Journal-Constitution,Legislator,The Atlanta Journal-Constitution,,basementions_mentionereng,0d8813ec357f2d895840a7fcd98d81fa,basementions_mentionereng__0d8813ec357f2d895840a7fcd98d81fa
wdtnews,Watertown Daily Times,Wells,Watertown Daily Times,,basementions_mentionereng,178fbd9563f509f25a71128c55427145,basementions_mentionereng__178fbd9563f509f25a71128c55427145
ktxs_news,KTXS,DiplomaticFacilities,KTXS,,basementions_mentionereng,eb2b56414914ba142820d26872c2fe47,basementions_mentionereng__eb2b56414914ba142820d26872c2fe47
kgetnews,KGET,Media,KGET,,basementions_mentionereng,57f20aab220c7e6a661db03f3f299f4a,basementions_mentionereng__57f20aab220c7e6a661db03f3f299f4a
newsminer,Fairbanks Daily News-Miner,Person,Fairbanks Daily News-Miner,,basementions_mentionereng,631d08ce3ca431fcf6b7b5c794334842,basementions_mentionereng__631d08ce3ca431fcf6b7b5c794334842
rgj,Reno Gazette Journal,IndustryTerm,Reno Gazette Journal,,basementions_mentionereng,5f64336fa6bd3552eaba5471b46d9dac,basementions_mentionereng__5f64336fa6bd3552eaba5471b46d9dac
kgwntv,KGWN,CompanyKeyword,KGWN,,basementions_mentionereng,613cd741d2cca1f4966a7f7ecefd312e,basementions_mentionereng__613cd741d2cca1f4966a7f7ecefd312e
abc4utah,ABC4 Utah,ForeignMinister,ABC4 Utah,,basementions_mentionereng,f6336352a644cda08c6334806e5554f9,basementions_mentionereng__f6336352a644cda08c6334806e5554f9
nbc12,NBC12,Keyphrase,NBC12,,basementions_mentionereng,ef19e86cd87708d27315db39956d159d,basementions_mentionereng__ef19e86cd87708d27315db39956d159d
nbcwashington,NBC Washington,Exec,NBC Washington,,basementions_mentionereng,14bddfc2e94f26858a88efe88307ad36,basementions_mentionereng__14bddfc2e94f26858a88efe88307ad36
koldnews,KOLD 13,ForeignMinister,KOLD 13,,basementions_mentionereng,cbe7c0a22423ab2da21f7ba7b29972c4,basementions_mentionereng__cbe7c0a22423ab2da21f7ba7b29972c4
wrblnews3,WRBL News 3,Pipeline,WRBL News 3,,basementions_mentionereng,99a7f6c6aef416cbf71940bfddbb1b7c,basementions_mentionereng__99a7f6c6aef416cbf71940bfddbb1b7c
sjdailystar,San Juan Daily Star,Media,San Juan Daily Star,,basementions_mentionereng,ab9230765b9a0b120671132da01d144d,basementions_mentionereng__ab9230765b9a0b120671132da01d144d
clarksvillenow,Clarksville Now,Media,Clarksville Now,,basementions_mentionereng,6ebc5a9cc34117569200e27d5db86fa0,basementions_mentionereng__6ebc5a9cc34117569200e27d5db86fa0
wwmtnews,News Channel 3 WWMT,space,News Channel 3 WWMT,,basementions_mentionereng,2da39e7ae95d261b2b3619e99e7ed359,basementions_mentionereng__2da39e7ae95d261b2b3619e99e7ed359
aug_chronicle,Augusta Chronicle,News,Augusta Chronicle,,basementions_mentionereng,7d514c485f944aca75b0f02c3701bd9b,basementions_mentionereng__7d514c485f944aca75b0f02c3701bd9b
kuacfmtv,KUAC,CompanyKeyword,KUAC,,basementions_mentionereng,18ef690469ea5cfff23851a12af722f6,basementions_mentionereng__18ef690469ea5cfff23851a12af722f6
6newsctx,KCEN News,LegislativeCommittee,KCEN News,,basementions_mentionereng,433dff22ac5125e0ea89b0da3801026a,basementions_mentionereng__433dff22ac5125e0ea89b0da3801026a
wcbd,WCBD News 2,Legislator,WCBD News 2,,basementions_mentionereng,cfa1a57ac1f697e491a6ff8f943b2752,basementions_mentionereng__cfa1a57ac1f697e491a6ff8f943b2752
wave3news,Wave 3 News,Keyphrase,Wave 3 News,,basementions_mentionereng,13d2623413974f957208dd9f14b4a284,basementions_mentionereng__13d2623413974f957208dd9f14b4a284
leavenworthlamp,Fort Leavenworth Lamp,News,Fort Leavenworth Lamp,,basementions_mentionereng,7eae09adc0cd95a8b3473d013538bd16,basementions_mentionereng__7eae09adc0cd95a8b3473d013538bd16
krcg13,KRCG 13,ForeignMinister,KRCG 13,,basementions_mentionereng,b10c78bf44c3039ffd836ed1bde5f940,basementions_mentionereng__b10c78bf44c3039ffd836ed1bde5f940
news8news,WKBT News 8,Diplomat,WKBT News 8,,basementions_mentionereng,50373aec776a1058cbe8704e8150bb79,basementions_mentionereng__50373aec776a1058cbe8704e8150bb79
wibw,WIBW,space,WIBW,,basementions_mentionereng,cf95b47354a0c0d91b63988928ed6cd8,basementions_mentionereng__cf95b47354a0c0d91b63988928ed6cd8
khonnews,KHON2 News,IndustryTerm,KHON2 News,,basementions_mentionereng,767fbc7aa27b33295c1bae4e81590532,basementions_mentionereng__767fbc7aa27b33295c1bae4e81590532
wtoc11,WTOC-11,Exec,WTOC-11,,basementions_mentionereng,f49838a1f092b4f924ddeb6f6b5d0590,basementions_mentionereng__f49838a1f092b4f924ddeb6f6b5d0590
800kiny,800 KINY,IndustryTerm,800 KINY,,basementions_mentionereng,276d5efeb9e9ecac929d04d2aaf0eed1,basementions_mentionereng__276d5efeb9e9ecac929d04d2aaf0eed1
wtvynews4,WTVY News 4,Keyphrase,WTVY News 4,,basementions_mentionereng,aa0e2492bbedfb93e6d38e749556df63,basementions_mentionereng__aa0e2492bbedfb93e6d38e749556df63
kfor,KFOR,AAEntity,KFOR,,basementions_mentionereng,d68394cb469b16cca5ad7161a070a6d9,basementions_mentionereng__d68394cb469b16cca5ad7161a070a6d9
wncn,CBS 17,ForeignMinistry,CBS 17,,basementions_mentionereng,b018efea0f0081dd127a73ea9d3b8350,basementions_mentionereng__b018efea0f0081dd127a73ea9d3b8350
fox21news,FOX21 News,FTO,FOX21 News,,basementions_mentionereng,1d9aa597d7897b46bfe861f4eb30e569,basementions_mentionereng__1d9aa597d7897b46bfe861f4eb30e569
cbsdenver,CBS Denver,Keyphrase,CBS Denver,,basementions_mentionereng,d576cd54e5f8b5119929aa1a55216b80,basementions_mentionereng__d576cd54e5f8b5119929aa1a55216b80
lebanontown,LebTown,IndustryTerm,LebTown,,basementions_mentionereng,5dd2582c159cc9b14f0f6a5be77fc05f,basementions_mentionereng__5dd2582c159cc9b14f0f6a5be77fc05f
capgaznews,Capital Gazette,space,Capital Gazette,,basementions_mentionereng,ce513c6c1f32705c446299559f37f913,basementions_mentionereng__ce513c6c1f32705c446299559f37f913
gosanangelo,GoSanAngelo,space,GoSanAngelo,,basementions_mentionereng,5cbe9a742a84988466337c923cbb500e,basementions_mentionereng__5cbe9a742a84988466337c923cbb500e
gfherald,Grand Forks Herald,CompanyKeyword,Grand Forks Herald,,basementions_mentionereng,42ff7bc37fa4a38978005a0d415cc189,basementions_mentionereng__42ff7bc37fa4a38978005a0d415cc189
kslcom,KSL,FTO,KSL,,basementions_mentionereng,498cc5161e4a768c672a011fa2aae89c,basementions_mentionereng__498cc5161e4a768c672a011fa2aae89c
wbz,WBZ CBS Boston News,Pipeline,WBZ CBS Boston News,,basementions_mentionereng,f155608aeb7dc9de174c1e5c4198b491,basementions_mentionereng__f155608aeb7dc9de174c1e5c4198b491
whiotv,WHIO-TV,Person,WHIO-TV,,basementions_mentionereng,b33cff47351cbfbc19509127d36ec535,basementions_mentionereng__b33cff47351cbfbc19509127d36ec535
kolo8,KOLO8,CompanyKeyword,KOLO8,,basementions_mentionereng,88f719969212553d0bbcea80f3b3f14d,basementions_mentionereng__88f719969212553d0bbcea80f3b3f14d
alamogordonews,Alamogordo Daily News,Keyphrase,Alamogordo Daily News,,basementions_mentionereng,1aae0669cb77261ac5c02e82d2e50653,basementions_mentionereng__1aae0669cb77261ac5c02e82d2e50653
nwfdailynews,Northwest Florida Daily News,FTO,Northwest Florida Daily News,,basementions_mentionereng,470f65f849b3ff027dc5752adc8ceb8e,basementions_mentionereng__470f65f849b3ff027dc5752adc8ceb8e
ktvb,KTVB,News,KTVB,,basementions_mentionereng,2a5f035da07196f6c2b86cecacbe70e6,basementions_mentionereng__2a5f035da07196f6c2b86cecacbe70e6
wrtv,WRTV,Exec,WRTV,,basementions_mentionereng,f633078b738b1e343fb07efb3a56c07f,basementions_mentionereng__f633078b738b1e343fb07efb3a56c07f
kccinews,KCCI,IndustryTerm,KCCI,,basementions_mentionereng,69a5dcc47a23c8be89effbbdd671e6f0,basementions_mentionereng__69a5dcc47a23c8be89effbbdd671e6f0
weartv,WEAR-TV,Shipping,WEAR-TV,,basementions_mentionereng,93e3f0661926cb39487dcb86138861ed,basementions_mentionereng__93e3f0661926cb39487dcb86138861ed
adndotcom,Anchorage Daily News,Legislator,Anchorage Daily News,,basementions_mentionereng,e95fa763d6907d8606181436d573adb9,basementions_mentionereng__e95fa763d6907d8606181436d573adb9
wavy_news,WAVY-TV,Refinery,WAVY-TV,,basementions_mentionereng,04ce73a56bda99e814340db36cb43f91,basementions_mentionereng__04ce73a56bda99e814340db36cb43f91
thenewstribune,Tacoma News Tribune,LegislativeCommittee,Tacoma News Tribune,,basementions_mentionereng,a556f3001ef00d08e18e5cb76154b1dc,basementions_mentionereng__a556f3001ef00d08e18e5cb76154b1dc
arlnowdotcom,Arlington Now,News,Arlington Now,,basementions_mentionereng,4f08ef1e1797cfbcc97ab38bbd70fc2c,basementions_mentionereng__4f08ef1e1797cfbcc97ab38bbd70fc2c
wtop,WTOP,Consulates,WTOP,,basementions_mentionereng,cab9e2c6bf41b771ee8fe32f91a0e710,basementions_mentionereng__cab9e2c6bf41b771ee8fe32f91a0e710
burlcotimes,Burlington County Times,space,Burlington County Times,,basementions_mentionereng,b0e1b6e9679eec5fb59810baf28c526b,basementions_mentionereng__b0e1b6e9679eec5fb59810baf28c526b
jshoreonline,Jersey Shore Online,Media,Jersey Shore Online,,basementions_mentionereng,641412c187b832be6f53b0985f202062,basementions_mentionereng__641412c187b832be6f53b0985f202062
ldleader,Leesville Daily Leader,Diplomat,Leesville Daily Leader,,basementions_mentionereng,14cf53befea3cc6d125935afa91b4795,basementions_mentionereng__14cf53befea3cc6d125935afa91b4795
wlox,WLOX,IndustryTerm,WLOX,,basementions_mentionereng,bd99447341f120c83592d6d6d398e601,basementions_mentionereng__bd99447341f120c83592d6d6d398e601
kob4,KOB 4,Person,KOB 4,,basementions_mentionereng,36df4690bf5fb2c96a758af59be84a07,basementions_mentionereng__36df4690bf5fb2c96a758af59be84a07
katvnews,KATV,Pipeline,KATV,,basementions_mentionereng,484575f962937f4671b6c8e10c1c4788,basementions_mentionereng__484575f962937f4671b6c8e10c1c4788
abc15,ABC15,LegislativeCommittee,ABC15,,basementions_mentionereng,8f1c159c9f2a1ad901b2c88ef9c78dda,basementions_mentionereng__8f1c159c9f2a1ad901b2c88ef9c78dda
wfla,WFLA,LegislativeCommittee,WFLA,,basementions_mentionereng,ff25baf20bd8f33ea5308070594a9e3a,basementions_mentionereng__ff25baf20bd8f33ea5308070594a9e3a
krtv,KRTV,Consulates,KRTV,,basementions_mentionereng,8e26cdd2e25acca83c9858011fa4711d,basementions_mentionereng__8e26cdd2e25acca83c9858011fa4711d
pressenterprise,The Press-Enterprise,News,The Press-Enterprise,,basementions_mentionereng,433a3ec39a1f1a295f4810fcad097400,basementions_mentionereng__433a3ec39a1f1a295f4810fcad097400
wsfa12news,WFSA,Keyphrase,WFSA,,basementions_mentionereng,121061f532f2a815a31b017bb5d0cd30,basementions_mentionereng__121061f532f2a815a31b017bb5d0cd30
mcalesternews,McAlester News-Capital,Organization,McAlester News-Capital,,basementions_mentionereng,a5e0bef6f0c325f90241f72a7280d1aa,basementions_mentionereng__a5e0bef6f0c325f90241f72a7280d1aa
islandpacket,The Beaufort Gazette,Person,The Beaufort Gazette,,basementions_mentionereng,cbf3a2327969a2c03c8d4498131f198d,basementions_mentionereng__cbf3a2327969a2c03c8d4498131f198d
nbsunjournal,New Bern Sun Journal,space,New Bern Sun Journal,,basementions_mentionereng,c4e368e60e7de83ba12e671084103787,basementions_mentionereng__c4e368e60e7de83ba12e671084103787
nbcsandiego,NBC 7,Wells,NBC 7,,basementions_mentionereng,92ef64be4002121ed6d540e34a78cd3f,basementions_mentionereng__92ef64be4002121ed6d540e34a78cd3f
kyma11,KYMA,FTO,KYMA,,basementions_mentionereng,9f795661a4d58f1b2a1b7a0116e3b203,basementions_mentionereng__9f795661a4d58f1b2a1b7a0116e3b203
potomaclocal,Potomac Local News,FTO,Potomac Local News,,basementions_mentionereng,de27c042de3aded5d0a4236f598c2991,basementions_mentionereng__de27c042de3aded5d0a4236f598c2991
kcranews,KCRA,DiplomaticFacilities,KCRA,,basementions_mentionereng,da1aea76321fd1304ddda35ef57911eb,basementions_mentionereng__da1aea76321fd1304ddda35ef57911eb
baltimoresun,The Baltimore Sun,ForeignMinister,The Baltimore Sun,,basementions_mentionereng,d6cfdef90462bd5987e11b9e6ce27844,basementions_mentionereng__d6cfdef90462bd5987e11b9e6ce27844
wbaltv11,WBAL-TV,News,WBAL-TV,,basementions_mentionereng,300d0a1005a45e9ca48d43155a241c31,basementions_mentionereng__300d0a1005a45e9ca48d43155a241c31
wbaltv12,WBAL-TV,Legislator,WBAL-TV,,basementions_mentionereng,300d0a1005a45e9ca48d43155a241c31,basementions_mentionereng__300d0a1005a45e9ca48d43155a241c31
walbnews10,WALB,space,WALB,,basementions_mentionereng,fa28bf5243adc7d035ce44e4c7febfce,basementions_mentionereng__fa28bf5243adc7d035ce44e4c7febfce
nevadadailymail,Nevada Daily Mail,Legislator,Nevada Daily Mail,,basementions_mentionereng,5db2ab73ede576bc77d5fc3d1cb2f6b2,basementions_mentionereng__5db2ab73ede576bc77d5fc3d1cb2f6b2
brd_dispatch,Brainerd Dispatch,Refinery,Brainerd Dispatch,,basementions_mentionereng,5d4c7c5d1544957659d2841caf7e39d5,basementions_mentionereng__5d4c7c5d1544957659d2841caf7e39d5
fcn2go,First Coast News,Keyphrase,First Coast News,,basementions_mentionereng,e82ef05fbf5db8cee34de210a10bc5ab,basementions_mentionereng__e82ef05fbf5db8cee34de210a10bc5ab
13newsnow,13News Now,Keyphrase,13News Now,,basementions_mentionereng,7ec4b758987a481f6ece4c731dadf5d6,basementions_mentionereng__7ec4b758987a481f6ece4c731dadf5d6
fwbusinesspress,Fort Worth Business Press,CompanyKeyword,Fort Worth Business Press,,basementions_mentionereng,9b2cd0898d1a4e2aa3b45ff89c4c64e4,basementions_mentionereng__9b2cd0898d1a4e2aa3b45ff89c4c64e4
jaxdotcom,The Florida Times-Union,Refinery,The Florida Times-Union,,basementions_mentionereng,f9b8e6441c9c408e21e9fe324cc5ab76,basementions_mentionereng__f9b8e6441c9c408e21e9fe324cc5ab76
keysweekly,Florida Keys Weekly,IndustryTerm,Florida Keys Weekly,,basementions_mentionereng,f01d841429800b95ef316c8e46357ef7,basementions_mentionereng__f01d841429800b95ef316c8e46357ef7
meridianstar,The Meridian Star,ForeignMinistry,The Meridian Star,,basementions_mentionereng,6b3a2b21a35d77d2dc87ea4fd310d08d,basementions_mentionereng__6b3a2b21a35d77d2dc87ea4fd310d08d
pnj,Pensacola News Journal,AAEntity,Pensacola News Journal,,basementions_mentionereng,42cc1e6a88c8e8cbe8678241d5796476,basementions_mentionereng__42cc1e6a88c8e8cbe8678241d5796476
somdchronicle,The Southern Maryland Chronicle,Shipping,The Southern Maryland Chronicle,,basementions_mentionereng,6b87ffbb04ee2b86703c775b339c2494,basementions_mentionereng__6b87ffbb04ee2b86703c775b339c2494
nfdailynews,Northwest Florida Daily News,Wells,Northwest Florida Daily News,,basementions_mentionereng,470f65f849b3ff027dc5752adc8ceb8e,basementions_mentionereng__470f65f849b3ff027dc5752adc8ceb8e
whidbeynews,Whidbey News-Times,Media,Whidbey News-Times,,basementions_mentionereng,adf68780a19d9a70e04ec4a2736f4d57,basementions_mentionereng__adf68780a19d9a70e04ec4a2736f4d57
metrowestdaily,MetroWest Daily News,LegislativeCommittee,MetroWest Daily News,,basementions_mentionereng,74f1bcabf2b96ebd2ec326c2b7241cd8,basementions_mentionereng__74f1bcabf2b96ebd2ec326c2b7241cd8
wxxv25,WXXV News 25,IndustryTerm,WXXV News 25,,basementions_mentionereng,67dbf2168c7522734ecff90fcdb27ef8,basementions_mentionereng__67dbf2168c7522734ecff90fcdb27ef8
kitsapsun,Kitsap Sun,FTO,Kitsap Sun,,basementions_mentionereng,c6b464b777583c2c07f06c9f8e2c263c,basementions_mentionereng__c6b464b777583c2c07f06c9f8e2c263c
myeverettnews,My Everett News,Legislator,My Everett News,,basementions_mentionereng,939cd02a9206dfeac4b309eecc24113a,basementions_mentionereng__939cd02a9206dfeac4b309eecc24113a
wbiw,WBIW,FTO,WBIW,,basementions_mentionereng,6605faf0cb16bd37dbfdb3e93899e53b,basementions_mentionereng__6605faf0cb16bd37dbfdb3e93899e53b
dailyherald,Daily Herald,Shipping,Daily Herald,,basementions_mentionereng,41a855389954e3773a7d6799b3a9b1fe,basementions_mentionereng__41a855389954e3773a7d6799b3a9b1fe
thenewportdaily,The Newport Daily News,ForeignMinister,The Newport Daily News,,basementions_mentionereng,b8bfbe7ba628a2aa481e3fc4d256165c,basementions_mentionereng__b8bfbe7ba628a2aa481e3fc4d256165c
kpbsnews,kpbs,Exec,kpbs,,basementions_mentionereng,6525793dccc07fb25930668e0fd89cbb,basementions_mentionereng__6525793dccc07fb25930668e0fd89cbb
civilbeat,Honolulu Civil Beat,AAEntity,Honolulu Civil Beat,,basementions_mentionereng,25182abefd25402f510782cef3604e91,basementions_mentionereng__25182abefd25402f510782cef3604e91
postandcourier,The Post and Courier,Legislator,The Post and Courier,,basementions_mentionereng,d7ae0773aa638b0c4a5a6b0f90ae505c,basementions_mentionereng__d7ae0773aa638b0c4a5a6b0f90ae505c
jaxdailyrecord,Jacksonville Daily Record,LegislativeCommittee,Jacksonville Daily Record,,basementions_mentionereng,2705468efe147357db3b86f7bb39bdf9,basementions_mentionereng__2705468efe147357db3b86f7bb39bdf9
virginianpilot,The Virginian Pilot,Media,The Virginian Pilot,,basementions_mentionereng,75f7c6bbc68df89b3c0d53c256b2e3ec,basementions_mentionereng__75f7c6bbc68df89b3c0d53c256b2e3ec
orlandosentinel,Orlando Sentinel,Legislator,Orlando Sentinel,,basementions_mentionereng,a73474df2e6abd3b6f2da13d958c9ac4,basementions_mentionereng__a73474df2e6abd3b6f2da13d958c9ac4
wjhg-tv,WJHG,CompanyKeyword,WJHG,,basementions_mentionereng,24dfec10dd57778a1ea9906a55e34042,basementions_mentionereng__24dfec10dd57778a1ea9906a55e34042
brunswick_news,The Brunswick News,IndustryTerm,The Brunswick News,,basementions_mentionereng,a60859d0f271c2dee8b0458d1dbe2e53,basementions_mentionereng__a60859d0f271c2dee8b0458d1dbe2e53
