keyword,caption_name,guid,groups,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
advanced info service public company hq,Advanced Info Service Public Company  headquarters,59e76a8ea236d666a9ee43458219b190,,AAEntity,Advanced Info Service Public Company  headquarters,,dgm_corp_hq,d76d6222a7f5a302f48f22509dd728fd,dgm_corp_hq__d76d6222a7f5a302f48f22509dd728fd
advanced micro devices hq,Advanced Micro Devices headquarters,0a35837255a92fa6950dd8c35bf2eede,,News,Advanced Micro Devices headquarters,,dgm_corp_hq,893e86aca6f6d5b4e68e1da82c941d8a,dgm_corp_hq__893e86aca6f6d5b4e68e1da82c941d8a
aecom hq,AECOM headquarters,c57aa05854c32433f5c7c05412f6ea42,,Legislator,AECOM headquarters,,dgm_corp_hq,7fbd2a3537357fd47295b3d290c5612c,dgm_corp_hq__7fbd2a3537357fd47295b3d290c5612c
aegon hq,Aegon N.V. headquarters,78b65ee23897039e759b1c3b1b21df06,,Person,Aegon N.V. headquarters,,dgm_corp_hq,e08e6070286cc482929d5afe7e7bc137,dgm_corp_hq__e08e6070286cc482929d5afe7e7bc137
aeon hq,AEON Co. headquarters,c68ebcb5caa13d0c65906bf8c3365d61,,Keyphrase,AEON Co. headquarters,,dgm_corp_hq,f8cc9bbdade81ce388db442c3dfa8df2,dgm_corp_hq__f8cc9bbdade81ce388db442c3dfa8df2
agco corporation hq,AGCO Corporation headquarters,154fafb538d72b697312eb76efdfc81a,,Keyphrase,AGCO Corporation headquarters,,dgm_corp_hq,eb85b4fef835f0cd16c6fc931d2c2ae2,dgm_corp_hq__eb85b4fef835f0cd16c6fc931d2c2ae2
ageas sa/nv hq,ageas SA/NV headquarters,09b46cba78aab44f7ecd45240e41b4b4,,LegislativeCommittee,ageas SA/NV headquarters,,dgm_corp_hq,ced3cdc4bd6c6280f46189f13dbfff37,dgm_corp_hq__ced3cdc4bd6c6280f46189f13dbfff37
agile group holdings hq,Agile Group Holdings headquarters,b4f913af57637ce18a57942d3a7956e0,,ForeignMinister,Agile Group Holdings headquarters,,dgm_corp_hq,1a15c56c138bceefc59a992be0f86ac9,dgm_corp_hq__1a15c56c138bceefc59a992be0f86ac9
agilent technologies hq,Agilent Technologies headquarters,ae19beeb0ab50de59aae6e45eba04be3,,Media,Agilent Technologies headquarters,,dgm_corp_hq,8026032a8d305230c0d28c2bac055d3c,dgm_corp_hq__8026032a8d305230c0d28c2bac055d3c
agility logistics hq,Agility Logistics headquarters,785f6e9ebb78658be56aeb5db90fdcfc,,Wells,Agility Logistics headquarters,,dgm_corp_hq,0590c5be78095da24563a2c763c80ad5,dgm_corp_hq__0590c5be78095da24563a2c763c80ad5
agl energy hq,AGL Energy headquarters,67f219a6e5105c2ae1aed20af7beed9f,,ForeignMinistry,AGL Energy headquarters,,dgm_corp_hq,6ef84f4f1ab73ebe483784a097068ab5,dgm_corp_hq__6ef84f4f1ab73ebe483784a097068ab5
agricultural bank of china limited hq,Agricultural Bank of China Limited headquarters,d35a51746b7b3b9cda51de9371b3691d,,Pipeline,Agricultural Bank of China Limited headquarters,,dgm_corp_hq,1bb6307e4585bc7b10d8553321998b92,dgm_corp_hq__1bb6307e4585bc7b10d8553321998b92
aia group hq,AIA Group headquarters,ac95be27881d853fa7181cca8a24761e,,Wells,AIA Group headquarters,,dgm_corp_hq,589b523fb64e6086f823a4c7d091c660,dgm_corp_hq__589b523fb64e6086f823a4c7d091c660
air china hq,Air China headquarters,620dc4695eba043a66fa1f6d4b9e9d1d,,Shipping,Air China headquarters,,dgm_corp_hq,c84c3825336996047b993c74600d0091,dgm_corp_hq__c84c3825336996047b993c74600d0091
air france-klm hq,Air France-KLM headquarters,1cf2f7e80f9c5ee307218377c7597ae9,,ForeignMinistry,Air France-KLM headquarters,,dgm_corp_hq,08431d92df149b0a80342cc0a5ef1211,dgm_corp_hq__08431d92df149b0a80342cc0a5ef1211
air liquide group hq,Air Liquide Group headquarters,243219158ce7875a0c3968c8a8f1480b,,Exec,Air Liquide Group headquarters,,dgm_corp_hq,f84d6230e5456e1c7e2cdb2bf7e554d9,dgm_corp_hq__f84d6230e5456e1c7e2cdb2bf7e554d9
air products & chemicals hq,Air Products & Chemicals headquarters,16663054d4cf729ade9087e03c647c89,,Organization,Air Products & Chemicals headquarters,,dgm_corp_hq,948b0b77f60b98b548d30ee39a191c70,dgm_corp_hq__948b0b77f60b98b548d30ee39a191c70
aisin hq,Aisin headquarters,75a2edbede68a28e975942c58a95e84a,,LegislativeCommittee,Aisin headquarters,,dgm_corp_hq,cd0c263f7aaf20be131b75e0626840ae,dgm_corp_hq__cd0c263f7aaf20be131b75e0626840ae
ajinomoto hq,Ajinomoto headquarters,66c9a8096cbab301d96d37e05641365e,,ForeignMinistry,Ajinomoto headquarters,,dgm_corp_hq,1bc5e6f53367d2a0d3758bc11e475427,dgm_corp_hq__1bc5e6f53367d2a0d3758bc11e475427
akzo nobel hq,Akzo Nobel  headquarters,c7978694ea0156ef9a031616b80c405a,,LegislativeCommittee,Akzo Nobel  headquarters,,dgm_corp_hq,0d5b0fffde2f2b9feaa5541900bac95e,dgm_corp_hq__0d5b0fffde2f2b9feaa5541900bac95e
ald automotive hq,ALD Automotive headquarters,522bff33ebf754d403009b3444efc3c0,,Consulates,ALD Automotive headquarters,,dgm_corp_hq,ff2503966b88c97c4747cafcaf85f48e,dgm_corp_hq__ff2503966b88c97c4747cafcaf85f48e
alexion pharmaceuticals hq,Alexion Pharmaceuticals headquarters,0561c22457ce25c15c5251b4100d79e7,,AAEntity,Alexion Pharmaceuticals headquarters,,dgm_corp_hq,4f1f9270064df1647f915066b4dfbade,dgm_corp_hq__4f1f9270064df1647f915066b4dfbade
alfa laval hq,Alfa Laval headquarters,74baa8bf21a62daf5fed911a231d1572,,DiplomaticFacilities,Alfa Laval headquarters,,dgm_corp_hq,2644f66dafc591d6de1754c7bef08233,dgm_corp_hq__2644f66dafc591d6de1754c7bef08233
alfresa holdings corporation hq,Alfresa Holdings Corporation headquarters,be7f7ab3787cc67acee8e7e4fbbbea3f,,CompanyKeyword,Alfresa Holdings Corporation headquarters,,dgm_corp_hq,c57bd6ebe3c04e6722000ac8d44ebf2c,dgm_corp_hq__c57bd6ebe3c04e6722000ac8d44ebf2c
alibaba group holding hq,Alibaba Group Holding headquarters,9bd32051d5285fda29726490330c9852,,Keyphrase,Alibaba Group Holding headquarters,,dgm_corp_hq,190e06d658331b043e62c50fbbc37c5e,dgm_corp_hq__190e06d658331b043e62c50fbbc37c5e
alibaba group holding limited hq,Alibaba Group Holding Limited headquarters,9bd32051d5285fda29726490330c9852,,AAEntity,Alibaba Group Holding Limited headquarters,,dgm_corp_hq,a41dd9365b1b2b73f788a986ed8d67e7,dgm_corp_hq__a41dd9365b1b2b73f788a986ed8d67e7
alimentation couche-tard hq,Alimentation Couche-Tard headquarters,3408b17ceb0fb1c337538dbee772f2fd,,Legislator,Alimentation Couche-Tard headquarters,,dgm_corp_hq,c6ab0ad55a95039ce68e2214eaafa144,dgm_corp_hq__c6ab0ad55a95039ce68e2214eaafa144
alleghany corporation hq,Alleghany Corporation headquarters,037f6fd4bcfeb6e41cf30d7fe3ea842d,,Shipping,Alleghany Corporation headquarters,,dgm_corp_hq,6df0c2aee169024d75f8e9d1f0ba1697,dgm_corp_hq__6df0c2aee169024d75f8e9d1f0ba1697
allegis group hq,Allegis Group headquarters,2b980febdf7d96a5464d1926d16fb791,,Shipping,Allegis Group headquarters,,dgm_corp_hq,ffde2b0c31cc17934ff3b03e72b9d045,dgm_corp_hq__ffde2b0c31cc17934ff3b03e72b9d045
allianz se hq,Allianz SE headquarters,ad3cd25d3eb6797f8526831f7b515906,,DiplomaticFacilities,Allianz SE headquarters,,dgm_corp_hq,378a0f5fcd645a78a0b9e66a04930c9b,dgm_corp_hq__378a0f5fcd645a78a0b9e66a04930c9b
alpek hq,ALPEK headquarters,a3203fd751c335491efcd35a21bfe940,,Legislator,ALPEK headquarters,,dgm_corp_hq,f246e2943bb3ac6ae66db27bf94f896a,dgm_corp_hq__f246e2943bb3ac6ae66db27bf94f896a
alps electric hq,Alps Electric headquarters,c178265247f0c3025aef56be10a373f6,,ForeignMinister,Alps Electric headquarters,,dgm_corp_hq,41c243ad9afddfda2a19678111f91dab,dgm_corp_hq__41c243ad9afddfda2a19678111f91dab
also holding ag hq,ALSO Holding AG headquarters,cd798a526921212e3413b2c10675ff0a,,IndustryTerm,ALSO Holding AG headquarters,,dgm_corp_hq,4d5f86e0c134c0f7ea6f2f63f695fd28,dgm_corp_hq__4d5f86e0c134c0f7ea6f2f63f695fd28
alstom hq,ALSTOM headquarters,6183e73cf16568fef1f5da8bc493ca97,,AAEntity,ALSTOM headquarters,,dgm_corp_hq,e59d73ae83ffa14af9e9ce082c4bd32f,dgm_corp_hq__e59d73ae83ffa14af9e9ce082c4bd32f
altice usa hq,Altice USA headquarters,345ba5437ab85711e48326c42d053248,,Keyphrase,Altice USA headquarters,,dgm_corp_hq,fb9a043998d78454f6e02c8b984e1cc2,dgm_corp_hq__fb9a043998d78454f6e02c8b984e1cc2
aluminum corporation of china hq,Aluminum Corporation of China headquarters,79713b3be33d1aa034c1003abe8db01a,,DiplomaticFacilities,Aluminum Corporation of China headquarters,,dgm_corp_hq,1fee86ec2135f7661137f76050f949a2,dgm_corp_hq__1fee86ec2135f7661137f76050f949a2
ambev s.a. hq,Ambev S.A. headquarters,5bea6e034190b9154176bac48302897d,,Keyphrase,Ambev S.A. headquarters,,dgm_corp_hq,e15b7ce55d5de1d125dbb69b8449ecbc,dgm_corp_hq__e15b7ce55d5de1d125dbb69b8449ecbc
amcor plc hq,Amcor Plc headquarters,3dd1b8a1c1cb34af40294ef220ce616a,,Media,Amcor Plc headquarters,,dgm_corp_hq,17c957423fef52c9636b2c854ac416a2,dgm_corp_hq__17c957423fef52c9636b2c854ac416a2
ameren corporation hq,Ameren Corporation headquarters,32fed059996069e111a2684ac3c0ce06,,ForeignMinister,Ameren Corporation headquarters,,dgm_corp_hq,ffa66334358c71381f7383d86658bf62,dgm_corp_hq__ffa66334358c71381f7383d86658bf62
américa móvil hq,América Móvil headquarters,e555c613094c368b3d64e99253edd1d9,,AAEntity,América Móvil headquarters,,dgm_corp_hq,56c6e35c522f43d00b419d31cfa93645,dgm_corp_hq__56c6e35c522f43d00b419d31cfa93645
american financial group hq,American Financial Group headquarters,c0e11213e8c6a4d61a06f67c0c13418b,,Exec,American Financial Group headquarters,,dgm_corp_hq,935526961ed39e4a84ab9327d4bf0ac4,dgm_corp_hq__935526961ed39e4a84ab9327d4bf0ac4
ameriprise financial hq,Ameriprise Financial headquarters,c2f3679e60b94f139011aef4ca376ca5,,AAEntity,Ameriprise Financial headquarters,,dgm_corp_hq,5dbd648700fa6052bbd268fe6eeb7339,dgm_corp_hq__5dbd648700fa6052bbd268fe6eeb7339
amerisourcebergen hq,AmerisourceBergen headquarters,02bb70447de9693f04485333ef4b4798,,Media,AmerisourceBergen headquarters,,dgm_corp_hq,9dfadd1d3bac82c60396fb93769e3a3c,dgm_corp_hq__9dfadd1d3bac82c60396fb93769e3a3c
amkor technology hq,Amkor Technology headquarters,46b09e07bd38caf62d111ca9cad62553,,Refinery,Amkor Technology headquarters,,dgm_corp_hq,94ca2f108ba51a65f9481b27865c4e85,dgm_corp_hq__94ca2f108ba51a65f9481b27865c4e85
amkor technology korea hq,Amkor Technology Korea headquarters,46b09e07bd38caf62d111ca9cad62553,,Person,Amkor Technology Korea headquarters,,dgm_corp_hq,f5b541fa56fa7dcb5df42aac018ae8f6,dgm_corp_hq__f5b541fa56fa7dcb5df42aac018ae8f6
amphenol hq,Amphenol headquarters,4bf6a2247101bfb8e509e7e9d72fdf88,,FTO,Amphenol headquarters,,dgm_corp_hq,64ccb1bbd874a251535d666662c24097,dgm_corp_hq__64ccb1bbd874a251535d666662c24097
amtrust financial hq,AmTrust Financial headquarters,72d9e66bee96c38cded2aac7d916cb50,,Organization,AmTrust Financial headquarters,,dgm_corp_hq,5836a52953312d678224f4b84e990a6f,dgm_corp_hq__5836a52953312d678224f4b84e990a6f
ana holdings hq,ANA Holdings headquarters,8032f944a8cffc70d052bc28447132ff,,LegislativeCommittee,ANA Holdings headquarters,,dgm_corp_hq,0001d7c936609ce64e2b5c61b1953caf,dgm_corp_hq__0001d7c936609ce64e2b5c61b1953caf
anadolu grubu hq,Anadolu Grubu headquarters,b244d7c63695056405bb17c5660bdb45,,FTO,Anadolu Grubu headquarters,,dgm_corp_hq,82962d7fc5e93c0731eb382a5b8e6331,dgm_corp_hq__82962d7fc5e93c0731eb382a5b8e6331
analog devices hq,Analog Devices headquarters,f44897f85f40b6f4782195431f1d0d3e,,Organization,Analog Devices headquarters,,dgm_corp_hq,6deb773a3116c13943eb3e522fd58e19,dgm_corp_hq__6deb773a3116c13943eb3e522fd58e19
andritz ag hq,Andritz AG headquarters,6848b0d4264f1478232b98f40005d5d3,,Refinery,Andritz AG headquarters,,dgm_corp_hq,c596d0fa185c7fb14152dcd7ebb20681,dgm_corp_hq__c596d0fa185c7fb14152dcd7ebb20681
angang steel company hq,Angang Steel Company headquarters,84fecdefa8c2b8bde0228e40f80c85f6,,space,Angang Steel Company headquarters,,dgm_corp_hq,bb4b4a934dfee3f1b6d91a4684316607,dgm_corp_hq__bb4b4a934dfee3f1b6d91a4684316607
anglo american platinum hq,Anglo American Platinum headquarters,bf042a9b8601a93e9bc636c288d89d69,,Refinery,Anglo American Platinum headquarters,,dgm_corp_hq,1b252406fe81002442211b5f01f9a0f6,dgm_corp_hq__1b252406fe81002442211b5f01f9a0f6
anhui conch cement hq,Anhui Conch Cement headquarters,be477638c95f2e592d4d0511724de61c,,Keyphrase,Anhui Conch Cement headquarters,,dgm_corp_hq,50f58c7fc11661916708add33709b93c,dgm_corp_hq__50f58c7fc11661916708add33709b93c
anhui construction hq,Anhui Construction headquarters,f9802d5b943657fbc500e64e00c7d9f6,,FTO,Anhui Construction headquarters,,dgm_corp_hq,3b370d1f0eefdb5473404de93fec646f,dgm_corp_hq__3b370d1f0eefdb5473404de93fec646f
anhui jianghuai automobile group hq,Anhui Jianghuai Automobile Group headquarters,2a2944dad1ff6fe34d19808660f0d50e,,News,Anhui Jianghuai Automobile Group headquarters,,dgm_corp_hq,f6bf31312e32152811a740cfcca0eb4b,dgm_corp_hq__f6bf31312e32152811a740cfcca0eb4b
anhui new hope feedstuff hq,Anhui New Hope Feedstuff headquarters,522e5f588263876f569c540d15621da4,,CompanyKeyword,Anhui New Hope Feedstuff headquarters,,dgm_corp_hq,2f1d803f1360c2b2db5091e56a2bcc04,dgm_corp_hq__2f1d803f1360c2b2db5091e56a2bcc04
anl container line hq,ANL headquarters,ac045283a6a6914fa8e99e8fa62ce820,,Keyphrase,ANL headquarters,,dgm_corp_hq,26421b1e537b48742897fcfe1307e787,dgm_corp_hq__26421b1e537b48742897fcfe1307e787
anta sports products hq,ANTA Sports Products headquarters,dbcf2498d02077f53a2c61a576a6bf8f,,LegislativeCommittee,ANTA Sports Products headquarters,,dgm_corp_hq,986907fa5542ddcadaee4d8e82220640,dgm_corp_hq__986907fa5542ddcadaee4d8e82220640
antarchile hq,AntarChile headquarters,5b9f7a246ade3ffa9cb390f76debc76e,,LegislativeCommittee,AntarChile headquarters,,dgm_corp_hq,e05d41bbfee12f362c5c876d52bc1572,dgm_corp_hq__e05d41bbfee12f362c5c876d52bc1572
antofagasta hq,Antofagasta headquarters,ee9654b1acccd3876b94168e0aa7a162,,Refinery,Antofagasta headquarters,,dgm_corp_hq,4d58932d27e846319c6955a2605302c5,dgm_corp_hq__4d58932d27e846319c6955a2605302c5
aon plc hq,Aon plc headquarters,539ee201f02e26d3e1a3256b052b7cd0,,Consulates,Aon plc headquarters,,dgm_corp_hq,8602fa82be8233fe53d3b9002c33e5d8,dgm_corp_hq__8602fa82be8233fe53d3b9002c33e5d8
american president lines hq,APL headquarters,82867b9bb853aba8652e16787275d802,,Exec,APL headquarters,,dgm_corp_hq,a8a89a8a0b968d6f083cf4282d78eefb,dgm_corp_hq__a8a89a8a0b968d6f083cf4282d78eefb
apl logistics hq,APL Logistics headquarters,5d78878bc9608c7b8f69407b1d264d56,,CompanyKeyword,APL Logistics headquarters,,dgm_corp_hq,beb2b82c905534521b651b2fe3838fca,dgm_corp_hq__beb2b82c905534521b651b2fe3838fca
applied materials hq,Applied Materials headquarters,aeffb8b4c91e2e01eab6b28143fdc489,,Shipping,Applied Materials headquarters,,dgm_corp_hq,dca6fab6a4152386152ccff9cd97b6bc,dgm_corp_hq__dca6fab6a4152386152ccff9cd97b6bc
aptiv plc hq,Aptiv PLC headquarters,b17d0cafae00339c66ccbd005d34df85,,DiplomaticFacilities,Aptiv PLC headquarters,,dgm_corp_hq,3f1da2e461aec8817665e336c0970ea9,dgm_corp_hq__3f1da2e461aec8817665e336c0970ea9
arata hq,Arata headquarters,c21d786911b45ab32364e1167cafcf82,,Consulates,Arata headquarters,,dgm_corp_hq,d500f1f804e62c5877ab36c1c217a002,dgm_corp_hq__d500f1f804e62c5877ab36c1c217a002
arca continental hq,Arca Continental headquarters,fdcea8537e54efc9de91f3c600f8cb74,,ForeignMinister,Arca Continental headquarters,,dgm_corp_hq,27020848b967a6a6bab2d06864d03f00,dgm_corp_hq__27020848b967a6a6bab2d06864d03f00
arçelik anonim sirketi hq,Arçelik Anonim Sirketi headquarters,9552dbb9e40f091353370bd1aff1c646,,Refinery,Arçelik Anonim Sirketi headquarters,,dgm_corp_hq,1f09088213a12caa0edec690b9c5818f,dgm_corp_hq__1f09088213a12caa0edec690b9c5818f
arcelormittal hq,ArcelorMittal headquarters,e58d722dda029844311aa43ebd535409,,Diplomat,ArcelorMittal headquarters,,dgm_corp_hq,e5a94743db3a3b9dfe1999cb70c805f8,dgm_corp_hq__e5a94743db3a3b9dfe1999cb70c805f8
arch capital group hq,Arch Capital Group headquarters,393c3080bf18b12408546170e7d29377,,FTO,Arch Capital Group headquarters,,dgm_corp_hq,e771b846253bcd30869054e54e1065fd,dgm_corp_hq__e771b846253bcd30869054e54e1065fd
archer-daniels-midland hq,Archer-Daniels-Midland headquarters,b77236a889ac01314f318337ee2f9524,,IndustryTerm,Archer-Daniels-Midland headquarters,,dgm_corp_hq,c2b05fec9c892ad7d159fecb3a77890f,dgm_corp_hq__c2b05fec9c892ad7d159fecb3a77890f
arconic corporation hq,Arconic Corporation headquarters,325a917d2233a157964ac67d5e9ba086,,Consulates,Arconic Corporation headquarters,,dgm_corp_hq,c290e69ab4cc2f48ec3abdd6cf0dc74e,dgm_corp_hq__c290e69ab4cc2f48ec3abdd6cf0dc74e
ardagh group hq,Ardagh Group headquarters,2353425f4e591525f60942edc39c9da6,,ForeignMinister,Ardagh Group headquarters,,dgm_corp_hq,1e7d2a1014cb35073136e7960d890465,dgm_corp_hq__1e7d2a1014cb35073136e7960d890465
arkema s.a. hq,Arkema S.A. headquarters,3a7d11c19bab4d0da5d8bb4bfb177373,,News,Arkema S.A. headquarters,,dgm_corp_hq,660600e7750549066fd122b17ff7eab9,dgm_corp_hq__660600e7750549066fd122b17ff7eab9
armour transportation systems hq,Armour Transportation Systems headquarters,a4c5e0598d7ac81d51f81484c2ad406d,,Diplomat,Armour Transportation Systems headquarters,,dgm_corp_hq,73b34d772be9d609d48fabc2ede57818,dgm_corp_hq__73b34d772be9d609d48fabc2ede57818
arrow bulk logistics hq,Arrow Bulk Logistics headquarters,750d15cbeaddba7cb9e719c787e06de9,,Media,Arrow Bulk Logistics headquarters,,dgm_corp_hq,1bf98be89882667d96b168f426f77973,dgm_corp_hq__1bf98be89882667d96b168f426f77973
arrow electronics hq,Arrow Electronics headquarters,68a10d9e2ce5fb4108cd7cddb2e7a0e3,,Organization,Arrow Electronics headquarters,,dgm_corp_hq,eeaa39a59f5fc9244111e88596dd6b71,dgm_corp_hq__eeaa39a59f5fc9244111e88596dd6b71
arthur j. gallagher hq,Arthur J. Gallagher headquarters,2526091c824ade6d5f9cd4fe687ebc6e,,Refinery,Arthur J. Gallagher headquarters,,dgm_corp_hq,8ab5ec4c40c2d26fca610597b241e393,dgm_corp_hq__8ab5ec4c40c2d26fca610597b241e393
asahi hq,Asahi headquarters,56544024f3f269d900bedc4da61d1985,,Refinery,Asahi headquarters,,dgm_corp_hq,d263da338f563ec3917396ceb64360e9,dgm_corp_hq__d263da338f563ec3917396ceb64360e9
asahi kasei hq,Asahi Kasei headquarters,24ded54ff5758610e6c531a5664cc3ae,,Exec,Asahi Kasei headquarters,,dgm_corp_hq,1a42189905e1ba1c2eb2d3707824b6e6,dgm_corp_hq__1a42189905e1ba1c2eb2d3707824b6e6
asbury automotive group hq,Asbury Automotive Group headquarters,0dfe20d6ac9a9bf218cc2d6f883dd120,,News,Asbury Automotive Group headquarters,,dgm_corp_hq,574d59e5841a6d3d64b962de2d9575c1,dgm_corp_hq__574d59e5841a6d3d64b962de2d9575c1
ase group hq,ASE Group headquarters,c15f9d789b3fbe56e871e56284ae007e,,Shipping,ASE Group headquarters,,dgm_corp_hq,d61951f51bf2e3c3f80c636972e5384d,dgm_corp_hq__d61951f51bf2e3c3f80c636972e5384d
ashtead group hq,Ashtead Group headquarters,fdfc21aa49c86a555e75dc9698f8b056,,Wells,Ashtead Group headquarters,,dgm_corp_hq,71dd8e1aaf0d172dd25f9fe221423578,dgm_corp_hq__71dd8e1aaf0d172dd25f9fe221423578
asml holding hq,ASML Holding headquarters,b5ca50d4217b9705a0586275d97ce835,,Shipping,ASML Holding headquarters,,dgm_corp_hq,12e9bdf30d69db111254d0b6cc5332e1,dgm_corp_hq__12e9bdf30d69db111254d0b6cc5332e1
asos hq,ASOS headquarters,c5ae05d9ff4236ac8451664f55214734,,FTO,ASOS headquarters,,dgm_corp_hq,e7cc93c4e6b6f7f98eae4f03885b3184,dgm_corp_hq__e7cc93c4e6b6f7f98eae4f03885b3184
asr nederland hq,ASR Nederland headquarters,b166b9535e02a9a324874fe508a746ef,,DiplomaticFacilities,ASR Nederland headquarters,,dgm_corp_hq,98b1a22632b6133ab29a141d3628c882,dgm_corp_hq__98b1a22632b6133ab29a141d3628c882
assa abloy hq,Assa Abloy headquarters,5135b435275de95161c3a89aef0e8d90,,Diplomat,Assa Abloy headquarters,,dgm_corp_hq,c0a90970f0874c4278b772bab06b6a01,dgm_corp_hq__c0a90970f0874c4278b772bab06b6a01
assai atacadista hq,Assai Atacadista headquarters,,,LegislativeCommittee,Assai Atacadista headquarters,,dgm_corp_hq,775b7e4c32d45843337d8cbef09a35cb,dgm_corp_hq__775b7e4c32d45843337d8cbef09a35cb
"assicurazioni generali, s.p.a. hq","Assicurazioni Generali, S.p.A. headquarters",b5e38f7e6aac00f8ecf77277c3fa8d58,,DiplomaticFacilities,"Assicurazioni Generali, S.p.A. headquarters",,dgm_corp_hq,2b320f40b93a093681e335c32b96d2b3,dgm_corp_hq__2b320f40b93a093681e335c32b96d2b3
associated british foods hq,Associated British Foods headquarters,ac50819707cc17bd524b62a17e0db6c9,,DiplomaticFacilities,Associated British Foods headquarters,,dgm_corp_hq,6439805d8d1facd3912b338ca3d5d9d0,dgm_corp_hq__6439805d8d1facd3912b338ca3d5d9d0
assurant hq,Assurant headquarters,1fdf9d6ce915248a2708f454e88b8fda,,Legislator,Assurant headquarters,,dgm_corp_hq,c9a54b98885fe2dc5c95f40aef99889d,dgm_corp_hq__c9a54b98885fe2dc5c95f40aef99889d
