keyword,caption_name,priority,topic_id,threshold,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
(public; safety; forum),Public safety forum,2,188120,general.alert5,Media,Public safety forum,,burbio_events,6e745fa9106b24dd2231cb46b61ad903,burbio_events__6e745fa9106b24dd2231cb46b61ad903
(economic; development; board),Economic development board meeting,2,188120,general.alert5,IndustryTerm,Economic development board meeting,,burbio_events,a117dc1cc20b65ef6c031c4f7277c84a,burbio_events__a117dc1cc20b65ef6c031c4f7277c84a
(economic; development; meeting),Economic development meeting,3,188120,general.alert5,DiplomaticFacilities,Economic development meeting,,burbio_events,41ff4ebf55ef00754898cc0f63b28706,burbio_events__41ff4ebf55ef00754898cc0f63b28706
(economic; development; committee),Economic development committee meeting,2,188120,general.alert5,AAEntity,Economic development committee meeting,,burbio_events,0496ef42be146301bf47032ee9c822ce,burbio_events__0496ef42be146301bf47032ee9c822ce
(economic; development; commission),Economic development commission meeting,2,188120,general.alert5,Diplomat,Economic development commission meeting,,burbio_events,bbc5ec5e21247543b3bf758e1ef749a5,burbio_events__bbc5ec5e21247543b3bf758e1ef749a5
(economic; development; authority),Economic development authority meeting,2,188120,general.alert5,IndustryTerm,Economic development authority meeting,,burbio_events,7990458b2dcc3fbfcaccdd6752c3936f,burbio_events__7990458b2dcc3fbfcaccdd6752c3936f
(economic; development; forum),Economic development forum,2,188120,general.alert5,Exec,Economic development forum,,burbio_events,c07cf18786f196b73483621706afdeb3,burbio_events__c07cf18786f196b73483621706afdeb3
(redevelopment; board),Redevelopment board meeting,2,188120,general.alert5,Pipeline,Redevelopment board meeting,,burbio_events,9723f1255818d69f6db0b9a078a96b41,burbio_events__9723f1255818d69f6db0b9a078a96b41
(redevelopment; meeting),Redevelopment meeting,3,188120,general.alert5,CompanyKeyword,Redevelopment meeting,,burbio_events,2187823ca6bd5943eba75cc757ca7f51,burbio_events__2187823ca6bd5943eba75cc757ca7f51
(redevelopment; committee),Redevelopment committee meeting,2,188120,general.alert5,LegislativeCommittee,Redevelopment committee meeting,,burbio_events,aa51759b9ce5adb5aa71fb53edd08536,burbio_events__aa51759b9ce5adb5aa71fb53edd08536
(redevelopment; commission),Redevelopment commission meeting,2,188120,general.alert5,DiplomaticFacilities,Redevelopment commission meeting,,burbio_events,9daa0fcef64f6a7b6ccbe60e950f08d0,burbio_events__9daa0fcef64f6a7b6ccbe60e950f08d0
(redevelopment; authority),Redevelopment authority meeting,2,188120,general.alert5,IndustryTerm,Redevelopment authority meeting,,burbio_events,fe9bf71c24777f99ca14be8964dbb08d,burbio_events__fe9bf71c24777f99ca14be8964dbb08d
(redevelopment; forum),Redevelopment forum,2,188120,general.alert5,Shipping,Redevelopment forum,,burbio_events,30b21ec16be640f533e72e11063e22da,burbio_events__30b21ec16be640f533e72e11063e22da
(municipal; court),Municipal court session,2,188120,general.alert5,FTO,Municipal court session,,burbio_events,91e1693d3151695c1526a03a8d4e1605,burbio_events__91e1693d3151695c1526a03a8d4e1605
(advisory; board),Advisory board meeting,2,188120,general.alert5,space,Advisory board meeting,,burbio_events,c7d6c77dd5688cf513d7e282d3a2dbd3,burbio_events__c7d6c77dd5688cf513d7e282d3a2dbd3
(advisory; meeting),Advisory meeting,3,188120,general.alert5,Refinery,Advisory meeting,,burbio_events,960b5f93c45972f0dc402139f2ff1b46,burbio_events__960b5f93c45972f0dc402139f2ff1b46
(advisory; committee),Advisory committee meeting,2,188120,general.alert5,Legislator,Advisory committee meeting,,burbio_events,328e2449430c9d9fc265b92febdac8e1,burbio_events__328e2449430c9d9fc265b92febdac8e1
(advisory; commission),Advisory commission meeting,2,188120,general.alert5,FTO,Advisory commission meeting,,burbio_events,1301a404f89fc926541b5ab917fdf42c,burbio_events__1301a404f89fc926541b5ab917fdf42c
(advisory; authority),Advisory authority meeting,2,188120,general.alert5,Person,Advisory authority meeting,,burbio_events,e517f00063611c6ebeba8cac7b63a20b,burbio_events__e517f00063611c6ebeba8cac7b63a20b
(advisory; forum),Advisory forum,2,188120,general.alert5,ForeignMinistry,Advisory forum,,burbio_events,946083eb133e194bf8308c39716b4bdd,burbio_events__946083eb133e194bf8308c39716b4bdd
(meeting),Meeting,6,,general.alert5,FTO,Meeting,,burbio_events,a6e3488cf178a7e7e41d05cccfdc5a80,burbio_events__a6e3488cf178a7e7e41d05cccfdc5a80
(law; board),Law board meeting,2,188120,general.alert5,CompanyKeyword,Law board meeting,,burbio_events,82a1ec2a5c36fb08d32871988a853f7a,burbio_events__82a1ec2a5c36fb08d32871988a853f7a
(law; meeting),Law meeting,3,188120,general.alert5,Refinery,Law meeting,,burbio_events,9b86f030da753ebe61f48aebe8c260bd,burbio_events__9b86f030da753ebe61f48aebe8c260bd
(law; committee),Law committee meeting,2,188120,general.alert5,Wells,Law committee meeting,,burbio_events,b2b416f9588a8e8a01634247dc03a049,burbio_events__b2b416f9588a8e8a01634247dc03a049
(law; commission),Law commission meeting,2,188120,general.alert5,Diplomat,Law commission meeting,,burbio_events,686eaf7940f830e5fa2a032ac3094e1d,burbio_events__686eaf7940f830e5fa2a032ac3094e1d
(law; authority),Law authority meeting,2,188120,general.alert5,Exec,Law authority meeting,,burbio_events,0a7c4972d94aff5d40dd668c6cec37a6,burbio_events__0a7c4972d94aff5d40dd668c6cec37a6
(law; forum),Law forum,2,188120,general.alert5,CompanyKeyword,Law forum,,burbio_events,d364aa38c3bd5ecd47e688e17553ccfc,burbio_events__d364aa38c3bd5ecd47e688e17553ccfc
(housing; board),Housing board meeting,2,188120,general.alert5,Pipeline,Housing board meeting,,burbio_events,1340f742041cc410f73aecfaa3de01fb,burbio_events__1340f742041cc410f73aecfaa3de01fb
(housing; meeting),Housing meeting,3,188120,general.alert5,CompanyKeyword,Housing meeting,,burbio_events,a8edbf9d0f67e47a520eab049b8a9512,burbio_events__a8edbf9d0f67e47a520eab049b8a9512
(housing; committee),Housing committee meeting,2,188120,general.alert5,FTO,Housing committee meeting,,burbio_events,652d3014fafd0171ec0f11ae46ff3b7c,burbio_events__652d3014fafd0171ec0f11ae46ff3b7c
(housing; commission),Housing commission meeting,2,188120,general.alert5,News,Housing commission meeting,,burbio_events,a54f4194d0ea55175f435508ae7b41c6,burbio_events__a54f4194d0ea55175f435508ae7b41c6
(housing; authority),Housing authority meeting,2,188120,general.alert5,ForeignMinistry,Housing authority meeting,,burbio_events,7c0c786f8b5483e58ad8b9bfb74ce148,burbio_events__7c0c786f8b5483e58ad8b9bfb74ce148
(housing; forum),Housing forum,2,188120,general.alert5,Diplomat,Housing forum,,burbio_events,69739441aa8e087eb18f328081f3978a,burbio_events__69739441aa8e087eb18f328081f3978a
(executive; board),Executive board meeting,2,188120,general.alert5,Organization,Executive board meeting,,burbio_events,c4c5efee73bcba38c3c49b2e899a7642,burbio_events__c4c5efee73bcba38c3c49b2e899a7642
(executive; meeting),Executive meeting,3,188120,general.alert5,Person,Executive meeting,,burbio_events,cf064e2cfebcaf2f1a3dc6c83eaa2f3b,burbio_events__cf064e2cfebcaf2f1a3dc6c83eaa2f3b
(executive; committee),Executive committee meeting,2,188120,general.alert5,Legislator,Executive committee meeting,,burbio_events,ffb20739d7d77c4da7be3beff3799d69,burbio_events__ffb20739d7d77c4da7be3beff3799d69
(executive; commission),Executive commission meeting,2,188120,general.alert5,Consulates,Executive commission meeting,,burbio_events,de6eaf31a36dbe85c33d2de6eba12753,burbio_events__de6eaf31a36dbe85c33d2de6eba12753
(executive; authority),Executive authority meeting,2,188120,general.alert5,Organization,Executive authority meeting,,burbio_events,6308a13b68251afff6eb657e6bd4f6b1,burbio_events__6308a13b68251afff6eb657e6bd4f6b1
(executive; forum),Executive forum,2,188120,general.alert5,Exec,Executive forum,,burbio_events,f15699abff4a8c03c2c94e00e6a29431,burbio_events__f15699abff4a8c03c2c94e00e6a29431
(election; board),Election board meeting,2,188120,general.alert5,AAEntity,Election board meeting,,burbio_events,e1920cf7c4bdac32d722d6bf9ce09177,burbio_events__e1920cf7c4bdac32d722d6bf9ce09177
(election; meeting),Election meeting,3,188120,general.alert5,Refinery,Election meeting,,burbio_events,a2695829df1146296212c0e903709e5e,burbio_events__a2695829df1146296212c0e903709e5e
(election; committee),Election committee meeting,2,188120,general.alert5,Legislator,Election committee meeting,,burbio_events,121f293e857570611e9992e437cab0ec,burbio_events__121f293e857570611e9992e437cab0ec
(election; commission),Election commission meeting,2,188120,general.alert5,Shipping,Election commission meeting,,burbio_events,04630ea5fdbc50f04b28d4ae202c2d70,burbio_events__04630ea5fdbc50f04b28d4ae202c2d70
(election; authority),Election authority meeting,2,188120,general.alert5,Consulates,Election authority meeting,,burbio_events,3283c50e1bcce809509eec8662c20cae,burbio_events__3283c50e1bcce809509eec8662c20cae
(election; forum),Election forum,2,188120,general.alert5,Shipping,Election forum,,burbio_events,326a9f36d04d94a21966320ef1e3fdf5,burbio_events__326a9f36d04d94a21966320ef1e3fdf5
(environmental; board),Environmental board meeting,2,188120,general.alert5,Consulates,Environmental board meeting,,burbio_events,a6e50e40e4bc97c46ff5ac4e4f38524e,burbio_events__a6e50e40e4bc97c46ff5ac4e4f38524e
(environmental; meeting),Environmental meeting,3,188120,general.alert5,Keyphrase,Environmental meeting,,burbio_events,2bba39ce7f3387bdabdfbe438bbf880d,burbio_events__2bba39ce7f3387bdabdfbe438bbf880d
(environmental; committee),Environmental committee meeting,2,188120,general.alert5,Person,Environmental committee meeting,,burbio_events,7e6fca994f300c1d4942493d158d3536,burbio_events__7e6fca994f300c1d4942493d158d3536
(environmental; commission),Environmental commission meeting,2,188120,general.alert5,space,Environmental commission meeting,,burbio_events,1d8c512354a0ba19e39e548d86473d0a,burbio_events__1d8c512354a0ba19e39e548d86473d0a
(environmental; authority),Environmental authority meeting,2,188120,general.alert5,AAEntity,Environmental authority meeting,,burbio_events,2edcc8236739924031b4be902bb67df9,burbio_events__2edcc8236739924031b4be902bb67df9
(environmental; forum),Environmental forum,2,188120,general.alert5,AAEntity,Environmental forum,,burbio_events,1d6a0b7d893d24f6018a092131b16186,burbio_events__1d6a0b7d893d24f6018a092131b16186
(user; board),User board meeting,2,188120,general.alert5,ForeignMinistry,User board meeting,,burbio_events,d61acf357015b57e913534e0afceffee,burbio_events__d61acf357015b57e913534e0afceffee
(user; meeting),User meeting,3,188120,general.alert5,Diplomat,User meeting,,burbio_events,8d5ee1f7b9dcfef27e1f15e22086db70,burbio_events__8d5ee1f7b9dcfef27e1f15e22086db70
(user; committee),User committee meeting,2,188120,general.alert5,Person,User committee meeting,,burbio_events,0077e75ceaae9e28f95033c11a774820,burbio_events__0077e75ceaae9e28f95033c11a774820
(user; commission),User commission meeting,2,188120,general.alert5,Person,User commission meeting,,burbio_events,0fad50f2ea00ca6532afd8e6d108ebd0,burbio_events__0fad50f2ea00ca6532afd8e6d108ebd0
(user; authority),User authority meeting,2,188120,general.alert5,IndustryTerm,User authority meeting,,burbio_events,c8c554d6cfc83f05845fd195c0514dad,burbio_events__c8c554d6cfc83f05845fd195c0514dad
(user; forum),User forum,2,188120,general.alert5,Organization,User forum,,burbio_events,452296e9bc1f30457354f3c4db4220e1,burbio_events__452296e9bc1f30457354f3c4db4220e1
(ambulance; board),Ambulance board meeting,2,188120,general.alert5,AAEntity,Ambulance board meeting,,burbio_events,8a08e6c1ee517f9ee862a321c47ec878,burbio_events__8a08e6c1ee517f9ee862a321c47ec878
(ambulance; meeting),Ambulance meeting,3,188120,general.alert5,ForeignMinistry,Ambulance meeting,,burbio_events,60cdde4169a6d49411effd3395ebc6cd,burbio_events__60cdde4169a6d49411effd3395ebc6cd
(ambulance; committee),Ambulance committee meeting,2,188120,general.alert5,ForeignMinister,Ambulance committee meeting,,burbio_events,9abc640263576e8a35bdb29d43b37f8b,burbio_events__9abc640263576e8a35bdb29d43b37f8b
(ambulance; commission),Ambulance commission meeting,2,188120,general.alert5,CompanyKeyword,Ambulance commission meeting,,burbio_events,f3880cbaba77ccdacc4cf3b20cf76842,burbio_events__f3880cbaba77ccdacc4cf3b20cf76842
(ambulance; authority),Ambulance authority meeting,2,188120,general.alert5,Media,Ambulance authority meeting,,burbio_events,880d6aa7e130fb330d68756a891796b0,burbio_events__880d6aa7e130fb330d68756a891796b0
(ambulance; forum),Ambulance forum,2,188120,general.alert5,LegislativeCommittee,Ambulance forum,,burbio_events,565e6441937ed6d1b6d607fe5fe26aad,burbio_events__565e6441937ed6d1b6d607fe5fe26aad
(police; board),Police board meeting,2,188120,general.alert5,AAEntity,Police board meeting,,burbio_events,db4192cab43846d1e67923dd1dff72ed,burbio_events__db4192cab43846d1e67923dd1dff72ed
(police; meeting),Police meeting,3,188120,general.alert5,ForeignMinistry,Police meeting,,burbio_events,678b5243a9714e580594a9eaa9074904,burbio_events__678b5243a9714e580594a9eaa9074904
(police; committee),Police committee meeting,2,188120,general.alert5,Shipping,Police committee meeting,,burbio_events,6aef0f8541e4824089ddf12df7232ed6,burbio_events__6aef0f8541e4824089ddf12df7232ed6
(police; commission),Police commission meeting,2,188120,general.alert5,FTO,Police commission meeting,,burbio_events,3d3cf9f3e6a3efcb60facedbadc63002,burbio_events__3d3cf9f3e6a3efcb60facedbadc63002
(police; authority),Police authority meeting,2,188120,general.alert5,Consulates,Police authority meeting,,burbio_events,1b23d867d961cabdb1786f127917cfb0,burbio_events__1b23d867d961cabdb1786f127917cfb0
(police; forum),Police forum,2,188120,general.alert5,Exec,Police forum,,burbio_events,54f3554a6ba65f4618590300f3be1d45,burbio_events__54f3554a6ba65f4618590300f3be1d45
(Fire; department; board),Fire department board meeting,2,188120,general.alert5,IndustryTerm,Fire department board meeting,,burbio_events,e7b7b385cb1e5faff67d17ac525c0152,burbio_events__e7b7b385cb1e5faff67d17ac525c0152
(Fire; department; meeting),Fire department meeting,3,188120,general.alert5,CompanyKeyword,Fire department meeting,,burbio_events,e3eaba4a175838062469e5fc036b5a57,burbio_events__e3eaba4a175838062469e5fc036b5a57
(Fire; department; committee),Fire department committee meeting,2,188120,general.alert5,Consulates,Fire department committee meeting,,burbio_events,633e936d0ce630e04b42459f74973468,burbio_events__633e936d0ce630e04b42459f74973468
(Fire; department; commission),Fire department commission meeting,2,188120,general.alert5,Media,Fire department commission meeting,,burbio_events,919cdd10c6e3a497d8ae8c1d1268b6fa,burbio_events__919cdd10c6e3a497d8ae8c1d1268b6fa
(Fire; department; authority),Fire department authority meeting,2,188120,general.alert5,Consulates,Fire department authority meeting,,burbio_events,231e78aea33832813f73fed6cce06657,burbio_events__231e78aea33832813f73fed6cce06657
(Fire; department; forum),Fire department forum,2,188120,general.alert5,space,Fire department forum,,burbio_events,2a485d3f4f01c8a5a24cf10b5300c2d8,burbio_events__2a485d3f4f01c8a5a24cf10b5300c2d8
(school; board),School board meeting,2,188120,general.alert5,Refinery,School board meeting,,burbio_events,b3f30818173f21d47db11bec4b20d20e,burbio_events__b3f30818173f21d47db11bec4b20d20e
(school; meeting),School meeting,3,188120,general.alert5,Wells,School meeting,,burbio_events,b96edd983d707842803b1118a05c9baa,burbio_events__b96edd983d707842803b1118a05c9baa
(school; committee),School committee meeting,2,188120,general.alert5,Diplomat,School committee meeting,,burbio_events,afd30685d292bb5fe7715c6d2d6f217b,burbio_events__afd30685d292bb5fe7715c6d2d6f217b
(school; commission),School commission meeting,2,188120,general.alert5,Media,School commission meeting,,burbio_events,5bf0e87a1e1c61226e16ef59bf985473,burbio_events__5bf0e87a1e1c61226e16ef59bf985473
(school; authority),School authority meeting,2,188120,general.alert5,LegislativeCommittee,School authority meeting,,burbio_events,4b43e2ddfbf1a7e39baa694f3eec26d9,burbio_events__4b43e2ddfbf1a7e39baa694f3eec26d9
(school; forum),School forum,2,188120,general.alert5,IndustryTerm,School forum,,burbio_events,4d3c76d76dd67e294c1222467fe1479a,burbio_events__4d3c76d76dd67e294c1222467fe1479a
(anniversary; board),Anniversary board meeting,2,188120,general.alert5,DiplomaticFacilities,Anniversary board meeting,,burbio_events,abdfd94d01193baaef39829b464414f4,burbio_events__abdfd94d01193baaef39829b464414f4
(anniversary; meeting),Anniversary meeting,3,188120,general.alert5,Wells,Anniversary meeting,,burbio_events,9bd2c6ed5c88ab53f2f447c83ce054fb,burbio_events__9bd2c6ed5c88ab53f2f447c83ce054fb
(anniversary; committee),Anniversary committee meeting,2,188120,general.alert5,Wells,Anniversary committee meeting,,burbio_events,b0de78fd9bc7682bea76240fa9a9f94d,burbio_events__b0de78fd9bc7682bea76240fa9a9f94d
(anniversary; commission),Anniversary commission meeting,2,188120,general.alert5,Organization,Anniversary commission meeting,,burbio_events,51e79b55a98202dc3bbb334bcde643e3,burbio_events__51e79b55a98202dc3bbb334bcde643e3
(anniversary; authority),Anniversary authority meeting,2,188120,general.alert5,Diplomat,Anniversary authority meeting,,burbio_events,3028619af3e35df7f732718abd3fda1d,burbio_events__3028619af3e35df7f732718abd3fda1d
(anniversary; forum),Anniversary forum,2,188120,general.alert5,Organization,Anniversary forum,,burbio_events,2d91f3117766fa79be5850e9bcc7dc8e,burbio_events__2d91f3117766fa79be5850e9bcc7dc8e
(parks; recreation; board),Parks and recreation board meeting,2,188120,general.alert5,Consulates,Parks and recreation board meeting,,burbio_events,5af6f121e7a54c852c9d9918f4c6df86,burbio_events__5af6f121e7a54c852c9d9918f4c6df86
(parks; recreation; meeting),Parks and recreation meeting,3,188120,general.alert5,Keyphrase,Parks and recreation meeting,,burbio_events,4e9a0b7a5367a152c09c700034a5c40d,burbio_events__4e9a0b7a5367a152c09c700034a5c40d
(parks; recreation; committee),Parks and recreation committee meeting,2,188120,general.alert5,Media,Parks and recreation committee meeting,,burbio_events,b3c2b959f796431771372e7ada74d129,burbio_events__b3c2b959f796431771372e7ada74d129
(parks; recreation; commission),Parks and recreation commission meeting,2,188120,general.alert5,Person,Parks and recreation commission meeting,,burbio_events,0257f614c03c9202fea036a31dafebb6,burbio_events__0257f614c03c9202fea036a31dafebb6
(parks; recreation; authority),Parks and recreation authority meeting,2,188120,general.alert5,Pipeline,Parks and recreation authority meeting,,burbio_events,4a011b0bbd2ccff4125716a360a2ea68,burbio_events__4a011b0bbd2ccff4125716a360a2ea68
(parks; recreation; forum),Parks and recreation forum,2,188120,general.alert5,space,Parks and recreation forum,,burbio_events,aec5abc1fff347e91ff035a0c26bb0b5,burbio_events__aec5abc1fff347e91ff035a0c26bb0b5
(building; board),Building board meeting,2,188120,general.alert5,Exec,Building board meeting,,burbio_events,5222105a3b7dab025c1594863d3eda85,burbio_events__5222105a3b7dab025c1594863d3eda85
(building; meeting),Building meeting,3,188120,general.alert5,Pipeline,Building meeting,,burbio_events,65b2920797169bc30eaff30643995703,burbio_events__65b2920797169bc30eaff30643995703
(building; committee),Building committee meeting,2,188120,general.alert5,Wells,Building committee meeting,,burbio_events,4473e46aaa72933d5810ba8a26dbf004,burbio_events__4473e46aaa72933d5810ba8a26dbf004
(building; commission),Building commission meeting,2,188120,general.alert5,DiplomaticFacilities,Building commission meeting,,burbio_events,49db64eee1f7447a6650073f5d405ff2,burbio_events__49db64eee1f7447a6650073f5d405ff2
(building; authority),Building authority meeting,2,188120,general.alert5,Wells,Building authority meeting,,burbio_events,281514c07593e6ed4568d53fa9cd7e28,burbio_events__281514c07593e6ed4568d53fa9cd7e28
(building; forum),Building forum,2,188120,general.alert5,CompanyKeyword,Building forum,,burbio_events,f9d6d4c5ab01699d98ef967646030392,burbio_events__f9d6d4c5ab01699d98ef967646030392
(ordinance; board),Ordinance board meeting,2,188120,general.alert5,ForeignMinistry,Ordinance board meeting,,burbio_events,34a29aeeafab241f27d98a93dbe5f551,burbio_events__34a29aeeafab241f27d98a93dbe5f551
