french_word,caption_text,additional_topic,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
1transport,one hospitalized due to,,FTO,one hospitalized due to,,french_fire_impact,81525e9e2356b876ea61246f48547da1,french_fire_impact__81525e9e2356b876ea61246f48547da1
2transports,two hospitalized due to,,space,two hospitalized due to,,french_fire_impact,70583e4eb01ec964307d0d592cd35506,french_fire_impact__70583e4eb01ec964307d0d592cd35506
3transports,three hospitalized due to,,ForeignMinistry,three hospitalized due to,,french_fire_impact,8758d8becc9a0650b49a24d401e2973c,french_fire_impact__8758d8becc9a0650b49a24d401e2973c
4transports,four hospitalized due to,,AAEntity,four hospitalized due to,,french_fire_impact,8c50f3e2af4fb4111822296b5f10154d,french_fire_impact__8c50f3e2af4fb4111822296b5f10154d
1 transporté,one hospitalized due to,,Keyphrase,one hospitalized due to,,french_fire_impact,81525e9e2356b876ea61246f48547da1,french_fire_impact__81525e9e2356b876ea61246f48547da1
2 transportés,two hospitalized due to,,Exec,two hospitalized due to,,french_fire_impact,70583e4eb01ec964307d0d592cd35506,french_fire_impact__70583e4eb01ec964307d0d592cd35506
3 transportés,three hospitalized due to,,Legislator,three hospitalized due to,,french_fire_impact,8758d8becc9a0650b49a24d401e2973c,french_fire_impact__8758d8becc9a0650b49a24d401e2973c
4 transportés,four hospitalized due to,,Diplomat,four hospitalized due to,,french_fire_impact,8c50f3e2af4fb4111822296b5f10154d,french_fire_impact__8c50f3e2af4fb4111822296b5f10154d
une personne transportée,one hospitalized due to,,Wells,one hospitalized due to,,french_fire_impact,81525e9e2356b876ea61246f48547da1,french_fire_impact__81525e9e2356b876ea61246f48547da1
deux personnes transportées,two hospitalized due to,,Exec,two hospitalized due to,,french_fire_impact,70583e4eb01ec964307d0d592cd35506,french_fire_impact__70583e4eb01ec964307d0d592cd35506
trois personnes transportées,three hospitalized due to,,Pipeline,three hospitalized due to,,french_fire_impact,8758d8becc9a0650b49a24d401e2973c,french_fire_impact__8758d8becc9a0650b49a24d401e2973c
quatre personnes transportées,four hospitalized due to,,space,four hospitalized due to,,french_fire_impact,8c50f3e2af4fb4111822296b5f10154d,french_fire_impact__8c50f3e2af4fb4111822296b5f10154d
1 personne transportée,one hospitalized due to,,CompanyKeyword,one hospitalized due to,,french_fire_impact,81525e9e2356b876ea61246f48547da1,french_fire_impact__81525e9e2356b876ea61246f48547da1
2 personnes transportées,two hospitalized due to,,Media,two hospitalized due to,,french_fire_impact,70583e4eb01ec964307d0d592cd35506,french_fire_impact__70583e4eb01ec964307d0d592cd35506
3 personnes transportées,three hospitalized due to,,News,three hospitalized due to,,french_fire_impact,8758d8becc9a0650b49a24d401e2973c,french_fire_impact__8758d8becc9a0650b49a24d401e2973c
4 personnes transportées,four hospitalized due to,,ForeignMinistry,four hospitalized due to,,french_fire_impact,8c50f3e2af4fb4111822296b5f10154d,french_fire_impact__8c50f3e2af4fb4111822296b5f10154d
1 grave,one seriously injured in,,FTO,one seriously injured in,,french_fire_impact,25023a5e7a1eae5e5f2112db024d2d77,french_fire_impact__25023a5e7a1eae5e5f2112db024d2d77
2 graves,two seriously injured in,,CompanyKeyword,two seriously injured in,,french_fire_impact,834591e95d17f251faa2ec18cd84325d,french_fire_impact__834591e95d17f251faa2ec18cd84325d
3 graves,three seriously injured in,,Diplomat,three seriously injured in,,french_fire_impact,7f5637ed6a516c2b48c81158fa81f179,french_fire_impact__7f5637ed6a516c2b48c81158fa81f179
4 graves,four seriously injured in,,CompanyKeyword,four seriously injured in,,french_fire_impact,fddea0c8ac9863c437058a2955133618,french_fire_impact__fddea0c8ac9863c437058a2955133618
1grave,one seriously injured in,,Organization,one seriously injured in,,french_fire_impact,25023a5e7a1eae5e5f2112db024d2d77,french_fire_impact__25023a5e7a1eae5e5f2112db024d2d77
2graves,two seriously injured in,,Diplomat,two seriously injured in,,french_fire_impact,834591e95d17f251faa2ec18cd84325d,french_fire_impact__834591e95d17f251faa2ec18cd84325d
3graves,three seriously injured in,,CompanyKeyword,three seriously injured in,,french_fire_impact,7f5637ed6a516c2b48c81158fa81f179,french_fire_impact__7f5637ed6a516c2b48c81158fa81f179
4graves,four seriously injured in,,ForeignMinister,four seriously injured in,,french_fire_impact,fddea0c8ac9863c437058a2955133618,french_fire_impact__fddea0c8ac9863c437058a2955133618
nécessité d'être hospitalisé,injuries requiring hospitalization in,,LegislativeCommittee,injuries requiring hospitalization in,,french_fire_impact,492415bf76ad6424eb32f24c48970cf2,french_fire_impact__492415bf76ad6424eb32f24c48970cf2
1blessé,one injured in,,ForeignMinistry,one injured in,,french_fire_impact,c5b660f7aac02848072b0513cfaece3d,french_fire_impact__c5b660f7aac02848072b0513cfaece3d
2blessés,two injured in,,Wells,two injured in,,french_fire_impact,e539229592e176ffcbdb105f7c5f29d7,french_fire_impact__e539229592e176ffcbdb105f7c5f29d7
3blessés,three injured in,,CompanyKeyword,three injured in,,french_fire_impact,abff6c67add1f8c69dcb468cb3e3933b,french_fire_impact__abff6c67add1f8c69dcb468cb3e3933b
4blessés,four injured in,,Diplomat,four injured in,,french_fire_impact,a582997b05c530815eaf1e986184e809,french_fire_impact__a582997b05c530815eaf1e986184e809
2 blessés,two injured in,,IndustryTerm,two injured in,,french_fire_impact,e539229592e176ffcbdb105f7c5f29d7,french_fire_impact__e539229592e176ffcbdb105f7c5f29d7
3 blessés,three injured in,,Refinery,three injured in,,french_fire_impact,abff6c67add1f8c69dcb468cb3e3933b,french_fire_impact__abff6c67add1f8c69dcb468cb3e3933b
4 blessés,four injured in,,Legislator,four injured in,,french_fire_impact,a582997b05c530815eaf1e986184e809,french_fire_impact__a582997b05c530815eaf1e986184e809
un blessé,one injured in,,Person,one injured in,,french_fire_impact,c5b660f7aac02848072b0513cfaece3d,french_fire_impact__c5b660f7aac02848072b0513cfaece3d
deux blessés,two injured in,,AAEntity,two injured in,,french_fire_impact,e539229592e176ffcbdb105f7c5f29d7,french_fire_impact__e539229592e176ffcbdb105f7c5f29d7
trois blessés,three injured in,,News,three injured in,,french_fire_impact,abff6c67add1f8c69dcb468cb3e3933b,french_fire_impact__abff6c67add1f8c69dcb468cb3e3933b
quatre blessés,four injured in,,Refinery,four injured in,,french_fire_impact,a582997b05c530815eaf1e986184e809,french_fire_impact__a582997b05c530815eaf1e986184e809
1 victime,one injured in,,AAEntity,one injured in,,french_fire_impact,c5b660f7aac02848072b0513cfaece3d,french_fire_impact__c5b660f7aac02848072b0513cfaece3d
2 victimes,two injured in,,Refinery,two injured in,,french_fire_impact,e539229592e176ffcbdb105f7c5f29d7,french_fire_impact__e539229592e176ffcbdb105f7c5f29d7
3 victimes,three injured in,,Pipeline,three injured in,,french_fire_impact,abff6c67add1f8c69dcb468cb3e3933b,french_fire_impact__abff6c67add1f8c69dcb468cb3e3933b
4 victimes,four injured in,,space,four injured in,,french_fire_impact,a582997b05c530815eaf1e986184e809,french_fire_impact__a582997b05c530815eaf1e986184e809
une victime,one injured in,,Consulates,one injured in,,french_fire_impact,c5b660f7aac02848072b0513cfaece3d,french_fire_impact__c5b660f7aac02848072b0513cfaece3d
deux victimes,two injured in,,Person,two injured in,,french_fire_impact,e539229592e176ffcbdb105f7c5f29d7,french_fire_impact__e539229592e176ffcbdb105f7c5f29d7
trois victimes,three injured in,,Media,three injured in,,french_fire_impact,abff6c67add1f8c69dcb468cb3e3933b,french_fire_impact__abff6c67add1f8c69dcb468cb3e3933b
quatre victimes,four injured in,,Legislator,four injured in,,french_fire_impact,a582997b05c530815eaf1e986184e809,french_fire_impact__a582997b05c530815eaf1e986184e809
une personne sauvée,one rescued in,,LegislativeCommittee,one rescued in,,french_fire_impact,8cd8c288358e5a39b5843f259e2c9e25,french_fire_impact__8cd8c288358e5a39b5843f259e2c9e25
deux personnes sauvées,two rescued in,,Diplomat,two rescued in,,french_fire_impact,e2fcd5b82f0549a51fb745cd6824387f,french_fire_impact__e2fcd5b82f0549a51fb745cd6824387f
trois personnes sauvées,three rescued in,,IndustryTerm,three rescued in,,french_fire_impact,319c64c1d42c64747a51ae8c812a0f74,french_fire_impact__319c64c1d42c64747a51ae8c812a0f74
quatre personnes sauvées,four rescued in,,Consulates,four rescued in,,french_fire_impact,7e732145ae2cfc63edcee104af930c9a,french_fire_impact__7e732145ae2cfc63edcee104af930c9a
1 personne sauvée,one rescued in,,Wells,one rescued in,,french_fire_impact,8cd8c288358e5a39b5843f259e2c9e25,french_fire_impact__8cd8c288358e5a39b5843f259e2c9e25
2 personnes sauvées,two rescued in,,News,two rescued in,,french_fire_impact,e2fcd5b82f0549a51fb745cd6824387f,french_fire_impact__e2fcd5b82f0549a51fb745cd6824387f
3 personnes sauvées,three rescued in,,Exec,three rescued in,,french_fire_impact,319c64c1d42c64747a51ae8c812a0f74,french_fire_impact__319c64c1d42c64747a51ae8c812a0f74
4 personnes sauvées,four rescued in,,Person,four rescued in,,french_fire_impact,7e732145ae2cfc63edcee104af930c9a,french_fire_impact__7e732145ae2cfc63edcee104af930c9a
1 sauvée,one rescued in,,Person,one rescued in,,french_fire_impact,8cd8c288358e5a39b5843f259e2c9e25,french_fire_impact__8cd8c288358e5a39b5843f259e2c9e25
2 sauvées,two rescued in,,FTO,two rescued in,,french_fire_impact,e2fcd5b82f0549a51fb745cd6824387f,french_fire_impact__e2fcd5b82f0549a51fb745cd6824387f
3 sauvées,three rescued in,,FTO,three rescued in,,french_fire_impact,319c64c1d42c64747a51ae8c812a0f74,french_fire_impact__319c64c1d42c64747a51ae8c812a0f74
4 sauvées,four rescued in,,ForeignMinistry,four rescued in,,french_fire_impact,7e732145ae2cfc63edcee104af930c9a,french_fire_impact__7e732145ae2cfc63edcee104af930c9a
1 sauvé,one rescued in,,News,one rescued in,,french_fire_impact,8cd8c288358e5a39b5843f259e2c9e25,french_fire_impact__8cd8c288358e5a39b5843f259e2c9e25
2 sauvés,two rescued in,,Media,two rescued in,,french_fire_impact,e2fcd5b82f0549a51fb745cd6824387f,french_fire_impact__e2fcd5b82f0549a51fb745cd6824387f
3 sauvés,three rescued in,,Legislator,three rescued in,,french_fire_impact,319c64c1d42c64747a51ae8c812a0f74,french_fire_impact__319c64c1d42c64747a51ae8c812a0f74
4 sauvés,four rescued in,,Keyphrase,four rescued in,,french_fire_impact,7e732145ae2cfc63edcee104af930c9a,french_fire_impact__7e732145ae2cfc63edcee104af930c9a
une personne est blessée,one injured in,,Exec,one injured in,,french_fire_impact,c5b660f7aac02848072b0513cfaece3d,french_fire_impact__c5b660f7aac02848072b0513cfaece3d
deux personnes sont blessées,two injured in,,News,two injured in,,french_fire_impact,e539229592e176ffcbdb105f7c5f29d7,french_fire_impact__e539229592e176ffcbdb105f7c5f29d7
trois personnes sont blessées,three injured in,,LegislativeCommittee,three injured in,,french_fire_impact,abff6c67add1f8c69dcb468cb3e3933b,french_fire_impact__abff6c67add1f8c69dcb468cb3e3933b
quatre personnes sont blessées,four injured in,,Refinery,four injured in,,french_fire_impact,a582997b05c530815eaf1e986184e809,french_fire_impact__a582997b05c530815eaf1e986184e809
pas de victime,no injuries in,,News,no injuries in,,french_fire_impact,6ebfd623603f513c3961480fcf508239,french_fire_impact__6ebfd623603f513c3961480fcf508239
pas de blessé,no injuries in,,Person,no injuries in,,french_fire_impact,6ebfd623603f513c3961480fcf508239,french_fire_impact__6ebfd623603f513c3961480fcf508239
pas de blessés,no injuries in,,Shipping,no injuries in,,french_fire_impact,6ebfd623603f513c3961480fcf508239,french_fire_impact__6ebfd623603f513c3961480fcf508239
une personne est impliquée,one injured in,,Refinery,one injured in,,french_fire_impact,c5b660f7aac02848072b0513cfaece3d,french_fire_impact__c5b660f7aac02848072b0513cfaece3d
1 personne est impliquée,one injured in,,Keyphrase,one injured in,,french_fire_impact,c5b660f7aac02848072b0513cfaece3d,french_fire_impact__c5b660f7aac02848072b0513cfaece3d
deux personnes sont impliquées,two injured in,,ForeignMinister,two injured in,,french_fire_impact,e539229592e176ffcbdb105f7c5f29d7,french_fire_impact__e539229592e176ffcbdb105f7c5f29d7
2 personnes sont impliquées,two injured in,,Organization,two injured in,,french_fire_impact,e539229592e176ffcbdb105f7c5f29d7,french_fire_impact__e539229592e176ffcbdb105f7c5f29d7
trois personnes sont impliquées,three injured in,,Refinery,three injured in,,french_fire_impact,abff6c67add1f8c69dcb468cb3e3933b,french_fire_impact__abff6c67add1f8c69dcb468cb3e3933b
3 personnes sont impliquées,three injured in,,Shipping,three injured in,,french_fire_impact,abff6c67add1f8c69dcb468cb3e3933b,french_fire_impact__abff6c67add1f8c69dcb468cb3e3933b
quatre personnes sont impliquées,four injured in,,Wells,four injured in,,french_fire_impact,a582997b05c530815eaf1e986184e809,french_fire_impact__a582997b05c530815eaf1e986184e809
4 personnes sont impliquées,four injured in,,LegislativeCommittee,four injured in,,french_fire_impact,a582997b05c530815eaf1e986184e809,french_fire_impact__a582997b05c530815eaf1e986184e809
1 impliqués,one injured in,,ForeignMinister,one injured in,,french_fire_impact,c5b660f7aac02848072b0513cfaece3d,french_fire_impact__c5b660f7aac02848072b0513cfaece3d
2 impliqués,two injured in,,Diplomat,two injured in,,french_fire_impact,e539229592e176ffcbdb105f7c5f29d7,french_fire_impact__e539229592e176ffcbdb105f7c5f29d7
3 impliqués,three injured in,,LegislativeCommittee,three injured in,,french_fire_impact,abff6c67add1f8c69dcb468cb3e3933b,french_fire_impact__abff6c67add1f8c69dcb468cb3e3933b
4 impliqués,four injured in,,AAEntity,four injured in,,french_fire_impact,a582997b05c530815eaf1e986184e809,french_fire_impact__a582997b05c530815eaf1e986184e809
un impliqué,one injured in,,Legislator,one injured in,,french_fire_impact,c5b660f7aac02848072b0513cfaece3d,french_fire_impact__c5b660f7aac02848072b0513cfaece3d
deux impliqués,two injured in,,Exec,two injured in,,french_fire_impact,e539229592e176ffcbdb105f7c5f29d7,french_fire_impact__e539229592e176ffcbdb105f7c5f29d7
trois impliqués,three injured in,,Legislator,three injured in,,french_fire_impact,abff6c67add1f8c69dcb468cb3e3933b,french_fire_impact__abff6c67add1f8c69dcb468cb3e3933b
quatre impliqués,four injured in,,Keyphrase,four injured in,,french_fire_impact,a582997b05c530815eaf1e986184e809,french_fire_impact__a582997b05c530815eaf1e986184e809
une personne impliquée,one injured in,,Shipping,one injured in,,french_fire_impact,c5b660f7aac02848072b0513cfaece3d,french_fire_impact__c5b660f7aac02848072b0513cfaece3d
1 personne impliquée,one injured in,,Diplomat,one injured in,,french_fire_impact,c5b660f7aac02848072b0513cfaece3d,french_fire_impact__c5b660f7aac02848072b0513cfaece3d
deux personnes impliquées,two injured in,,Consulates,two injured in,,french_fire_impact,e539229592e176ffcbdb105f7c5f29d7,french_fire_impact__e539229592e176ffcbdb105f7c5f29d7
2 personnes impliquées,two injured in,,FTO,two injured in,,french_fire_impact,e539229592e176ffcbdb105f7c5f29d7,french_fire_impact__e539229592e176ffcbdb105f7c5f29d7
trois personnes impliquées,three injured in,,Exec,three injured in,,french_fire_impact,abff6c67add1f8c69dcb468cb3e3933b,french_fire_impact__abff6c67add1f8c69dcb468cb3e3933b
3 personnes impliquées,three injured in,,LegislativeCommittee,three injured in,,french_fire_impact,abff6c67add1f8c69dcb468cb3e3933b,french_fire_impact__abff6c67add1f8c69dcb468cb3e3933b
quatre personnes impliquées,four injured in,,LegislativeCommittee,four injured in,,french_fire_impact,a582997b05c530815eaf1e986184e809,french_fire_impact__a582997b05c530815eaf1e986184e809
4 personnes impliquées,four injured in,,ForeignMinister,four injured in,,french_fire_impact,a582997b05c530815eaf1e986184e809,french_fire_impact__a582997b05c530815eaf1e986184e809
ne pas se rendre sur les lieux,residents advised to avoid area during,188130,Media,residents advised to avoid area during,,french_fire_impact,4095d3596aa31d35e4ac3058eef45647,french_fire_impact__4095d3596aa31d35e4ac3058eef45647
ne pas gêner l'action des secours,residents advised to not interfere with emergency service response during,188130,DiplomaticFacilities,residents advised to not interfere with emergency service response during,,french_fire_impact,1eb29367414bb0b49a0397d35b84dc98,french_fire_impact__1eb29367414bb0b49a0397d35b84dc98
éviter le secteur,residents advised to avoid area during,188130,Consulates,residents advised to avoid area during,,french_fire_impact,4095d3596aa31d35e4ac3058eef45647,french_fire_impact__4095d3596aa31d35e4ac3058eef45647
évitez le secteur,residents advised to avoid area during,188130,IndustryTerm,residents advised to avoid area during,,french_fire_impact,4095d3596aa31d35e4ac3058eef45647,french_fire_impact__4095d3596aa31d35e4ac3058eef45647
évacuation par précaution,precautionary evacuation underway due to,,Consulates,precautionary evacuation underway due to,,french_fire_impact,02ff963b0c78ede9a3540a2260cbba81,french_fire_impact__02ff963b0c78ede9a3540a2260cbba81
aucun blessé,no injuries in,,Keyphrase,no injuries in,,french_fire_impact,6ebfd623603f513c3961480fcf508239,french_fire_impact__6ebfd623603f513c3961480fcf508239
sauvetage en cours,rescue operation underway amid,,FTO,rescue operation underway amid,,french_fire_impact,2b82b5fbee72b3b035c0f0f2cdc15053,french_fire_impact__2b82b5fbee72b3b035c0f0f2cdc15053
éviter le secteur,residents advised to avoid area during,,Diplomat,residents advised to avoid area during,,french_fire_impact,4095d3596aa31d35e4ac3058eef45647,french_fire_impact__4095d3596aa31d35e4ac3058eef45647
circulation perturbée,traffic disrupted due to,188130,Organization,traffic disrupted due to,,french_fire_impact,8b4ed175aefea28d66143fb19070c01f,french_fire_impact__8b4ed175aefea28d66143fb19070c01f
ralentissements,traffic disrupted due to,188130,Wells,traffic disrupted due to,,french_fire_impact,8b4ed175aefea28d66143fb19070c01f,french_fire_impact__8b4ed175aefea28d66143fb19070c01f
circulation coupée,traffic disrupted due to,188130,Keyphrase,traffic disrupted due to,,french_fire_impact,8b4ed175aefea28d66143fb19070c01f,french_fire_impact__8b4ed175aefea28d66143fb19070c01f
circulation interrompue,traffic disrupted due to,188130,News,traffic disrupted due to,,french_fire_impact,8b4ed175aefea28d66143fb19070c01f,french_fire_impact__8b4ed175aefea28d66143fb19070c01f
