handle,caption_name,location_lower,include_groups,entity_type,location,lat,long,exclude_groups,,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
agroclimatecdn,Agriculture meteorologist,"regina, canada",commodity match;ag commodity;company;country;stateprovince;imports;exports;drought;severe weather;soil;biofuel;pest;region;frost;agricultureminister;agricultureministry,agricultural weather forecaster,"Regina, Canada",50.4452112,-104.6188943,,"50.4452112, -104.6188943",AgriculturalWeatherForecaster,Agriculture meteorologist,,dgm_agr_mentioner_entities,3edd31581cd32f46a524d68592b8ed58,dgm_agr_mentioner_entities__3edd31581cd32f46a524d68592b8ed58
edvalleewx,Agriculture meteorologist,"orlando, fl",commodity match;ag commodity;company;country;stateprovince;imports;exports;drought;severe weather;soil;biofuel;pest;region;frost;agricultureminister;agricultureministry,agricultural weather forecaster,"Orlando, FL",28.5383832,-81.3789269,,"28.5383832, -81.3789269",AgriculturalWeatherForecaster,Agriculture meteorologist,,dgm_agr_mentioner_entities,3edd31581cd32f46a524d68592b8ed58,dgm_agr_mentioner_entities__3edd31581cd32f46a524d68592b8ed58
empirewx,Agriculture meteorologist,new jersey,commodity match;ag commodity;company;country;stateprovince;imports;exports;drought;severe weather;soil;biofuel;pest;region;frost;agricultureminister;agricultureministry,agricultural weather forecaster,New Jersey,40.0583238,-74.4056612,,"40.0583238, -74.4056612",AgriculturalWeatherForecaster,Agriculture meteorologist,,dgm_agr_mentioner_entities,3edd31581cd32f46a524d68592b8ed58,dgm_agr_mentioner_entities__3edd31581cd32f46a524d68592b8ed58
rudyruitenberg,Agriculture meteorologist,"paris, france",commodity match;ag commodity;company;country;stateprovince;imports;exports;drought;severe weather;soil;biofuel;pest;region;frost;agricultureminister;agricultureministry,agricultural weather forecaster,"Paris, France",48.856614,2.3522219,,"48.856614, 2.3522219",AgriculturalWeatherForecaster,Agriculture meteorologist,,dgm_agr_mentioner_entities,3edd31581cd32f46a524d68592b8ed58,dgm_agr_mentioner_entities__3edd31581cd32f46a524d68592b8ed58
indywx,Agriculture meteorologist,"indianapolis, in",commodity match;ag commodity;company;country;stateprovince;imports;exports;drought;severe weather;soil;biofuel;pest;region;frost;agricultureminister;agricultureministry,agricultural weather forecaster,"Indianapolis, IN",39.768403,-86.158068,,"39.768403, -86.158068",AgriculturalWeatherForecaster,Agriculture meteorologist,,dgm_agr_mentioner_entities,3edd31581cd32f46a524d68592b8ed58,dgm_agr_mentioner_entities__3edd31581cd32f46a524d68592b8ed58
se_agclimate,Agriculture meteorologist,"athens, ga",commodity match;ag commodity;company;country;stateprovince;imports;exports;drought;severe weather;soil;biofuel;pest;region;frost;agricultureminister;agricultureministry,agricultural weather forecaster,"Athens, GA",33.9519347,-83.357567,,"33.9519347, -83.357567",AgriculturalWeatherForecaster,Agriculture meteorologist,,dgm_agr_mentioner_entities,3edd31581cd32f46a524d68592b8ed58,dgm_agr_mentioner_entities__3edd31581cd32f46a524d68592b8ed58
maxar_weather,Agriculture meteorologist,"gaithersburg, md",commodity match;ag commodity;company;country;stateprovince;imports;exports;drought;severe weather;soil;biofuel;pest;region;frost;agricultureminister;agricultureministry,agricultural weather forecaster,"Gaithersburg, MD",39.1439689,-77.2016062,,"39.1439689, -77.2016062",AgriculturalWeatherForecaster,Agriculture meteorologist,,dgm_agr_mentioner_entities,3edd31581cd32f46a524d68592b8ed58,dgm_agr_mentioner_entities__3edd31581cd32f46a524d68592b8ed58
farmersweekly,Farmers Weekly,"sutton, uk",commodity match;ag commodity;company;country;stateprovince;imports;exports;drought;severe weather;soil;biofuel;pest;region;frost;agricultureminister;agricultureministry,agriculture press,"Sutton, UK",51.3614279,-0.193961,,"51.3614279, -0.193961",AgriculturePress,Farmers Weekly,,dgm_agr_mentioner_entities,b32df0b238d99174d4a9fe90f619d1e9,dgm_agr_mentioner_entities__b32df0b238d99174d4a9fe90f619d1e9
westernproducer,The Western Producer,"saskatoon, canada",commodity match;ag commodity;company;country;stateprovince;imports;exports;drought;severe weather;soil;biofuel;pest;region;frost;agricultureminister;agricultureministry,agriculture press,"Saskatoon, Canada",52.157902,-106.6701577,,"52.157902, -106.6701577",AgriculturePress,The Western Producer,,dgm_agr_mentioner_entities,e3ac4ac74235a554a47b07bd85f39875,dgm_agr_mentioner_entities__e3ac4ac74235a554a47b07bd85f39875
dtnpf,The Progressive Farmer,"birmingham, al",commodity match;ag commodity;company;country;stateprovince;imports;exports;drought;severe weather;soil;biofuel;pest;region;frost;agricultureminister;agricultureministry,agriculture press,"Birmingham, AL",33.5185892,-86.8103567,,"33.5185892, -86.8103567",AgriculturePress,The Progressive Farmer,,dgm_agr_mentioner_entities,37b91f37e816c252170d3bbba7c3c98e,dgm_agr_mentioner_entities__37b91f37e816c252170d3bbba7c3c98e
biofuelsmag,Biofuels International,"morden, uk",commodity match;ag commodity;company;country;stateprovince;imports;exports;drought;severe weather;soil;biofuel;pest;region;frost;agricultureminister;agricultureministry,agriculture press,"Morden, UK",51.394943,-0.19446,,"51.394943, -0.19446",AgriculturePress,Biofuels International,,dgm_agr_mentioner_entities,1595fb837f0658b3a0f44c24f96b2a77,dgm_agr_mentioner_entities__1595fb837f0658b3a0f44c24f96b2a77
farmjournal,Farm Journal,"philadelphia, pa",commodity match;ag commodity;company;country;stateprovince;imports;exports;drought;severe weather;soil;biofuel;pest;region;frost;agricultureminister;agricultureministry,agriculture press,"Philadelphia, PA",39.9525839,-75.1652215,,"39.9525839, -75.1652215",AgriculturePress,Farm Journal,,dgm_agr_mentioner_entities,d92fe4d9736238b031a2991424f31e7f,dgm_agr_mentioner_entities__d92fe4d9736238b031a2991424f31e7f
farmersadviser,The Daily Scoop,"webster city, ia",commodity match;ag commodity;company;country;stateprovince;imports;exports;drought;severe weather;soil;biofuel;pest;region;frost;agricultureminister;agricultureministry,agriculture press,"Webster City, IA",42.4694321,-93.8159149,,"42.4694321, -93.8159149",AgriculturePress,The Daily Scoop,,dgm_agr_mentioner_entities,e010184af8631c9abc005c866764dc19,dgm_agr_mentioner_entities__e010184af8631c9abc005c866764dc19
farmfutures,Farm Progress,"irving, tx",commodity match;ag commodity;company;country;stateprovince;imports;exports;drought;severe weather;soil;biofuel;pest;region;frost;agricultureminister;agricultureministry,agriculture press,"Irving, TX",32.8140177,-96.9488945,,"32.8140177, -96.9488945",AgriculturePress,Farm Progress,,dgm_agr_mentioner_entities,bedae6161f658e275a4b4af1b80459e4,dgm_agr_mentioner_entities__bedae6161f658e275a4b4af1b80459e4
ethanolmagazine,Ethanol Producer Magazine,"grand forks, nd",commodity match;ag commodity;company;country;stateprovince;imports;exports;drought;severe weather;soil;biofuel;pest;region;frost;agricultureminister;agricultureministry,agriculture press,"Grand Forks, ND",47.9252568,-97.0328547,,"47.9252568, -97.0328547",AgriculturePress,Ethanol Producer Magazine,,dgm_agr_mentioner_entities,e67f25ad6a3908e05d438fefd2cdf289,dgm_agr_mentioner_entities__e67f25ad6a3908e05d438fefd2cdf289
sugarindustry,Sugarcane Industry News,"chennai, india",commodity match;ag commodity;company;country;stateprovince;imports;exports;drought;severe weather;soil;biofuel;pest;region;frost;agricultureminister;agricultureministry,agriculture press,"Chennai, India",13.0826802,80.2707184,,"13.0826802, 80.2707184",AgriculturePress,Sugarcane Industry News,,dgm_agr_mentioner_entities,5f134c2fd5fedb6d61fd37c789b65991,dgm_agr_mentioner_entities__5f134c2fd5fedb6d61fd37c789b65991
franceagricole,La France Agricole,"paris, france",commodity match;ag commodity;company;country;stateprovince;imports;exports;drought;severe weather;soil;biofuel;pest;region;frost;agricultureminister;agricultureministry,agriculture press,"Paris, France",48.856614,2.3522219,,"48.856614, 2.3522219",AgriculturePress,La France Agricole,,dgm_agr_mentioner_entities,56f951e8571a6aeb10bf2dc054fc0fd2,dgm_agr_mentioner_entities__56f951e8571a6aeb10bf2dc054fc0fd2
worldgrain,World Grain,"kansas city, mo",commodity match;ag commodity;company;country;stateprovince;imports;exports;drought;severe weather;soil;biofuel;pest;region;frost;agricultureminister;agricultureministry,agriculture press,"Kansas City, MO",39.0997265,-94.5785667,,"39.0997265, -94.5785667",AgriculturePress,World Grain,,dgm_agr_mentioner_entities,6933e1c71a52ec2c3d906e74bb22b537,dgm_agr_mentioner_entities__6933e1c71a52ec2c3d906e74bb22b537
successfulfarm,Successful Farming,"des moines, io",commodity match;ag commodity;company;country;stateprovince;imports;exports;drought;severe weather;soil;biofuel;pest;region;frost;agricultureminister;agricultureministry,agriculture press,"Des Moines, IO",41.5868353,-93.6249593,,"41.5868353, -93.6249593",AgriculturePress,Successful Farming,,dgm_agr_mentioner_entities,6ce9bfcd02810bac0fa137d38681ce58,dgm_agr_mentioner_entities__6ce9bfcd02810bac0fa137d38681ce58
profarmer,Pro Farmer,"cedar falls, ia",commodity match;ag commodity;company;country;stateprovince;imports;exports;drought;severe weather;soil;biofuel;pest;region;frost;agricultureminister;agricultureministry,agriculture press,"Cedar Falls, IA",42.5348993,-92.4453161,,"42.5348993, -92.4453161",AgriculturePress,Pro Farmer,,dgm_agr_mentioner_entities,c1f64dc849b6d118040191667a6c4554,dgm_agr_mentioner_entities__c1f64dc849b6d118040191667a6c4554
agrilandireland,Agriland,"dublin, ireland",commodity match;ag commodity;company;country;stateprovince;imports;exports;drought;severe weather;soil;biofuel;pest;region;frost;agricultureminister;agricultureministry,agriculture press,"Dublin, Ireland",53.3498053,-6.2603097,,"53.3498053, -6.2603097",AgriculturePress,Agriland,,dgm_agr_mentioner_entities,f608fc365d5db2e98f8be495d8741262,dgm_agr_mentioner_entities__f608fc365d5db2e98f8be495d8741262
nhf_magazine,National Hog Farmer,"st. charles, il",commodity match;ag commodity;company;country;stateprovince;imports;exports;drought;severe weather;soil;biofuel;pest;region;frost;agricultureminister;agricultureministry,agriculture press,"St. Charles, IL",41.9141945,-88.3086867,,"41.9141945, -88.3086867",AgriculturePress,National Hog Farmer,,dgm_agr_mentioner_entities,24f46a762561d3738d6b1d3c6340af8c,dgm_agr_mentioner_entities__24f46a762561d3738d6b1d3c6340af8c
fj_pork,Pork Business,"philadelphia, pa",commodity match;ag commodity;company;country;stateprovince;imports;exports;drought;severe weather;soil;biofuel;pest;region;frost;agricultureminister;agricultureministry,agriculture press,"Philadelphia, PA",39.9525839,-75.1652215,,"39.9525839, -75.1652215",AgriculturePress,Pork Business,,dgm_agr_mentioner_entities,132e1125a7092087e36462c4fd7786d4,dgm_agr_mentioner_entities__132e1125a7092087e36462c4fd7786d4
farminguk,FarmingUK,"brighouse, uk",commodity match;ag commodity;company;country;stateprovince;imports;exports;drought;severe weather;soil;biofuel;pest;region;frost;agricultureminister;agricultureministry,agriculture press,"Brighouse, UK",53.699729,-1.782501,,"53.699729, -1.782501",AgriculturePress,FarmingUK,,dgm_agr_mentioner_entities,f7d2bdf989d92fa7f3db91c807a6a1a0,dgm_agr_mentioner_entities__f7d2bdf989d92fa7f3db91c807a6a1a0
agweekmagazine,Agriculture Week,"fargo, nd",commodity match;ag commodity;company;country;stateprovince;imports;exports;drought;severe weather;soil;biofuel;pest;region;frost;agricultureminister;agricultureministry,agriculture press,"Fargo, ND",46.8771863,-96.7898034,,"46.8771863, -96.7898034",AgriculturePress,Agriculture Week,,dgm_agr_mentioner_entities,d29c067973f1856bd4af9ad646a5cf38,dgm_agr_mentioner_entities__d29c067973f1856bd4af9ad646a5cf38
jordbruk,Jordbruksaktuellt,"orebro, sweden",commodity match;ag commodity;company;country;stateprovince;imports;exports;drought;severe weather;soil;biofuel;pest;region;frost;agricultureminister;agricultureministry,agriculture press,"Orebro, Sweden",59.2752626,15.2134105,,"59.2752626, 15.2134105",AgriculturePress,Jordbruksaktuellt,,dgm_agr_mentioner_entities,c88fba7cbe178e26b4b0bc799d6de589,dgm_agr_mentioner_entities__c88fba7cbe178e26b4b0bc799d6de589
agrilanduk,Agriland UK,"london, uk",commodity match;ag commodity;company;country;stateprovince;imports;exports;drought;severe weather;soil;biofuel;pest;region;frost;agricultureminister;agricultureministry,agriculture press,"London, UK",51.5073509,-0.1277583,,"51.5073509, -0.1277583",AgriculturePress,Agriland UK,,dgm_agr_mentioner_entities,62e1d3b31450a943938d060977d2cfe1,dgm_agr_mentioner_entities__62e1d3b31450a943938d060977d2cfe1
agroinvestor,Agroinvestor,"moscow, russia",commodity match;ag commodity;company;country;stateprovince;imports;exports;drought;severe weather;soil;biofuel;pest;region;frost;agricultureminister;agricultureministry,agriculture press,"Moscow, Russia",55.755826,37.6172999,,"55.755826, 37.6172999",AgriculturePress,Agroinvestor,,dgm_agr_mentioner_entities,35dd97755171214a2cb7460e9fb67201,dgm_agr_mentioner_entities__35dd97755171214a2cb7460e9fb67201
farmsnews,Farms News,"ames, ia",commodity match;ag commodity;company;country;stateprovince;imports;exports;drought;severe weather;soil;biofuel;pest;region;frost;agricultureminister;agricultureministry,agriculture press,"Ames, IA",42.0307812,-93.6319131,,"42.0307812, -93.6319131",AgriculturePress,Farms News,,dgm_agr_mentioner_entities,a31479f3e2794d8122ebd67ea99ca707,dgm_agr_mentioner_entities__a31479f3e2794d8122ebd67ea99ca707
einagrinews,EIN Presswire,"washington, d.c",commodity match;ag commodity;company;country;stateprovince;imports;exports;drought;severe weather;soil;biofuel;pest;region;frost;agricultureminister;agricultureministry,agriculture press,"Washington, D.C",38.9071923,-77.0368707,,"38.9071923, -77.0368707",AgriculturePress,EIN Presswire,,dgm_agr_mentioner_entities,bdff7f3a1ea9b4d7f45e8d2baaa8d598,dgm_agr_mentioner_entities__bdff7f3a1ea9b4d7f45e8d2baaa8d598
precisionagnow,PrecisionAg Global,"willoughby, oh",commodity match;ag commodity;company;country;stateprovince;imports;exports;drought;severe weather;soil;biofuel;pest;region;frost;agricultureminister;agricultureministry,agriculture press,"Willoughby, OH",41.6397696,-81.4065011,,"41.6397696, -81.4065011",AgriculturePress,PrecisionAg Global,,dgm_agr_mentioner_entities,b09646430d3a6b9faaa58fe85c362007,dgm_agr_mentioner_entities__b09646430d3a6b9faaa58fe85c362007
croplifemag,CropLife,"willoughby, oh",commodity match;ag commodity;company;country;stateprovince;imports;exports;drought;severe weather;soil;biofuel;pest;region;frost;agricultureminister;agricultureministry,agriculture press,"Willoughby, OH",41.6397696,-81.4065011,,"41.6397696, -81.4065011",AgriculturePress,CropLife,,dgm_agr_mentioner_entities,ed754166f651880e409d362500a8c509,dgm_agr_mentioner_entities__ed754166f651880e409d362500a8c509
cultivarlemag,Cultivar,"metz, france",commodity match;ag commodity;company;country;stateprovince;imports;exports;drought;severe weather;soil;biofuel;pest;region;frost;agricultureminister;agricultureministry,agriculture press,"Metz, France",49.1193089,6.1757156,,"49.1193089, 6.1757156",AgriculturePress,Cultivar,,dgm_agr_mentioner_entities,4f4d42a376d4f40c4f5e4b32f27da9f1,dgm_agr_mentioner_entities__4f4d42a376d4f40c4f5e4b32f27da9f1
oilseedandgrain,Oilseed and Grain,"danvers, ma",commodity match;ag commodity;company;country;stateprovince;imports;exports;drought;severe weather;soil;biofuel;pest;region;frost;agricultureminister;agricultureministry,agriculture press,"Danvers, MA",42.5750009,-70.932122,,"42.5750009, -70.932122",AgriculturePress,Oilseed and Grain,,dgm_agr_mentioner_entities,d105802a4686c01c0d3f12a89489beca,dgm_agr_mentioner_entities__d105802a4686c01c0d3f12a89489beca
feedandgrainmag,Feed & Grain magazine,"fort atkinson, wi",commodity match;ag commodity;company;country;stateprovince;imports;exports;drought;severe weather;soil;biofuel;pest;region;frost;agricultureminister;agricultureministry,agriculture press,"Fort Atkinson, WI",42.9288944,-88.8370509,,"42.9288944, -88.8370509",AgriculturePress,Feed & Grain magazine,,dgm_agr_mentioner_entities,d47af116bda77e5793660b62b7b77336,dgm_agr_mentioner_entities__d47af116bda77e5793660b62b7b77336
agrimoney,Agrimoney,"london, uk",commodity match;ag commodity;company;country;stateprovince;imports;exports;drought;severe weather;soil;biofuel;pest;region;frost;agricultureminister;agricultureministry,agriculture press,"London, UK",51.5073509,-0.1277583,,"51.5073509, -0.1277583",AgriculturePress,Agrimoney,,dgm_agr_mentioner_entities,d8ce465f4d6e8a7d3c353d88bcbd8c82,dgm_agr_mentioner_entities__d8ce465f4d6e8a7d3c353d88bcbd8c82
ocj_ohioagnet,Ohio's Country Journal,"columbus, oh",commodity match;ag commodity;company;country;stateprovince;imports;exports;drought;severe weather;soil;biofuel;pest;region;frost;agricultureminister;agricultureministry,agriculture press,"Columbus, OH",39.9611755,-82.9987942,,"39.9611755, -82.9987942",AgriculturePress,Ohio's Country Journal,,dgm_agr_mentioner_entities,f7e68d0417d2c2e26746f6ef726eee26,dgm_agr_mentioner_entities__f7e68d0417d2c2e26746f6ef726eee26
sugaronline,Sugaronline,"london, uk",commodity match;ag commodity;company;country;stateprovince;imports;exports;drought;severe weather;soil;biofuel;pest;region;frost;agricultureminister;agricultureministry,agriculture press,"London, UK",51.5073509,-0.1277583,,"51.5073509, -0.1277583",AgriculturePress,Sugaronline,,dgm_agr_mentioner_entities,f3a2229e43d6b164ac9016a11d974711,dgm_agr_mentioner_entities__f3a2229e43d6b164ac9016a11d974711
sugarcaneorg,Sugarcane,"sao paulo, brazil",commodity match;ag commodity;company;country;stateprovince;imports;exports;drought;severe weather;soil;biofuel;pest;region;frost;agricultureminister;agricultureministry,agriculture press,"Sao Paulo, Brazil",-23.5557714,-46.6395571,,"-23.5557714, -46.6395571",AgriculturePress,Sugarcane,,dgm_agr_mentioner_entities,a943b37838a2e5ec127bbaacda39a046,dgm_agr_mentioner_entities__a943b37838a2e5ec127bbaacda39a046
ruralrootscda,Rural Roots Canada,"calgary, canada",commodity match;ag commodity;company;country;stateprovince;imports;exports;drought;severe weather;soil;biofuel;pest;region;frost;agricultureminister;agricultureministry,agriculture press,"Calgary, Canada",51.0447331,-114.0718831,,"51.0447331, -114.0718831",AgriculturePress,Rural Roots Canada,,dgm_agr_mentioner_entities,9c2a5e11df76564341a067a4a4235f58,dgm_agr_mentioner_entities__9c2a5e11df76564341a067a4a4235f58
farmersjournal,Irish Farmers Journal,"dublin, ireland",commodity match;ag commodity;company;country;stateprovince;imports;exports;drought;severe weather;soil;biofuel;pest;region;frost;agricultureminister;agricultureministry,agriculture press,"Dublin, Ireland",53.3498053,-6.2603097,,"53.3498053, -6.2603097",AgriculturePress,Irish Farmers Journal,,dgm_agr_mentioner_entities,271380f6060d3e546e5f0c554a1c0d4a,dgm_agr_mentioner_entities__271380f6060d3e546e5f0c554a1c0d4a
ecomercioagr,eComercio Agrario,"madrid, spain",commodity match;ag commodity;company;country;stateprovince;imports;exports;drought;severe weather;soil;biofuel;pest;region;frost;agricultureminister;agricultureministry,agriculture press,"Madrid, Spain",40.4167754,-3.7037902,,"40.4167754, -3.7037902",AgriculturePress,eComercio Agrario,,dgm_agr_mentioner_entities,aa29bedf62443e68846c4103de37d9a1,dgm_agr_mentioner_entities__aa29bedf62443e68846c4103de37d9a1
agrarheute_com,agrarheute,"munich, germany",commodity match;ag commodity;company;country;stateprovince;imports;exports;drought;severe weather;soil;biofuel;pest;region;frost;agricultureminister;agricultureministry,agriculture press,"Munich, Germany",48.1351253,11.5819805,,"48.1351253, 11.5819805",AgriculturePress,agrarheute,,dgm_agr_mentioner_entities,7559208417ae17a929c3a7d7fed7d97f,dgm_agr_mentioner_entities__7559208417ae17a929c3a7d7fed7d97f
farmweekly,Farm Weekly,"perth, australia",commodity match;ag commodity;company;country;stateprovince;imports;exports;drought;severe weather;soil;biofuel;pest;region;frost;agricultureminister;agricultureministry,agriculture press,"Perth, Australia",-31.9523123,115.861309,,"-31.9523123, 115.861309",AgriculturePress,Farm Weekly,,dgm_agr_mentioner_entities,ed6e832a006d225a8cd56c640b41dff1,dgm_agr_mentioner_entities__ed6e832a006d225a8cd56c640b41dff1
farmonline,FarmOnline,"north richmond, australia",commodity match;ag commodity;company;country;stateprovince;imports;exports;drought;severe weather;soil;biofuel;pest;region;frost;agricultureminister;agricultureministry,agriculture press,"North Richmond, Australia",-33.5798326,150.7195805,,"-33.5798326, 150.7195805",AgriculturePress,FarmOnline,,dgm_agr_mentioner_entities,267593ed7a0f5687e960cffbcd15e061,dgm_agr_mentioner_entities__267593ed7a0f5687e960cffbcd15e061
theausfarmer,The Australian Farmer,"roseville, australia",commodity match;ag commodity;company;country;stateprovince;imports;exports;drought;severe weather;soil;biofuel;pest;region;frost;agricultureminister;agricultureministry,agriculture press,"Roseville, Australia",-33.7842176,151.1894277,,"-33.7842176, 151.1894277",AgriculturePress,The Australian Farmer,,dgm_agr_mentioner_entities,0dd107174952db817776eb8eedf475ed,dgm_agr_mentioner_entities__0dd107174952db817776eb8eedf475ed
thelandnews,The Land,"orange, australia",commodity match;ag commodity;company;country;stateprovince;imports;exports;drought;severe weather;soil;biofuel;pest;region;frost;agricultureminister;agricultureministry,agriculture press,"Orange, Australia",-33.283333,149.1,,"-33.283333, 149.1",AgriculturePress,The Land,,dgm_agr_mentioner_entities,bc744caca1f6c11a3902037a70396475,dgm_agr_mentioner_entities__bc744caca1f6c11a3902037a70396475
theweeklytimes,The Weekly Times,"melbourne, australia",commodity match;ag commodity;company;country;stateprovince;imports;exports;drought;severe weather;soil;biofuel;pest;region;frost;agricultureminister;agricultureministry,agriculture press,"Melbourne, Australia",-37.8136276,144.9630576,,"-37.8136276, 144.9630576",AgriculturePress,The Weekly Times,,dgm_agr_mentioner_entities,302f40058688f5caba87495eff8d4ba4,dgm_agr_mentioner_entities__302f40058688f5caba87495eff8d4ba4
ontfarmernews,Ontario Farmer,"london, ontario, canada",commodity match;ag commodity;company;country;stateprovince;imports;exports;drought;severe weather;soil;biofuel;pest;region;frost;agricultureminister;agricultureministry,agriculture press,"London, Ontario, Canada",42.9849233,-81.2452768,,"42.9849233, -81.2452768",AgriculturePress,Ontario Farmer,,dgm_agr_mentioner_entities,8e655fb719d5d63f815bf1f006aa5bd4,dgm_agr_mentioner_entities__8e655fb719d5d63f815bf1f006aa5bd4
topcropmag,Top Crop Magazine,"simcoe, canada",commodity match;ag commodity;company;country;stateprovince;imports;exports;drought;severe weather;soil;biofuel;pest;region;frost;agricultureminister;agricultureministry,agriculture press,"Simcoe, Canada",42.8372632,-80.3040424,,"42.8372632, -80.3040424",AgriculturePress,Top Crop Magazine,,dgm_agr_mentioner_entities,da1155529e17062c83fff3a6a7f6017c,dgm_agr_mentioner_entities__da1155529e17062c83fff3a6a7f6017c
farmersweeklysa,Farmer's Weekly,"johannesburg, south africa",commodity match;ag commodity;company;country;stateprovince;imports;exports;drought;severe weather;soil;biofuel;pest;region;frost;agricultureminister;agricultureministry,agriculture press,"Johannesburg, South Africa",-26.2041028,28.0473051,,"-26.2041028, 28.0473051",AgriculturePress,Farmer's Weekly,,dgm_agr_mentioner_entities,68e943f902ce13d2641d0f43e0d1c08f,dgm_agr_mentioner_entities__68e943f902ce13d2641d0f43e0d1c08f
