handle,caption_name,location_lower,include_groups,entity_type,location,lat,long,exclude_groups,,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
farminguk,FarmingUK,"brighouse, uk",commodity match;ag commodity;company;country;stateprovince;drought;severe weather;soil;biofuel;pest;region;frost;agricultureminister;agricultureministry,agriculture press,"Brighouse, UK",53.699729,-1.782501,,"53.699729, -1.782501",AgriculturePress,FarmingUK,,agripress_dgm_agr_mentioner_entities,f7d2bdf989d92fa7f3db91c807a6a1a0,agripress_dgm_agr_mentioner_entities__f7d2bdf989d92fa7f3db91c807a6a1a0
agweekmagazine,Agriculture Week,"fargo, nd",commodity match;ag commodity;company;country;stateprovince;drought;severe weather;soil;biofuel;pest;region;frost;agricultureminister;agricultureministry,agriculture press,"Fargo, ND",46.8771863,-96.7898034,,"46.8771863, -96.7898034",AgriculturePress,Agriculture Week,,agripress_dgm_agr_mentioner_entities,d29c067973f1856bd4af9ad646a5cf38,agripress_dgm_agr_mentioner_entities__d29c067973f1856bd4af9ad646a5cf38
agrilanduk,Agriland UK,"london, uk",commodity match;ag commodity;company;country;stateprovince;drought;severe weather;soil;biofuel;pest;region;frost;agricultureminister;agricultureministry,agriculture press,"London, UK",51.5073509,-0.1277583,,"51.5073509, -0.1277583",AgriculturePress,Agriland UK,,agripress_dgm_agr_mentioner_entities,62e1d3b31450a943938d060977d2cfe1,agripress_dgm_agr_mentioner_entities__62e1d3b31450a943938d060977d2cfe1
farmsnews,Farms News,"ames, ia",commodity match;ag commodity;company;country;stateprovince;drought;severe weather;soil;biofuel;pest;region;frost;agricultureminister;agricultureministry,agriculture press,"Ames, IA",42.0307812,-93.6319131,,"42.0307812, -93.6319131",AgriculturePress,Farms News,,agripress_dgm_agr_mentioner_entities,a31479f3e2794d8122ebd67ea99ca707,agripress_dgm_agr_mentioner_entities__a31479f3e2794d8122ebd67ea99ca707
einagrinews,EIN Presswire,"washington, d.c",commodity match;ag commodity;company;country;stateprovince;drought;severe weather;soil;biofuel;pest;region;frost;agricultureminister;agricultureministry,agriculture press,"Washington, D.C",38.9071923,-77.0368707,,"38.9071923, -77.0368707",AgriculturePress,EIN Presswire,,agripress_dgm_agr_mentioner_entities,bdff7f3a1ea9b4d7f45e8d2baaa8d598,agripress_dgm_agr_mentioner_entities__bdff7f3a1ea9b4d7f45e8d2baaa8d598
precisionagnow,PrecisionAg Global,"willoughby, oh",commodity match;ag commodity;company;country;stateprovince;drought;severe weather;soil;biofuel;pest;region;frost;agricultureminister;agricultureministry,agriculture press,"Willoughby, OH",41.6397696,-81.4065011,,"41.6397696, -81.4065011",AgriculturePress,PrecisionAg Global,,agripress_dgm_agr_mentioner_entities,b09646430d3a6b9faaa58fe85c362007,agripress_dgm_agr_mentioner_entities__b09646430d3a6b9faaa58fe85c362007
croplifemag,CropLife,"willoughby, oh",commodity match;ag commodity;company;country;stateprovince;drought;severe weather;soil;biofuel;pest;region;frost;agricultureminister;agricultureministry,agriculture press,"Willoughby, OH",41.6397696,-81.4065011,,"41.6397696, -81.4065011",AgriculturePress,CropLife,,agripress_dgm_agr_mentioner_entities,ed754166f651880e409d362500a8c509,agripress_dgm_agr_mentioner_entities__ed754166f651880e409d362500a8c509
oilseedandgrain,Oilseed and Grain,"danvers, ma",commodity match;ag commodity;company;country;stateprovince;drought;severe weather;soil;biofuel;pest;region;frost;agricultureminister;agricultureministry,agriculture press,"Danvers, MA",42.5750009,-70.932122,,"42.5750009, -70.932122",AgriculturePress,Oilseed and Grain,,agripress_dgm_agr_mentioner_entities,d105802a4686c01c0d3f12a89489beca,agripress_dgm_agr_mentioner_entities__d105802a4686c01c0d3f12a89489beca
feedandgrainmag,Feed & Grain magazine,"fort atkinson, wi",commodity match;ag commodity;company;country;stateprovince;drought;severe weather;soil;biofuel;pest;region;frost;agricultureminister;agricultureministry,agriculture press,"Fort Atkinson, WI",42.9288944,-88.8370509,,"42.9288944, -88.8370509",AgriculturePress,Feed & Grain magazine,,agripress_dgm_agr_mentioner_entities,d47af116bda77e5793660b62b7b77336,agripress_dgm_agr_mentioner_entities__d47af116bda77e5793660b62b7b77336
agrimoney,Agrimoney,"london, uk",commodity match;ag commodity;company;country;stateprovince;drought;severe weather;soil;biofuel;pest;region;frost;agricultureminister;agricultureministry,agriculture press,"London, UK",51.5073509,-0.1277583,,"51.5073509, -0.1277583",AgriculturePress,Agrimoney,,agripress_dgm_agr_mentioner_entities,d8ce465f4d6e8a7d3c353d88bcbd8c82,agripress_dgm_agr_mentioner_entities__d8ce465f4d6e8a7d3c353d88bcbd8c82
ocj_ohioagnet,Ohio's Country Journal,"columbus, oh",commodity match;ag commodity;company;country;stateprovince;drought;severe weather;soil;biofuel;pest;region;frost;agricultureminister;agricultureministry,agriculture press,"Columbus, OH",39.9611755,-82.9987942,,"39.9611755, -82.9987942",AgriculturePress,Ohio's Country Journal,,agripress_dgm_agr_mentioner_entities,f7e68d0417d2c2e26746f6ef726eee26,agripress_dgm_agr_mentioner_entities__f7e68d0417d2c2e26746f6ef726eee26
sugaronline,Sugaronline,"london, uk",commodity match;ag commodity;company;country;stateprovince;drought;severe weather;soil;biofuel;pest;region;frost;agricultureminister;agricultureministry,agriculture press,"London, UK",51.5073509,-0.1277583,,"51.5073509, -0.1277583",AgriculturePress,Sugaronline,,agripress_dgm_agr_mentioner_entities,f3a2229e43d6b164ac9016a11d974711,agripress_dgm_agr_mentioner_entities__f3a2229e43d6b164ac9016a11d974711
ruralrootscda,Rural Roots Canada,"calgary, canada",commodity match;ag commodity;company;country;stateprovince;drought;severe weather;soil;biofuel;pest;region;frost;agricultureminister;agricultureministry,agriculture press,"Calgary, Canada",51.0447331,-114.0718831,,"51.0447331, -114.0718831",AgriculturePress,Rural Roots Canada,,agripress_dgm_agr_mentioner_entities,9c2a5e11df76564341a067a4a4235f58,agripress_dgm_agr_mentioner_entities__9c2a5e11df76564341a067a4a4235f58
farmersjournal,Irish Farmers Journal,"dublin, ireland",commodity match;ag commodity;company;country;stateprovince;drought;severe weather;soil;biofuel;pest;region;frost;agricultureminister;agricultureministry,agriculture press,"Dublin, Ireland",53.3498053,-6.2603097,,"53.3498053, -6.2603097",AgriculturePress,Irish Farmers Journal,,agripress_dgm_agr_mentioner_entities,271380f6060d3e546e5f0c554a1c0d4a,agripress_dgm_agr_mentioner_entities__271380f6060d3e546e5f0c554a1c0d4a
farmweekly,Farm Weekly,"perth, australia",commodity match;ag commodity;company;country;stateprovince;drought;severe weather;soil;biofuel;pest;region;frost;agricultureminister;agricultureministry,agriculture press,"Perth, Australia",-31.9523123,115.861309,,"-31.9523123, 115.861309",AgriculturePress,Farm Weekly,,agripress_dgm_agr_mentioner_entities,ed6e832a006d225a8cd56c640b41dff1,agripress_dgm_agr_mentioner_entities__ed6e832a006d225a8cd56c640b41dff1
farmonline,FarmOnline,"north richmond, australia",commodity match;ag commodity;company;country;stateprovince;drought;severe weather;soil;biofuel;pest;region;frost;agricultureminister;agricultureministry,agriculture press,"North Richmond, Australia",-33.5798326,150.7195805,,"-33.5798326, 150.7195805",AgriculturePress,FarmOnline,,agripress_dgm_agr_mentioner_entities,267593ed7a0f5687e960cffbcd15e061,agripress_dgm_agr_mentioner_entities__267593ed7a0f5687e960cffbcd15e061
theausfarmer,The Australian Farmer,"roseville, australia",commodity match;ag commodity;company;country;stateprovince;drought;severe weather;soil;biofuel;pest;region;frost;agricultureminister;agricultureministry,agriculture press,"Roseville, Australia",-33.7842176,151.1894277,,"-33.7842176, 151.1894277",AgriculturePress,The Australian Farmer,,agripress_dgm_agr_mentioner_entities,0dd107174952db817776eb8eedf475ed,agripress_dgm_agr_mentioner_entities__0dd107174952db817776eb8eedf475ed
thelandnews,The Land,"orange, australia",commodity match;ag commodity;company;country;stateprovince;drought;severe weather;soil;biofuel;pest;region;frost;agricultureminister;agricultureministry,agriculture press,"Orange, Australia",-33.283333,149.1,,"-33.283333, 149.1",AgriculturePress,The Land,,agripress_dgm_agr_mentioner_entities,bc744caca1f6c11a3902037a70396475,agripress_dgm_agr_mentioner_entities__bc744caca1f6c11a3902037a70396475
theweeklytimes,The Weekly Times,"melbourne, australia",commodity match;ag commodity;company;country;stateprovince;drought;severe weather;soil;biofuel;pest;region;frost;agricultureminister;agricultureministry,agriculture press,"Melbourne, Australia",-37.8136276,144.9630576,,"-37.8136276, 144.9630576",AgriculturePress,The Weekly Times,,agripress_dgm_agr_mentioner_entities,302f40058688f5caba87495eff8d4ba4,agripress_dgm_agr_mentioner_entities__302f40058688f5caba87495eff8d4ba4
ontfarmernews,Ontario Farmer,"london, ontario, canada",commodity match;ag commodity;company;country;stateprovince;drought;severe weather;soil;biofuel;pest;region;frost;agricultureminister;agricultureministry,agriculture press,"London, Ontario, Canada",42.9849233,-81.2452768,,"42.9849233, -81.2452768",AgriculturePress,Ontario Farmer,,agripress_dgm_agr_mentioner_entities,8e655fb719d5d63f815bf1f006aa5bd4,agripress_dgm_agr_mentioner_entities__8e655fb719d5d63f815bf1f006aa5bd4
topcropmag,Top Crop Magazine,"simcoe, canada",commodity match;ag commodity;company;country;stateprovince;drought;severe weather;soil;biofuel;pest;region;frost;agricultureminister;agricultureministry,agriculture press,"Simcoe, Canada",42.8372632,-80.3040424,,"42.8372632, -80.3040424",AgriculturePress,Top Crop Magazine,,agripress_dgm_agr_mentioner_entities,da1155529e17062c83fff3a6a7f6017c,agripress_dgm_agr_mentioner_entities__da1155529e17062c83fff3a6a7f6017c
farmersweeklysa,Farmer's Weekly,"johannesburg, south africa",commodity match;ag commodity;company;country;stateprovince;drought;severe weather;soil;biofuel;pest;region;frost;agricultureminister;agricultureministry,agriculture press,"Johannesburg, South Africa",-26.2041028,28.0473051,,"-26.2041028, 28.0473051",AgriculturePress,Farmer's Weekly,,agripress_dgm_agr_mentioner_entities,68e943f902ce13d2641d0f43e0d1c08f,agripress_dgm_agr_mentioner_entities__68e943f902ce13d2641d0f43e0d1c08f
harvestsa3,Harvest SA,"cape town, south africa",commodity match;ag commodity;company;country;stateprovince;drought;severe weather;soil;biofuel;pest;region;frost;agricultureminister;agricultureministry,agriculture press,"Cape Town, South Africa",-33.9248685,18.4240553,,"-33.9248685, 18.4240553",AgriculturePress,Harvest SA,,agripress_dgm_agr_mentioner_entities,1b5329d86ea5bc68fcf226f00a24a78c,agripress_dgm_agr_mentioner_entities__1b5329d86ea5bc68fcf226f00a24a78c
africanfarming,African Farming,"cape town, south africa",commodity match;ag commodity;company;country;stateprovince;drought;severe weather;soil;biofuel;pest;region;frost;agricultureminister;agricultureministry,agriculture press,"Cape Town, South Africa",-33.9248685,18.4240553,,"-33.9248685, 18.4240553",AgriculturePress,African Farming,,agripress_dgm_agr_mentioner_entities,442ae5f745ae32dbd31ee9370360ea23,agripress_dgm_agr_mentioner_entities__442ae5f745ae32dbd31ee9370360ea23
ftcommodities,FT Commodities,"london, uk",commodity match;ag commodity;company;country;stateprovince;drought;severe weather;soil;biofuel;pest;region;frost;agricultureminister;agricultureministry,agriculture press,"London, UK",51.5073509,-0.1277583,,"51.5073509, -0.1277583",AgriculturePress,FT Commodities,,agripress_dgm_agr_mentioner_entities,1e1de348ff018b6b496f199d87809f64,agripress_dgm_agr_mentioner_entities__1e1de348ff018b6b496f199d87809f64
bncommodities,Bloomberg Commodities,"new york, ny",commodity match;ag commodity;company;country;stateprovince;drought;severe weather;soil;biofuel;pest;region;frost;agricultureminister;agricultureministry,agriculture press,"New York, NY",40.7127753,-74.0059728,,"40.7127753, -74.0059728",AgriculturePress,Bloomberg Commodities,,agripress_dgm_agr_mentioner_entities,1115e5dff5e5fcef3b88ca309924053d,agripress_dgm_agr_mentioner_entities__1115e5dff5e5fcef3b88ca309924053d
plattsag,Platts Agriculture,"london, uk",commodity match;ag commodity;company;country;stateprovince;drought;severe weather;soil;biofuel;pest;region;frost;agricultureminister;agricultureministry,agriculture press,"London, UK",51.5073509,-0.1277583,,"51.5073509, -0.1277583",AgriculturePress,Platts Agriculture,,agripress_dgm_agr_mentioner_entities,97df4650f5ff14e2a063bbf0ab749025,agripress_dgm_agr_mentioner_entities__97df4650f5ff14e2a063bbf0ab749025
reutersag,Reuters Ag,"london, uk",commodity match;ag commodity;company;country;stateprovince;drought;severe weather;soil;biofuel;pest;region;frost;agricultureminister;agricultureministry,agriculture press,"London, UK",51.5073509,-0.1277583,,"51.5073509, -0.1277583",AgriculturePress,Reuters Ag,,agripress_dgm_agr_mentioner_entities,c42078877b9219f0386b1f0591ea4ca0,agripress_dgm_agr_mentioner_entities__c42078877b9219f0386b1f0591ea4ca0
ifpri,International Food Policy Research Institute,"washington, d.c",commodity match;ag commodity;company;country;stateprovince;drought;severe weather;soil;biofuel;pest;region;frost;agricultureminister;agricultureministry,agriculture press,"Washington, D.C",38.9071923,-77.0368707,,"38.9071923, -77.0368707",AgriculturePress,International Food Policy Research Institute,,agripress_dgm_agr_mentioner_entities,f22b446c35b1a4500bfb8fb9251d4375,agripress_dgm_agr_mentioner_entities__f22b446c35b1a4500bfb8fb9251d4375
