earthquake_keyword,caption_name,alert_threshold,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
2 8级,Magnitude 2.8 earthquake,general.alert4,Exec,Magnitude 2.8 earthquake,,dgm_chinaearthquakemagnitude,eb5b7ddec321a813b26d2c62fbbc0b60,dgm_chinaearthquakemagnitude__eb5b7ddec321a813b26d2c62fbbc0b60
2 9级,Magnitude 2.9 earthquake,general.alert4,AAEntity,Magnitude 2.9 earthquake,,dgm_chinaearthquakemagnitude,9179875e1c1f4e05100b33d7edefcba5,dgm_chinaearthquakemagnitude__9179875e1c1f4e05100b33d7edefcba5
3级,Magnitude 3.0 earthquake,general.alert4,Exec,Magnitude 3.0 earthquake,,dgm_chinaearthquakemagnitude,336e388b9d946f227a92f01542379fdc,dgm_chinaearthquakemagnitude__336e388b9d946f227a92f01542379fdc
3 0级,Magnitude 3.0 earthquake,general.alert4,ForeignMinistry,Magnitude 3.0 earthquake,,dgm_chinaearthquakemagnitude,336e388b9d946f227a92f01542379fdc,dgm_chinaearthquakemagnitude__336e388b9d946f227a92f01542379fdc
3 1级,Magnitude 3.1 earthquake,general.alert4,AAEntity,Magnitude 3.1 earthquake,,dgm_chinaearthquakemagnitude,2933cd4c3c466d7cb0bd84991a27298a,dgm_chinaearthquakemagnitude__2933cd4c3c466d7cb0bd84991a27298a
3 2级,Magnitude 3.2 earthquake,general.alert4,CompanyKeyword,Magnitude 3.2 earthquake,,dgm_chinaearthquakemagnitude,ef3fac19482ff24f3321ff8c641def62,dgm_chinaearthquakemagnitude__ef3fac19482ff24f3321ff8c641def62
3 3级,Magnitude 3.3 earthquake,general.alert4,FTO,Magnitude 3.3 earthquake,,dgm_chinaearthquakemagnitude,6528e0e6f4a956a47fbcdefece2c48f8,dgm_chinaearthquakemagnitude__6528e0e6f4a956a47fbcdefece2c48f8
3 4级,Magnitude 3.4 earthquake,general.alert4,Shipping,Magnitude 3.4 earthquake,,dgm_chinaearthquakemagnitude,05d88fc563eae52df670fdea1f7954e9,dgm_chinaearthquakemagnitude__05d88fc563eae52df670fdea1f7954e9
3 5级,Magnitude 3.5 earthquake,general.alert4,Media,Magnitude 3.5 earthquake,,dgm_chinaearthquakemagnitude,be47e30391d0896c6271c6b97a7c2316,dgm_chinaearthquakemagnitude__be47e30391d0896c6271c6b97a7c2316
3 6级,Magnitude 3.6 earthquake,general.alert2.local,Person,Magnitude 3.6 earthquake,,dgm_chinaearthquakemagnitude,db32c694cf2aabd9989156a51a3f03cb,dgm_chinaearthquakemagnitude__db32c694cf2aabd9989156a51a3f03cb
3 7级,Magnitude 3.7 earthquake,general.alert2.local,CompanyKeyword,Magnitude 3.7 earthquake,,dgm_chinaearthquakemagnitude,5c5c2590025311b0bb678ec52605e51f,dgm_chinaearthquakemagnitude__5c5c2590025311b0bb678ec52605e51f
3 8级,Magnitude 3.8 earthquake,general.alert2.local,IndustryTerm,Magnitude 3.8 earthquake,,dgm_chinaearthquakemagnitude,3c080aa971d157b456fa4c3d1d0e91d7,dgm_chinaearthquakemagnitude__3c080aa971d157b456fa4c3d1d0e91d7
3 9级,Magnitude 3.9 earthquake,general.alert2.local,Consulates,Magnitude 3.9 earthquake,,dgm_chinaearthquakemagnitude,fa1aba74f350c4d90abf19a024f9cd26,dgm_chinaearthquakemagnitude__fa1aba74f350c4d90abf19a024f9cd26
4级,Magnitude 4.0 earthquake,general.alert2.local,AAEntity,Magnitude 4.0 earthquake,,dgm_chinaearthquakemagnitude,1fb48de68d90bf6bcfdb843a92ec6323,dgm_chinaearthquakemagnitude__1fb48de68d90bf6bcfdb843a92ec6323
4 0级,Magnitude 4.0 earthquake,general.alert2.local,Wells,Magnitude 4.0 earthquake,,dgm_chinaearthquakemagnitude,1fb48de68d90bf6bcfdb843a92ec6323,dgm_chinaearthquakemagnitude__1fb48de68d90bf6bcfdb843a92ec6323
4 1级,Magnitude 4.1 earthquake,general.alert2.local,Exec,Magnitude 4.1 earthquake,,dgm_chinaearthquakemagnitude,5916237cd7ba4119cb3b9bd3d25f9f49,dgm_chinaearthquakemagnitude__5916237cd7ba4119cb3b9bd3d25f9f49
4 2级,Magnitude 4.2 earthquake,general.alert2.local,ForeignMinistry,Magnitude 4.2 earthquake,,dgm_chinaearthquakemagnitude,983c0b1e33ea492c3fe0019e4d48bf11,dgm_chinaearthquakemagnitude__983c0b1e33ea492c3fe0019e4d48bf11
4 3级,Magnitude 4.3 earthquake,general.alert2.local,ForeignMinistry,Magnitude 4.3 earthquake,,dgm_chinaearthquakemagnitude,b346445d8bf78ea64a5a31cb0e81601c,dgm_chinaearthquakemagnitude__b346445d8bf78ea64a5a31cb0e81601c
4 4级,Magnitude 4.4 earthquake,general.alert2.local,LegislativeCommittee,Magnitude 4.4 earthquake,,dgm_chinaearthquakemagnitude,979a8fcd8e1e1dd16f2751b9a1f21b26,dgm_chinaearthquakemagnitude__979a8fcd8e1e1dd16f2751b9a1f21b26
4 5级,Magnitude 4.5 earthquake,general.alert2,Shipping,Magnitude 4.5 earthquake,,dgm_chinaearthquakemagnitude,d131944b8588eaecf9f407d983ad1e1a,dgm_chinaearthquakemagnitude__d131944b8588eaecf9f407d983ad1e1a
4 6级,Magnitude 4.6 earthquake,general.alert2,Exec,Magnitude 4.6 earthquake,,dgm_chinaearthquakemagnitude,91b104b0c06be8d5342f3234aac17e35,dgm_chinaearthquakemagnitude__91b104b0c06be8d5342f3234aac17e35
4 7级,Magnitude 4.7 earthquake,general.alert2,Consulates,Magnitude 4.7 earthquake,,dgm_chinaearthquakemagnitude,8e362c67df7d9e9d0d3f5c48f77b8d97,dgm_chinaearthquakemagnitude__8e362c67df7d9e9d0d3f5c48f77b8d97
4 8级,Magnitude 4.8 earthquake,general.alert2,Wells,Magnitude 4.8 earthquake,,dgm_chinaearthquakemagnitude,27a146a3e58215aaaaf677b81ab0f1a0,dgm_chinaearthquakemagnitude__27a146a3e58215aaaaf677b81ab0f1a0
4 9级,Magnitude 4.9 earthquake,general.alert2,Shipping,Magnitude 4.9 earthquake,,dgm_chinaearthquakemagnitude,4529d0373246582abd82d975edcb2025,dgm_chinaearthquakemagnitude__4529d0373246582abd82d975edcb2025
5级,Magnitude 5.0 earthquake,general.alert2,AAEntity,Magnitude 5.0 earthquake,,dgm_chinaearthquakemagnitude,3fb047c2405fbdd23866798cc9128483,dgm_chinaearthquakemagnitude__3fb047c2405fbdd23866798cc9128483
5 0级,Magnitude 5.0 earthquake,general.alert2,space,Magnitude 5.0 earthquake,,dgm_chinaearthquakemagnitude,3fb047c2405fbdd23866798cc9128483,dgm_chinaearthquakemagnitude__3fb047c2405fbdd23866798cc9128483
5 1级,Magnitude 5.1 earthquake,general.alert2,Pipeline,Magnitude 5.1 earthquake,,dgm_chinaearthquakemagnitude,1f063d48f3787385f4ed733c27f95fa4,dgm_chinaearthquakemagnitude__1f063d48f3787385f4ed733c27f95fa4
5 2级,Magnitude 5.2 earthquake,general.alert2,Consulates,Magnitude 5.2 earthquake,,dgm_chinaearthquakemagnitude,1187322468c2ffe61a9f4668230017b2,dgm_chinaearthquakemagnitude__1187322468c2ffe61a9f4668230017b2
5 3级,Magnitude 5.3 earthquake,general.alert2,ForeignMinistry,Magnitude 5.3 earthquake,,dgm_chinaearthquakemagnitude,c3eb5f095b260784db4337554e2d6e16,dgm_chinaearthquakemagnitude__c3eb5f095b260784db4337554e2d6e16
5 4级,Magnitude 5.4 earthquake,general.alert2,Person,Magnitude 5.4 earthquake,,dgm_chinaearthquakemagnitude,6a297d269805d87c7be6dfe235c873cd,dgm_chinaearthquakemagnitude__6a297d269805d87c7be6dfe235c873cd
5 5级,Magnitude 5.5 earthquake,general.alert2,LegislativeCommittee,Magnitude 5.5 earthquake,,dgm_chinaearthquakemagnitude,8c97757e13f5f2cdd8ea9934c8068c29,dgm_chinaearthquakemagnitude__8c97757e13f5f2cdd8ea9934c8068c29
5 6级,Magnitude 5.6 earthquake,general.alert2,Pipeline,Magnitude 5.6 earthquake,,dgm_chinaearthquakemagnitude,ab91568125aa3c32814258c6627994c7,dgm_chinaearthquakemagnitude__ab91568125aa3c32814258c6627994c7
5 7级,Magnitude 5.7 earthquake,general.alert2,ForeignMinistry,Magnitude 5.7 earthquake,,dgm_chinaearthquakemagnitude,814146f942d8530e27f7d1c3677dfc6b,dgm_chinaearthquakemagnitude__814146f942d8530e27f7d1c3677dfc6b
5 8级,Magnitude 5.8 earthquake,general.alert2,News,Magnitude 5.8 earthquake,,dgm_chinaearthquakemagnitude,a74885ad30b6bfa9b8ff02afe365d859,dgm_chinaearthquakemagnitude__a74885ad30b6bfa9b8ff02afe365d859
5 9级,Magnitude 5.9 earthquake,general.alert2,IndustryTerm,Magnitude 5.9 earthquake,,dgm_chinaearthquakemagnitude,13ce28195b59fa0640d0b2a2e8f18795,dgm_chinaearthquakemagnitude__13ce28195b59fa0640d0b2a2e8f18795
6级,Magnitude 6.0 earthquake,general.alert2,CompanyKeyword,Magnitude 6.0 earthquake,,dgm_chinaearthquakemagnitude,3e7af9fbe6fc40b75c088cc2a094b40b,dgm_chinaearthquakemagnitude__3e7af9fbe6fc40b75c088cc2a094b40b
6 0级,Magnitude 6.0 earthquake,general.alert2,Exec,Magnitude 6.0 earthquake,,dgm_chinaearthquakemagnitude,3e7af9fbe6fc40b75c088cc2a094b40b,dgm_chinaearthquakemagnitude__3e7af9fbe6fc40b75c088cc2a094b40b
6 1级,Magnitude 6.1 earthquake,general.alert2,Consulates,Magnitude 6.1 earthquake,,dgm_chinaearthquakemagnitude,e4688d6d6093d28ec91304a0394837df,dgm_chinaearthquakemagnitude__e4688d6d6093d28ec91304a0394837df
6 2级,Magnitude 6.2 earthquake,general.alert2,Shipping,Magnitude 6.2 earthquake,,dgm_chinaearthquakemagnitude,cb185c2a3df38259b01c5e257a521d30,dgm_chinaearthquakemagnitude__cb185c2a3df38259b01c5e257a521d30
6 3级,Magnitude 6.3 earthquake,general.alert2,Pipeline,Magnitude 6.3 earthquake,,dgm_chinaearthquakemagnitude,239f9c583dbe34937d07046ca2910d53,dgm_chinaearthquakemagnitude__239f9c583dbe34937d07046ca2910d53
6 4级,Magnitude 6.4 earthquake,general.alert2,LegislativeCommittee,Magnitude 6.4 earthquake,,dgm_chinaearthquakemagnitude,dd6f977b468fa769e60baa4d7545ab62,dgm_chinaearthquakemagnitude__dd6f977b468fa769e60baa4d7545ab62
6 5级,Magnitude 6.5 earthquake,general.alert2,Wells,Magnitude 6.5 earthquake,,dgm_chinaearthquakemagnitude,e751598cb112b382f1e4c50ba73b1582,dgm_chinaearthquakemagnitude__e751598cb112b382f1e4c50ba73b1582
6 6级,Magnitude 6.6 earthquake,general.alert2,Shipping,Magnitude 6.6 earthquake,,dgm_chinaearthquakemagnitude,b65653ea6226301b30629657b89ec33c,dgm_chinaearthquakemagnitude__b65653ea6226301b30629657b89ec33c
6 7级,Magnitude 6.7 earthquake,general.alert2,IndustryTerm,Magnitude 6.7 earthquake,,dgm_chinaearthquakemagnitude,b77c155d1e3b59fae3156f274cd8da6e,dgm_chinaearthquakemagnitude__b77c155d1e3b59fae3156f274cd8da6e
6 8级,Magnitude 6.8 earthquake,general.alert2,ForeignMinistry,Magnitude 6.8 earthquake,,dgm_chinaearthquakemagnitude,4fb2851ec26787ddbd7ec934c041abc6,dgm_chinaearthquakemagnitude__4fb2851ec26787ddbd7ec934c041abc6
6 9级,Magnitude 6.9 earthquake,general.alert2,Shipping,Magnitude 6.9 earthquake,,dgm_chinaearthquakemagnitude,2e8ba179263a5bfee15e445c4f5bc2a5,dgm_chinaearthquakemagnitude__2e8ba179263a5bfee15e445c4f5bc2a5
7级,Magnitude 7.0 earthquake,general.alert2,Person,Magnitude 7.0 earthquake,,dgm_chinaearthquakemagnitude,185f366642da766bee2d3a0009a6dcb2,dgm_chinaearthquakemagnitude__185f366642da766bee2d3a0009a6dcb2
7 0级,Magnitude 7.0 earthquake,general.alert2,LegislativeCommittee,Magnitude 7.0 earthquake,,dgm_chinaearthquakemagnitude,185f366642da766bee2d3a0009a6dcb2,dgm_chinaearthquakemagnitude__185f366642da766bee2d3a0009a6dcb2
7 1级,Magnitude 7.1 earthquake,general.alert2,space,Magnitude 7.1 earthquake,,dgm_chinaearthquakemagnitude,ced1eb96ef0db0377531fdc872422a88,dgm_chinaearthquakemagnitude__ced1eb96ef0db0377531fdc872422a88
7 2级,Magnitude 7.2 earthquake,general.alert2,Refinery,Magnitude 7.2 earthquake,,dgm_chinaearthquakemagnitude,20ca2ab89d5263a9627f55d7fca7e9d3,dgm_chinaearthquakemagnitude__20ca2ab89d5263a9627f55d7fca7e9d3
7 3级,Magnitude 7.3 earthquake,general.alert2,LegislativeCommittee,Magnitude 7.3 earthquake,,dgm_chinaearthquakemagnitude,94721c94899d1934fa6ba6e6dc7cd052,dgm_chinaearthquakemagnitude__94721c94899d1934fa6ba6e6dc7cd052
7 4级,Magnitude 7.4 earthquake,general.alert2,Person,Magnitude 7.4 earthquake,,dgm_chinaearthquakemagnitude,7d8ff5d7c28f81561255451ba72f3f21,dgm_chinaearthquakemagnitude__7d8ff5d7c28f81561255451ba72f3f21
7 5级,Magnitude 7.5 earthquake,general.alert2,space,Magnitude 7.5 earthquake,,dgm_chinaearthquakemagnitude,608f7b5678512b60883a3215f28ec74a,dgm_chinaearthquakemagnitude__608f7b5678512b60883a3215f28ec74a
7 6级,Magnitude 7.6 earthquake,general.alert2,Legislator,Magnitude 7.6 earthquake,,dgm_chinaearthquakemagnitude,8eb834342a53a359c36cd2ff3e6f3e27,dgm_chinaearthquakemagnitude__8eb834342a53a359c36cd2ff3e6f3e27
7 7级,Magnitude 7.7 earthquake,general.alert2,Media,Magnitude 7.7 earthquake,,dgm_chinaearthquakemagnitude,d729d83495326ed5dfa68f94b0e44a3f,dgm_chinaearthquakemagnitude__d729d83495326ed5dfa68f94b0e44a3f
7 8级,Magnitude 7.8 earthquake,general.alert2,Wells,Magnitude 7.8 earthquake,,dgm_chinaearthquakemagnitude,c7565b6c8057ea07a9e267dd12187471,dgm_chinaearthquakemagnitude__c7565b6c8057ea07a9e267dd12187471
7 9级,Magnitude 7.9 earthquake,general.alert2,space,Magnitude 7.9 earthquake,,dgm_chinaearthquakemagnitude,5f61ba60e0ec2903d6849f75579f23ac,dgm_chinaearthquakemagnitude__5f61ba60e0ec2903d6849f75579f23ac
8级,Magnitude 8.0 earthquake,general.alert2,IndustryTerm,Magnitude 8.0 earthquake,,dgm_chinaearthquakemagnitude,3f8a82036029ef21d4915c17a1fbc8fc,dgm_chinaearthquakemagnitude__3f8a82036029ef21d4915c17a1fbc8fc
8 0级,Magnitude 8.0 earthquake,general.alert2,Legislator,Magnitude 8.0 earthquake,,dgm_chinaearthquakemagnitude,3f8a82036029ef21d4915c17a1fbc8fc,dgm_chinaearthquakemagnitude__3f8a82036029ef21d4915c17a1fbc8fc
8 1级,Magnitude 8.1 earthquake,general.alert2,Diplomat,Magnitude 8.1 earthquake,,dgm_chinaearthquakemagnitude,19b08f80f76da6af52912fad77e40feb,dgm_chinaearthquakemagnitude__19b08f80f76da6af52912fad77e40feb
8 2级,Magnitude 8.2 earthquake,general.alert2,ForeignMinistry,Magnitude 8.2 earthquake,,dgm_chinaearthquakemagnitude,07c7d72aaa5f866e1b5e0b9c92728412,dgm_chinaearthquakemagnitude__07c7d72aaa5f866e1b5e0b9c92728412
8 3级,Magnitude 8.3 earthquake,general.alert2,News,Magnitude 8.3 earthquake,,dgm_chinaearthquakemagnitude,724df9c33f82bc189a92561ab200eae5,dgm_chinaearthquakemagnitude__724df9c33f82bc189a92561ab200eae5
8 4级,Magnitude 8.4 earthquake,general.alert2,Shipping,Magnitude 8.4 earthquake,,dgm_chinaearthquakemagnitude,b2885aaa8221a37f04f2653d872e414c,dgm_chinaearthquakemagnitude__b2885aaa8221a37f04f2653d872e414c
8 5级,Magnitude 8.5 earthquake,general.alert2,Shipping,Magnitude 8.5 earthquake,,dgm_chinaearthquakemagnitude,ed7071710ff87b6557290362815f7e2d,dgm_chinaearthquakemagnitude__ed7071710ff87b6557290362815f7e2d
8 6级,Magnitude 8.6 earthquake,general.alert2,space,Magnitude 8.6 earthquake,,dgm_chinaearthquakemagnitude,0e4e46a246059961865738ad192b2a3b,dgm_chinaearthquakemagnitude__0e4e46a246059961865738ad192b2a3b
8 7级,Magnitude 8.7 earthquake,general.alert2,Pipeline,Magnitude 8.7 earthquake,,dgm_chinaearthquakemagnitude,512cf4464290c9f77a5a7a9118874b28,dgm_chinaearthquakemagnitude__512cf4464290c9f77a5a7a9118874b28
8 8级,Magnitude 8.8 earthquake,general.alert2,ForeignMinister,Magnitude 8.8 earthquake,,dgm_chinaearthquakemagnitude,8113bf495eabc090ead8d8addbd21e0a,dgm_chinaearthquakemagnitude__8113bf495eabc090ead8d8addbd21e0a
8 9级,Magnitude 8.9 earthquake,general.alert2,Shipping,Magnitude 8.9 earthquake,,dgm_chinaearthquakemagnitude,127c8f355e456d659ea4677e66bacb41,dgm_chinaearthquakemagnitude__127c8f355e456d659ea4677e66bacb41
9级,Magnitude 9.0 earthquake,general.alert2,Pipeline,Magnitude 9.0 earthquake,,dgm_chinaearthquakemagnitude,2e221cc45cd11cbbfa0a3367f93374ed,dgm_chinaearthquakemagnitude__2e221cc45cd11cbbfa0a3367f93374ed
9 0级,Magnitude 9.0 earthquake,general.alert2,Media,Magnitude 9.0 earthquake,,dgm_chinaearthquakemagnitude,2e221cc45cd11cbbfa0a3367f93374ed,dgm_chinaearthquakemagnitude__2e221cc45cd11cbbfa0a3367f93374ed
9 1级,Magnitude 9.1 earthquake,general.alert2,ForeignMinister,Magnitude 9.1 earthquake,,dgm_chinaearthquakemagnitude,37271e94b6e2da8c6b21edce1905e10f,dgm_chinaearthquakemagnitude__37271e94b6e2da8c6b21edce1905e10f
9 2级,Magnitude 9.2 earthquake,general.alert2,Pipeline,Magnitude 9.2 earthquake,,dgm_chinaearthquakemagnitude,5e8bd59b997fb5c6beacff06c2409d39,dgm_chinaearthquakemagnitude__5e8bd59b997fb5c6beacff06c2409d39
9 3级,Magnitude 9.3 earthquake,general.alert2,ForeignMinistry,Magnitude 9.3 earthquake,,dgm_chinaearthquakemagnitude,96ad0270ccf55bda56674ffd5aa355dc,dgm_chinaearthquakemagnitude__96ad0270ccf55bda56674ffd5aa355dc
9 4级,Magnitude 9.4 earthquake,general.alert2,Media,Magnitude 9.4 earthquake,,dgm_chinaearthquakemagnitude,8e1486e9bc59390dfdb6472e15e990d6,dgm_chinaearthquakemagnitude__8e1486e9bc59390dfdb6472e15e990d6
9 5级,Magnitude 9.5 earthquake,general.alert2,Legislator,Magnitude 9.5 earthquake,,dgm_chinaearthquakemagnitude,0ecf09fcfa82f12c6ec646c9ca17e7ea,dgm_chinaearthquakemagnitude__0ecf09fcfa82f12c6ec646c9ca17e7ea
9 6级,Magnitude 9.6 earthquake,general.alert2,Exec,Magnitude 9.6 earthquake,,dgm_chinaearthquakemagnitude,23b4c20aeeee99ae660f328b0f8d37f3,dgm_chinaearthquakemagnitude__23b4c20aeeee99ae660f328b0f8d37f3
9 7级,Magnitude 9.7 earthquake,general.alert2,News,Magnitude 9.7 earthquake,,dgm_chinaearthquakemagnitude,a122970a7e920eefdedf21f15034f69d,dgm_chinaearthquakemagnitude__a122970a7e920eefdedf21f15034f69d
9 8级,Magnitude 9.8 earthquake,general.alert2,AAEntity,Magnitude 9.8 earthquake,,dgm_chinaearthquakemagnitude,ea8aad1eacebc6aa83fafacb245fb006,dgm_chinaearthquakemagnitude__ea8aad1eacebc6aa83fafacb245fb006
9 9级,Magnitude 9.9 earthquake,general.alert2,space,Magnitude 9.9 earthquake,,dgm_chinaearthquakemagnitude,881298a786aa4d00c0b22a8406a5936d,dgm_chinaearthquakemagnitude__881298a786aa4d00c0b22a8406a5936d
10 0级,Magnitude 10.0 earthquake,general.alert2,AAEntity,Magnitude 10.0 earthquake,,dgm_chinaearthquakemagnitude,db1851265dc865ff3d468aef6f7c8cbf,dgm_chinaearthquakemagnitude__db1851265dc865ff3d468aef6f7c8cbf
10级,Magnitude 10.0 earthquake,general.alert2,IndustryTerm,Magnitude 10.0 earthquake,,dgm_chinaearthquakemagnitude,db1851265dc865ff3d468aef6f7c8cbf,dgm_chinaearthquakemagnitude__db1851265dc865ff3d468aef6f7c8cbf
