keyword,caption_name,location,topic_id,guid,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
german aerospace center,German Aerospace Center,a1452,188261,,Wells,German Aerospace Center,,dgm_space,934a973a40fb26a39d4af340fd1d6eb2,dgm_space__586e836c644489d4d6031c1a996ea4bc
indian space research organisation,Indian Space Research Organisation,a699,188261,,Exec,Indian Space Research Organisation,,dgm_space,bafb87ff81b920dae10fb22bfe63b879,dgm_space__9cdedb0eb54d3cb9766806e1d04c6d5a
israeli space agency,Israeli Space Agency,a747,188261,,Consulates,Israeli Space Agency,,dgm_space,6dfd9b97fde9c4d5afc37e40492204d2,dgm_space__6d0ec3c57ef60a64b0a941f56e57e409
iranian space agency,Iranian Space Agency,a1455,188261,,DiplomaticFacilities,Iranian Space Agency,,dgm_space,a44f95ae07e5dd62c2244d32dd802d6a,dgm_space__667bfaa34d87627a020625e33192dcb2
japan aerospace exploration agency,Japan Aerospace Exploration Agency,a1456,188261,,space,Japan Aerospace Exploration Agency,,dgm_space,cf6cee93c4ce2ddf4c9ec2c9d8c90af8,dgm_space__520400f88d794bf24a99c6939908ab9b
national aerospace development administration,North Korea National Aerospace Development Administration,a1457,188261,,Refinery,North Korea National Aerospace Development Administration,,dgm_space,5b6a39ffce1f0ed8c8fe4bbd8c3e14f2,dgm_space__1e4ec3e6db5b6f41f4c5f7b6f737e254
korea aerospace research institute,South Korea Aerospace Research Institute,a1458,188261,,Legislator,South Korea Aerospace Research Institute,,dgm_space,de1cda4937d5fd19a9bc5aa4021503fd,dgm_space__8965ba37672d6b01c97a2b04b39088c7
national centre for space studies,French National Centre for Space Studies,a697,188261,,Media,French National Centre for Space Studies,,dgm_space,e5cac7ad2ef946d55f57a7ee16cc37ff,dgm_space__706176184e6b44b06420cd84e542c385
national institute of aeronautics and space,Indonesian National Institute of Aeronautics and Space,a1459,188261,,DiplomaticFacilities,Indonesian National Institute of Aeronautics and Space,,dgm_space,1e2425993669b83fdde411027e4a5281,dgm_space__583c3cd9645d8c1d9664f8ec969182f4
state space agency of ukraine,State Space Agency of Ukraine,a1460,188261,,Shipping,State Space Agency of Ukraine,,dgm_space,7cbd205eeaaed1fe66f3fdc14adf3149,dgm_space__c67c3c8043be35541d92bb8776263815
roscosmos state corporation for space activities,Roscosmos,a708,188261,,FTO,Roscosmos,,dgm_space,d607c21cadf13fc22af693ba41b675f9,dgm_space__d5bea17c8acfaf5459ccddb2c29db812
asa,Australian Space Agency,a1432,188261,,Media,Australian Space Agency,,dgm_space,76b5f136ad4a117847473768c27065ea,dgm_space__7bc8c999a080a551fa137cdef6844ffc
cnsa,China National Space Administration,a1433,188261,,ForeignMinistry,China National Space Administration,,dgm_space,ec4c90183cc4ebee81654c07b2b5f0fa,dgm_space__9c8259ba081b33ec630243089498b89f
national agency for space research,Belarus Space Agency,a1434,188261,,Wells,Belarus Space Agency,,dgm_space,4eb0a096ab738583899153893a31bc0b,dgm_space__0a17abbfd9b1ca619679481b2fba8766
acae,Central American Association for Aeronautics and Space,a1435,188261,,Shipping,Central American Association for Aeronautics and Space,,dgm_space,1cea4fc99b823725131e36f47412e7ea,dgm_space__3467b24d0834892bc1d340107c483432
esai,El Salvador Aeropsace Institute,a1436,188261,,space,El Salvador Aeropsace Institute,,dgm_space,d6b3c872b20287782001675f4274d973,dgm_space__b1c6452ec57b2f917f4fe1485573948b
aem,Mexican Space Agency,a1437,188261,,LegislativeCommittee,Mexican Space Agency,,dgm_space,0fcc4a6b46c1586fcc1f6fb1fe69d915,dgm_space__353312d3f5ef80e6657bd1c513daacdb
asal,Algerian Space Agency,a1438,188261,,Consulates,Algerian Space Agency,,dgm_space,81e6d9c4b931e068cd5f7b6305889011,dgm_space__d52b67509770c7766ff30524b3562a7b
apsco,Asia-Pacific Space Cooperation Organization,a1433,188261,,ForeignMinistry,Asia-Pacific Space Cooperation Organization,,dgm_space,81f8bcf82ea5b9e7b1e8256a551f972f,dgm_space__962f59e673b5d6e2138508c4a7324e79
alr,Austrian Space Agency,a1439,188261,,Refinery,Austrian Space Agency,,dgm_space,dc5b710897bf65af8addd69860d78097,dgm_space__727fdf99d7e3cb88f82f89622baddb12
azercosmos,Space Agency of the Republic of Azerbaijan,a1440,188261,,CompanyKeyword,Space Agency of the Republic of Azerbaijan,,dgm_space,e6e9f425bda803601694f8bc653ec1c0,dgm_space__cab23cbac51c9e4068cc28c376770f44
nssa,Bahrain National Space Science Agency,a1441,188261,,ForeignMinistry,Bahrain National Space Science Agency,,dgm_space,3d52261a0eafbb23d5ba4758b25f8c20,dgm_space__fd64f3a45d425e8ba72a56bc0e06e332
bira,Belgian Institute for Space Aeronomy,a1442,188261,,Diplomat,Belgian Institute for Space Aeronomy,,dgm_space,059ff518bae8382057ccf46274109fc7,dgm_space__359d0d0aea1d6640de9d014e1b063372
abae,Venezuelan Agency for Space Activities,a1443,188261,,FTO,Venezuelan Agency for Space Activities,,dgm_space,bc4469bc8a9a0bbb7144f74d18b640d8,dgm_space__8e1a10d290db1e6c56db25d90514642a
aeb,Brazilian Space Agency,a1444,188261,,News,Brazilian Space Agency,,dgm_space,2c12d0cfdfeb630cf5d3e70fb895a50a,dgm_space__50515b33a1d20ec6aa5f05b7b838cfb7
uksa,UK Space Agency,a702,188261,,ForeignMinister,UK Space Agency,,dgm_space,4e65bedb60220b8b6ca5d97f9f9bb0df,dgm_space__1c1832fdd1ae02f9447975ef1e70c05e
abe,Bolivian Space Agency,a1446,188261,,IndustryTerm,Bolivian Space Agency,,dgm_space,705e33f9afe598bf56571779366572cf,dgm_space__fdbba102931683be72a790582c1c55bc
sri-bas,Bulgarian Space Agency,a1447,188261,,Refinery,Bulgarian Space Agency,,dgm_space,e9b708e3d4be6e1491ea82516dd723c6,dgm_space__9a9889abc422fa6b92d79e415f1e12f2
csa,Canadian Space Agency,a808,188261,,Consulates,Canadian Space Agency,,dgm_space,2fdb5d244bcd0d8f40611f83426a727b,dgm_space__ffc08ca4cbfa88f557233c462f25ce5c
cce,Colombian Space Agency,a1449,188261,,DiplomaticFacilities,Colombian Space Agency,,dgm_space,dac08a95c244d44135de75266d7d5d01,dgm_space__c5e73aaedb2d2380afe66eb123c221fd
institut for rumforskning og rumteknologi,Danish Space Institute,a1450,188261,,News,Danish Space Institute,,dgm_space,e85a60d3e7d9adfdf054f84784853f33,dgm_space__2c786367ed59118148c0482af9a3f219
esa,European Space Agency,a697,188261,,Person,European Space Agency,,dgm_space,6855bd268c93053358164d587b4e9b90,dgm_space__469e4d438ac8d45d83049fe412a0b97d
dlr,German Aerospace Center,a1452,188261,,CompanyKeyword,German Aerospace Center,,dgm_space,f581105586be9987ccd9b385c58cab68,dgm_space__586e836c644489d4d6031c1a996ea4bc
isro,Indian Space Research Organisation,a699,188261,,Shipping,Indian Space Research Organisation,,dgm_space,43090ed14c4db07cfda670bd3ca9be16,dgm_space__9cdedb0eb54d3cb9766806e1d04c6d5a
isa,Israeli Space Agency,a747,188261,,Refinery,Israeli Space Agency,,dgm_space,a2de62d8adc1d79995c0136180ecb785,dgm_space__6d0ec3c57ef60a64b0a941f56e57e409
isa,Iranian Space Agency,a1455,188261,,AAEntity,Iranian Space Agency,,dgm_space,7b083e3d31167b1b18eb1ef14372f287,dgm_space__667bfaa34d87627a020625e33192dcb2
jaxa,Japan Aerospace Exploration Agency,a1456,188261,,Organization,Japan Aerospace Exploration Agency,,dgm_space,9899cbc7274d2e18e999f34f33ba02ac,dgm_space__520400f88d794bf24a99c6939908ab9b
nada,North Korea National Aerospace Development Administration,a1457,188261,,Media,North Korea National Aerospace Development Administration,,dgm_space,e4d1479cc5e35284f4d7176eaa16f99a,dgm_space__1e4ec3e6db5b6f41f4c5f7b6f737e254
kari,South Korea Aerospace Research Institute,a1458,188261,,ForeignMinister,South Korea Aerospace Research Institute,,dgm_space,8a011bba409b6cfd0937a02171712eb2,dgm_space__8965ba37672d6b01c97a2b04b39088c7
cnes,French National Centre for Space Studies,a697,188261,,ForeignMinister,French National Centre for Space Studies,,dgm_space,e93fa661396ab5d8312258e53780d83f,dgm_space__706176184e6b44b06420cd84e542c385
lapan,Indonesian National Institute of Aeronautics and Space,a1459,188261,,Organization,Indonesian National Institute of Aeronautics and Space,,dgm_space,7abed2dafbdde31ef70029442799c197,dgm_space__583c3cd9645d8c1d9664f8ec969182f4
ssau,State Space Agency of Ukraine,a1460,188261,,IndustryTerm,State Space Agency of Ukraine,,dgm_space,8f9eee0b95e9cf85919be481c549f3fa,dgm_space__c67c3c8043be35541d92bb8776263815
roscosmos,Roscosmos,a708,188261,,Diplomat,Roscosmos,,dgm_space,5f5ecf4736d6028b4e27fdd44319cb2a,dgm_space__d5bea17c8acfaf5459ccddb2c29db812
国家航天局,China National Space Administration,a1433,188261,,Person,China National Space Administration,,dgm_space,fd28c9bee6f96bb67a850c55ee83112d,dgm_space__9c8259ba081b33ec630243089498b89f
беларускае касмічнае агенцтва,Belarus Space Agency,a1434,188261,,AAEntity,Belarus Space Agency,,dgm_space,9badda1b1ef006309e736136e9a69554,dgm_space__0a17abbfd9b1ca619679481b2fba8766
asociación centroamericana de aeronáutica y del espacio,Central American Association for Aeronautics and Space,a1435,188261,,Organization,Central American Association for Aeronautics and Space,,dgm_space,04f7c1deb9878068002683f0ffa4874f,dgm_space__3467b24d0834892bc1d340107c483432
instituto aeroespacial de el salvador,El Salvador Aeropsace Institute,a1436,188261,,FTO,El Salvador Aeropsace Institute,,dgm_space,00445f9c4c5044482fef886d06c16f37,dgm_space__b1c6452ec57b2f917f4fe1485573948b
agencia espacial mexicana,Mexican Space Agency,a1437,188261,,Organization,Mexican Space Agency,,dgm_space,78f5db7f7ecf542fd37333927882044d,dgm_space__353312d3f5ef80e6657bd1c513daacdb
agence spatiale algérienne,Algerian Space Agency,a1438,188261,,Refinery,Algerian Space Agency,,dgm_space,4016b4ae7fba352a0950f1ce88832f1a,dgm_space__d52b67509770c7766ff30524b3562a7b
agentur für luft- und raumfahrt,Austrian Space Agency,a1439,188261,,Pipeline,Austrian Space Agency,,dgm_space,f14ac5b1a57b96108345607ff7de5d32,dgm_space__727fdf99d7e3cb88f82f89622baddb12
azərkosmos açıq səhmdar cəmiyyəti,Space Agency of the Republic of Azerbaijan,a1440,188261,,CompanyKeyword,Space Agency of the Republic of Azerbaijan,,dgm_space,0147ce2d3a81034b8630b4cf04e3cde8,dgm_space__cab23cbac51c9e4068cc28c376770f44
الهيئة الوطنية لعلوم الفضاء,Bahrain National Space Science Agency,a1441,188261,,Exec,Bahrain National Space Science Agency,,dgm_space,26c25b0a00823b481e454f4a15bf1c54,dgm_space__fd64f3a45d425e8ba72a56bc0e06e332
koninklijk belgisch instituut voor ruimte-aeronomie,Belgian Institute for Space Aeronomy,a1442,188261,,Consulates,Belgian Institute for Space Aeronomy,,dgm_space,e3dace85a377009289d667fbbfcd9e7f,dgm_space__359d0d0aea1d6640de9d014e1b063372
agencia bolivariana para actividades espaciales,Venezuelan Agency for Space Activities,a1443,188261,,Pipeline,Venezuelan Agency for Space Activities,,dgm_space,97352611d22ef6caa2602f30d1cbb3ff,dgm_space__8e1a10d290db1e6c56db25d90514642a
agência espacial brasileira,Brazilian Space Agency,a1444,188261,,Wells,Brazilian Space Agency,,dgm_space,3508e44f20b6a4c98612da2c2c6a7052,dgm_space__50515b33a1d20ec6aa5f05b7b838cfb7
agencia boliviana espacial,Bolivian Space Agency,a1446,188261,,Consulates,Bolivian Space Agency,,dgm_space,ef7c757b200755af6d3b51682b5b5e1a,dgm_space__fdbba102931683be72a790582c1c55bc
институт за космически изследвания и технологии,Bulgarian Space Agency,a1447,188261,,Media,Bulgarian Space Agency,,dgm_space,c755c92ad91d2bc6f3766bccaf9301ea,dgm_space__9a9889abc422fa6b92d79e415f1e12f2
agence spatiale canadienne,Canadian Space Agency,a808,188261,,DiplomaticFacilities,Canadian Space Agency,,dgm_space,7834be7e867a16a0e2ce1268b5eaa078,dgm_space__ffc08ca4cbfa88f557233c462f25ce5c
comision colombiana del espacio,Colombian Space Agency,a1449,188261,,Shipping,Colombian Space Agency,,dgm_space,8dd3f4cfb0e84dfe182bbf1f5fb2a9e9,dgm_space__c5e73aaedb2d2380afe66eb123c221fd
deutsches zentrum für luft- und raumfahrt,German Aerospace Center,a1452,188261,,Exec,German Aerospace Center,,dgm_space,4634de2fdaa9285ba2effdcba91fcb3d,dgm_space__586e836c644489d4d6031c1a996ea4bc
bhāratīya antrikṣ anusandhān saṅgaṭhan,Indian Space Research Organisation,a699,188261,,ForeignMinister,Indian Space Research Organisation,,dgm_space,3f003b8c83867ebb12122f628b7d1cb9,dgm_space__9cdedb0eb54d3cb9766806e1d04c6d5a
סוכנות החלל הישראלית,Israeli Space Agency,a747,188261,,Legislator,Israeli Space Agency,,dgm_space,14512d7b310f707e1e7a6ed28605ac17,dgm_space__6d0ec3c57ef60a64b0a941f56e57e409
سازمان فضایی ایران,Iranian Space Agency,a1455,188261,,FTO,Iranian Space Agency,,dgm_space,97221557c359498e215c140c56c77f4f,dgm_space__667bfaa34d87627a020625e33192dcb2
国立研究開発法人宇宙航空研究開発機構,Japan Aerospace Exploration Agency,a1456,188261,,DiplomaticFacilities,Japan Aerospace Exploration Agency,,dgm_space,6f1f5c857d1ad6c4199c373ea5a54cc4,dgm_space__520400f88d794bf24a99c6939908ab9b
국가우주개발국,North Korea National Aerospace Development Administration,a1457,188261,,Keyphrase,North Korea National Aerospace Development Administration,,dgm_space,0913a9025fe277ec8868db783e050e77,dgm_space__1e4ec3e6db5b6f41f4c5f7b6f737e254
한국항공우주연구원,South Korea Aerospace Research Institute,a1458,188261,,IndustryTerm,South Korea Aerospace Research Institute,,dgm_space,5ddf2df3b086b9ebcb99fdd7e7674c6a,dgm_space__8965ba37672d6b01c97a2b04b39088c7
centre national d'études spatiales,French National Centre for Space Studies,a697,188261,,FTO,French National Centre for Space Studies,,dgm_space,36c6cec532cbb7559e3ee58c5a12dce5,dgm_space__706176184e6b44b06420cd84e542c385
lembaga penerbangan dan antariksa nasional,Indonesian National Institute of Aeronautics and Space,a1459,188261,,Exec,Indonesian National Institute of Aeronautics and Space,,dgm_space,1dc13c253c3c67ce90ecb84687c177cb,dgm_space__583c3cd9645d8c1d9664f8ec969182f4
державне космічне агентство україни,State Space Agency of Ukraine,a1460,188261,,Person,State Space Agency of Ukraine,,dgm_space,c2ed5549512290faf2f984929d31c3f9,dgm_space__c67c3c8043be35541d92bb8776263815
государственная корпорация,Roscosmos,a708,188261,,ForeignMinister,Roscosmos,,dgm_space,f12fe298ef974e1036c0e7990be2100c,dgm_space__d5bea17c8acfaf5459ccddb2c29db812
роскосмос,Roscosmos,a708,188261,,Exec,Roscosmos,,dgm_space,22ec6fe591b2e12e0aca94eb87efa096,dgm_space__d5bea17c8acfaf5459ccddb2c29db812
enrico palermo,Australian Space Agency Executive Palermo,a1432,188261,,IndustryTerm,Australian Space Agency Executive Palermo,,dgm_space,af48cf91692ef1aac038ddf13d71caed,dgm_space__dedded61a410c9d53515f00e7276f9f3
zhang keijan,China National Space Administration Administrator Keijan,a1433,188261,,space,China National Space Administration Administrator Keijan,,dgm_space,2fa858032630b47200ff44217d4f865d,dgm_space__ec8d7debf8fb091a3052e493d05482d9
piotr vityaz,Belarus Space Agency Chief Vityaz,a1434,188261,,Diplomat,Belarus Space Agency Chief Vityaz,,dgm_space,e3f5dd4eb569648e82a65313f6fbf85c,dgm_space__2cc777b32421263ba5a572c764328bfa
luis alfaro,El Salvador Aeropsace Institute Chief Alfaro,a1436,188261,,DiplomaticFacilities,El Salvador Aeropsace Institute Chief Alfaro,,dgm_space,441bbdab657c382a915b3f9c224fcb3d,dgm_space__99323863a22a82a97f73ffa4984c45a5
salvador landeros ayala,Mexican Space Agency Administrator Ayala,a1437,188261,,ForeignMinister,Mexican Space Agency Administrator Ayala,,dgm_space,881127305c3236a7a73ec51ec719f344,dgm_space__d954f6113378f6c653338255686fc378
azzedine oussedik,Algerian Space Agency Executive Oussedik,a1438,188261,,DiplomaticFacilities,Algerian Space Agency Executive Oussedik,,dgm_space,c2aeadbf30308a00100cbcf27e7244c0,dgm_space__d0ba0091a069bfb7273ca8420f0f526b
rashad nabiyev,Azercosmos Chairman Nabiyev,a1440,188261,,Person,Azercosmos Chairman Nabiyev,,dgm_space,8ed4bb76f01d4a28dcca4e6512fb8eaa,dgm_space__8375245d7c2234ea751c11322d9a079b
mohamed al aseeri,Bahrain National Space Science Agency Administrator Al Aseeri,a1441,188261,,Person,Bahrain National Space Science Agency Administrator Al Aseeri,,dgm_space,34970d3a4988591db64fc2ad62ad4cb9,dgm_space__1d652099e8b02377af83d4a3c312059b
martine de maziere,Belgian Institute for Space Aeronomy Director General Maziere,a1442,188261,,Refinery,Belgian Institute for Space Aeronomy Director General Maziere,,dgm_space,c543b66cc7a11e3b0e2e1ad767f4b99b,dgm_space__f78987a1f905642b9a26084cebff4d53
adolfo josé godoy pernía,Venezuelan Space Agency President Pernia,a1443,188261,,Exec,Venezuelan Space Agency President Pernia,,dgm_space,301dc80d0c38acb75d37627139c9af25,dgm_space__7dd8d0a150e8990457d7a33dc94f5900
carlos augusto teixeira de moura,Brazilian Space Agency Administrator Moura,a1444,188261,,CompanyKeyword,Brazilian Space Agency Administrator Moura,,dgm_space,bd83102c2a025b68118b72d829d64723,dgm_space__179bd6f7b0df3a8444e2432f1c064557
graham turnock,Uk Space Agency Chief Executive Turnock,a702,188261,,Refinery,Uk Space Agency Chief Executive Turnock,,dgm_space,c8306c5cf0634eff61cfb6c68b1da50e,dgm_space__a10831fd0d31ea778cd916fe740490d2
ivan zambrana,Bolivian Space Agency Administrator Zambrana,a1446,188261,,Keyphrase,Bolivian Space Agency Administrator Zambrana,,dgm_space,ecd3952d9f0eb54e7f2b18fce9e4142d,dgm_space__b253525761bb85c247327e33953c1d4e
lisa campbell,Canadian Space Agency President Campbell,a808,188261,,Wells,Canadian Space Agency President Campbell,,dgm_space,c36529ae5ce0fbfdc37fa668f0ae67dd,dgm_space__c4b711fbe731c9428eb1dec69e4be902
kristian pedersen,Danish Space Institute Administrator Pedersen,a1450,188261,,Legislator,Danish Space Institute Administrator Pedersen,,dgm_space,a665ff027b7845f53536c64ea98be221,dgm_space__38c1f0b287514b64f58b0666cf3f7740
josef aschbacher,ESA Administrator Aschbacher,a1433,188261,,Person,ESA Administrator Aschbacher,,dgm_space,925bb84790eadf09f996f8d6383f8bfb,dgm_space__2d179eaee2757396f099f0789c83e8ed
anke kaysser-pyzalla,German Aerospace Center Administrator Kaysser-Pyzalla,a1452,188261,,Keyphrase,German Aerospace Center Administrator Kaysser-Pyzalla,,dgm_space,52aef1efc1fd597e74b74bae18bab447,dgm_space__4ba8f650f80edcc85b4ecee3904ef7b7
kailasavadivoo sivan,Indian Space Research Organisation Secretary Sivan,a699,188261,,space,Indian Space Research Organisation Secretary Sivan,,dgm_space,45b374bb3394f3b2a2dbaa58c7a23626,dgm_space__d351f0a2b61259a733971be936aec897
avi blasberger,Israeli Space Agency Director General Blasberger,a747,188261,,Refinery,Israeli Space Agency Director General Blasberger,,dgm_space,db42ba6fb30b039895dfe4d0a57a2430,dgm_space__2542c4db5f79e5cf2588d44ce71400a6
morteza barari,Iranian Space Agency Administrator Barari,a1455,188261,,DiplomaticFacilities,Iranian Space Agency Administrator Barari,,dgm_space,d4b59e285a12fcffe43629700b59ff6e,dgm_space__ccc907310635931cd2f62548219aeccc
hiroshi yamakawa,Japan Aerospace Exploration Agency Administrator Yamakawa,a1456,188261,,DiplomaticFacilities,Japan Aerospace Exploration Agency Administrator Yamakawa,,dgm_space,e08f632be1aee07d0da03924ae2ea769,dgm_space__fdac2900803bbba6b73a50d1d908998d
yu chol-u,North Korea National Aerospace Development Administration Executive Chol-u,a1457,188261,,CompanyKeyword,North Korea National Aerospace Development Administration Executive Chol-u,,dgm_space,557e5164bf1fdb7b9b6e5cfc842f42d2,dgm_space__c0c8fe52fbf7d823d99017f37363a391
sang-ryool lee,South Korea Aerospace Research Institute Administrator Lee,a1458,188261,,Refinery,South Korea Aerospace Research Institute Administrator Lee,,dgm_space,b089c8a3e86774f7b4369523487c6af6,dgm_space__2c5ff170429a9abaa223bd1389d585c2
philippe baptiste,French National Centre for Space Studies Administrator Baptiste,a697,188261,,Exec,French National Centre for Space Studies Administrator Baptiste,,dgm_space,5d3307ea6a4f471cc5bf4f7edf3d502d,dgm_space__2a0412f627286e6b507d117b04e3e173
thomas djamaluddin,Indonesian National Institute of Aeronautics and Space Administrator Djamaluddin,a1459,188261,,ForeignMinistry,Indonesian National Institute of Aeronautics and Space Administrator Djamaluddin,,dgm_space,a8f30240f2669653cf2c337d99792b88,dgm_space__d3616dd6e1f53bd76d91e6206e3acdfc
mykhailo lev,State Space Agency of Ukraine Head Lev,a1460,188261,,CompanyKeyword,State Space Agency of Ukraine Head Lev,,dgm_space,a006c8fdc72f8c31bc09da3d971c3454,dgm_space__3934c0b7051fbd4ae866f4913b9813a8
dmitry rogozin,Roscosmos Administrator Rogozin,a708,188261,,space,Roscosmos Administrator Rogozin,,dgm_space,a5579943449868a0716593fe6668c34d,dgm_space__323409284ed683166b7b40021939a0c6
boeing cst-100 starliner,Boeing CST-100 Starliner spacecraft,a700,188261,fa7be71100c59377ed582e21587318d6,CompanyKeyword,Boeing CST-100 Starliner spacecraft,,dgm_space,61cf7d754944b969a58759b44f3c15cb,dgm_space__1f69b98f46081d5a244c721a53945b5e
spacex crew dragon endeavour,SpaceX Crew Dragon Endeavour spacecraft,a700,188261,482d22ee391c96d95e6bd36732770175,News,SpaceX Crew Dragon Endeavour spacecraft,,dgm_space,93330cc8ac4ec9d0eded0514b372ae48,dgm_space__53bc3c1dfc3689f670d79201ce780a24
nasa orion spacecraft,NASA Orion spacecraft,a700,188261,,News,NASA Orion spacecraft,,dgm_space,8a8934677ca167a574fe6197e9958b0a,dgm_space__f93d63e045f1530b8ad3d8e352176dc7
zeus,Roscosmos nuclear space tug Zeus,a708,188261,,Refinery,Roscosmos nuclear space tug Zeus,,dgm_space,db9e0ed4bfd62583db7be232523b73b8,dgm_space__ca1c33167005a05c1aa839a70d330d64
sfera,Roscosmos multi-spectrum satellite Sfera series,a708,188261,,ForeignMinistry,Roscosmos multi-spectrum satellite Sfera series,,dgm_space,7ae2281d509a6c62a6f7a11aa4006fd6,dgm_space__3088889a13138c0aebf5b5a864a9ed60
glonass-k2,Russian Glonass-K2 navigation satellite,a708,188261,,ForeignMinistry,Russian Glonass-K2 navigation satellite,,dgm_space,9893b07343e417fca81fe9f75ee7a71d,dgm_space__0360191c555079de2d3f59dd5b5a736c
spektr-uv,Russian space telescope Spektr-UV,a708,188261,,LegislativeCommittee,Russian space telescope Spektr-UV,,dgm_space,f2032fb27049d74c58e03332e5e92426,dgm_space__dad15d38ebd03595bb78e3510a9e2a2e
gonets-m,Russian communications satellite Gonets-M series,a708,188261,,AAEntity,Russian communications satellite Gonets-M series,,dgm_space,10295b37cb952f314fb718a6a808dcc2,dgm_space__5f62b415cd0721223d797883b98aabb7
guowang,Chinese national satellite network Guowang,a1433,188261,,DiplomaticFacilities,Chinese national satellite network Guowang,,dgm_space,2daf9bc813d300f2ecc5d91ea05fd50b,dgm_space__d3ffb00377a8d38603f822ca3255f026
