german_text,caption_text,location_tag,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
blaschkoallee,"Blaschkoallee Station, Berlin, Germany","U Blaschkoallee, Berlin",ForeignMinistry,"Blaschkoallee Station, Berlin, Germany",,s_u_bahnhof_locations,d4352bdab42279029489da6b6d0b4d9d,s_u_bahnhof_locations__d4352bdab42279029489da6b6d0b4d9d
blissestraße,"Blissestrasse Station, Berlin, Germany","U Blissestrasse, Berlin",News,"Blissestrasse Station, Berlin, Germany",,s_u_bahnhof_locations,228ee4dcfa9948808c0014a414cea888,s_u_bahnhof_locations__228ee4dcfa9948808c0014a414cea888
boddinstraße,"Boddinstrasse Station, Berlin, Germany","U Boddinstrasse, Berlin",Person,"Boddinstrasse Station, Berlin, Germany",,s_u_bahnhof_locations,f6371bc2969b63d8b293497a4bc968b7,s_u_bahnhof_locations__f6371bc2969b63d8b293497a4bc968b7
borsigwerke,"Borsigwerke Station, Berlin, Germany","U Borsigwerke, Berlin",Organization,"Borsigwerke Station, Berlin, Germany",,s_u_bahnhof_locations,dbc2ee8a7c796310a6fd168d2b17a47a,s_u_bahnhof_locations__dbc2ee8a7c796310a6fd168d2b17a47a
brandenburger tor,"Brandenburger Tor Station, Berlin, Germany","U Brandenburger Tor, Berlin",Refinery,"Brandenburger Tor Station, Berlin, Germany",,s_u_bahnhof_locations,c695798820014aa7dda36204426f13cf,s_u_bahnhof_locations__c695798820014aa7dda36204426f13cf
breitenbachplatz,"Breitenbachplatz Station, Berlin, Germany","U Breitenbachplatz, Berlin",CompanyKeyword,"Breitenbachplatz Station, Berlin, Germany",,s_u_bahnhof_locations,c271125a6b7fbccacd3ec350b46cf182,s_u_bahnhof_locations__c271125a6b7fbccacd3ec350b46cf182
britz-süd,"Britz-Sud Station, Berlin, Germany","U Britz-Sud, Berlin",Shipping,"Britz-Sud Station, Berlin, Germany",,s_u_bahnhof_locations,9cd8ea7986a2728780aa733141810ab4,s_u_bahnhof_locations__9cd8ea7986a2728780aa733141810ab4
bülowstraße,"Bulowstrasse Station, Berlin, Germany","U Bulowstrasse, Berlin",IndustryTerm,"Bulowstrasse Station, Berlin, Germany",,s_u_bahnhof_locations,9b239da719a78f702b2535927a940642,s_u_bahnhof_locations__9b239da719a78f702b2535927a940642
bundesplatz,"Bundesplatz Station, Berlin, Germany","U Bundesplatz, Berlin",Media,"Bundesplatz Station, Berlin, Germany",,s_u_bahnhof_locations,50a39610fc9f7e0ba7f7fa2b6c8821fb,s_u_bahnhof_locations__50a39610fc9f7e0ba7f7fa2b6c8821fb
bundestag,"Bundestag Station, Berlin, Germany","U Bundestag, Berlin",DiplomaticFacilities,"Bundestag Station, Berlin, Germany",,s_u_bahnhof_locations,a58f18d56a67f0f000347a5d37340084,s_u_bahnhof_locations__a58f18d56a67f0f000347a5d37340084
cottbusser platz,"Cottbusser Platz Station, Berlin, Germany","U Cottbusser Platz, Berlin",Pipeline,"Cottbusser Platz Station, Berlin, Germany",,s_u_bahnhof_locations,ffeedd5bd2346029d4d2e5e50dd5577f,s_u_bahnhof_locations__ffeedd5bd2346029d4d2e5e50dd5577f
dahlem-dorf,"Dahlem-Dorf Station, Berlin, Germany","U Dahlem-Dorf, Berlin",News,"Dahlem-Dorf Station, Berlin, Germany",,s_u_bahnhof_locations,7d999f0542853f6f7ff23e7f5a52a401,s_u_bahnhof_locations__7d999f0542853f6f7ff23e7f5a52a401
deutsche oper,"Deutsche Oper Station, Berlin, Germany","U Deutsche Oper, Berlin",Media,"Deutsche Oper Station, Berlin, Germany",,s_u_bahnhof_locations,1e1c9a754db27cb63e0cd7d463dc06e0,s_u_bahnhof_locations__1e1c9a754db27cb63e0cd7d463dc06e0
eberswalder straße,"Eberswalder Strasse Station, Berlin, Germany","U Eberswalder Strasse, Berlin",IndustryTerm,"Eberswalder Strasse Station, Berlin, Germany",,s_u_bahnhof_locations,0e3e66f74916183cbee64a26d69d1db3,s_u_bahnhof_locations__0e3e66f74916183cbee64a26d69d1db3
eisenacher straße,"Eisenacher Strasse Station, Berlin, Germany","U Eisenacher Strasse, Berlin",Shipping,"Eisenacher Strasse Station, Berlin, Germany",,s_u_bahnhof_locations,670505b649a062584e9f1cd2b052d899,s_u_bahnhof_locations__670505b649a062584e9f1cd2b052d899
elsterwerdaer platz,"Elsterwerdaer Platz Station, Berlin, Germany","U Elsterwerdaer Platz, Berlin",Diplomat,"Elsterwerdaer Platz Station, Berlin, Germany",,s_u_bahnhof_locations,f4e9173c8d46657d13d8d00f9d72d501,s_u_bahnhof_locations__f4e9173c8d46657d13d8d00f9d72d501
ernst-reuter-platz,"Ernst-Reuter-Platz Station, Berlin, Germany","U Ernst-Reuter-Platz, Berlin",Media,"Ernst-Reuter-Platz Station, Berlin, Germany",,s_u_bahnhof_locations,121782e652a12d64f84307f97c20be5b,s_u_bahnhof_locations__121782e652a12d64f84307f97c20be5b
fehrbelliner platz,"Fehrbelliner Platz Station, Berlin, Germany","U Fehrbelliner Platz, Berlin",space,"Fehrbelliner Platz Station, Berlin, Germany",,s_u_bahnhof_locations,56a75bb09f8e6b057f7dd2b9f45b9ffc,s_u_bahnhof_locations__56a75bb09f8e6b057f7dd2b9f45b9ffc
frankfurter allee,"Frankfurter Allee Station, Berlin, Germany","U Frankfurter Allee, Berlin",Legislator,"Frankfurter Allee Station, Berlin, Germany",,s_u_bahnhof_locations,d025c2e282dca961b23c95e1cf241a9a,s_u_bahnhof_locations__d025c2e282dca961b23c95e1cf241a9a
frankfurter tor,"Frankfurter Tor Station, Berlin, Germany","U Frankfurter Tor, Berlin",Pipeline,"Frankfurter Tor Station, Berlin, Germany",,s_u_bahnhof_locations,61476e4ba5922e068ecd1d9f009abd3f,s_u_bahnhof_locations__61476e4ba5922e068ecd1d9f009abd3f
fritz-neumann-platz,"Fritz-Neumann-Platz Station, Berlin, Germany","U Fritz-Neumann-Platz, Berlin",Wells,"Fritz-Neumann-Platz Station, Berlin, Germany",,s_u_bahnhof_locations,b6fdbb63c0ccc04e63e60db8529dbaeb,s_u_bahnhof_locations__b6fdbb63c0ccc04e63e60db8529dbaeb
freie universität,"Freie Universitat Station, Berlin, Germany","U Freie Universitat, Berlin",Pipeline,"Freie Universitat Station, Berlin, Germany",,s_u_bahnhof_locations,20903efa9eea01292c0abe1dd906ca90,s_u_bahnhof_locations__20903efa9eea01292c0abe1dd906ca90
friedrichsfelde,"Friedrichsfelde Station, Berlin, Germany","U Friedrichsfelde, Berlin",Refinery,"Friedrichsfelde Station, Berlin, Germany",,s_u_bahnhof_locations,f7736d6dd9ff045ba183e535fc9105a3,s_u_bahnhof_locations__f7736d6dd9ff045ba183e535fc9105a3
friedrichstraße,"Friedrichstrasse Station, Berlin, Germany","U Friedrichstrasse, Berlin",News,"Friedrichstrasse Station, Berlin, Germany",,s_u_bahnhof_locations,9ad33de833eec919d6b87f0d22cc2563,s_u_bahnhof_locations__9ad33de833eec919d6b87f0d22cc2563
friedrich-wilhelm-platz,"Friedrich-Wilhelm-Platz Station, Berlin, Germany","U Friedrich-Wilhelm-Platz, Berlin",Legislator,"Friedrich-Wilhelm-Platz Station, Berlin, Germany",,s_u_bahnhof_locations,27d915cc021850ec8d161ed7595ae5a3,s_u_bahnhof_locations__27d915cc021850ec8d161ed7595ae5a3
gesundbrunnen,"Gesundbrunnen Station, Berlin, Germany","U Gesundbrunnen, Berlin",FTO,"Gesundbrunnen Station, Berlin, Germany",,s_u_bahnhof_locations,2698e4a9bc6d472265693f1e276e5679,s_u_bahnhof_locations__2698e4a9bc6d472265693f1e276e5679
gleisdreieck,"Gleisdreieck Station, Berlin, Germany","U Gleisdreieck, Berlin",DiplomaticFacilities,"Gleisdreieck Station, Berlin, Germany",,s_u_bahnhof_locations,ed8f7d1276de1be288eb5d043a0d1524,s_u_bahnhof_locations__ed8f7d1276de1be288eb5d043a0d1524
gneisenausstraße,"Gneisenausstrasse Station, Berlin, Germany","U Gneisenausstrasse, Berlin",ForeignMinistry,"Gneisenausstrasse Station, Berlin, Germany",,s_u_bahnhof_locations,b1c778c44ae49f375b52f3395e198d8f,s_u_bahnhof_locations__b1c778c44ae49f375b52f3395e198d8f
görlitzer bahnhof,"Gorlitzer Station, Berlin, Germany","U Gorlitzer Bahnhof, Berlin",CompanyKeyword,"Gorlitzer Station, Berlin, Germany",,s_u_bahnhof_locations,f9a6bd1c6e17e7d283da153cd92ea5a2,s_u_bahnhof_locations__f9a6bd1c6e17e7d283da153cd92ea5a2
grenzallee,"Grenzallee Station, Berlin, Germany","U Grenzallee, Berlin",IndustryTerm,"Grenzallee Station, Berlin, Germany",,s_u_bahnhof_locations,5333c08462dfe0924142e019daed9ec5,s_u_bahnhof_locations__5333c08462dfe0924142e019daed9ec5
güntzelstraße,"Guntzelstrasse Station, Berlin, Germany","U Guntzelstrasse, Berlin",IndustryTerm,"Guntzelstrasse Station, Berlin, Germany",,s_u_bahnhof_locations,3d97221d2c5fd77da2857b6984d368b0,s_u_bahnhof_locations__3d97221d2c5fd77da2857b6984d368b0
halemweg,"Halemweg Station, Berlin, Germany","U Halemweg, Berlin",Wells,"Halemweg Station, Berlin, Germany",,s_u_bahnhof_locations,73e8429740e1fde9e50b9d2e94997d63,s_u_bahnhof_locations__73e8429740e1fde9e50b9d2e94997d63
hallesches tor,"Hallesches Tor Station, Berlin, Germany","U Hallesches Tor, Berlin",AAEntity,"Hallesches Tor Station, Berlin, Germany",,s_u_bahnhof_locations,2eebf353c373bfdb718c8dab2c6a649a,s_u_bahnhof_locations__2eebf353c373bfdb718c8dab2c6a649a
hansaplatz,"Hansaplatz Station, Berlin, Germany","U Hansaplatz, Berlin",Keyphrase,"Hansaplatz Station, Berlin, Germany",,s_u_bahnhof_locations,e84552ceda9631da94d2eecf70dac846,s_u_bahnhof_locations__e84552ceda9631da94d2eecf70dac846
haselhorst,"Haselhorst Station, Berlin, Germany","U Haselhorst, Berlin",LegislativeCommittee,"Haselhorst Station, Berlin, Germany",,s_u_bahnhof_locations,6fc7a5a302cf9fb69af2515e8001665a,s_u_bahnhof_locations__6fc7a5a302cf9fb69af2515e8001665a
hausvogteiplatz,"Hausvogteiplatz Station, Berlin, Germany","U Hausvogteiplatz, Berlin",Diplomat,"Hausvogteiplatz Station, Berlin, Germany",,s_u_bahnhof_locations,4ac27b72af80eca40cdbe880484aff20,s_u_bahnhof_locations__4ac27b72af80eca40cdbe880484aff20
heidelberger platz,"Heidelberger Platz Station, Berlin, Germany","U Heidelberger Platz, Berlin",Shipping,"Heidelberger Platz Station, Berlin, Germany",,s_u_bahnhof_locations,5c457b56aeb8484c01fbda97b56c4727,s_u_bahnhof_locations__5c457b56aeb8484c01fbda97b56c4727
heinrich-heine-straße,"Heinrich-Heine-Strasse Station, Berlin, Germany","U Heinrich-Heine-Strasse, Berlin",LegislativeCommittee,"Heinrich-Heine-Strasse Station, Berlin, Germany",,s_u_bahnhof_locations,72bc80c651dba1b53b0476a291baee0c,s_u_bahnhof_locations__72bc80c651dba1b53b0476a291baee0c
hellersdorf,"Hellersdorf Station, Berlin, Germany","U Hellersdorf, Berlin",Consulates,"Hellersdorf Station, Berlin, Germany",,s_u_bahnhof_locations,7e7f86e12991e6d1da256113d3d1d1cf,s_u_bahnhof_locations__7e7f86e12991e6d1da256113d3d1d1cf
hermannplatz,"Hermannplatz Station, Berlin, Germany","U Hermannplatz, Berlin",Shipping,"Hermannplatz Station, Berlin, Germany",,s_u_bahnhof_locations,d533552be5fb78d8c27b5c94d55f70ac,s_u_bahnhof_locations__d533552be5fb78d8c27b5c94d55f70ac
hermannstraße,"Hermannstrasse Station, Berlin, Germany","U Hermannstrasse, Berlin",Organization,"Hermannstrasse Station, Berlin, Germany",,s_u_bahnhof_locations,23c47aa1b5de81eb7eed9f50fc04f76b,s_u_bahnhof_locations__23c47aa1b5de81eb7eed9f50fc04f76b
hohenzollernplatz,"Hohenzollernplatz Station, Berlin, Germany","U Hohenzollernplatz, Berlin",Shipping,"Hohenzollernplatz Station, Berlin, Germany",,s_u_bahnhof_locations,76a24dec188d63446e91ae94a46a654d,s_u_bahnhof_locations__76a24dec188d63446e91ae94a46a654d
holzhauser straße,"Holzhauser Strasse Station, Berlin, Germany","U Holzhauser Strasse, Berlin",Person,"Holzhauser Strasse Station, Berlin, Germany",,s_u_bahnhof_locations,3f9919bd239a053f9befeeb33e250d3c,s_u_bahnhof_locations__3f9919bd239a053f9befeeb33e250d3c
hönow,"Honow Station, Berlin, Germany","U Honow, Berlin",Pipeline,"Honow Station, Berlin, Germany",,s_u_bahnhof_locations,279d7a8c67079a58556106f9f497bb9b,s_u_bahnhof_locations__279d7a8c67079a58556106f9f497bb9b
innsbrucker platz,"Innsbrucker Platz Station, Berlin, Germany","U Innsbrucker Platz, Berlin",CompanyKeyword,"Innsbrucker Platz Station, Berlin, Germany",,s_u_bahnhof_locations,dd47c148c2f5eec5dc8b430d77f68d35,s_u_bahnhof_locations__dd47c148c2f5eec5dc8b430d77f68d35
jakob-kaiser-platz,"Jakob-Kaiser-Platz Station, Berlin, Germany","U Jakob-Kaiser-Platz, Berlin",ForeignMinister,"Jakob-Kaiser-Platz Station, Berlin, Germany",,s_u_bahnhof_locations,9305c0d7a07b8bb9a9af9a5256090320,s_u_bahnhof_locations__9305c0d7a07b8bb9a9af9a5256090320
jannowitzbrücke,"Jannowitzbrucke Station, Berlin, Germany","U Jannowitzbrucke, Berlin",LegislativeCommittee,"Jannowitzbrucke Station, Berlin, Germany",,s_u_bahnhof_locations,81ce5e91361e72e4ac1525120f186227,s_u_bahnhof_locations__81ce5e91361e72e4ac1525120f186227
johannisthaler chaussee,"Johannisthaler Chaussee Station, Berlin, Germany","U Johannisthaler Chaussee, Berlin",DiplomaticFacilities,"Johannisthaler Chaussee Station, Berlin, Germany",,s_u_bahnhof_locations,a88907afb2116ee45de077074624de27,s_u_bahnhof_locations__a88907afb2116ee45de077074624de27
jungfernheide,"Jungfernheide Station, Berlin, Germany","U Jungfernheide, Berlin",Diplomat,"Jungfernheide Station, Berlin, Germany",,s_u_bahnhof_locations,47db7fd692bc4ad7f1b5fd83369dda85,s_u_bahnhof_locations__47db7fd692bc4ad7f1b5fd83369dda85
kaiserdamm,"Kaiserdamm Station, Berlin, Germany","U Kaiserdamm, Berlin",Diplomat,"Kaiserdamm Station, Berlin, Germany",,s_u_bahnhof_locations,92eb32fb2b0aa499d239c456c1e7b30e,s_u_bahnhof_locations__92eb32fb2b0aa499d239c456c1e7b30e
kaiserin-augusta-strasse,"Kaiserin-Augusta-Strasse Station, Berlin, Germany","U Kaiserin-Augusta-Strasse, Berlin",Refinery,"Kaiserin-Augusta-Strasse Station, Berlin, Germany",,s_u_bahnhof_locations,44d6494a7cacdb3e76b89233e374e7f0,s_u_bahnhof_locations__44d6494a7cacdb3e76b89233e374e7f0
karl-bonhoeffer-nervenklinik,"Karl-Bonhoeffer-Nervenklinik Station, Berlin, Germany","U Karl-Bonhoeffer-Nervenklinik, Berlin",Pipeline,"Karl-Bonhoeffer-Nervenklinik Station, Berlin, Germany",,s_u_bahnhof_locations,d19b21654f42ac1ac8f696dfabeb997f,s_u_bahnhof_locations__d19b21654f42ac1ac8f696dfabeb997f
karl-marx-straße,"Karl-Marx-Strasse Station, Berlin, Germany","U Karl-Marx-Strasse, Berlin",Person,"Karl-Marx-Strasse Station, Berlin, Germany",,s_u_bahnhof_locations,65b8d756b781a104bb9c467bd20cfc84,s_u_bahnhof_locations__65b8d756b781a104bb9c467bd20cfc84
kaulsdorf-nord,"Kaulsdorf-Nord Station, Berlin, Germany","U Kaulsdorf-Nord, Berlin",Media,"Kaulsdorf-Nord Station, Berlin, Germany",,s_u_bahnhof_locations,692fa88c181e526d1bcc804e7ec52ef7,s_u_bahnhof_locations__692fa88c181e526d1bcc804e7ec52ef7
kienberg,"Kienberg Station, Berlin, Germany","U Kienberg, Berlin",Person,"Kienberg Station, Berlin, Germany",,s_u_bahnhof_locations,c23e2143c2853ff3fd1014a0ccbcd1d1,s_u_bahnhof_locations__c23e2143c2853ff3fd1014a0ccbcd1d1
kleistpark,"Kleistpark Station, Berlin, Germany","U Kleistpark, Berlin",space,"Kleistpark Station, Berlin, Germany",,s_u_bahnhof_locations,285b09a92c835aa0ccd84d76691e1865,s_u_bahnhof_locations__285b09a92c835aa0ccd84d76691e1865
klosterstraße,"Klosterstrasse Station, Berlin, Germany","U Klosterstrasse, Berlin",IndustryTerm,"Klosterstrasse Station, Berlin, Germany",,s_u_bahnhof_locations,b0e3faf4d41b24e616cfcf7e3d285289,s_u_bahnhof_locations__b0e3faf4d41b24e616cfcf7e3d285289
kochstraße,"Kochstrasse Station, Berlin, Germany","U Kochstrasse, Berlin",LegislativeCommittee,"Kochstrasse Station, Berlin, Germany",,s_u_bahnhof_locations,9bc61038724877f75439f8239a9ddbf0,s_u_bahnhof_locations__9bc61038724877f75439f8239a9ddbf0
kochstraße (checkpoint charlie),"Kochstrasse (Checkpoint Charlie) Station, Berlin, Germany","U Kochstrasse (Checkpoint Charlie), Berlin",Exec,"Kochstrasse (Checkpoint Charlie) Station, Berlin, Germany",,s_u_bahnhof_locations,f409e869d76e5c8b9c76e24ea612f673,s_u_bahnhof_locations__f409e869d76e5c8b9c76e24ea612f673
konstanzer straße,"Konstanzer Strasse Station, Berlin, Germany","U Konstanzer Strasse, Berlin",ForeignMinister,"Konstanzer Strasse Station, Berlin, Germany",,s_u_bahnhof_locations,cb25f0850911fc749881bae673179387,s_u_bahnhof_locations__cb25f0850911fc749881bae673179387
kottbusser tor,"Kottbusser Tor Station, Berlin, Germany","U Kottbusser Tor, Berlin",IndustryTerm,"Kottbusser Tor Station, Berlin, Germany",,s_u_bahnhof_locations,8ffa1ccb25a06f7066f11abfdbbb0a0c,s_u_bahnhof_locations__8ffa1ccb25a06f7066f11abfdbbb0a0c
krumme lanke,"Krumme Lanke Station, Berlin, Germany","U Krumme Lanke, Berlin",ForeignMinistry,"Krumme Lanke Station, Berlin, Germany",,s_u_bahnhof_locations,48cdb983442f372dfadb6430ed90e494,s_u_bahnhof_locations__48cdb983442f372dfadb6430ed90e494
kurfürstendamm,"Kurfurstendamm Station, Berlin, Germany","U Kurfurstendamm, Berlin",LegislativeCommittee,"Kurfurstendamm Station, Berlin, Germany",,s_u_bahnhof_locations,f7fafc80e807378fc8478ed1e43c77dd,s_u_bahnhof_locations__f7fafc80e807378fc8478ed1e43c77dd
kurfürstenstraße,"Kurfurstenstrasse Station, Berlin, Germany","U Kurfurstenstrasse, Berlin",Person,"Kurfurstenstrasse Station, Berlin, Germany",,s_u_bahnhof_locations,769ac9efee3af734f81ed736aacb3a47,s_u_bahnhof_locations__769ac9efee3af734f81ed736aacb3a47
kurt-schumacher-platz,"Kurt-Schumacher-Platz Station, Berlin, Germany","U Kurt-Schumacher-Platz, Berlin",Media,"Kurt-Schumacher-Platz Station, Berlin, Germany",,s_u_bahnhof_locations,79ef7dde7e981fde34f0a6a23b3febe3,s_u_bahnhof_locations__79ef7dde7e981fde34f0a6a23b3febe3
leinestraße,"Leinestrasse Station, Berlin, Germany","U Leinestrasse, Berlin",LegislativeCommittee,"Leinestrasse Station, Berlin, Germany",,s_u_bahnhof_locations,2e8d6cafb9c395d0369bd734a842f740,s_u_bahnhof_locations__2e8d6cafb9c395d0369bd734a842f740
leopoldplatz,"Leopoldplatz Station, Berlin, Germany","U Leopoldplatz, Berlin",Legislator,"Leopoldplatz Station, Berlin, Germany",,s_u_bahnhof_locations,794cd05dbccbd60a0754464b42a04810,s_u_bahnhof_locations__794cd05dbccbd60a0754464b42a04810
lichtenberg,"Lichtenberg Station, Berlin, Germany","U Lichtenberg, Berlin",DiplomaticFacilities,"Lichtenberg Station, Berlin, Germany",,s_u_bahnhof_locations,db4a73a069ba5da7419d25a781935757,s_u_bahnhof_locations__db4a73a069ba5da7419d25a781935757
lindauer allee,"Lindauer Allee Station, Berlin, Germany","U Lindauer Allee, Berlin",FTO,"Lindauer Allee Station, Berlin, Germany",,s_u_bahnhof_locations,36f9af0c66d5eddf589a2e1b165af286,s_u_bahnhof_locations__36f9af0c66d5eddf589a2e1b165af286
lipschitzallee,"Lipschitzallee Station, Berlin, Germany","U Lipschitzallee, Berlin",space,"Lipschitzallee Station, Berlin, Germany",,s_u_bahnhof_locations,0d2e20cb521df6e937c2e20de011aa6c,s_u_bahnhof_locations__0d2e20cb521df6e937c2e20de011aa6c
louis-lewin-straße,"Louis-Lewin-Strasse Station, Berlin, Germany","U Louis-Lewin-Strasse, Berlin",Shipping,"Louis-Lewin-Strasse Station, Berlin, Germany",,s_u_bahnhof_locations,78a3e3795405e14bad396c3b435186d2,s_u_bahnhof_locations__78a3e3795405e14bad396c3b435186d2
magdalenenstraße,"Magdalenenstrasse Station, Berlin, Germany","U Magdalenenstrasse, Berlin",Person,"Magdalenenstrasse Station, Berlin, Germany",,s_u_bahnhof_locations,e01ab0a4167375c0f8de2b4a969017cc,s_u_bahnhof_locations__e01ab0a4167375c0f8de2b4a969017cc
märkisches museum,"Markisches Museum Station, Berlin, Germany","U Markisches Museum, Berlin",Diplomat,"Markisches Museum Station, Berlin, Germany",,s_u_bahnhof_locations,c30bffb6caed797ef487c96cefce5ad9,s_u_bahnhof_locations__c30bffb6caed797ef487c96cefce5ad9
mehringdamm,"Mehringdamm Station, Berlin, Germany","U Mehringdamm, Berlin",Shipping,"Mehringdamm Station, Berlin, Germany",,s_u_bahnhof_locations,bc5c21331a0ea2c123d002ce6c26f8ec,s_u_bahnhof_locations__bc5c21331a0ea2c123d002ce6c26f8ec
mendelssohn-bartholdy-park,"Mendelssohn-Bartholdy-Park Station, Berlin, Germany","U Mendelssohn-Bartholdy-Park, Berlin",Media,"Mendelssohn-Bartholdy-Park Station, Berlin, Germany",,s_u_bahnhof_locations,9f6490c29d205b16b627e82617a586a2,s_u_bahnhof_locations__9f6490c29d205b16b627e82617a586a2
mierendorffplatz,"Mierendorffplatz Station, Berlin, Germany","U Mierendorffplatz, Berlin",Diplomat,"Mierendorffplatz Station, Berlin, Germany",,s_u_bahnhof_locations,cd8575d826b9ee4d203cf26f4d4f8825,s_u_bahnhof_locations__cd8575d826b9ee4d203cf26f4d4f8825
möckernbrücke,"Mockernbrucke Station, Berlin, Germany","U Mockernbrucke, Berlin",AAEntity,"Mockernbrucke Station, Berlin, Germany",,s_u_bahnhof_locations,463cda5e6bf86271656a1a5c133d8700,s_u_bahnhof_locations__463cda5e6bf86271656a1a5c133d8700
mohrenstraße,"Mohrenstrasse Station, Berlin, Germany","U Mohrenstrasse, Berlin",Organization,"Mohrenstrasse Station, Berlin, Germany",,s_u_bahnhof_locations,e451a78ad39c3eba0a31d921c604baae,s_u_bahnhof_locations__e451a78ad39c3eba0a31d921c604baae
moritzplatz,"Moritzplatz Station, Berlin, Germany","U Moritzplatz, Berlin",Legislator,"Moritzplatz Station, Berlin, Germany",,s_u_bahnhof_locations,2c5cf4c442cc9c5b077c7466abfa1401,s_u_bahnhof_locations__2c5cf4c442cc9c5b077c7466abfa1401
