german_text,caption_text,lat,lon,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
altenahr,Altenahr,50.5159063,6.9894373,Legislator,Altenahr,,german_mapping_location,6d010d35e85011a4158ab5992921d8f7,german_mapping_location__6d010d35e85011a4158ab5992921d8f7
altenau (bay),Altenau,47.648365,11.017375,Refinery,Altenau,,german_mapping_location,8fcf34ad7cc14a6ce06210845e80ad77,german_mapping_location__8fcf34ad7cc14a6ce06210845e80ad77
altenbach,Altenbach,51.3558089,12.6825246,Refinery,Altenbach,,german_mapping_location,a1af387bf793bd1104db039eb9720c2a,german_mapping_location__a1af387bf793bd1104db039eb9720c2a
altenbamberg,Altenbamberg,49.786857,7.830745,Organization,Altenbamberg,,german_mapping_location,cf728d735a9ee24a06933ddd67ccc2f1,german_mapping_location__cf728d735a9ee24a06933ddd67ccc2f1
altenbeken,Altenbeken,51.7661843,8.9433483,Media,Altenbeken,,german_mapping_location,e629e435b0b773f2b68c912d73b775c1,german_mapping_location__e629e435b0b773f2b68c912d73b775c1
altenberg (erzgeb),Altenberg,50.7661488,13.7540582,DiplomaticFacilities,Altenberg,,german_mapping_location,98c2f1d25eb14782a4c89d5477a3b4cb,german_mapping_location__98c2f1d25eb14782a4c89d5477a3b4cb
altenberge,Altenberge,52.0513458,7.4814,CompanyKeyword,Altenberge,,german_mapping_location,46fc33c5c91a655c09f0cd649fdb8408,german_mapping_location__46fc33c5c91a655c09f0cd649fdb8408
altenburg,Altenburg,50.9967075,12.4436821,Organization,Altenburg,,german_mapping_location,a244147a554d680678cbfcb80d042033,german_mapping_location__a244147a554d680678cbfcb80d042033
altenerding,Altenerding,48.2937535,11.9017058,Person,Altenerding,,german_mapping_location,3fe3e46e294683561e50008f43765d46,german_mapping_location__3fe3e46e294683561e50008f43765d46
altenfeld (rhön),Altenfeld,50.450863,9.8494473,Shipping,Altenfeld,,german_mapping_location,172e45fc33acefdc2ce84b6248f50976,german_mapping_location__172e45fc33acefdc2ce84b6248f50976
altenglan,Altenglan,49.5484864,7.4618169,Refinery,Altenglan,,german_mapping_location,3c6af8aef0758c34f350336f6fdb864b,german_mapping_location__3c6af8aef0758c34f350336f6fdb864b
altengörs,Altengors,53.8992756,10.3549898,ForeignMinister,Altengors,,german_mapping_location,9f71f471f71ef68156d8a05d6d0629f2,german_mapping_location__9f71f471f71ef68156d8a05d6d0629f2
altenhundem,Altenhundem,51.1040447,8.0714536,Person,Altenhundem,,german_mapping_location,ea555b8cd9ce571e00178cd93195e23b,german_mapping_location__ea555b8cd9ce571e00178cd93195e23b
altenkirchen (westerw),Altenkirchen,50.6845191,7.6382702,LegislativeCommittee,Altenkirchen,,german_mapping_location,7b7cb9ef5adc8aebf23c7176cd59ef6e,german_mapping_location__7b7cb9ef5adc8aebf23c7176cd59ef6e
altenseelbach,Altenseelbach,50.7838704,7.9925659,Refinery,Altenseelbach,,german_mapping_location,996174d5886efc9d4cef6f4d6d6148c9,german_mapping_location__996174d5886efc9d4cef6f4d6d6148c9
altenstadt (hess),Altenstadt,50.2833715,8.9434996,AAEntity,Altenstadt,,german_mapping_location,204c8ff8ef0373c5dc4003ba3d0c99db,german_mapping_location__204c8ff8ef0373c5dc4003ba3d0c99db
altenstadt (iller),Altenstadt,48.1611852,10.1102183,Exec,Altenstadt,,german_mapping_location,204c8ff8ef0373c5dc4003ba3d0c99db,german_mapping_location__204c8ff8ef0373c5dc4003ba3d0c99db
altenstadt (waldnaab),Altenstadt,49.715659,12.1647385,Consulates,Altenstadt,,german_mapping_location,204c8ff8ef0373c5dc4003ba3d0c99db,german_mapping_location__204c8ff8ef0373c5dc4003ba3d0c99db
altenstadt-höchst,Altenstadt-Hochst,50.269767,8.923418,Organization,Altenstadt-Hochst,,german_mapping_location,7781419e255378efc650f0464b6c5099,german_mapping_location__7781419e255378efc650f0464b6c5099
altenstadt-lindheim,Altenstadt-Lindheim,50.291334,8.978775,Consulates,Altenstadt-Lindheim,,german_mapping_location,13df4c264ed049137d62625385403029,german_mapping_location__13df4c264ed049137d62625385403029
altentreptow,Altentreptow,53.6921318,13.2430111,Exec,Altentreptow,,german_mapping_location,3ced954e79b343e6dcdcdbf92e8bf5f8,german_mapping_location__3ced954e79b343e6dcdcdbf92e8bf5f8
altenwillershagen,Altenwillershagen,54.2591995,12.5729066,Wells,Altenwillershagen,,german_mapping_location,911dd536b44a0f28c225aad02d41d7a5,german_mapping_location__911dd536b44a0f28c225aad02d41d7a5
altersbach,Altersbach,50.7019504,10.5432237,Shipping,Altersbach,,german_mapping_location,a1d67d3c736c5a6258630fd0faa085ec,german_mapping_location__a1d67d3c736c5a6258630fd0faa085ec
altes lager,Altes Lager,52.015983,12.992293,ForeignMinister,Altes Lager,,german_mapping_location,063d96743cf934facea3e90a596c1c39,german_mapping_location__063d96743cf934facea3e90a596c1c39
altes lager,Altes Lager,52.015983,12.992293,Shipping,Altes Lager,,german_mapping_location,063d96743cf934facea3e90a596c1c39,german_mapping_location__063d96743cf934facea3e90a596c1c39
altglashütten-falkau,Altglashutten-Falkau,47.8593636,8.114243,ForeignMinistry,Altglashutten-Falkau,,german_mapping_location,738fa5dd6d847558041514fc93fac575,german_mapping_location__738fa5dd6d847558041514fc93fac575
altglienicke,Altglienicke,52.4076883,13.5594173,Legislator,Altglienicke,,german_mapping_location,16f63343ab7840af37743d30c400b7f3,german_mapping_location__16f63343ab7840af37743d30c400b7f3
althegnenberg,Althegnenberg,48.2364267,11.0628125,News,Althegnenberg,,german_mapping_location,d334fcee17d230626cd2cc3886ffb6ec,german_mapping_location__d334fcee17d230626cd2cc3886ffb6ec
altheim (hess),Altheim,49.9234877,8.8537724,space,Altheim,,german_mapping_location,f1174e0f13d5ea357fcc23c8ae9dcd08,german_mapping_location__f1174e0f13d5ea357fcc23c8ae9dcd08
althof,Althof,54.0905122,11.9217649,Shipping,Althof,,german_mapping_location,0ea64ec520f41b229dbd4f7eedc8e956,german_mapping_location__0ea64ec520f41b229dbd4f7eedc8e956
altmittweida,Altmittweida,50.9686941,12.9600024,Media,Altmittweida,,german_mapping_location,92ad6a5a394b5403e40e38eb692ab9a1,german_mapping_location__92ad6a5a394b5403e40e38eb692ab9a1
altmorschen,Altmorschen,51.067275,9.610756,IndustryTerm,Altmorschen,,german_mapping_location,0447c148e9f56f9a8352f0419f781b84,german_mapping_location__0447c148e9f56f9a8352f0419f781b84
altomünster,Altomunster,48.3856162,11.2546424,Exec,Altomunster,,german_mapping_location,32cd9c9515c7723e65cbd37159c84855,german_mapping_location__32cd9c9515c7723e65cbd37159c84855
altranft,Altranft,52.763235,14.082453,Keyphrase,Altranft,,german_mapping_location,31074870cb69e40236a1ebd4a131ca4e,german_mapping_location__31074870cb69e40236a1ebd4a131ca4e
altruppin,Altruppin,52.9418332,12.8578035,ForeignMinistry,Altruppin,,german_mapping_location,2d2c94d19fec897228c92e99578556c6,german_mapping_location__2d2c94d19fec897228c92e99578556c6
altshausen,Altshausen,47.9306044,9.5513476,Keyphrase,Altshausen,,german_mapping_location,4602be0a505d50091b3f973d97509e2b,german_mapping_location__4602be0a505d50091b3f973d97509e2b
altstädten (allgäu),Altstadten,47.4886303,10.2810898,ForeignMinistry,Altstadten,,german_mapping_location,1e08d69b29ebf72f091b635bfa94457d,german_mapping_location__1e08d69b29ebf72f091b635bfa94457d
alttann,Alttann,47.841214,9.793037,Shipping,Alttann,,german_mapping_location,84b4a59c5efd5b2ced3d7ef3b08081e4,german_mapping_location__84b4a59c5efd5b2ced3d7ef3b08081e4
alzey,Alzey,49.7501219,8.1100794,ForeignMinistry,Alzey,,german_mapping_location,57b03d7a513caa4db7c0b5f012bd8976,german_mapping_location__57b03d7a513caa4db7c0b5f012bd8976
alzey süd,Alzey South,49.738134,8.118732,ForeignMinister,Alzey South,,german_mapping_location,4e1ad32e1bbc99f8ee520e35022f6abb,german_mapping_location__4e1ad32e1bbc99f8ee520e35022f6abb
amberg,Amberg,49.4469151,11.8632484,ForeignMinistry,Amberg,,german_mapping_location,131c063d7df0707cbf8d080e830893d7,german_mapping_location__131c063d7df0707cbf8d080e830893d7
amelsbüren,Amelsburen,51.884329,7.599899,CompanyKeyword,Amelsburen,,german_mapping_location,c3b34b8e0d7a6ba074a6613e0543091e,german_mapping_location__c3b34b8e0d7a6ba074a6613e0543091e
ammern,Ammern,51.233346,10.458086,Diplomat,Ammern,,german_mapping_location,183a145c6ce4d8ee4f06a41bce585960,german_mapping_location__183a145c6ce4d8ee4f06a41bce585960
amorbach,Amorbach,49.6455362,9.2223125,Consulates,Amorbach,,german_mapping_location,cf25f78da06ab39f96deb22e8ded2242,german_mapping_location__cf25f78da06ab39f96deb22e8ded2242
amorbach,Amorbach,49.6455362,9.2223125,Legislator,Amorbach,,german_mapping_location,cf25f78da06ab39f96deb22e8ded2242,german_mapping_location__cf25f78da06ab39f96deb22e8ded2242
ampfing,Ampfing,48.2541735,12.4109702,Keyphrase,Ampfing,,german_mapping_location,9af4b57e988a5f2c05e02c74648b6f8e,german_mapping_location__9af4b57e988a5f2c05e02c74648b6f8e
amsdorf,Amsdorf,51.463578,11.7190932,DiplomaticFacilities,Amsdorf,,german_mapping_location,22078807e87af432771fa2259f38b709,german_mapping_location__22078807e87af432771fa2259f38b709
amstetten (württ),Amstetten,48.5784719,9.8729973,ForeignMinister,Amstetten,,german_mapping_location,08e6d0f7b4bd62a34773a5a4949ac2c7,german_mapping_location__08e6d0f7b4bd62a34773a5a4949ac2c7
amstetten (württ),Amstetten,48.5784719,9.8729973,Diplomat,Amstetten,,german_mapping_location,08e6d0f7b4bd62a34773a5a4949ac2c7,german_mapping_location__08e6d0f7b4bd62a34773a5a4949ac2c7
amtshainersdorf,Amtshainersdorf,50.966257,14.2324004,FTO,Amtshainersdorf,,german_mapping_location,d8f4fe446891a8a59a7abebe9f2cc9e7,german_mapping_location__d8f4fe446891a8a59a7abebe9f2cc9e7
andernach,Andernach,50.4346328,7.4041799,Keyphrase,Andernach,,german_mapping_location,0643057438c69f0c17bf84c9495d2b7e,german_mapping_location__0643057438c69f0c17bf84c9495d2b7e
anderten-misburg,Anderten-Misburg,52.3691876,9.8609986,Exec,Anderten-Misburg,,german_mapping_location,9da82438b9aef06a45090ffef469199c,german_mapping_location__9da82438b9aef06a45090ffef469199c
angermund,Angermund,51.3302121,6.7817275,Legislator,Angermund,,german_mapping_location,3b9d9b50c656ee8c86e181e2866e8845,german_mapping_location__3b9d9b50c656ee8c86e181e2866e8845
angermünde,Angermunde,53.0153571,13.9968087,Diplomat,Angermunde,,german_mapping_location,b0841f0dfab02cd3d5cd64dfed9b6910,german_mapping_location__b0841f0dfab02cd3d5cd64dfed9b6910
angern-rogätz,Angern-Rogatz,52.339266,11.75339,Refinery,Angern-Rogatz,,german_mapping_location,6187540fd8fd0e3cfafa241b6d577dda,german_mapping_location__6187540fd8fd0e3cfafa241b6d577dda
angersbach,Angersbach,50.6334454,9.4451444,AAEntity,Angersbach,,german_mapping_location,0ff8ab41f85dbe311f664bfa0ea2bcc6,german_mapping_location__0ff8ab41f85dbe311f664bfa0ea2bcc6
