keyword,caption_name,location,topic_id,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
raf menwith hill,UK RAF Menwith Hill,a59,188258,CompanyKeyword,UK RAF Menwith Hill,,basementions_mentionee,569ae70e8ea4877b46d89baca887025d,basementions_mentionee__569ae70e8ea4877b46d89baca887025d
raf croughton,UK RAF Croughton,a60,188258,Keyphrase,UK RAF Croughton,,basementions_mentionee,1d5992b414549d0a3dd31fb00a640a73,basementions_mentionee__1d5992b414549d0a3dd31fb00a640a73
naval station rota,US Naval Station Rota,a61,188258,Legislator,US Naval Station Rota,,basementions_mentionee,d87f9d07b5fda66fa4226c94297adb9c,basementions_mentionee__d87f9d07b5fda66fa4226c94297adb9c
morón air base,US Moron Air Base,a62,188258,Legislator,US Moron Air Base,,basementions_mentionee,98f76812ef830a30a6dbbf5eba5c05a5,basementions_mentionee__98f76812ef830a30a6dbbf5eba5c05a5
naval support activity bahrain,US Navy base Naval Support Activity Bahrain,a63,188258,IndustryTerm,US Navy base Naval Support Activity Bahrain,,basementions_mentionee,335c47edba536f8e7302506a98798682,basementions_mentionee__335c47edba536f8e7302506a98798682
værnes air station,Vaernes Air Station,a64,188258,Person,Vaernes Air Station,,basementions_mentionee,49c157ebf7fcace1faaa12f3dde3f8aa,basementions_mentionee__49c157ebf7fcace1faaa12f3dde3f8aa
ørland main air station,NATO Air Base Orland Main Air Station,a65,188258,ForeignMinister,NATO Air Base Orland Main Air Station,,basementions_mentionee,e0b884d87acf1bda0ae6da87e17f1cab,basementions_mentionee__e0b884d87acf1bda0ae6da87e17f1cab
chièvres air base,US Chievres Air Base,a66,188258,Wells,US Chievres Air Base,,basementions_mentionee,bab46e5acf0c8716e092224e5e96cd22,basementions_mentionee__bab46e5acf0c8716e092224e5e96cd22
camp arifjan,US Army installation Camp Arifjan,a67,188258,Pipeline,US Army installation Camp Arifjan,,basementions_mentionee,180d0c6859b669601cd5ccaba274b8ae,basementions_mentionee__180d0c6859b669601cd5ccaba274b8ae
camp doha,US Army installation Camp Doha,a68,188258,space,US Army installation Camp Doha,,basementions_mentionee,4cdafcffdbd293065264cae73ee4c2e1,basementions_mentionee__4cdafcffdbd293065264cae73ee4c2e1
camp buehring,US Army installation Camp Buehring,a69,188258,ForeignMinistry,US Army installation Camp Buehring,,basementions_mentionee,2a10260ddc779e92719f26a38340bf77,basementions_mentionee__2a10260ddc779e92719f26a38340bf77
ali al salem air base,Ali al-Salem Air Base,a70,188258,ForeignMinister,Ali al-Salem Air Base,,basementions_mentionee,ea4a2fa36c0637b10dd18a6abfdecb00,basementions_mentionee__ea4a2fa36c0637b10dd18a6abfdecb00
bezmer air base,Bezmer Air Base,a71,188258,Consulates,Bezmer Air Base,,basementions_mentionee,7451051b0f8835e93438783ca45daf49,basementions_mentionee__7451051b0f8835e93438783ca45daf49
novo selo range,Novo Selo Training Area,a72,188258,ForeignMinister,Novo Selo Training Area,,basementions_mentionee,8e68cf97e8ad2719138f821a7603967c,basementions_mentionee__8e68cf97e8ad2719138f821a7603967c
graf ignatievo air base,Graf Ignatievo Air Base,a73,188258,News,Graf Ignatievo Air Base,,basementions_mentionee,124935b6c46417731a0f671c9ed2b668,basementions_mentionee__124935b6c46417731a0f671c9ed2b668
storck barracks,US Army installation Storck Barracks,a74,188258,LegislativeCommittee,US Army installation Storck Barracks,,basementions_mentionee,b071256f10e0538231b0c03907950733,basementions_mentionee__b071256f10e0538231b0c03907950733
grafenwoehr training area,US Army installation Grafenwoehr Training Area,a75,188258,Wells,US Army installation Grafenwoehr Training Area,,basementions_mentionee,ca7361d41cc4ce009675fa00f3bf49d8,basementions_mentionee__ca7361d41cc4ce009675fa00f3bf49d8
edelweiss lodge and resort,US Armed Forces Recreation Center Edelweiss Lodge and Resort,a76,188258,IndustryTerm,US Armed Forces Recreation Center Edelweiss Lodge and Resort,,basementions_mentionee,d90ca2f089622977143a19606154de5c,basementions_mentionee__d90ca2f089622977143a19606154de5c
dimona radar facility,US Dimona Radar Facility,a77,188258,Legislator,US Dimona Radar Facility,,basementions_mentionee,bdd81af7fa27934e79fe035004ea3256,basementions_mentionee__bdd81af7fa27934e79fe035004ea3256
camp bondsteel,US Army base Camp Bondsteel,a78,188258,AAEntity,US Army base Camp Bondsteel,,basementions_mentionee,6089fa13ef3089829bd44c3c4cbac691,basementions_mentionee__6089fa13ef3089829bd44c3c4cbac691
firebase fiddler's green,US Marine Corps installation Fiddler's Green,a79,188258,Shipping,US Marine Corps installation Fiddler's Green,,basementions_mentionee,a20686c634863febaf29375d92255b55,basementions_mentionee__a20686c634863febaf29375d92255b55
naval support facility diego garcia,US Naval Support Facility Diego Garcia,a80,188258,space,US Naval Support Facility Diego Garcia,,basementions_mentionee,9038a0dd1cb6d4e9e0435e67a82b6b52,basementions_mentionee__9038a0dd1cb6d4e9e0435e67a82b6b52
camp lemonnier,Camp Lemonnier Naval Base,a81,188258,Person,Camp Lemonnier Naval Base,,basementions_mentionee,bfd1e7664881af37f5310b55a7fde376,basementions_mentionee__bfd1e7664881af37f5310b55a7fde376
crete naval base,Crete Naval Base,a82,188258,Media,Crete Naval Base,,basementions_mentionee,7c1388a9563f02ed9ed2b706ed52bb69,basementions_mentionee__7c1388a9563f02ed9ed2b706ed52bb69
port of jebel ali,Port of Jebel Ali,a83,188258,ForeignMinister,Port of Jebel Ali,,basementions_mentionee,f41f4b5ad33a1a7afe52bdcba926e695,basementions_mentionee__f41f4b5ad33a1a7afe52bdcba926e695
incirlik air base,Incirlik Air Base,a84,188258,Wells,Incirlik Air Base,,basementions_mentionee,670d76f3e63ac6a21d95c687b0f73e19,basementions_mentionee__670d76f3e63ac6a21d95c687b0f73e19
mihail kogălniceanu international airport,Mihail Kogalniceanu Air Base,a85,188258,ForeignMinister,Mihail Kogalniceanu Air Base,,basementions_mentionee,82a75aaee0d72f22df17c72fe3469582,basementions_mentionee__82a75aaee0d72f22df17c72fe3469582
as sayliyah army base,US Army Base al-Sayliyah,a86,188258,FTO,US Army Base al-Sayliyah,,basementions_mentionee,edc38f71e14f8c0c8524bc95a7a108ee,basementions_mentionee__edc38f71e14f8c0c8524bc95a7a108ee
al udeid air base,Al Udeid Air Base,a87,188258,Organization,Al Udeid Air Base,,basementions_mentionee,52372c5684786e5bab0d85b0c5a7a934,basementions_mentionee__52372c5684786e5bab0d85b0c5a7a934
soto cano air base,Soto Cano Air Base,a88,188258,Consulates,Soto Cano Air Base,,basementions_mentionee,6f0083fd02ce7dc9a34d77090ac3ca3a,basementions_mentionee__6f0083fd02ce7dc9a34d77090ac3ca3a
lajes field,Lajes Air Base,a89,188258,CompanyKeyword,Lajes Air Base,,basementions_mentionee,9bb514bb425e1551f365212077ea4c43,basementions_mentionee__9bb514bb425e1551f365212077ea4c43
thule air base,US Thule Air Base,a90,188258,Media,US Thule Air Base,,basementions_mentionee,b66bcb18071cf5c939243fa2a85f5794,basementions_mentionee__b66bcb18071cf5c939243fa2a85f5794
kleine brogel air base,Kleine Brogel Air Base,a91,188258,Pipeline,Kleine Brogel Air Base,,basementions_mentionee,dc8f91c6b30ebf37dbc52d51c7a54a92,basementions_mentionee__dc8f91c6b30ebf37dbc52d51c7a54a92
ämari air base,Amari Air Base,a92,188258,Wells,Amari Air Base,,basementions_mentionee,dbc631ec73462268e8a68e77bb5ac4c7,basementions_mentionee__dbc631ec73462268e8a68e77bb5ac4c7
chabelley airfield,Chabelley Airfield,a93,188258,Legislator,Chabelley Airfield,,basementions_mentionee,313f2dfdb887c2ada78808136af721b9,basementions_mentionee__313f2dfdb887c2ada78808136af721b9
nigerien air base 101,Nigerien Air Base 101,a94,188258,Wells,Nigerien Air Base 101,,basementions_mentionee,386d7591e7c3e107ba17541d6e53a12c,basementions_mentionee__386d7591e7c3e107ba17541d6e53a12c
nigerien air base 201,Nigerien Air Base 201,a95,188258,Shipping,Nigerien Air Base 201,,basementions_mentionee,294ce3f474cd2df178bc274daebc3c2f,basementions_mentionee__294ce3f474cd2df178bc274daebc3c2f
łask air base,Polish Lask Air Base,a96,188258,IndustryTerm,Polish Lask Air Base,,basementions_mentionee,2b9e0cbaa335e49443ef27e7691f55b5,basementions_mentionee__2b9e0cbaa335e49443ef27e7691f55b5
roaf 71st air base,Romanian Air Force 71st Air Base,a97,188258,ForeignMinistry,Romanian Air Force 71st Air Base,,basementions_mentionee,4c65f0f3ce369915bf3fd896167758db,basementions_mentionee__4c65f0f3ce369915bf3fd896167758db
izmir air station,US Izmir Air Station,a98,188258,Pipeline,US Izmir Air Station,,basementions_mentionee,d1d4fb1ea3a7ff187257979497a03b72,basementions_mentionee__d1d4fb1ea3a7ff187257979497a03b72
嘉手納飛行場,US Kadena Air Base,a1,188258,AAEntity,US Kadena Air Base,,basementions_mentionee,8ce2ae5fade4f1835f55204be80a073b,basementions_mentionee__8ce2ae5fade4f1835f55204be80a073b
普天間飛行場,US Marine Corps Air Station Futenma,a2,188258,Wells,US Marine Corps Air Station Futenma,,basementions_mentionee,886b6a618f2130c54b7c068ee465a83b,basementions_mentionee__886b6a618f2130c54b7c068ee465a83b
三沢飛行場,US Misawa Air Base,a3,188258,Organization,US Misawa Air Base,,basementions_mentionee,9c6cc22a71137dcb6126ba907c6fc4bb,basementions_mentionee__9c6cc22a71137dcb6126ba907c6fc4bb
横田飛行場,US Yokota Air Base,a4,188258,Diplomat,US Yokota Air Base,,basementions_mentionee,269e054d10292e6d801465aa6902a2da,basementions_mentionee__269e054d10292e6d801465aa6902a2da
キャンプ座間,US Army installation Camp Zama,a5,188258,Shipping,US Army installation Camp Zama,,basementions_mentionee,c91bfc9bdba2307c315ce19d5bb76dc8,basementions_mentionee__c91bfc9bdba2307c315ce19d5bb76dc8
トリイステーション,US Army Garrison Torii Station,a6,188258,Keyphrase,US Army Garrison Torii Station,,basementions_mentionee,42103f5d4757562303b0e5270a580731,basementions_mentionee__42103f5d4757562303b0e5270a580731
キャンプ・コートニー,US Marine Corps base Camp Courtney,a7,188258,ForeignMinister,US Marine Corps base Camp Courtney,,basementions_mentionee,3457caa9f33e72ce46d4aaca499742c5,basementions_mentionee__3457caa9f33e72ce46d4aaca499742c5
キャンプ・フォスター,US Marine Corps base Camp Foster,a8,188258,Diplomat,US Marine Corps base Camp Foster,,basementions_mentionee,a3037314fbf5388e1675692f2f2babf7,basementions_mentionee__a3037314fbf5388e1675692f2f2babf7
米海兵隊キャンプ富士,US Marine Corps installation Camp Fuji,a9,188258,Pipeline,US Marine Corps installation Camp Fuji,,basementions_mentionee,6e05b6902a314b60072d858278277969,basementions_mentionee__6e05b6902a314b60072d858278277969
キャンプ・ハンセン,US Marine Corps base Camp Hansen,a10,188258,DiplomaticFacilities,US Marine Corps base Camp Hansen,,basementions_mentionee,4738dda22e70bd60fd7c331b177265f5,basementions_mentionee__4738dda22e70bd60fd7c331b177265f5
牧港補給地区,US Marine Corps base Camp Kinser,a11,188258,AAEntity,US Marine Corps base Camp Kinser,,basementions_mentionee,b38e587474742ec8cecd01d9f3dca1c7,basementions_mentionee__b38e587474742ec8cecd01d9f3dca1c7
キャンプ・マクトリアス,US Marine Corps base Camp McTureous,a12,188258,IndustryTerm,US Marine Corps base Camp McTureous,,basementions_mentionee,3c69857a20baf6ddf80913020e98c37e,basementions_mentionee__3c69857a20baf6ddf80913020e98c37e
岩国飛行場,US Marine Corps Air Station Iwakuni,a13,188258,ForeignMinister,US Marine Corps Air Station Iwakuni,,basementions_mentionee,ae7f139a3326805e6158e5afe1da2baa,basementions_mentionee__ae7f139a3326805e6158e5afe1da2baa
キャンプ・バトラー,US Marine Corps base Camp Smedley D Butler,a14,188258,Shipping,US Marine Corps base Camp Smedley D Butler,,basementions_mentionee,941cbebaa8bd0b1d018ffcc6c99a5fd8,basementions_mentionee__941cbebaa8bd0b1d018ffcc6c99a5fd8
キャンプ・シュワブ,US Marine Corps base Camp Schwab,a15,188258,Person,US Marine Corps base Camp Schwab,,basementions_mentionee,86e9f2eac216ab794b51cebb4e74f273,basementions_mentionee__86e9f2eac216ab794b51cebb4e74f273
北部訓練場,US Marine Corps base Camp Gonsalves,a16,188258,Media,US Marine Corps base Camp Gonsalves,,basementions_mentionee,d65d268da06a37ff3493d91bb52935e9,basementions_mentionee__d65d268da06a37ff3493d91bb52935e9
横須賀海軍施設,US Commander Fleet Activities Yokosuka,a17,188258,Refinery,US Commander Fleet Activities Yokosuka,,basementions_mentionee,db8d6a451bd27ba98ab2cbe5d25e73dd,basementions_mentionee__db8d6a451bd27ba98ab2cbe5d25e73dd
佐世保基地,US Commander Fleet Activities Sasebo,a18,188258,Consulates,US Commander Fleet Activities Sasebo,,basementions_mentionee,5454d97ac419db347141409540ba3aad,basementions_mentionee__5454d97ac419db347141409540ba3aad
厚木海軍飛行場,US Naval Air Facility Atsugi,a19,188258,Person,US Naval Air Facility Atsugi,,basementions_mentionee,fb95d2fb0ab0f2fcdbc048f064438d45,basementions_mentionee__fb95d2fb0ab0f2fcdbc048f064438d45
キャンプ桑江,US Marine Corps base Camp Lester,a21,188258,Media,US Marine Corps base Camp Lester,,basementions_mentionee,8ffa0c58a0718f8ffc76679472340d3f,basementions_mentionee__8ffa0c58a0718f8ffc76679472340d3f
base aerea di sigonella,US Naval Air Station Sigonella,a25,188258,LegislativeCommittee,US Naval Air Station Sigonella,,basementions_mentionee,3aeb46fc47a60deb67aac692f7631617,basementions_mentionee__3aeb46fc47a60deb67aac692f7631617
camp darby,US Army installation Camp Darby,a27,188258,Media,US Army installation Camp Darby,,basementions_mentionee,16c7cf5ac113bedf5d58c55dc600b1a6,basementions_mentionee__16c7cf5ac113bedf5d58c55dc600b1a6
base aerea di aviano,Aviano Air Base,a28,188258,Media,Aviano Air Base,,basementions_mentionee,3f4c1bc5b38c50e58345288fccbe5fec,basementions_mentionee__3f4c1bc5b38c50e58345288fccbe5fec
قاعدة عين الأسد الجوية,Ain al-Asad Air Base,a29,188258,LegislativeCommittee,Ain al-Asad Air Base,,basementions_mentionee,31d211b21b1c2ef4d5112262550dc071,basementions_mentionee__31d211b21b1c2ef4d5112262550dc071
군산기지,US Kunsan Air Base,a30,188258,Shipping,US Kunsan Air Base,,basementions_mentionee,46c0ec8eaa613f68246d0ef43165e706,basementions_mentionee__46c0ec8eaa613f68246d0ef43165e706
오산 공군기지,US Osan Air Base,a31,188258,Refinery,US Osan Air Base,,basementions_mentionee,1764168273d001648bb918fe80401efc,basementions_mentionee__1764168273d001648bb918fe80401efc
캠프 캐럴,US Army Base Camp Carroll,a32,188258,CompanyKeyword,US Army Base Camp Carroll,,basementions_mentionee,c47ce06e26eb48d45395d990aa26353e,basementions_mentionee__c47ce06e26eb48d45395d990aa26353e
