state_keyword,caption_name,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
mn anyone,MN,CompanyKeyword,MN,,dgm_rssstate,943afaf25ac17fe7bc39fdaae916e3a4,dgm_rssstate__943afaf25ac17fe7bc39fdaae916e3a4
ms anyone,MS,space,MS,,dgm_rssstate,7a663caea1b722a63dc2868158ed584d,dgm_rssstate__7a663caea1b722a63dc2868158ed584d
mo anyone,MO,ForeignMinister,MO,,dgm_rssstate,eb0459bfce4185888ecf61fb07987581,dgm_rssstate__eb0459bfce4185888ecf61fb07987581
mt anyone,MT,space,MT,,dgm_rssstate,08ad08f6491037714d09263a79bebfba,dgm_rssstate__08ad08f6491037714d09263a79bebfba
ne anyone,NE,Legislator,NE,,dgm_rssstate,dc33066c3993e0d50896e533fd692ce0,dgm_rssstate__dc33066c3993e0d50896e533fd692ce0
nv anyone,NV,Legislator,NV,,dgm_rssstate,5343f615ee8aea842a0c5220a4df8d1c,dgm_rssstate__5343f615ee8aea842a0c5220a4df8d1c
nh anyone,NH,Consulates,NH,,dgm_rssstate,d41b7e52a4d4a8b4368f46611d066ece,dgm_rssstate__d41b7e52a4d4a8b4368f46611d066ece
nj anyone,NJ,Media,NJ,,dgm_rssstate,e22389dd541af625943f34756093b4c9,dgm_rssstate__e22389dd541af625943f34756093b4c9
nm anyone,NM,FTO,NM,,dgm_rssstate,e0f3dba3248a6ccb26950955635d93e2,dgm_rssstate__e0f3dba3248a6ccb26950955635d93e2
ny anyone,NY,Organization,NY,,dgm_rssstate,93a2a4ba7f0637b17eb0406c741759e8,dgm_rssstate__93a2a4ba7f0637b17eb0406c741759e8
nc anyone,NC,ForeignMinister,NC,,dgm_rssstate,90581d96b500fd2d3fd701a583409cb8,dgm_rssstate__90581d96b500fd2d3fd701a583409cb8
nd anyone,ND,space,ND,,dgm_rssstate,9a116c50d133c8648404081885194300,dgm_rssstate__9a116c50d133c8648404081885194300
oh anyone,OH,Diplomat,OH,,dgm_rssstate,ec947a7cc943c84b1ef84958a7df827c,dgm_rssstate__ec947a7cc943c84b1ef84958a7df827c
ok anyone,OK,Media,OK,,dgm_rssstate,e0aa021e21dddbd6d8cecec71e9cf564,dgm_rssstate__e0aa021e21dddbd6d8cecec71e9cf564
or anyone,OR,IndustryTerm,OR,,dgm_rssstate,1d00e7dce692e8dc3f6877f035e3a616,dgm_rssstate__1d00e7dce692e8dc3f6877f035e3a616
pa anyone,PA,Media,PA,,dgm_rssstate,06f6a489209115c5cef3f45036aad3ec,dgm_rssstate__06f6a489209115c5cef3f45036aad3ec
ri anyone,RI,Organization,RI,,dgm_rssstate,2cffb802c2aa988d1e7f2c2c78284d62,dgm_rssstate__2cffb802c2aa988d1e7f2c2c78284d62
sc anyone,SC,IndustryTerm,SC,,dgm_rssstate,6a65edb0cc17d66c677814115b1477f5,dgm_rssstate__6a65edb0cc17d66c677814115b1477f5
sd anyone,SD,LegislativeCommittee,SD,,dgm_rssstate,38f99abbc1d339c277c0669e7bc373c0,dgm_rssstate__38f99abbc1d339c277c0669e7bc373c0
tn anyone,TN,AAEntity,TN,,dgm_rssstate,947d7d61cd9ae4cb2ccd29438d7f9974,dgm_rssstate__947d7d61cd9ae4cb2ccd29438d7f9974
tx anyone,TX,Organization,TX,,dgm_rssstate,869036c9d97cf6593c6f1c2ccfd99a49,dgm_rssstate__869036c9d97cf6593c6f1c2ccfd99a49
ut anyone,UT,Legislator,UT,,dgm_rssstate,87db16cba59e908888837d351af65bfe,dgm_rssstate__87db16cba59e908888837d351af65bfe
vt anyone,VT,FTO,VT,,dgm_rssstate,072bfacf555fde9accd162a180ff0ac4,dgm_rssstate__072bfacf555fde9accd162a180ff0ac4
va anyone,VA,LegislativeCommittee,VA,,dgm_rssstate,3a11129c3467b1bcf46522b8e2ab3328,dgm_rssstate__3a11129c3467b1bcf46522b8e2ab3328
wa anyone,WA,Keyphrase,WA,,dgm_rssstate,4306a04670067b5b27e766335d3d40fa,dgm_rssstate__4306a04670067b5b27e766335d3d40fa
wv anyone,WV,ForeignMinistry,WV,,dgm_rssstate,b484fe295bb7ccd00d90fcf8094b037e,dgm_rssstate__b484fe295bb7ccd00d90fcf8094b037e
wi anyone,WI,Person,WI,,dgm_rssstate,04b0da1d9fcbe36f8fb4a357f875d4b7,dgm_rssstate__04b0da1d9fcbe36f8fb4a357f875d4b7
wy anyone,WY,Refinery,WY,,dgm_rssstate,05184b2fec44bde3ebe5d5f386d7e1eb,dgm_rssstate__05184b2fec44bde3ebe5d5f386d7e1eb
dc anyone,DC,ForeignMinister,DC,,dgm_rssstate,cf75e54791dd1f49f918345fdfe2430b,dgm_rssstate__cf75e54791dd1f49f918345fdfe2430b
dc anyone,DC,ForeignMinistry,DC,,dgm_rssstate,cf75e54791dd1f49f918345fdfe2430b,dgm_rssstate__cf75e54791dd1f49f918345fdfe2430b
