lookup,caption,threshold,topic,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
crash,due to crash,Signal,Roadways - Safety,Media,due to crash,,south_aus_emer_caption,c393ff427e158ecc0c40d68e1bff2284,south_aus_emer_caption__c393ff427e158ecc0c40d68e1bff2284
stroke,due to person suffering a stroke,Alert 5,Fires and collapses,Diplomat,due to person suffering a stroke,,south_aus_emer_caption,3991ab910abb312fecda8ace08c0d1e9,south_aus_emer_caption__3991ab910abb312fecda8ace08c0d1e9
fire alarm,due to fire alarm,Alert 5,Fires and collapses,ForeignMinistry,due to fire alarm,,south_aus_emer_caption,f639a029136a7ab3b1adc788218a15a3,south_aus_emer_caption__f639a029136a7ab3b1adc788218a15a3
tree down,due to downed tree,Local Signal,"Fires and collapses, Natural Disasters",space,due to downed tree,,south_aus_emer_caption,0f2f87a78881f1eab8972d3110186f82,south_aus_emer_caption__0f2f87a78881f1eab8972d3110186f82
back pain,due to person with back pain,Alert 5,Fires and collapses,Pipeline,due to person with back pain,,south_aus_emer_caption,13337bff9e8e26772f25e4ae3941a709,south_aus_emer_caption__13337bff9e8e26772f25e4ae3941a709
vehicle accident,due to crash,Local Signal,Roadways - Safety,Wells,due to crash,,south_aus_emer_caption,c393ff427e158ecc0c40d68e1bff2284,south_aus_emer_caption__c393ff427e158ecc0c40d68e1bff2284
power line down,due to downed power line,Local Signal,Instrastructure - Utilities - Gas & Electricity,FTO,due to downed power line,,south_aus_emer_caption,8faaccfaa7f6a1e1a3200e30956ceae3,south_aus_emer_caption__8faaccfaa7f6a1e1a3200e30956ceae3
unconciou,due to person unconcious,Alert 5,Fires and collapses,IndustryTerm,due to person unconcious,,south_aus_emer_caption,326ae96763283782ddce22aac26325f4,south_aus_emer_caption__326ae96763283782ddce22aac26325f4
chest pain,due to person with chest pain,Alert 5,Fires and collapses,LegislativeCommittee,due to person with chest pain,,south_aus_emer_caption,24ce68aa7d963a70dc4011edb561c397,south_aus_emer_caption__24ce68aa7d963a70dc4011edb561c397
transfer,to transfer patient,Alert 5,Fires and collapses,Legislator,to transfer patient,,south_aus_emer_caption,35098345e2cc2f42c2dc08c6da2a1115,south_aus_emer_caption__35098345e2cc2f42c2dc08c6da2a1115
allergies,due to person suffering allergic reaction,Alert 5,Fires and collapses,Person,due to person suffering allergic reaction,,south_aus_emer_caption,32f719b2f29641894896546070d07fd4,south_aus_emer_caption__32f719b2f29641894896546070d07fd4
grass fire,due to grass fire,Local Signal,"Fires and collapses, Natural Disasters",Person,due to grass fire,,south_aus_emer_caption,9a239454c4bd22424db38ed0ffdaf800,south_aus_emer_caption__9a239454c4bd22424db38ed0ffdaf800
abdominal,due to person with abdominal issue,Alert 5,Fires and collapses,Wells,due to person with abdominal issue,,south_aus_emer_caption,beb98723f6d2326776a9c0f1720a6253,south_aus_emer_caption__beb98723f6d2326776a9c0f1720a6253
heat / col,due to effects of heat or cold,Alert 5,Fires and collapses,CompanyKeyword,due to effects of heat or cold,,south_aus_emer_caption,f69e68a8050b53fb522ce874f1efb4d2,south_aus_emer_caption__f69e68a8050b53fb522ce874f1efb4d2
retrieval,for retrieval,Alert 5,Fires and collapses,ForeignMinister,for retrieval,,south_aus_emer_caption,5c2021965b118a12a3f82c25b0d3681e,south_aus_emer_caption__5c2021965b118a12a3f82c25b0d3681e
structure fire,due to structure fire,Signal,Fires and collapses,space,due to structure fire,,south_aus_emer_caption,5b1bfbbc01b2f355eb7a83290ed2506f,south_aus_emer_caption__5b1bfbbc01b2f355eb7a83290ed2506f
admission,to assist with admission,Alert 5,Fires and collapses,AAEntity,to assist with admission,,south_aus_emer_caption,6e4d1309f75ba4f20587587aa33b750e,south_aus_emer_caption__6e4d1309f75ba4f20587587aa33b750e
stab / gun,due to violence with weapon,Local Urgent,Crime - Active Threat,Diplomat,due to violence with weapon,,south_aus_emer_caption,b37d7f3a41b3bd59d9b25e3483b77dfd,south_aus_emer_caption__b37d7f3a41b3bd59d9b25e3483b77dfd
eye proble,due to person with eye problem,Alert 5,Fires and collapses,Person,due to person with eye problem,,south_aus_emer_caption,84f14a0165f0ada112ade5cae904d09b,south_aus_emer_caption__84f14a0165f0ada112ade5cae904d09b
diabetic,due to person with diabetes,Alert 5,Fires and collapses,Keyphrase,due to person with diabetes,,south_aus_emer_caption,b93938b03d110deed4b92b7f6ba4e86e,south_aus_emer_caption__b93938b03d110deed4b92b7f6ba4e86e
vehicle fire,due to vehicle fire,Signal,"Roadways - Safety, Fires and collapses",ForeignMinister,due to vehicle fire,,south_aus_emer_caption,488284564d80659a85dc1079de29a5e0,south_aus_emer_caption__488284564d80659a85dc1079de29a5e0
assist saas,to assist ambulance service,Alert 5,Fires and collapses,IndustryTerm,to assist ambulance service,,south_aus_emer_caption,b66ae46ed332e8463d237435612e74c5,south_aus_emer_caption__b66ae46ed332e8463d237435612e74c5
animal bit,due to animal bite,Local Signal,"Fires and collapses, Animals",Person,due to animal bite,,south_aus_emer_caption,1de51f4d9c6af9ca48f21a45f16961fc,south_aus_emer_caption__1de51f4d9c6af9ca48f21a45f16961fc
choking,due to choking incident,Alert 5,Fires and collapses,IndustryTerm,due to choking incident,,south_aus_emer_caption,f9a2e7c01c68ac201cf045ab6d288d3f,south_aus_emer_caption__f9a2e7c01c68ac201cf045ab6d288d3f
leaking fuel,due to fuel leak,Local Signal,Fires and collapses,Legislator,due to fuel leak,,south_aus_emer_caption,f4c62b58f69c2cc288c185ef94dd2611,south_aus_emer_caption__f4c62b58f69c2cc288c185ef94dd2611
burns,due to burn injury,Alert 5,Fires and collapses,Wells,due to burn injury,,south_aus_emer_caption,b23f07359e09a4e3b520e0fd5f8ad926,south_aus_emer_caption__b23f07359e09a4e3b520e0fd5f8ad926
weapons,due to incident involving weapons,Local Urgent,Crime - Active Threat,Legislator,due to incident involving weapons,,south_aus_emer_caption,27f4b2936c8a87e52bc049b58555518e,south_aus_emer_caption__27f4b2936c8a87e52bc049b58555518e
violence at scene,due to violent incident,Local Urgent,Crime - Active Threat,AAEntity,due to violent incident,,south_aus_emer_caption,0ffebdc07aa50c8d3ab87a375b04d3c5,south_aus_emer_caption__0ffebdc07aa50c8d3ab87a375b04d3c5
risk of violence,due to incident with risk of violence,Signal,Crime - Active Threat,ForeignMinister,due to incident with risk of violence,,south_aus_emer_caption,126b75b767a231e8957ead33b56bf7dd,south_aus_emer_caption__126b75b767a231e8957ead33b56bf7dd
weapon threat,due to armed incident,Local Urgent,Crime - Active Threat,FTO,due to armed incident,,south_aus_emer_caption,e50d1bf6c1a747a5285c7b2417f38634,south_aus_emer_caption__e50d1bf6c1a747a5285c7b2417f38634
