caption_name,address,coordinates,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
CEA Technologies,"59-65 Gladstone Street, Fyshwick, ACT, 2609 Australia","-35.3208278, 149.177602",Legislator,CEA Technologies,,shodan_ps_locations,8bcbd578ee3457f49bdb9c304692ecc9,shodan_ps_locations__8bcbd578ee3457f49bdb9c304692ecc9
Cambridge Technologies,"17, 85-91 Keilor Park Drive, Aerolink Business Park, Tullamarine, VIC, 3043 Australia","-37.710458, 144.858829",Wells,Cambridge Technologies,,shodan_ps_locations,498b4efbcd8f660de23562e15d3856ca,shodan_ps_locations__498b4efbcd8f660de23562e15d3856ca
Boeing Australia,"150 Charlotte Street, Brisbane, QLD, 4001 Australia","-27.4700267, 153.0275894",Shipping,Boeing Australia,,shodan_ps_locations,3c3b8b1fed1a9f9dfc68496698bc193a,shodan_ps_locations__3c3b8b1fed1a9f9dfc68496698bc193a
Serco,"60 Margaret Street, Sydney, NSW, 2000 Australia","-33.8647516, 151.2068173",space,Serco,,shodan_ps_locations,52609c9fb05d9759815416caabc3edbb,shodan_ps_locations__52609c9fb05d9759815416caabc3edbb
Spotless,"549 St Kilda Road, Melbourne, VIC, 3004 Australia","-37.84667719999999, 144.9797732",LegislativeCommittee,Spotless,,shodan_ps_locations,6b0f28895d9d92e329ab7a81b070bac8,shodan_ps_locations__6b0f28895d9d92e329ab7a81b070bac8
Downer Group,"Trinity Business Campus, 39 Delhi Road, North Ryde, NSW, 2113 Australia","-33.7954215, 151.1397226",News,Downer Group,,shodan_ps_locations,e1b507a75dec76d5a5db00c36f383e23,shodan_ps_locations__e1b507a75dec76d5a5db00c36f383e23
General Dynamics Land Systems - Australia,"26 Williams Circuit. Pooraka, SA, 5095 Australia","-34.8275481, 138.6099181",News,General Dynamics Land Systems - Australia,,shodan_ps_locations,9dbd443ce2cd9d8bedf1bf72896e39be,shodan_ps_locations__9dbd443ce2cd9d8bedf1bf72896e39be
Northrop Grumman Australia,"3/2 Faulding Street, Symonston, ACT, 2609 Australia","-35.3350483, 149.1681128",FTO,Northrop Grumman Australia,,shodan_ps_locations,e08c6308da77886822a7b6849c787df3,shodan_ps_locations__e08c6308da77886822a7b6849c787df3
Defence SA,"151 Pirie Street, Adelaide, SA, 5000 Australia","-34.9258356, 138.6054672",DiplomaticFacilities,Defence SA,,shodan_ps_locations,98eb8773287f191a08d5dea4cad2eb3f,shodan_ps_locations__98eb8773287f191a08d5dea4cad2eb3f
Electro Optic Systems,"75 Elizabeth Street, Sydney, NSW, 2000 Australia","-33.8688551, 151.2101734",Legislator,Electro Optic Systems,,shodan_ps_locations,d16ca33747f059583901494351d898de,shodan_ps_locations__d16ca33747f059583901494351d898de
XTEK,"3 Faulding Street, Symonston, ACT, 2609 Australia","-35.3354959, 149.1685512",Pipeline,XTEK,,shodan_ps_locations,8394fea81e3c3571593626bcbf304469,shodan_ps_locations__8394fea81e3c3571593626bcbf304469
Wilson Security,"Level 3, 6 English Street, Essendon Fields, VIC, 3041 Australia","-37.72606469999999, 144.8931352",Media,Wilson Security,,shodan_ps_locations,c8b2c2f390a2dea5b8ed5caa964e78e2,shodan_ps_locations__c8b2c2f390a2dea5b8ed5caa964e78e2
RAAF Base Wagga,"Sturt Highway, Forest Hill, NSW, 2651 Australia","-35.1455696, 147.4607818",Person,RAAF Base Wagga,,shodan_ps_locations,c6d1a6bf206e2c1f01f3d6bd3c3caeda,shodan_ps_locations__c6d1a6bf206e2c1f01f3d6bd3c3caeda
Australian Border Force,"3 Molonglo Drive, Canberra Airport, ACT, 2609 Australia","-35.3164603, 149.1903537",CompanyKeyword,Australian Border Force,,shodan_ps_locations,b37cd4cc7dc6cdb9af13fffefb416293,shodan_ps_locations__b37cd4cc7dc6cdb9af13fffefb416293
Australian War Memorial,"Treloar Crescent, Campbell, ACT, 2612 Australia","-35.2794586, 149.1497071",AAEntity,Australian War Memorial,,shodan_ps_locations,65ac86083404cea260bd49c91b70702f,shodan_ps_locations__65ac86083404cea260bd49c91b70702f
Australian Army Research Centre,"Russell Offices, Constitution Avenue, Russell, ACT, 2600 Australia","-35.2966725, 149.1519968",Shipping,Australian Army Research Centre,,shodan_ps_locations,29dae1098f9b15770673b873deafd564,shodan_ps_locations__29dae1098f9b15770673b873deafd564
Australian Defence Force Academy,"Northcott Drive, Campbell, ACT, 2612 Australia","-35.2926761, 149.1617344",DiplomaticFacilities,Australian Defence Force Academy,,shodan_ps_locations,92b5915ee9841750b0fe719d40796394,shodan_ps_locations__92b5915ee9841750b0fe719d40796394
Australian Defence College,"kirkpatrick Street, Weston, ACT, 2611 Australia","-35.3214037, 149.0576731",Media,Australian Defence College,,shodan_ps_locations,2e2dd8e26f2219d80cb45d96cb761177,shodan_ps_locations__2e2dd8e26f2219d80cb45d96cb761177
Australian National University,"The Australian National University, Canberra, ACT, 2600 Australia","-35.2776999, 149.118527",CompanyKeyword,Australian National University,,shodan_ps_locations,c0bfb9aac3c77faa2351e08ed226bca5,shodan_ps_locations__c0bfb9aac3c77faa2351e08ed226bca5
Coral Bell School of Asia Pacific Affairs,"Hedley Bull Building, 130 Garren Road, Acton, ACT, 2601 Australia","-35.2830541, 149.1196669",Organization,Coral Bell School of Asia Pacific Affairs,,shodan_ps_locations,905ac98edf127db794056e459793ab1c,shodan_ps_locations__905ac98edf127db794056e459793ab1c
Australian Department of Veterans Affairs,"259 Queen Street, Brisbane, QLD, 4000 Australia","-27.4679749, 153.0275991",CompanyKeyword,Australian Department of Veterans Affairs,,shodan_ps_locations,7fb0c54782cd3b95044c3146c70f8c1d,shodan_ps_locations__7fb0c54782cd3b95044c3146c70f8c1d
Manpower Australia,"201 Kent Street, Sydney, NSW, 2000 Australia","-33.8637342, 151.2038097",AAEntity,Manpower Australia,,shodan_ps_locations,06df48fa59b0e7a91efd546e928569dc,shodan_ps_locations__06df48fa59b0e7a91efd546e928569dc
South Australian Space Industry Centre,"151 Pirie Street, Adelaide, SA, 5000 Australia","-34.9258356, 138.6054672",News,South Australian Space Industry Centre,,shodan_ps_locations,491a504c7798f50f3eb3316f16393f7f,shodan_ps_locations__491a504c7798f50f3eb3316f16393f7f
Australian Munitions,"7 Murray Close Avenue, Sydney Olympic Park, NSW 2127 Australia","-33.8456829, 151.0702404",DiplomaticFacilities,Australian Munitions,,shodan_ps_locations,b464a3ab441c66629f5167038460e368,shodan_ps_locations__b464a3ab441c66629f5167038460e368
Australian Outback,"7 Murray Close Avenue, Sydney Olympic Park, NSW 2127 Australia","-33.8456829, 151.0702404",AAEntity,Australian Outback,,shodan_ps_locations,4e6a96c66fde023ded564eb50e0eb8a6,shodan_ps_locations__4e6a96c66fde023ded564eb50e0eb8a6
Airbus,"65-75 Pandanus Avenue, Brisbane Airport, QLD, 4007 Australia","-27.3884251, 153.1355203",Shipping,Airbus,,shodan_ps_locations,b110aa10dc3e3aa939ba099440938e65,shodan_ps_locations__b110aa10dc3e3aa939ba099440938e65
Sikorsky Aircraft Australia,"29 Wugan Street, Yerriyong, NSW 2540 Australia","-34.9444413, 150.5296345",IndustryTerm,Sikorsky Aircraft Australia,,shodan_ps_locations,2ebef77c062d780c52580ff239692a7f,shodan_ps_locations__2ebef77c062d780c52580ff239692a7f
Rheinmetall Defence,"111 Robert Smith Street, Redbank, QLD, 4301 Australia","-27.5844761, 152.874256",Wells,Rheinmetall Defence,,shodan_ps_locations,93e1e29cc8723976531f6fc3b8f3c940,shodan_ps_locations__93e1e29cc8723976531f6fc3b8f3c940
Luerssen Australia,"16 Nautical Drive, Henderson, WA 6166 Australia","-32.1621341, 115.7725617",Pipeline,Luerssen Australia,,shodan_ps_locations,a86dd2453efbe0903edec48575cc2ec4,shodan_ps_locations__a86dd2453efbe0903edec48575cc2ec4
Konsberg Defence Australia,"18 Brindabella Cirtcuit, Canberra Airport, ACT 2609 Australia","-35.313038, 149.1890337",space,Konsberg Defence Australia,,shodan_ps_locations,a421340b5e04202dd87f58ff15769903,shodan_ps_locations__a421340b5e04202dd87f58ff15769903
Bupa Health Services,"33 Exhibition Street, Melbourne, VIC 3000 Australia","-37.8152936, 144.9717999",Consulates,Bupa Health Services,,shodan_ps_locations,ffe1b21edcd0c58e4ca940ba2e2a498f,shodan_ps_locations__ffe1b21edcd0c58e4ca940ba2e2a498f
Defense Health Australia,"380 St Kilda Road, Southbank, Melbourne, VIC 3004 Australia","-37.8322426, 144.970907",Pipeline,Defense Health Australia,,shodan_ps_locations,2ad75d1cca94aae8254ce7e53da51f9c,shodan_ps_locations__2ad75d1cca94aae8254ce7e53da51f9c
Saab Australia,"2/71 Leichardt Street, Kingston, ACT 2604 Australia","-35.3209012, 149.1469176",Media,Saab Australia,,shodan_ps_locations,569991c833808c43adb3910eb199f015,shodan_ps_locations__569991c833808c43adb3910eb199f015
Ventia,"1/495 Victoria Avenue, Chatswood, NSW 2067 Australia","-33.7970573, 151.178779",CompanyKeyword,Ventia,,shodan_ps_locations,0a2f4e54498b7e074ce505b7e12437af,shodan_ps_locations__0a2f4e54498b7e074ce505b7e12437af
MSS Security,"63-79 Parramatta Road, Silverwater, NSW 2128 Australia","-33.84496190000001, 151.0428004",Organization,MSS Security,,shodan_ps_locations,3a4c006ff9a8514c8fcb59937d89bd8e,shodan_ps_locations__3a4c006ff9a8514c8fcb59937d89bd8e
Linfox,"55 English Street, Essendon Fields, Victoria 3041 Australia","-37.725386, 144.8973175",Wells,Linfox,,shodan_ps_locations,e35a55adaa05b5910744049c6c86679d,shodan_ps_locations__e35a55adaa05b5910744049c6c86679d
Toll Group,"380 St Kilda Road, Melbourne, VIC 3004 Australia","-37.8322426, 144.970907",CompanyKeyword,Toll Group,,shodan_ps_locations,761b60c9079da4e0916e0ee295c08562,shodan_ps_locations__761b60c9079da4e0916e0ee295c08562
Pentarch Group,"99 Coventry Street, South Melbourne, VIC 3205 Australia","-37.83035, 144.966137",CompanyKeyword,Pentarch Group,,shodan_ps_locations,7f5f486899756eacd841f8808d2420d1,shodan_ps_locations__7f5f486899756eacd841f8808d2420d1
Pentarch Industrial,"99 Coventry Street, South Melbourne, VIC 3205 Australia","-37.83035, 144.966137",FTO,Pentarch Industrial,,shodan_ps_locations,6ea8f5abceb01ce492b369af83ae9fad,shodan_ps_locations__6ea8f5abceb01ce492b369af83ae9fad
Accenture,"55 Wentworth Avenue, Kingston, ACT 2604 Australia","-35.3168055, 149.1462475",News,Accenture,,shodan_ps_locations,1d55af1659424cf94d869e2580a11bf8,shodan_ps_locations__1d55af1659424cf94d869e2580a11bf8
Royal United Services Institute Australia,"Campbell Park Offices, Northcott Drive, Majura, ACT 2609 Australia","-35.2823001, 149.172359",space,Royal United Services Institute Australia,,shodan_ps_locations,188aef9f14334b9eb9de3c35d58354aa,shodan_ps_locations__188aef9f14334b9eb9de3c35d58354aa
Silentium Defence,"39 Davis Street, Wingfield, SA 5013 Australia","-34.8440437, 138.5588586",Media,Silentium Defence,,shodan_ps_locations,21947a4c91c572ed5d093d8227e028e7,shodan_ps_locations__21947a4c91c572ed5d093d8227e028e7
Aspen Medical,"2 King Street, Deakin, ACT 2600 Australia","-35.3223674, 149.0933238",LegislativeCommittee,Aspen Medical,,shodan_ps_locations,8238d2840e06a4eb3e0f1abc3cfb7a08,shodan_ps_locations__8238d2840e06a4eb3e0f1abc3cfb7a08
Inovor Technologies,"14, Hanson Building, Frome Road, Adelaide, SA 5000 Australia","-34.9201455, 138.6084275",Exec,Inovor Technologies,,shodan_ps_locations,fe19ed76f91184393fb1c6d994d0080a,shodan_ps_locations__fe19ed76f91184393fb1c6d994d0080a
CPB Contractors,"177 Pacific Highway, North Sydney, NSW 2060 Australia","-33.836926, 151.2060945",Exec,CPB Contractors,,shodan_ps_locations,f7795a7e148980dc5f534b2d2ec58116,shodan_ps_locations__f7795a7e148980dc5f534b2d2ec58116
DynCorp Australia,"Torrens Street, Braddon, ACT 2612 Australia","-35.2708373, 149.1344847",Consulates,DynCorp Australia,,shodan_ps_locations,ac6866676c3d7cb0694876ee632b412c,shodan_ps_locations__ac6866676c3d7cb0694876ee632b412c
Babcock Australasia,"70 Franklin Street, Adelaide, SA 5000 Australia","-34.9270919, 138.596691",Diplomat,Babcock Australasia,,shodan_ps_locations,7f1bb91636cad7828b4f78989cab29d9,shodan_ps_locations__7f1bb91636cad7828b4f78989cab29d9
IBM Australia,"601 Pacific Highway, St Leonards, NSW 2065 Australia","-33.8231455, 151.1967104",IndustryTerm,IBM Australia,,shodan_ps_locations,ac8bfa0757c6db8dfa051077c5beb299,shodan_ps_locations__ac8bfa0757c6db8dfa051077c5beb299
PPK Group,"10 Eagle Street, Brisbane, QLD 4000 Australia","-27.469215, 153.029797",DiplomaticFacilities,PPK Group,,shodan_ps_locations,11ae3d23c0debfca009f9f0db5ee0908,shodan_ps_locations__11ae3d23c0debfca009f9f0db5ee0908
Craig International Ballistics,"4 Harrington Street, Arundel, QLD 4214 Australia","-27.9311484, 153.3691564",ForeignMinister,Craig International Ballistics,,shodan_ps_locations,0ea3fdc088ab3c5efa41580f58d54b9c,shodan_ps_locations__0ea3fdc088ab3c5efa41580f58d54b9c
Elbit Systems,"42 Macquarie Street, Barton, ACT 2600 Australia","-35.3073508, 149.1358404",News,Elbit Systems,,shodan_ps_locations,f02f8270599f3a6953705960c0127e26,shodan_ps_locations__f02f8270599f3a6953705960c0127e26
Leidos Australia,"39/1508 Centre Road, Clayton South, VIC 3168 Australia","-37.9318455, 145.1381007",Pipeline,Leidos Australia,,shodan_ps_locations,9f7611d9666fdb1ec686d9615c943a77,shodan_ps_locations__9f7611d9666fdb1ec686d9615c943a77
Royal New Zealand Air Force,"34 Bowen Street, Pipitea, Wellington, 6011 New Zealand","-41.2782274, 174.7749618",LegislativeCommittee,Royal New Zealand Air Force,,shodan_ps_locations,9fb8a44a4fbb9e8855936fac294cca3e,shodan_ps_locations__9fb8a44a4fbb9e8855936fac294cca3e
New Zealand Defence Force,"34 Bowen Street, Pipitea, Wellington, 6011 New Zealand","-41.2782274, 174.7749618",Person,New Zealand Defence Force,,shodan_ps_locations,c7e5cbba36f2b267c5329a9ded2bd4b0,shodan_ps_locations__c7e5cbba36f2b267c5329a9ded2bd4b0
Government Communications Security Bureau,"9 Pipitea Street, Wellington, 6011 New Zealand","-41.2756589, 174.7807228",Diplomat,Government Communications Security Bureau,,shodan_ps_locations,c47a42f827ea2d9042f3ceda54f11255,shodan_ps_locations__c47a42f827ea2d9042f3ceda54f11255
New Zealand National Cyber Security Centre,"9 Pipitea Street, Wellington, 6011 New Zealand","-41.2756589, 174.7807228",Wells,New Zealand National Cyber Security Centre,,shodan_ps_locations,07d529250ddc6d93ee78100c5fe66d0b,shodan_ps_locations__07d529250ddc6d93ee78100c5fe66d0b
New Zealand Security Intelligence Service,"9 Pipitea Street, Wellington, 6011 New Zealand","-41.2756589, 174.7807228",CompanyKeyword,New Zealand Security Intelligence Service,,shodan_ps_locations,23db6dad211f45a1259137853ec24672,shodan_ps_locations__23db6dad211f45a1259137853ec24672
New Zealand Ministry of Defence,"Defence House, 34 Bowen Street, Pipitea, Wellington, 6011 New Zealand","-41.2783509, 174.7748845",Shipping,New Zealand Ministry of Defence,,shodan_ps_locations,0b125a696ce51060450a99119734e90a,shodan_ps_locations__0b125a696ce51060450a99119734e90a
Force 4 Families,"34 Bowen Street, Pipitea, Wellington, 6011 New Zealand","-41.2782274, 174.7749618",ForeignMinister,Force 4 Families,,shodan_ps_locations,20ad4ceb6c475f992d1c3e0d97ad64a0,shodan_ps_locations__20ad4ceb6c475f992d1c3e0d97ad64a0
New Zealand Defence Technology Agency,"HMNZS Philomel, Jim Titchener Parade, Devenport, 0624 New Zealand","-36.8300418, 174.7905273",Exec,New Zealand Defence Technology Agency,,shodan_ps_locations,da477b87df662888fedcd4abfeb0ed5a,shodan_ps_locations__da477b87df662888fedcd4abfeb0ed5a
New Zealand Defence Industry Association,"Remuerua, Auckland 1541 New Zealand","-36.8812612, 174.8026499",Pipeline,New Zealand Defence Industry Association,,shodan_ps_locations,22f1a506cc3f30aa2069fec631e976ff,shodan_ps_locations__22f1a506cc3f30aa2069fec631e976ff
Pacific Helmets,"315 Heads Road, Whanganui, 4501 New Zealand","-39.9497584, 175.0176431",AAEntity,Pacific Helmets,,shodan_ps_locations,e810f78b2e71edc2bd702ae6ceed0c03,shodan_ps_locations__e810f78b2e71edc2bd702ae6ceed0c03
Thales New Zealand,"4 Willis Street, Wellington, 6011 New Zealand","-41.2864782, 174.7760145",Organization,Thales New Zealand,,shodan_ps_locations,c5fda72ede2a7ba6a6402911d60988d9,shodan_ps_locations__c5fda72ede2a7ba6a6402911d60988d9
Duratec,"44 Victoria Street, Auckland, 1010 New Zealand","-36.8486156, 174.7631762",LegislativeCommittee,Duratec,,shodan_ps_locations,4a98f9490276f2cb28e7a3bbabb052c2,shodan_ps_locations__4a98f9490276f2cb28e7a3bbabb052c2
Lockhead Martin Australia,"8 Brisbane Avenue, Barton, ACT, 2600 Australia","-35.3092822, 149.1377998",Consulates,Lockhead Martin Australia,,shodan_ps_locations,f00d7d1be757f041184a7a5f5b8e0d9d,shodan_ps_locations__f00d7d1be757f041184a7a5f5b8e0d9d
City of Aberdeen,"Aberdeen, MD","39.5095556, -76.1641197",Exec,City of Aberdeen,,shodan_ps_locations,70739ef127a3b4bcc78069033f61aa5d,shodan_ps_locations__70739ef127a3b4bcc78069033f61aa5d
City of Abilene,"Abilene, TX","32.4487364, -99.7331439",Exec,City of Abilene,,shodan_ps_locations,328b47c481a1c69931d22965c51e4372,shodan_ps_locations__328b47c481a1c69931d22965c51e4372
Town of Abingdon,"Abingdon, VA","36.7098335, -81.9773482",Consulates,Town of Abingdon,,shodan_ps_locations,4e8b58476c21ba63e1050d940823cda5,shodan_ps_locations__4e8b58476c21ba63e1050d940823cda5
Town of Abington,"Abington, MA","42.1048228, -70.9453218",ForeignMinistry,Town of Abington,,shodan_ps_locations,3ec79e2910c7ffd0d2e26639dbe4ebec,shodan_ps_locations__3ec79e2910c7ffd0d2e26639dbe4ebec
Abington Township,"Abington, PA","40.1240795, -75.1195107",DiplomaticFacilities,Abington Township,,shodan_ps_locations,267600afab49e020c31fca957f7b109c,shodan_ps_locations__267600afab49e020c31fca957f7b109c
Town Of Abita Springs,"Abita Springs, LA","30.4785257, -90.0375755",Organization,Town Of Abita Springs,,shodan_ps_locations,be20614953aa541588b91bf22c825af3,shodan_ps_locations__be20614953aa541588b91bf22c825af3
City of Absecon,"Absecon, NJ","39.4284503, -74.4957076",IndustryTerm,City of Absecon,,shodan_ps_locations,ed9589861fcc6676fa59f4f67228bd24,shodan_ps_locations__ed9589861fcc6676fa59f4f67228bd24
Princeton,"Princeton, NJ","40.3572976, -74.6672226",DiplomaticFacilities,Princeton,,shodan_ps_locations,9d8f63a335335289bf4f4a330eafc64d,shodan_ps_locations__9d8f63a335335289bf4f4a330eafc64d
Town of Acton,"Acton, MA","42.4850931, -71.43284",CompanyKeyword,Town of Acton,,shodan_ps_locations,84c54458580b6e4276d1ebda3247f893,shodan_ps_locations__84c54458580b6e4276d1ebda3247f893
City of Adak,"Adak, AK","51.88, -176.6580556",News,City of Adak,,shodan_ps_locations,da0734675875bddbc3466d4935fd237e,shodan_ps_locations__da0734675875bddbc3466d4935fd237e
City Of Ada,"Ada, MN","47.299689, -96.5153463",Media,City Of Ada,,shodan_ps_locations,8074cadf5c1338ddeb841173892f9d07,shodan_ps_locations__8074cadf5c1338ddeb841173892f9d07
Town Of Addison,"Addison, TX","32.96179, -96.8291685",IndustryTerm,Town Of Addison,,shodan_ps_locations,cb8030779d783718f23da6ba550294eb,shodan_ps_locations__cb8030779d783718f23da6ba550294eb
City of Adelanto,"Adelanto, CA","34.5827699, -117.409215",Wells,City of Adelanto,,shodan_ps_locations,4294105c258271b44a87f13b1571d24f,shodan_ps_locations__4294105c258271b44a87f13b1571d24f
City of Adrian,"Adrian, MI","41.8975471, -84.0371659",DiplomaticFacilities,City of Adrian,,shodan_ps_locations,9fbc68900a6df69179f02a76b6dff983,shodan_ps_locations__9fbc68900a6df69179f02a76b6dff983
Town of Afton,"AFTON, WY","42.7249282, -110.9318687",News,Town of Afton,,shodan_ps_locations,1c5dfff89211d56b2bb242e1db9d9412,shodan_ps_locations__1c5dfff89211d56b2bb242e1db9d9412
Town of Ahoskie,"Ahoskie, NC","36.2868223, -76.9846808",Media,Town of Ahoskie,,shodan_ps_locations,0e66a87ec905cfa4b12620fb52794f52,shodan_ps_locations__0e66a87ec905cfa4b12620fb52794f52
