chinacity_identifier,chinacitycaption_name,chinatagging_location,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
泊头市,"Botou, Hebei, China",botouhebei,Keyphrase,"Botou, Hebei, China",,dgm_chinacitylocations,c5781a569fe10ecbb165eaa5ba31b26b,dgm_chinacitylocations__c5781a569fe10ecbb165eaa5ba31b26b
任丘市,"Renqiu, Hebei, China",renqiuhebei,Refinery,"Renqiu, Hebei, China",,dgm_chinacitylocations,c332fe658c6def17275b436a564472ec,dgm_chinacitylocations__c332fe658c6def17275b436a564472ec
黄骅市,"Huanghua, Hebei, China",huanghuahebei,ForeignMinistry,"Huanghua, Hebei, China",,dgm_chinacitylocations,4dcedda947503a8ceea45fb763b51613,dgm_chinacitylocations__4dcedda947503a8ceea45fb763b51613
河间市,"Hejian, Hebei, China",hejianhebei,AAEntity,"Hejian, Hebei, China",,dgm_chinacitylocations,07eb9c463fed80764bd2eb12612baea8,dgm_chinacitylocations__07eb9c463fed80764bd2eb12612baea8
霸州市,"Bazhou, Hebei, China",bazhouhebei,Person,"Bazhou, Hebei, China",,dgm_chinacitylocations,07663a24834e984a4b32070dfa32de85,dgm_chinacitylocations__07663a24834e984a4b32070dfa32de85
三河市,"Sanhe, Hebei, China",sanhehebei,Organization,"Sanhe, Hebei, China",,dgm_chinacitylocations,bf40d6d6b396f6bbc03a1e4fca9ed36c,dgm_chinacitylocations__bf40d6d6b396f6bbc03a1e4fca9ed36c
深州市,"Shenzhou, Hebei, China",shenzhouhebei,Person,"Shenzhou, Hebei, China",,dgm_chinacitylocations,5708bf55ba348be52db73ac42a7399e6,dgm_chinacitylocations__5708bf55ba348be52db73ac42a7399e6
石家庄市,"Shijiazhuang, Hebei, China",shijiazhuanghebei,Media,"Shijiazhuang, Hebei, China",,dgm_chinacitylocations,aaec37ddf23980687835ab6f4c249b32,dgm_chinacitylocations__aaec37ddf23980687835ab6f4c249b32
唐山市,"Tangshan, Hebei, China",tangshanhebei,Keyphrase,"Tangshan, Hebei, China",,dgm_chinacitylocations,2a70dc9c0ed3347d1603a04454a82f7b,dgm_chinacitylocations__2a70dc9c0ed3347d1603a04454a82f7b
秦皇岛市,"Qinhuangdao, Hebei, China",qinhuangdaohebei,Pipeline,"Qinhuangdao, Hebei, China",,dgm_chinacitylocations,6989e45acc29b1c61c687c3cee97dd7a,dgm_chinacitylocations__6989e45acc29b1c61c687c3cee97dd7a
邯郸市,"Handan, Hebei, China",handanhebei,Media,"Handan, Hebei, China",,dgm_chinacitylocations,186a255b0b5951d159221b394e216025,dgm_chinacitylocations__186a255b0b5951d159221b394e216025
邢台市,"Xingtai, Hebei, China",xingtaihebei,Consulates,"Xingtai, Hebei, China",,dgm_chinacitylocations,80f18691d874486207354264683b0423,dgm_chinacitylocations__80f18691d874486207354264683b0423
保定市,"Baoding, Hebei, China",baodinghebei,CompanyKeyword,"Baoding, Hebei, China",,dgm_chinacitylocations,3cea115a03ceb3fc5d27362f87416e24,dgm_chinacitylocations__3cea115a03ceb3fc5d27362f87416e24
张家口市,"Zhangjiakou, Hebei, China",zhangjiakouhebei,LegislativeCommittee,"Zhangjiakou, Hebei, China",,dgm_chinacitylocations,d0f26ed1808c67353e17bbd6c15f9438,dgm_chinacitylocations__d0f26ed1808c67353e17bbd6c15f9438
承德市,"Chengde, Hebei, China",chengdehebei,News,"Chengde, Hebei, China",,dgm_chinacitylocations,1d92175523afc185413bf8b3fc02c056,dgm_chinacitylocations__1d92175523afc185413bf8b3fc02c056
沧州市,"Cangzhou, Hebei, China",cangzhouhebei,ForeignMinister,"Cangzhou, Hebei, China",,dgm_chinacitylocations,d4def8196797e36b2cc97a1c70cdbf7a,dgm_chinacitylocations__d4def8196797e36b2cc97a1c70cdbf7a
廊坊市,"Langfang, Hebei, China",langfanghebei,Refinery,"Langfang, Hebei, China",,dgm_chinacitylocations,8c19c8aff0e98df8f5618ebdaa867900,dgm_chinacitylocations__8c19c8aff0e98df8f5618ebdaa867900
衡水市,"Hengshui, Hebei, China",hengshuihebei,LegislativeCommittee,"Hengshui, Hebei, China",,dgm_chinacitylocations,9b78be862477b9a21a95800e76dea98b,dgm_chinacitylocations__9b78be862477b9a21a95800e76dea98b
太原市,"Taiyuan, Shanxi, China",taiyuanshanxi,Organization,"Taiyuan, Shanxi, China",,dgm_chinacitylocations,59fc4b5cc69b81af98a4ff9e3127bc79,dgm_chinacitylocations__59fc4b5cc69b81af98a4ff9e3127bc79
大同市,"Datong, Shanxi, China",datongshanxi,CompanyKeyword,"Datong, Shanxi, China",,dgm_chinacitylocations,4d7b393cacd61ba7a7e47eaf529f555b,dgm_chinacitylocations__4d7b393cacd61ba7a7e47eaf529f555b
陽泉市,"Yangquan, Shanxi, China",yangquanshanxi,LegislativeCommittee,"Yangquan, Shanxi, China",,dgm_chinacitylocations,279ed1f0f916087e41391327cfb9ea4f,dgm_chinacitylocations__279ed1f0f916087e41391327cfb9ea4f
长治市,"Changzhi, Shanxi, China",changzhishanxi,Pipeline,"Changzhi, Shanxi, China",,dgm_chinacitylocations,978afb43f0c262884878caf549d43657,dgm_chinacitylocations__978afb43f0c262884878caf549d43657
晉城市,"Jincheng, Shanxi, China",jinchengshanxi,Consulates,"Jincheng, Shanxi, China",,dgm_chinacitylocations,d3fce5d60db6fae1e1e84f61c0941165,dgm_chinacitylocations__d3fce5d60db6fae1e1e84f61c0941165
朔州市,"Shuozhou, Shanxi, China",shuozhoushanxi,Organization,"Shuozhou, Shanxi, China",,dgm_chinacitylocations,ac6f5eb152907468d721e1b9de17b272,dgm_chinacitylocations__ac6f5eb152907468d721e1b9de17b272
晋中市,"Jinzhong, Shanxi, China",jinzhongshanxi,space,"Jinzhong, Shanxi, China",,dgm_chinacitylocations,4baf21f49edb7b334990d59e707d21ea,dgm_chinacitylocations__4baf21f49edb7b334990d59e707d21ea
運城市,"Yuncheng, Shanxi, China",yunchengshanxi,Wells,"Yuncheng, Shanxi, China",,dgm_chinacitylocations,5c621beceb20898ff66f520ed0eb2fd3,dgm_chinacitylocations__5c621beceb20898ff66f520ed0eb2fd3
忻州市,"Xinzhou, Shanxi, China",xinzhoushanxi,News,"Xinzhou, Shanxi, China",,dgm_chinacitylocations,2002cd4b60992550d19910478ec01802,dgm_chinacitylocations__2002cd4b60992550d19910478ec01802
臨汾市,"Linfen, Shanxi, China",linfenshanxi,Wells,"Linfen, Shanxi, China",,dgm_chinacitylocations,708654d14e3466d9fd6ffc74c8add985,dgm_chinacitylocations__708654d14e3466d9fd6ffc74c8add985
呂梁市,"Luliang, Shanxi, China",luliangshanxi,Pipeline,"Luliang, Shanxi, China",,dgm_chinacitylocations,e8a3c2d86d1b505ae6e99112e507a257,dgm_chinacitylocations__e8a3c2d86d1b505ae6e99112e507a257
古交市,"Gujiao, Shanxi, China",gujiaoshanxi,Media,"Gujiao, Shanxi, China",,dgm_chinacitylocations,0e903471e0686c259867cba7fd0d1e49,dgm_chinacitylocations__0e903471e0686c259867cba7fd0d1e49
高平市,"Gaoping, Shanxi, China",gaopingshanxi,FTO,"Gaoping, Shanxi, China",,dgm_chinacitylocations,d74a48c46c1b1de2ad8aa6a6d2f1d69a,dgm_chinacitylocations__d74a48c46c1b1de2ad8aa6a6d2f1d69a
介休市,"Jiexiu, Shanxi, China",jiexiushanxi,AAEntity,"Jiexiu, Shanxi, China",,dgm_chinacitylocations,5569db5ba7b888adb35e3015c8a14cde,dgm_chinacitylocations__5569db5ba7b888adb35e3015c8a14cde
永濟市,"Yongji, Shanxi, China",yongjishanxi,space,"Yongji, Shanxi, China",,dgm_chinacitylocations,174f6fa501f23b15c4a4b84721ec2871,dgm_chinacitylocations__174f6fa501f23b15c4a4b84721ec2871
河津市,"Hejin, Shanxi, China",hejinshanxi,Media,"Hejin, Shanxi, China",,dgm_chinacitylocations,80fa972ae6cd88e4495c13cd5ee2a8e1,dgm_chinacitylocations__80fa972ae6cd88e4495c13cd5ee2a8e1
原平市,"Yuanping, Shanxi, China",yuanpingshanxi,Diplomat,"Yuanping, Shanxi, China",,dgm_chinacitylocations,7a054baec75230c370e39e4da9650c1b,dgm_chinacitylocations__7a054baec75230c370e39e4da9650c1b
侯馬市,"Houma, Shanxi, China",houmashanxi,Consulates,"Houma, Shanxi, China",,dgm_chinacitylocations,390b85990399b4928ec419d9456a60af,dgm_chinacitylocations__390b85990399b4928ec419d9456a60af
霍州市,"Huozhou, Shanxi, China",huozhoushanxi,CompanyKeyword,"Huozhou, Shanxi, China",,dgm_chinacitylocations,d95109071a00e89adb09855d5147dd3a,dgm_chinacitylocations__d95109071a00e89adb09855d5147dd3a
孝義市,"Xiaoyi, Shanxi, China",xiaoyishanxi,ForeignMinistry,"Xiaoyi, Shanxi, China",,dgm_chinacitylocations,f9c298f4d453b08781465325f7d93acf,dgm_chinacitylocations__f9c298f4d453b08781465325f7d93acf
汾陽市,"Fenyang, Shanxi, China",fenyangshanxi,IndustryTerm,"Fenyang, Shanxi, China",,dgm_chinacitylocations,b76b75526578b5d49dab585c0ab48c82,dgm_chinacitylocations__b76b75526578b5d49dab585c0ab48c82
怀仁市,"Huairen, Shanxi, China",huairenshanxi,space,"Huairen, Shanxi, China",,dgm_chinacitylocations,da94e02a260a526c6cd3961db7af9796,dgm_chinacitylocations__da94e02a260a526c6cd3961db7af9796
呼和浩特市,"Hohhot, Inner Mongolia, China",hohhotinnermongolia,Wells,"Hohhot, Inner Mongolia, China",,dgm_chinacitylocations,7f8bb120b0319055f89e9e0f4a5a2dbf,dgm_chinacitylocations__7f8bb120b0319055f89e9e0f4a5a2dbf
包头市,"Baotou, Inner Mongolia, China",baotouinnermongolia,CompanyKeyword,"Baotou, Inner Mongolia, China",,dgm_chinacitylocations,6c5414f12823a8da3e3d719d55474a35,dgm_chinacitylocations__6c5414f12823a8da3e3d719d55474a35
乌海市,"Wuhai, Inner Mongolia, China",wuhaiinnermongolia,IndustryTerm,"Wuhai, Inner Mongolia, China",,dgm_chinacitylocations,5f2ff8273dbfa45be709f8b429f06ab1,dgm_chinacitylocations__5f2ff8273dbfa45be709f8b429f06ab1
赤峰市,"Chifeng, Inner Mongolia, China",chifenginnermongolia,FTO,"Chifeng, Inner Mongolia, China",,dgm_chinacitylocations,56c90fca7b09660ea5cc703096b244da,dgm_chinacitylocations__56c90fca7b09660ea5cc703096b244da
通辽市,"Tongliao, Inner Mongolia, China",tongliaoinnermongolia,Diplomat,"Tongliao, Inner Mongolia, China",,dgm_chinacitylocations,f71bb659789140ae336db5fcbab975ca,dgm_chinacitylocations__f71bb659789140ae336db5fcbab975ca
鄂尔多斯市,"Ordos, Inner Mongolia, China",ordosinnermongolia,FTO,"Ordos, Inner Mongolia, China",,dgm_chinacitylocations,eeda1f4ca106b64ec6c250b677d7da7e,dgm_chinacitylocations__eeda1f4ca106b64ec6c250b677d7da7e
呼伦贝尔市,"Hulunbuir, Inner Mongolia, China",hulunbuirinnermongolia,Legislator,"Hulunbuir, Inner Mongolia, China",,dgm_chinacitylocations,102ad6883cfaedfffdcc36efb8b6cb16,dgm_chinacitylocations__102ad6883cfaedfffdcc36efb8b6cb16
巴彦淖尔市,"Bayannur, Inner Mongolia, China",bayannurinnermongolia,LegislativeCommittee,"Bayannur, Inner Mongolia, China",,dgm_chinacitylocations,c8d1b657a62b2948e6e7927d4c796901,dgm_chinacitylocations__c8d1b657a62b2948e6e7927d4c796901
乌兰察布市,"Ulanqab, Inner Mongolia, China",ulanqabinnermongolia,CompanyKeyword,"Ulanqab, Inner Mongolia, China",,dgm_chinacitylocations,9348540bc569fdcb639f6bddd7eae53f,dgm_chinacitylocations__9348540bc569fdcb639f6bddd7eae53f
霍林郭勒市,"Holingol, Inner Mongolia, China",holingolinnermongolia,Person,"Holingol, Inner Mongolia, China",,dgm_chinacitylocations,966cf85f441f349821c8ebc4ed30245c,dgm_chinacitylocations__966cf85f441f349821c8ebc4ed30245c
满洲里市,"Manzhouli, Inner Mongolia, China",manzhouliinnermongolia,DiplomaticFacilities,"Manzhouli, Inner Mongolia, China",,dgm_chinacitylocations,30751655a21ebe58992fb5f9c3b60d03,dgm_chinacitylocations__30751655a21ebe58992fb5f9c3b60d03
牙克石市,"Takeshi, Inner Mongolia, China",takeshiinnermongolia,space,"Takeshi, Inner Mongolia, China",,dgm_chinacitylocations,4e9f80e62c6345ae0f63f067e9ff9215,dgm_chinacitylocations__4e9f80e62c6345ae0f63f067e9ff9215
扎兰屯市,"Zalantun, Inner Mongolia, China",zalantuninnermongolia,Person,"Zalantun, Inner Mongolia, China",,dgm_chinacitylocations,c15cb1eb56bb5032620c594b9aecc3c0,dgm_chinacitylocations__c15cb1eb56bb5032620c594b9aecc3c0
额尔古纳市,"Ergun, Inner Mongolia, China",erguninnermongolia,DiplomaticFacilities,"Ergun, Inner Mongolia, China",,dgm_chinacitylocations,18b87be6fb828f97e99233cb7008da03,dgm_chinacitylocations__18b87be6fb828f97e99233cb7008da03
根河市,"Genhe, Inner Mongolia, China",genheinnermongolia,Organization,"Genhe, Inner Mongolia, China",,dgm_chinacitylocations,3e890bbf304b51b0574f63a77550cb69,dgm_chinacitylocations__3e890bbf304b51b0574f63a77550cb69
丰镇市,"Fengzhen, Inner Mongolia, China",fengzheninnermongolia,Keyphrase,"Fengzhen, Inner Mongolia, China",,dgm_chinacitylocations,7601e70551e05881a69e0304d0d44279,dgm_chinacitylocations__7601e70551e05881a69e0304d0d44279
乌兰浩特市,"Ulanhot, Inner Mongolia, China",ulanhotinnermongolia,Refinery,"Ulanhot, Inner Mongolia, China",,dgm_chinacitylocations,873bc9a8b09071349d78b15be89e44dc,dgm_chinacitylocations__873bc9a8b09071349d78b15be89e44dc
阿尔山市,"Arxan, Inner Mongolia, China",arxaninnermongolia,Wells,"Arxan, Inner Mongolia, China",,dgm_chinacitylocations,0c0bb67c8d9158fd39fda70cf08cb84f,dgm_chinacitylocations__0c0bb67c8d9158fd39fda70cf08cb84f
二连浩特市,"Erenhot, Inner Mongolia, China",erenhotinnermongolia,Person,"Erenhot, Inner Mongolia, China",,dgm_chinacitylocations,ad378521f5f18d34afc157d02b342cc1,dgm_chinacitylocations__ad378521f5f18d34afc157d02b342cc1
锡林浩特市,"Xilinhot, Inner Mongolia, China",xilinhotinnermongolia,Pipeline,"Xilinhot, Inner Mongolia, China",,dgm_chinacitylocations,912b3c4d69dbad5f4cc24a7e7f686136,dgm_chinacitylocations__912b3c4d69dbad5f4cc24a7e7f686136
沈阳市,"Shenyang, Liaoning, China",shenyangliaoning,LegislativeCommittee,"Shenyang, Liaoning, China",,dgm_chinacitylocations,5bba9027ab50cd0e8f5ae3e6cc9be49d,dgm_chinacitylocations__5bba9027ab50cd0e8f5ae3e6cc9be49d
大连市,"Dalian, Liaoning, China",dalianliaoning,Diplomat,"Dalian, Liaoning, China",,dgm_chinacitylocations,cfd7c81443ac6891b557b061009271d4,dgm_chinacitylocations__cfd7c81443ac6891b557b061009271d4
鞍山市,"Anshan, Liaoning, China",anshanliaoning,AAEntity,"Anshan, Liaoning, China",,dgm_chinacitylocations,ce72c8d21026f9a7d857bb52f5bfabbc,dgm_chinacitylocations__ce72c8d21026f9a7d857bb52f5bfabbc
抚顺市,"Fushun, Liaoning, China",fushunliaoning,ForeignMinistry,"Fushun, Liaoning, China",,dgm_chinacitylocations,2b59982ada28770b2413197ed058ae63,dgm_chinacitylocations__2b59982ada28770b2413197ed058ae63
本溪市,"Benxi, Liaoning, China",benxiliaoning,DiplomaticFacilities,"Benxi, Liaoning, China",,dgm_chinacitylocations,9316c582a8a33ec243fe93e0b327bc0f,dgm_chinacitylocations__9316c582a8a33ec243fe93e0b327bc0f
丹东市,"Dandong, Liaoning, China",dandongliaoning,Exec,"Dandong, Liaoning, China",,dgm_chinacitylocations,f8e6ae528d5021fb76096c5a3583a4ee,dgm_chinacitylocations__f8e6ae528d5021fb76096c5a3583a4ee
锦州市,"Jinzhou, Liaoning, China",jinzhouliaoning,ForeignMinister,"Jinzhou, Liaoning, China",,dgm_chinacitylocations,e274f00b2293b957d8a6de42864c2845,dgm_chinacitylocations__e274f00b2293b957d8a6de42864c2845
营口市,"Yingkou, Liaoning, China",yingkouliaoning,AAEntity,"Yingkou, Liaoning, China",,dgm_chinacitylocations,d7c2b336c80b64d9c81cd28590303e26,dgm_chinacitylocations__d7c2b336c80b64d9c81cd28590303e26
阜新市,"Fuxin, Liaoning, China",fuxinliaoning,Pipeline,"Fuxin, Liaoning, China",,dgm_chinacitylocations,024cd7df94a7de865a2c86cf2bb758cd,dgm_chinacitylocations__024cd7df94a7de865a2c86cf2bb758cd
辽阳市,"Liaoyang, Liaoning, China",liaoyangliaoning,IndustryTerm,"Liaoyang, Liaoning, China",,dgm_chinacitylocations,83f58d9a99e21471ca3e92000110418f,dgm_chinacitylocations__83f58d9a99e21471ca3e92000110418f
盘锦市,"Panjin, Liaoning, China",panjinliaoning,IndustryTerm,"Panjin, Liaoning, China",,dgm_chinacitylocations,123b3ddbd40ff3e983b52c93d9abed59,dgm_chinacitylocations__123b3ddbd40ff3e983b52c93d9abed59
铁岭市,"Tieling, Liaoning, China",tielingliaoning,LegislativeCommittee,"Tieling, Liaoning, China",,dgm_chinacitylocations,e3da165f383a8eb48ae754b82df9e546,dgm_chinacitylocations__e3da165f383a8eb48ae754b82df9e546
朝阳市,"Chaoyang, Liaoning, China",chaoyangliaoning,Diplomat,"Chaoyang, Liaoning, China",,dgm_chinacitylocations,116cac3ea3e65a7628de9413828fd462,dgm_chinacitylocations__116cac3ea3e65a7628de9413828fd462
葫芦岛市,"Huludao, Liaoning, China",huludaoliaoning,Refinery,"Huludao, Liaoning, China",,dgm_chinacitylocations,454b870c77f73aad08120c31c149240a,dgm_chinacitylocations__454b870c77f73aad08120c31c149240a
新民市,"Xinmin, Liaoning, China",xinminliaoning,Shipping,"Xinmin, Liaoning, China",,dgm_chinacitylocations,b998c2c25a5225c38ef3ef8f88f69a90,dgm_chinacitylocations__b998c2c25a5225c38ef3ef8f88f69a90
瓦房店市,"Wafangdian, Liaoning, China",wafangdianliaoning,IndustryTerm,"Wafangdian, Liaoning, China",,dgm_chinacitylocations,880b2e46e465f5b3271ade577644e783,dgm_chinacitylocations__880b2e46e465f5b3271ade577644e783
庄河市,"Zhuanghe, Liaoning, China",zhuangheliaoning,Media,"Zhuanghe, Liaoning, China",,dgm_chinacitylocations,b3c202f5b6edad5fd18dfa5714d17893,dgm_chinacitylocations__b3c202f5b6edad5fd18dfa5714d17893
海城市,"Haicheng, Liaoning, China",haichengliaoning,News,"Haicheng, Liaoning, China",,dgm_chinacitylocations,41a4a4ef2a25c4d89241864c3008377a,dgm_chinacitylocations__41a4a4ef2a25c4d89241864c3008377a
东港市,"Donggang, Liaoning, China",donggangliaoning,Refinery,"Donggang, Liaoning, China",,dgm_chinacitylocations,e504c7fa8e8e52c2abc471d78f63c656,dgm_chinacitylocations__e504c7fa8e8e52c2abc471d78f63c656
凤城市,"Fengcheng, Liaoning, China",fengchengliaoning,Keyphrase,"Fengcheng, Liaoning, China",,dgm_chinacitylocations,23a5ca6571917944e5d6dbae84b3f4d4,dgm_chinacitylocations__23a5ca6571917944e5d6dbae84b3f4d4
凌海市,"Linghai, Liaoning, China",linghailiaoning,DiplomaticFacilities,"Linghai, Liaoning, China",,dgm_chinacitylocations,81512bf336207c181900254a9c7d613f,dgm_chinacitylocations__81512bf336207c181900254a9c7d613f
北镇市,"Beizhen, Liaoning, China",beizhenliaoning,ForeignMinistry,"Beizhen, Liaoning, China",,dgm_chinacitylocations,31245fed792cc3dea72953e1c7b4da2e,dgm_chinacitylocations__31245fed792cc3dea72953e1c7b4da2e
盖州市,"Gaoshi, Liaoning, China",gaoshiliaoning,News,"Gaoshi, Liaoning, China",,dgm_chinacitylocations,4184da4f6b8b2db121ca78234f420a7f,dgm_chinacitylocations__4184da4f6b8b2db121ca78234f420a7f
大石桥市,"Dashiqiao, Liaoning, China",dashiqiaoliaoning,Diplomat,"Dashiqiao, Liaoning, China",,dgm_chinacitylocations,a20a9ec6d726a3e4f7c0c30ca186c87f,dgm_chinacitylocations__a20a9ec6d726a3e4f7c0c30ca186c87f
灯塔市,"Dengta, Liaoning, China",dengtaliaoning,ForeignMinistry,"Dengta, Liaoning, China",,dgm_chinacitylocations,3cadeb1f12f1d910241f93ac991a270b,dgm_chinacitylocations__3cadeb1f12f1d910241f93ac991a270b
调兵山市,"Diaobingshan, Liaoning, China",diaobingshanliaoning,CompanyKeyword,"Diaobingshan, Liaoning, China",,dgm_chinacitylocations,9b3e528c52288fbdc711b0f9a2935a8d,dgm_chinacitylocations__9b3e528c52288fbdc711b0f9a2935a8d
开原市,"Kaiyuan, Liaoning, China",kaiyuanliaoning,Person,"Kaiyuan, Liaoning, China",,dgm_chinacitylocations,76efe28d192e405ea9f7182758e67dfd,dgm_chinacitylocations__76efe28d192e405ea9f7182758e67dfd
北票市,"Beipiao, Liaoning, China",beipiaoliaoning,Consulates,"Beipiao, Liaoning, China",,dgm_chinacitylocations,17fdb930d487067b71dc3c5f469b1a03,dgm_chinacitylocations__17fdb930d487067b71dc3c5f469b1a03
凌源市,"Lingyuan, Liaoning, China",lingyuanliaoning,ForeignMinister,"Lingyuan, Liaoning, China",,dgm_chinacitylocations,dec7d3f7c535633c580f75c38699ccdb,dgm_chinacitylocations__dec7d3f7c535633c580f75c38699ccdb
兴城市,"Xingcheng, Liaoning, China",xingchengliaoning,Consulates,"Xingcheng, Liaoning, China",,dgm_chinacitylocations,eb709c2fbe11ea9d2f005d23e8263745,dgm_chinacitylocations__eb709c2fbe11ea9d2f005d23e8263745
长春市,"Changchun, Jilin, China",changchunjilin,Media,"Changchun, Jilin, China",,dgm_chinacitylocations,0d38628b8a3fec272c64892a09449839,dgm_chinacitylocations__0d38628b8a3fec272c64892a09449839
吉林市,"Jilin, Jilin, China",jilinjilin,Organization,"Jilin, Jilin, China",,dgm_chinacitylocations,4176e87bea74a44dfb20c3f40bea8898,dgm_chinacitylocations__4176e87bea74a44dfb20c3f40bea8898
四平市,"Siping, Jilin, China",sipingjilin,Exec,"Siping, Jilin, China",,dgm_chinacitylocations,c0bb18440e8497c0f2d6713de8e404c3,dgm_chinacitylocations__c0bb18440e8497c0f2d6713de8e404c3
辽源市,"Liaoyuan, Jilin, China",liaoyuanjilin,Person,"Liaoyuan, Jilin, China",,dgm_chinacitylocations,61fa72ed07526fd7107cb602bcfdf1e5,dgm_chinacitylocations__61fa72ed07526fd7107cb602bcfdf1e5
通化市,"Tonghua, Jilin, China",tonghuajilin,space,"Tonghua, Jilin, China",,dgm_chinacitylocations,e1465548a80e1e441f58af2bacc0a274,dgm_chinacitylocations__e1465548a80e1e441f58af2bacc0a274
白山市,"Baishan, Jilin, China",baishanjilin,AAEntity,"Baishan, Jilin, China",,dgm_chinacitylocations,bb62af7742f78a498765c1b25d4262d4,dgm_chinacitylocations__bb62af7742f78a498765c1b25d4262d4
松原市,"Matsubara, Jilin, China",matsubarajilin,LegislativeCommittee,"Matsubara, Jilin, China",,dgm_chinacitylocations,e1947ed3c691d39df571c914951107cf,dgm_chinacitylocations__e1947ed3c691d39df571c914951107cf
白城市,"Baicheng, Jilin, China",baichengjilin,space,"Baicheng, Jilin, China",,dgm_chinacitylocations,b25099da1e3674ed5508d91d907af589,dgm_chinacitylocations__b25099da1e3674ed5508d91d907af589
榆树市,"Yushu, Jilin, China",yushujilin,ForeignMinistry,"Yushu, Jilin, China",,dgm_chinacitylocations,0374509db83ee3463a0bd584322cb03d,dgm_chinacitylocations__0374509db83ee3463a0bd584322cb03d
德惠市,"Dehui, Jilin, China",dehuijilin,Person,"Dehui, Jilin, China",,dgm_chinacitylocations,bed33539179958916389a87b05cb013b,dgm_chinacitylocations__bed33539179958916389a87b05cb013b
蛟河市,"Jiaohe, Jilin, China",jiaohejilin,Consulates,"Jiaohe, Jilin, China",,dgm_chinacitylocations,8985c90ed4376f73c89de7ecfc707a20,dgm_chinacitylocations__8985c90ed4376f73c89de7ecfc707a20
桦甸市,"Huadian, Jilin, China",huadianjilin,Pipeline,"Huadian, Jilin, China",,dgm_chinacitylocations,0dc5a405f08c4777b3580ccae8002eb7,dgm_chinacitylocations__0dc5a405f08c4777b3580ccae8002eb7
舒兰市,"Shulan, Jilin, China",shulanjilin,Media,"Shulan, Jilin, China",,dgm_chinacitylocations,4129a0b97ff6f5df2dc2a3d6cd486eac,dgm_chinacitylocations__4129a0b97ff6f5df2dc2a3d6cd486eac
磐石市,"Panshi, Jilin, China",panshijilin,Keyphrase,"Panshi, Jilin, China",,dgm_chinacitylocations,54354649b32c1a10f757972fbfed3d07,dgm_chinacitylocations__54354649b32c1a10f757972fbfed3d07
