keyword,keyword_orig,guid,caption_name,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
emalex,Emalex,5712980ec3a7ff456741de1dccc4f11c,Emalex,Person,Emalex,,strategic_company_to_guid_caption_name,601c9463080ef06482df765dfa9fc434,strategic_company_to_guid_caption_name__601c9463080ef06482df765dfa9fc434
erisx,ErisX,6aece1c198bc040c6bfaa714888c2085,ErisX,FTO,ErisX,,strategic_company_to_guid_caption_name,0c083e26cdd007ecf7b455635251ffa5,strategic_company_to_guid_caption_name__0c083e26cdd007ecf7b455635251ffa5
gopuff,goPuff,6c49b253992111b2cafc33a670c00609,goPuff,ForeignMinister,goPuff,,strategic_company_to_guid_caption_name,53d2e36eb42caba8a7dfc2a88f18afa1,strategic_company_to_guid_caption_name__53d2e36eb42caba8a7dfc2a88f18afa1
hackerone,HackerOne,6d1c55eedbd38665e0e517f15cc3e2e3,HackerOne,LegislativeCommittee,HackerOne,,strategic_company_to_guid_caption_name,cb869738ad7fd931d3bd5f3be5820164,strategic_company_to_guid_caption_name__cb869738ad7fd931d3bd5f3be5820164
harmony biosciences,Harmony Biosciences,6155c165da2c49998c44afad32bd7263,Harmony Biosciences,space,Harmony Biosciences,,strategic_company_to_guid_caption_name,8e8f617bb7e8d58f980eb760cccadf69,strategic_company_to_guid_caption_name__8e8f617bb7e8d58f980eb760cccadf69
qlarity imaging,Qlarity Imaging,272755b15f68d44fe0449cd4f7c69773,Qlarity Imaging,DiplomaticFacilities,Qlarity Imaging,,strategic_company_to_guid_caption_name,b1fc54f8bff6c20e682ab290433a5bf2,strategic_company_to_guid_caption_name__b1fc54f8bff6c20e682ab290433a5bf2
the boring company,The Boring Company,9e4c834fe7f55c575e29c0d5f2e59043,The Boring Company,Exec,The Boring Company,,strategic_company_to_guid_caption_name,f2a87ee282f258cd8208c9a8bf40e2d5,strategic_company_to_guid_caption_name__f2a87ee282f258cd8208c9a8bf40e2d5
uptake technologies,Uptake Technologies,2e642a53cbae17b486d236ba172fe80f,Uptake Technologies,Diplomat,Uptake Technologies,,strategic_company_to_guid_caption_name,387ef8c7d93e53ac1c64b3a975a26e64,strategic_company_to_guid_caption_name__387ef8c7d93e53ac1c64b3a975a26e64
ambulnz,Ambulnz,3c16815fea184f8fb2b10e2c58e8031e,Ambulnz,Consulates,Ambulnz,,strategic_company_to_guid_caption_name,603c190185321b5ccd1c7dce4a7c6c7e,strategic_company_to_guid_caption_name__603c190185321b5ccd1c7dce4a7c6c7e
anduril industries,Anduril Industries,52033c15fdcd93e7ce4101d905e318a4,Anduril Industries,Refinery,Anduril Industries,,strategic_company_to_guid_caption_name,f0da015799053af4e4b4a62e396f7c0a,strategic_company_to_guid_caption_name__f0da015799053af4e4b4a62e396f7c0a
boatsetter,Boatsetter,d3d169af1ee6824c77551c08e6ebe12d,Boatsetter,Person,Boatsetter,,strategic_company_to_guid_caption_name,a430cd790ecd6ca031d996f0674885c7,strategic_company_to_guid_caption_name__a430cd790ecd6ca031d996f0674885c7
bumblebee spaces,Bumblebee Spaces,d91510130fe0f3b18621629551466461,Bumblebee Spaces,IndustryTerm,Bumblebee Spaces,,strategic_company_to_guid_caption_name,21426c0dc83a8f6bfdf3524445e6eaf7,strategic_company_to_guid_caption_name__21426c0dc83a8f6bfdf3524445e6eaf7
chowly,Chowly,0a1a8295da65d757c37259b3897d75ec,Chowly,Consulates,Chowly,,strategic_company_to_guid_caption_name,d9087064abbddf6acaf9b81ddd5aaa1b,strategic_company_to_guid_caption_name__d9087064abbddf6acaf9b81ddd5aaa1b
endless west,Endless West,b1ed976f691129f96c162591103cb2ff,Endless West,AAEntity,Endless West,,strategic_company_to_guid_caption_name,76b6031ea25d3e94cc5f21f232fc491b,strategic_company_to_guid_caption_name__76b6031ea25d3e94cc5f21f232fc491b
field + farmer,Field + Farmer,209183aad95a4df9a4c5e9b2a5cbe2ab,Field and Farmer,Keyphrase,Field and Farmer,,strategic_company_to_guid_caption_name,fa9f7cb3da25fcaf865c918d4f9e8af8,strategic_company_to_guid_caption_name__fa9f7cb3da25fcaf865c918d4f9e8af8
genvid,Genvid,fc945e1291fa6fe785a333646aac0536,Genvid,Consulates,Genvid,,strategic_company_to_guid_caption_name,e478b6a614eadac6502bac59fba9ccd2,strategic_company_to_guid_caption_name__e478b6a614eadac6502bac59fba9ccd2
luminary media,Luminary Media,dd4c25b61532811cf341e6b2a27427d2,Luminary Media,Shipping,Luminary Media,,strategic_company_to_guid_caption_name,81326437fc4d8f423cca351b5f2c584b,strategic_company_to_guid_caption_name__81326437fc4d8f423cca351b5f2c584b
neuralink,Neuralink,46fc5bfd948c07f269b48c80a476df23,Neuralink,Legislator,Neuralink,,strategic_company_to_guid_caption_name,2809151cf98a4790f01475d5aaf41318,strategic_company_to_guid_caption_name__2809151cf98a4790f01475d5aaf41318
percipient.ai,Percipient.ai,7a576c231e390a1779c2eacd07a645a4,Percipient AI,ForeignMinistry,Percipient AI,,strategic_company_to_guid_caption_name,72ea3b378dac4d0dc5332b37bd965f67,strategic_company_to_guid_caption_name__72ea3b378dac4d0dc5332b37bd965f67
percipient ai,Percipient AI,7a576c231e390a1779c2eacd07a645a4,Percipient AI,FTO,Percipient AI,,strategic_company_to_guid_caption_name,72ea3b378dac4d0dc5332b37bd965f67,strategic_company_to_guid_caption_name__72ea3b378dac4d0dc5332b37bd965f67
amp robotics,AMP Robotics,84edd17c7f01950bc979f9f8cb897e88,AMP Robotics,ForeignMinister,AMP Robotics,,strategic_company_to_guid_caption_name,5c1808a88060e7c9d77a921ce79e025d,strategic_company_to_guid_caption_name__5c1808a88060e7c9d77a921ce79e025d
k health,K Health,5fb792731d69af13b4ab3f0295a6f770,K Health,Media,K Health,,strategic_company_to_guid_caption_name,4af6b36801dda982065b11b9993eccc0,strategic_company_to_guid_caption_name__4af6b36801dda982065b11b9993eccc0
misfits market,Misfits Market,1f646d7e86d173a65468fcebae504228,Misfits Market,Organization,Misfits Market,,strategic_company_to_guid_caption_name,d8b3ea0dba4ad8518812c3be73ee1e43,strategic_company_to_guid_caption_name__d8b3ea0dba4ad8518812c3be73ee1e43
xsight labs,Xsight Labs,ef47bb32292d30f2398ec3b3c3a84507,Xsight Labs,ForeignMinister,Xsight Labs,,strategic_company_to_guid_caption_name,98760364029fb78175418482ab0704cb,strategic_company_to_guid_caption_name__98760364029fb78175418482ab0704cb
airkit,Airkit,e016ebdb9ba13b3f7f31627226e20788,Airkit,News,Airkit,,strategic_company_to_guid_caption_name,36f3bdab4a955b3eda2bad4f5f740f6b,strategic_company_to_guid_caption_name__36f3bdab4a955b3eda2bad4f5f740f6b
atom power,Atom Power,4792b9a73951e806e3b88e2406a4c59f,Atom Power,Legislator,Atom Power,,strategic_company_to_guid_caption_name,eb7272affa4c81bf4501d072f305f4e4,strategic_company_to_guid_caption_name__eb7272affa4c81bf4501d072f305f4e4
browze,Browze,381ba4a423e9ac3ac7168f4d4abc1a90,Browze,CompanyKeyword,Browze,,strategic_company_to_guid_caption_name,4eaac7513deefe44d1a60e496fc98ea7,strategic_company_to_guid_caption_name__4eaac7513deefe44d1a60e496fc98ea7
chewie labs,Chewie Labs,78bb1e0a984d1b93fa72aad995c67480,Chewie Labs,Keyphrase,Chewie Labs,,strategic_company_to_guid_caption_name,5bb76843b017178f3a6207ff796f3bb4,strategic_company_to_guid_caption_name__5bb76843b017178f3a6207ff796f3bb4
circ biosciences,CIRC Biosciences,0cb97497412cc7636e0174774fd346c7,CIRC Biosciences,Refinery,CIRC Biosciences,,strategic_company_to_guid_caption_name,f55e1b38699c8f35c168a4430681e4c1,strategic_company_to_guid_caption_name__f55e1b38699c8f35c168a4430681e4c1
crusoe energy systems,Crusoe Energy Systems,ea4fa4eacdf5fd4ecf2868656275625a,Crusoe Energy Systems,Person,Crusoe Energy Systems,,strategic_company_to_guid_caption_name,2850f3a2fe99186d9392e88ee1f74c24,strategic_company_to_guid_caption_name__2850f3a2fe99186d9392e88ee1f74c24
designmiami/,DesignMiami/,fc931f713f9f2efe7cec74501caedce0,Design Miami,FTO,Design Miami,,strategic_company_to_guid_caption_name,30e5b91a8069f3e60bb6e1dd3ae8eeba,strategic_company_to_guid_caption_name__30e5b91a8069f3e60bb6e1dd3ae8eeba
dronebase,DroneBase,40b9db116e64df8b7fda156444109de6,DroneBase,Pipeline,DroneBase,,strategic_company_to_guid_caption_name,1b751aa502a1ec4d92d6e5786497851c,strategic_company_to_guid_caption_name__1b751aa502a1ec4d92d6e5786497851c
dustphotonics,DustPhotonics,f71ef6cf39dc3b1608078203b8012538,DustPhotonics,Person,DustPhotonics,,strategic_company_to_guid_caption_name,b2207bb6c815443519ad255d4d30e1ef,strategic_company_to_guid_caption_name__b2207bb6c815443519ad255d4d30e1ef
exporta technologies,Exporta Technologies,3fdbc54ed9346e42a058cf7473575130,Exporta Technologies,Consulates,Exporta Technologies,,strategic_company_to_guid_caption_name,e9a2e4100cf7903bd106485cb7135543,strategic_company_to_guid_caption_name__e9a2e4100cf7903bd106485cb7135543
freeform future,Freeform Future,8160e66c35381253216d9afbe9166205,Freeform Future,AAEntity,Freeform Future,,strategic_company_to_guid_caption_name,a2c57215676b2097987a53ba35514382,strategic_company_to_guid_caption_name__a2c57215676b2097987a53ba35514382
launch fund 3,LAUNCH Fund 3,c0f9242b7d21fb099ce0bf9aa680f955,LAUNCH Fund 3,Exec,LAUNCH Fund 3,,strategic_company_to_guid_caption_name,7c934b7b764dbe9e29dfbd9ad79745a1,strategic_company_to_guid_caption_name__7c934b7b764dbe9e29dfbd9ad79745a1
mycoworks,MycoWorks,f9fb909195a3285f96083c94586bc90a,MycoWorks,Diplomat,MycoWorks,,strategic_company_to_guid_caption_name,c68873f1f7bbd2cfba8c8f9c51022858,strategic_company_to_guid_caption_name__c68873f1f7bbd2cfba8c8f9c51022858
ocient,Ocient,a5846b1647301c2d87b60287fb893f7a,Ocient,AAEntity,Ocient,,strategic_company_to_guid_caption_name,b7cdf528eed61cc025aa9ec4874f2998,strategic_company_to_guid_caption_name__b7cdf528eed61cc025aa9ec4874f2998
prefect technologies,Prefect Technologies,10bcc5a22f301230809257a0fab75bb4,Prefect Technologies,News,Prefect Technologies,,strategic_company_to_guid_caption_name,0b0696cae31b31c32fb023c4fab8837f,strategic_company_to_guid_caption_name__0b0696cae31b31c32fb023c4fab8837f
proteantecs,proteanTecs,b88c8e9e3307e914a54b015289babdce,proteanTecs,space,proteanTecs,,strategic_company_to_guid_caption_name,dc3fd039fefb78804779fb6f32712c91,strategic_company_to_guid_caption_name__dc3fd039fefb78804779fb6f32712c91
whisper ai,Whisper AI,27f1b5d07e52acda534b66afd7f541c9,Whisper AI,ForeignMinister,Whisper AI,,strategic_company_to_guid_caption_name,41f14d47c32d59cc4113ee2a86d84919,strategic_company_to_guid_caption_name__41f14d47c32d59cc4113ee2a86d84919
pathspot,PathSpot,1dd0ebe74b80e6575f5ac48d3311f27f,PathSpot,Refinery,PathSpot,,strategic_company_to_guid_caption_name,125111f229ad0d6286125aebf5e1a1fe,strategic_company_to_guid_caption_name__125111f229ad0d6286125aebf5e1a1fe
spero foods,Spero Foods,ffdb4371dd1f7ed2d605904a5949256a,Spero Foods,Person,Spero Foods,,strategic_company_to_guid_caption_name,2146768c1be6be060902ac5001224d52,strategic_company_to_guid_caption_name__2146768c1be6be060902ac5001224d52
square roots,Square Roots,efacf96b483c3f30da2cfc838689be6e,Square Roots,DiplomaticFacilities,Square Roots,,strategic_company_to_guid_caption_name,3da6e823586cb3712589e341ea96277e,strategic_company_to_guid_caption_name__3da6e823586cb3712589e341ea96277e
voyage foods,Voyage Foods,8339059c41bacb5b7ad8ee884d84fd9d,Voyage Foods,FTO,Voyage Foods,,strategic_company_to_guid_caption_name,f0a5a2940a0cb8903cff8396270c93c4,strategic_company_to_guid_caption_name__f0a5a2940a0cb8903cff8396270c93c4
artemys foods,Artemys Foods,a0b9b5727bef69c5b2ef8f4be881ef52,Artemys Foods,AAEntity,Artemys Foods,,strategic_company_to_guid_caption_name,44e91fa283b78dc1d4e9213fe378c521,strategic_company_to_guid_caption_name__44e91fa283b78dc1d4e9213fe378c521
black seed bagels,Black Seed Bagels,d89d0d66f31a673cceb49ab80a370e36,Black Seed Bagels,space,Black Seed Bagels,,strategic_company_to_guid_caption_name,abdc5113f76a71a9fe3ed9a988e1c72a,strategic_company_to_guid_caption_name__abdc5113f76a71a9fe3ed9a988e1c72a
blue ocean barns,Blue Ocean Barns,ac47024de949c0e4786af806124c3dd1,Blue Ocean Barns,Legislator,Blue Ocean Barns,,strategic_company_to_guid_caption_name,7fb3c6ad881398229eadd22a86271eef,strategic_company_to_guid_caption_name__7fb3c6ad881398229eadd22a86271eef
climax foods,Climax Foods,a4f59e7d6df775fdd7ec58efc3db0c4b,Climax Foods,ForeignMinistry,Climax Foods,,strategic_company_to_guid_caption_name,147a8aae21c18759490184756a6c196a,strategic_company_to_guid_caption_name__147a8aae21c18759490184756a6c196a
datasembly,Datasembly,7088a20804e72055c4aa628734a85189,Datasembly,DiplomaticFacilities,Datasembly,,strategic_company_to_guid_caption_name,1275da6223bc5cea7d663f5f9afd0a81,strategic_company_to_guid_caption_name__1275da6223bc5cea7d663f5f9afd0a81
fora foods,ForA Foods,aecd9f001910d6ab427d83224f957327,ForA Foods,Media,ForA Foods,,strategic_company_to_guid_caption_name,050969461d4172c74fcfe0b2117647fe,strategic_company_to_guid_caption_name__050969461d4172c74fcfe0b2117647fe
mason dixie biscuit company,Mason Dixie Biscuit Company,d5ce65dc4fb00dce867d0da58849db4a,Mason Dixie Foods,Wells,Mason Dixie Foods,,strategic_company_to_guid_caption_name,bd0e7b5798f5b4d41d33cc7686d4c9a2,strategic_company_to_guid_caption_name__bd0e7b5798f5b4d41d33cc7686d4c9a2
opopop,Opopop,724aac21613bf068899b3c01fc2f4677,Opopop,Consulates,Opopop,,strategic_company_to_guid_caption_name,db876781d5c15310e2390a88202b747e,strategic_company_to_guid_caption_name__db876781d5c15310e2390a88202b747e
shameless pets,Shameless Pets,b6d5996873e3e716c683f4d98dd1fe80,Shameless Pets,Shipping,Shameless Pets,,strategic_company_to_guid_caption_name,4a553994421a5e98f281e974167de5e0,strategic_company_to_guid_caption_name__4a553994421a5e98f281e974167de5e0
spot & tango,Spot & Tango,12d3274785fa8e7c5d5c7d2b15eac8e1,Spot and Tango,AAEntity,Spot and Tango,,strategic_company_to_guid_caption_name,5b9d4989a6f991692e52a780a510f0d0,strategic_company_to_guid_caption_name__5b9d4989a6f991692e52a780a510f0d0
zero egg,Zero Egg,7c194b6dbbe4676f11aa0770d54fc935,Zero Egg,Legislator,Zero Egg,,strategic_company_to_guid_caption_name,ae9c0257fe41df601ffda6d7c00beaef,strategic_company_to_guid_caption_name__ae9c0257fe41df601ffda6d7c00beaef
