handle,caption_name,location_lower,include_groups,entity_type,location,lat,long,exclude_groups,coords,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
se_agclimate,Agriculture meteorologist,"athens, ga",commodity match;ag commodity;company;country;stateprovince;drought;severe weather;soil;biofuel;pest;region;frost;agricultureminister;agricultureministry,agricultural weather forecaster,"Athens, GA",33.9519347,-83.357567,,"33.9519347, -83.357567",AgriculturalWeatherForecaster,Agriculture meteorologist,,eng_dgm_agr_mentioner_entities,3edd31581cd32f46a524d68592b8ed58,eng_dgm_agr_mentioner_entities__3edd31581cd32f46a524d68592b8ed58
maxar_weather,Agriculture meteorologist,"gaithersburg, md",commodity match;ag commodity;company;country;stateprovince;drought;severe weather;soil;biofuel;pest;region;frost;agricultureminister;agricultureministry,agricultural weather forecaster,"Gaithersburg, MD",39.1439689,-77.2016062,,"39.1439689, -77.2016062",AgriculturalWeatherForecaster,Agriculture meteorologist,,eng_dgm_agr_mentioner_entities,3edd31581cd32f46a524d68592b8ed58,eng_dgm_agr_mentioner_entities__3edd31581cd32f46a524d68592b8ed58
met_khinz,Agriculture meteorologist,"indianapolis, in",commodity match;ag commodity;company;country;stateprovince;drought;severe weather;soil;biofuel;pest;region;frost;agricultureminister;agricultureministry,agricultural weather forecaster,"Indianapolis, IN",39.768403,-86.158068,,,AgriculturalWeatherForecaster,Agriculture meteorologist,,eng_dgm_agr_mentioner_entities,3edd31581cd32f46a524d68592b8ed58,eng_dgm_agr_mentioner_entities__3edd31581cd32f46a524d68592b8ed58
jeffpeterson01,Agriculture analyst,"lincoln, ne",commodity match;ag commodity;company;country;stateprovince;drought;severe weather;soil;biofuel;pest;region;frost;agricultureminister;agricultureministry,agriculture analyst,"Lincoln, NE",40.813616,-96.7025955,,"40.813616, -96.7025955",AgricultureAnalyst,Agriculture analyst,,eng_dgm_agr_mentioner_entities,6a4de7014d68761bdff92627c4f58a97,eng_dgm_agr_mentioner_entities__6a4de7014d68761bdff92627c4f58a97
kimchipman1,Agriculture analyst,washington dc,commodity match;ag commodity;company;country;stateprovince;drought;severe weather;soil;biofuel;pest;region;frost;agricultureminister;agricultureministry,agriculture analyst,Washington DC,38.9071923,-77.0368707,,"38.9071923, -77.0368707",AgricultureAnalyst,Agriculture analyst,,eng_dgm_agr_mentioner_entities,6a4de7014d68761bdff92627c4f58a97,eng_dgm_agr_mentioner_entities__6a4de7014d68761bdff92627c4f58a97
acomrb,Agriculture analyst,"monte carlo, monaco",commodity match;ag commodity;company;country;stateprovince;drought;severe weather;soil;biofuel;pest;region;frost;agricultureminister;agricultureministry,agriculture analyst,"Monte Carlo, Monaco",43.7400718,7.4266436,,,AgricultureAnalyst,Agriculture analyst,,eng_dgm_agr_mentioner_entities,6a4de7014d68761bdff92627c4f58a97,eng_dgm_agr_mentioner_entities__6a4de7014d68761bdff92627c4f58a97
lsynkovska,Agriculture analyst,"dnipro, ukraine",commodity match;ag commodity;company;country;stateprovince;drought;severe weather;soil;biofuel;pest;region;frost;agricultureminister;agricultureministry,agriculture analyst,"Dnipro, Ukraine",48.464717,35.046183,,,AgricultureAnalyst,Agriculture analyst,,eng_dgm_agr_mentioner_entities,6a4de7014d68761bdff92627c4f58a97,eng_dgm_agr_mentioner_entities__6a4de7014d68761bdff92627c4f58a97
jinghe17215567,Agriculture analyst,"beijing, china",commodity match;ag commodity;company;country;stateprovince;drought;severe weather;soil;biofuel;pest;region;frost;agricultureminister;agricultureministry,agriculture analyst,"Beijing, China",39.9041999,116.4073963,,,AgricultureAnalyst,Agriculture analyst,,eng_dgm_agr_mentioner_entities,6a4de7014d68761bdff92627c4f58a97,eng_dgm_agr_mentioner_entities__6a4de7014d68761bdff92627c4f58a97
alexeyyegorov,Agriculture analyst,"moscow, russia",commodity match;ag commodity;company;country;stateprovince;drought;severe weather;soil;biofuel;pest;region;frost;agricultureminister;agricultureministry,agriculture analyst,"Moscow, Russia",55.755826,37.6172999,,,AgricultureAnalyst,Agriculture analyst,,eng_dgm_agr_mentioner_entities,6a4de7014d68761bdff92627c4f58a97,eng_dgm_agr_mentioner_entities__6a4de7014d68761bdff92627c4f58a97
sizov_andre,Agriculture analyst,"kyiv, ukraine",commodity match;ag commodity;company;country;stateprovince;drought;severe weather;soil;biofuel;pest;region;frost;agricultureminister;agricultureministry,agriculture analyst,"Kyiv, Ukraine",50.4501,30.5234,,,AgricultureAnalyst,Agriculture analyst,,eng_dgm_agr_mentioner_entities,6a4de7014d68761bdff92627c4f58a97,eng_dgm_agr_mentioner_entities__6a4de7014d68761bdff92627c4f58a97
grainsoilseeds,Agriculture analyst,"mato grosso, brazil",commodity match;ag commodity;company;country;stateprovince;drought;severe weather;soil;biofuel;pest;region;frost;agricultureminister;agricultureministry,agriculture analyst,"Mato Grosso, Brazil",-12.6818712,-56.921099,,,AgricultureAnalyst,Agriculture analyst,,eng_dgm_agr_mentioner_entities,6a4de7014d68761bdff92627c4f58a97,eng_dgm_agr_mentioner_entities__6a4de7014d68761bdff92627c4f58a97
russiangraintra,Agriculture analyst,"moscow, russia",commodity match;ag commodity;company;country;stateprovince;drought;severe weather;soil;biofuel;pest;region;frost;agricultureminister;agricultureministry,agriculture analyst,"Moscow, Russia",55.755826,37.6172999,,,AgricultureAnalyst,Agriculture analyst,,eng_dgm_agr_mentioner_entities,6a4de7014d68761bdff92627c4f58a97,eng_dgm_agr_mentioner_entities__6a4de7014d68761bdff92627c4f58a97
cofeed5,Agriculture analyst,"beijing, china",commodity match;ag commodity;company;country;stateprovince;drought;severe weather;soil;biofuel;pest;region;frost;agricultureminister;agricultureministry,agriculture analyst,"Beijing, China",39.9041999,116.4073963,,,AgricultureAnalyst,Agriculture analyst,,eng_dgm_agr_mentioner_entities,6a4de7014d68761bdff92627c4f58a97,eng_dgm_agr_mentioner_entities__6a4de7014d68761bdff92627c4f58a97
siqueiradaniele,Agriculture analyst,"parana, brazil",commodity match;ag commodity;company;country;stateprovince;drought;severe weather;soil;biofuel;pest;region;frost;agricultureminister;agricultureministry,agriculture analyst,"Parana, Brazil",-25.2520888,-52.0215415,,,AgricultureAnalyst,Agriculture analyst,,eng_dgm_agr_mentioner_entities,6a4de7014d68761bdff92627c4f58a97,eng_dgm_agr_mentioner_entities__6a4de7014d68761bdff92627c4f58a97
freddygrain,Agriculture analyst,"buenos aires, argentina",commodity match;ag commodity;company;country;stateprovince;drought;severe weather;soil;biofuel;pest;region;frost;agricultureminister;agricultureministry,agriculture analyst,"Buenos Aires, Argentina",-34.6036844,-58.3815591,,,AgricultureAnalyst,Agriculture analyst,,eng_dgm_agr_mentioner_entities,6a4de7014d68761bdff92627c4f58a97,eng_dgm_agr_mentioner_entities__6a4de7014d68761bdff92627c4f58a97
barvainvest,Agriculture analyst,"kyiv, ukraine",commodity match;ag commodity;company;country;stateprovince;drought;severe weather;soil;biofuel;pest;region;frost;agricultureminister;agricultureministry,agriculture analyst,"Kyiv, Ukraine",50.4501,30.5234,,,AgricultureAnalyst,Agriculture analyst,,eng_dgm_agr_mentioner_entities,6a4de7014d68761bdff92627c4f58a97,eng_dgm_agr_mentioner_entities__6a4de7014d68761bdff92627c4f58a97
lhallhorizon,Agriculture analyst,"williston, nd",commodity match;ag commodity;company;country;stateprovince;drought;severe weather;soil;biofuel;pest;region;frost;agricultureminister;agricultureministry,agriculture analyst,"Williston, ND",48.1469683,-103.6179745,,"48.1469683, -103.6179745",AgricultureAnalyst,Agriculture analyst,,eng_dgm_agr_mentioner_entities,6a4de7014d68761bdff92627c4f58a97,eng_dgm_agr_mentioner_entities__6a4de7014d68761bdff92627c4f58a97
hedgeit,Agriculture analyst,"st paul, mn",commodity match;ag commodity;company;country;stateprovince;drought;severe weather;soil;biofuel;pest;region;frost;agricultureminister;agricultureministry,agriculture analyst,"St Paul, MN",44.9537029,-93.0899578,,"44.9537029, -93.0899578",AgricultureAnalyst,Agriculture analyst,,eng_dgm_agr_mentioner_entities,6a4de7014d68761bdff92627c4f58a97,eng_dgm_agr_mentioner_entities__6a4de7014d68761bdff92627c4f58a97
tarsoveloso,Agriculture analyst,"chicago, il",commodity match;ag commodity;company;country;stateprovince;drought;severe weather;soil;biofuel;pest;region;frost;agricultureminister;agricultureministry,agriculture analyst,"Chicago, IL",41.8781136,-87.6297982,,"41.8781136, -87.6297982",AgricultureAnalyst,Agriculture analyst,,eng_dgm_agr_mentioner_entities,6a4de7014d68761bdff92627c4f58a97,eng_dgm_agr_mentioner_entities__6a4de7014d68761bdff92627c4f58a97
olivialiu2011,Agriculture analyst,"san diego, ca",commodity match;ag commodity;company;country;stateprovince;drought;severe weather;soil;biofuel;pest;region;frost;agricultureminister;agricultureministry,agriculture analyst,"San Diego, CA",32.715738,-117.1610838,,"32.715738, -117.1610838",AgricultureAnalyst,Agriculture analyst,,eng_dgm_agr_mentioner_entities,6a4de7014d68761bdff92627c4f58a97,eng_dgm_agr_mentioner_entities__6a4de7014d68761bdff92627c4f58a97
crushtraders,Agriculture analyst,"chicago, il",commodity match;ag commodity;company;country;stateprovince;drought;severe weather;soil;biofuel;pest;region;frost;agricultureminister;agricultureministry,agriculture analyst,"Chicago, IL",41.8781136,-87.6297982,,"41.8781136, -87.6297982",AgricultureAnalyst,Agriculture analyst,,eng_dgm_agr_mentioner_entities,6a4de7014d68761bdff92627c4f58a97,eng_dgm_agr_mentioner_entities__6a4de7014d68761bdff92627c4f58a97
benbrownmu,Agriculture analyst,"columbia, mo",commodity match;ag commodity;company;country;stateprovince;drought;severe weather;soil;biofuel;pest;region;frost;agricultureminister;agricultureministry,agriculture analyst,"Columbia, MO",38.9517053,-92.3340724,,"38.9517053, -92.3340724",AgricultureAnalyst,Agriculture analyst,,eng_dgm_agr_mentioner_entities,6a4de7014d68761bdff92627c4f58a97,eng_dgm_agr_mentioner_entities__6a4de7014d68761bdff92627c4f58a97
bjsplitt,Agriculture analyst,"arlington heights, il",commodity match;ag commodity;company;country;stateprovince;drought;severe weather;soil;biofuel;pest;region;frost;agricultureminister;agricultureministry,agriculture analyst,"Arlington Heights, IL",42.0883603,-87.9806265,,"42.0883603, -87.9806265",AgricultureAnalyst,Agriculture analyst,,eng_dgm_agr_mentioner_entities,6a4de7014d68761bdff92627c4f58a97,eng_dgm_agr_mentioner_entities__6a4de7014d68761bdff92627c4f58a97
markosleo,Agriculture analyst,washington dc,commodity match;ag commodity;company;country;stateprovince;drought;severe weather;soil;biofuel;pest;region;frost;agricultureminister;agricultureministry,agriculture analyst,Washington DC,38.9071923,-77.0368707,,"38.9071923, -77.0368707",AgricultureAnalyst,Agriculture analyst,,eng_dgm_agr_mentioner_entities,6a4de7014d68761bdff92627c4f58a97,eng_dgm_agr_mentioner_entities__6a4de7014d68761bdff92627c4f58a97
shah_neil,Agriculture analyst,"new york, ny",commodity match;ag commodity;company;country;stateprovince;drought;severe weather;soil;biofuel;pest;region;frost;agricultureminister;agricultureministry,agriculture analyst,"New York, NY",40.7127753,-74.0059728,,"40.7127753, -74.0059728",AgricultureAnalyst,Agriculture analyst,,eng_dgm_agr_mentioner_entities,6a4de7014d68761bdff92627c4f58a97,eng_dgm_agr_mentioner_entities__6a4de7014d68761bdff92627c4f58a97
rakepark,Agriculture analyst,"london, uk",commodity match;ag commodity;company;country;stateprovince;drought;severe weather;soil;biofuel;pest;region;frost;agricultureminister;agricultureministry,agriculture analyst,"London, UK",51.5073509,-0.1277583,,"51.5073509, -0.1277583",AgricultureAnalyst,Agriculture analyst,,eng_dgm_agr_mentioner_entities,6a4de7014d68761bdff92627c4f58a97,eng_dgm_agr_mentioner_entities__6a4de7014d68761bdff92627c4f58a97
graincast,Agriculture analyst,"michigan, usa",commodity match;ag commodity;company;country;stateprovince;drought;severe weather;soil;biofuel;pest;region;frost;agricultureminister;agricultureministry,agriculture analyst,"Michigan, USA",44.3148443,-85.6023643,,"44.3148443, -85.6023643",AgricultureAnalyst,Agriculture analyst,,eng_dgm_agr_mentioner_entities,6a4de7014d68761bdff92627c4f58a97,eng_dgm_agr_mentioner_entities__6a4de7014d68761bdff92627c4f58a97
thegrainguy,Agriculture analyst,"willow lake, sd",commodity match;ag commodity;company;country;stateprovince;drought;severe weather;soil;biofuel;pest;region;frost;agricultureminister;agricultureministry,agriculture analyst,"Willow Lake, SD",44.627469,-97.6370273,,"44.627469, -97.6370273",AgricultureAnalyst,Agriculture analyst,,eng_dgm_agr_mentioner_entities,6a4de7014d68761bdff92627c4f58a97,eng_dgm_agr_mentioner_entities__6a4de7014d68761bdff92627c4f58a97
grainhedging,Agriculture analyst,washington dc,commodity match;ag commodity;company;country;stateprovince;drought;severe weather;soil;biofuel;pest;region;frost;agricultureminister;agricultureministry,agriculture analyst,Washington DC,38.9071923,-77.0368707,,"38.9071923, -77.0368707",AgricultureAnalyst,Agriculture analyst,,eng_dgm_agr_mentioner_entities,6a4de7014d68761bdff92627c4f58a97,eng_dgm_agr_mentioner_entities__6a4de7014d68761bdff92627c4f58a97
kannbwx,Agriculture analyst,"fort collins, co",commodity match;ag commodity;company;country;stateprovince;drought;severe weather;soil;biofuel;pest;region;frost;agricultureminister;agricultureministry,agriculture analyst,"Fort Collins, CO",40.5852602,-105.084423,,"40.5852602, -105.084423",AgricultureAnalyst,Agriculture analyst,,eng_dgm_agr_mentioner_entities,6a4de7014d68761bdff92627c4f58a97,eng_dgm_agr_mentioner_entities__6a4de7014d68761bdff92627c4f58a97
cornbroker21,Agriculture analyst,"mckinney, tx",commodity match;ag commodity;company;country;stateprovince;drought;severe weather;soil;biofuel;pest;region;frost;agricultureminister;agricultureministry,agriculture analyst,"McKinney, TX",33.1983388,-96.6389342,,"33.1983388, -96.6389342",AgricultureAnalyst,Agriculture analyst,,eng_dgm_agr_mentioner_entities,6a4de7014d68761bdff92627c4f58a97,eng_dgm_agr_mentioner_entities__6a4de7014d68761bdff92627c4f58a97
arlanff101,Agriculture analyst,"new york, ny",commodity match;ag commodity;company;country;stateprovince;drought;severe weather;soil;biofuel;pest;region;frost;agricultureminister;agricultureministry,agriculture analyst,"New York, NY",40.7127753,-74.0059728,,"40.7127753, -74.0059728",AgricultureAnalyst,Agriculture analyst,,eng_dgm_agr_mentioner_entities,6a4de7014d68761bdff92627c4f58a97,eng_dgm_agr_mentioner_entities__6a4de7014d68761bdff92627c4f58a97
markettomarket,Agriculture analyst,"johnston, iowa",commodity match;ag commodity;company;country;stateprovince;drought;severe weather;soil;biofuel;pest;region;frost;agricultureminister;agricultureministry,agriculture analyst,"Johnston, Iowa",41.6709834,-93.7130493,,"41.6709834, -93.7130493",AgricultureAnalyst,Agriculture analyst,,eng_dgm_agr_mentioner_entities,6a4de7014d68761bdff92627c4f58a97,eng_dgm_agr_mentioner_entities__6a4de7014d68761bdff92627c4f58a97
jasonlbritt,Agriculture analyst,"kansas city, missouri",commodity match;ag commodity;company;country;stateprovince;drought;severe weather;soil;biofuel;pest;region;frost;agricultureminister;agricultureministry,agriculture analyst,"Kansas City, Missouri",39.0997265,-94.5785667,,"39.0997265, -94.5785667",AgricultureAnalyst,Agriculture analyst,,eng_dgm_agr_mentioner_entities,6a4de7014d68761bdff92627c4f58a97,eng_dgm_agr_mentioner_entities__6a4de7014d68761bdff92627c4f58a97
schuelkecorn,Agriculture analyst,"millington, tn",commodity match;ag commodity;company;country;stateprovince;drought;severe weather;soil;biofuel;pest;region;frost;agricultureminister;agricultureministry,agriculture analyst,"Millington, TN",35.3414744,-89.8973084,,"35.3414744, -89.8973084",AgricultureAnalyst,Agriculture analyst,,eng_dgm_agr_mentioner_entities,6a4de7014d68761bdff92627c4f58a97,eng_dgm_agr_mentioner_entities__6a4de7014d68761bdff92627c4f58a97
scottirwinui,Agriculture analyst,"champaign, il",commodity match;ag commodity;company;country;stateprovince;drought;severe weather;soil;biofuel;pest;region;frost;agricultureminister;agricultureministry,agriculture analyst,"Champaign, IL",40.1164204,-88.2433829,,"40.1164204, -88.2433829",AgricultureAnalyst,Agriculture analyst,,eng_dgm_agr_mentioner_entities,6a4de7014d68761bdff92627c4f58a97,eng_dgm_agr_mentioner_entities__6a4de7014d68761bdff92627c4f58a97
grainmonster,Agriculture analyst,"jefferson city, mo",commodity match;ag commodity;company;country;stateprovince;drought;severe weather;soil;biofuel;pest;region;frost;agricultureminister;agricultureministry,agriculture analyst,"Jefferson City, MO",38.5767017,-92.1735164,,"38.5767017, -92.1735164",AgricultureAnalyst,Agriculture analyst,,eng_dgm_agr_mentioner_entities,6a4de7014d68761bdff92627c4f58a97,eng_dgm_agr_mentioner_entities__6a4de7014d68761bdff92627c4f58a97
e_energy_adams,Agriculture analyst,"adams, ne",commodity match;ag commodity;company;country;stateprovince;drought;severe weather;soil;biofuel;pest;region;frost;agricultureminister;agricultureministry,agriculture analyst,"Adams, NE",40.4611108,-96.5094615,,"40.4611108, -96.5094615",AgricultureAnalyst,Agriculture analyst,,eng_dgm_agr_mentioner_entities,6a4de7014d68761bdff92627c4f58a97,eng_dgm_agr_mentioner_entities__6a4de7014d68761bdff92627c4f58a97
greg_drovers,Agriculture analyst,"lenexa, ks",commodity match;ag commodity;company;country;stateprovince;drought;severe weather;soil;biofuel;pest;region;frost;agricultureminister;agricultureministry,agriculture analyst,"Lenexa, KS",38.9536174,-94.7335709,,"38.9536174, -94.7335709",AgricultureAnalyst,Agriculture analyst,,eng_dgm_agr_mentioner_entities,6a4de7014d68761bdff92627c4f58a97,eng_dgm_agr_mentioner_entities__6a4de7014d68761bdff92627c4f58a97
mokanjim,Agriculture analyst,"passaic, mo",commodity match;ag commodity;company;country;stateprovince;drought;severe weather;soil;biofuel;pest;region;frost;agricultureminister;agricultureministry,agriculture analyst,"Passaic, MO",38.3219655,-94.3482833,,"38.3219655, -94.3482833",AgricultureAnalyst,Agriculture analyst,,eng_dgm_agr_mentioner_entities,6a4de7014d68761bdff92627c4f58a97,eng_dgm_agr_mentioner_entities__6a4de7014d68761bdff92627c4f58a97
1beantrader,Agriculture analyst,washington dc,commodity match;ag commodity;company;country;stateprovince;drought;severe weather;soil;biofuel;pest;region;frost;agricultureminister;agricultureministry,agriculture analyst,Washington DC,38.9071923,-77.0368707,,"38.9071923, -77.0368707",AgricultureAnalyst,Agriculture analyst,,eng_dgm_agr_mentioner_entities,6a4de7014d68761bdff92627c4f58a97,eng_dgm_agr_mentioner_entities__6a4de7014d68761bdff92627c4f58a97
n_kauffman,Agriculture analyst,"omaha, ne",commodity match;ag commodity;company;country;stateprovince;drought;severe weather;soil;biofuel;pest;region;frost;agricultureminister;agricultureministry,agriculture analyst,"Omaha, NE",41.2565369,-95.9345034,,"41.2565369, -95.9345034",AgricultureAnalyst,Agriculture analyst,,eng_dgm_agr_mentioner_entities,6a4de7014d68761bdff92627c4f58a97,eng_dgm_agr_mentioner_entities__6a4de7014d68761bdff92627c4f58a97
cheers2schweers,Agriculture analyst,"lincoln, ne",commodity match;ag commodity;company;country;stateprovince;drought;severe weather;soil;biofuel;pest;region;frost;agricultureminister;agricultureministry,agriculture analyst,"Lincoln, NE",40.813616,-96.7025955,,"40.813616, -96.7025955",AgricultureAnalyst,Agriculture analyst,,eng_dgm_agr_mentioner_entities,6a4de7014d68761bdff92627c4f58a97,eng_dgm_agr_mentioner_entities__6a4de7014d68761bdff92627c4f58a97
sherwin929,Agriculture analyst,"chicago, il",commodity match;ag commodity;company;country;stateprovince;drought;severe weather;soil;biofuel;pest;region;frost;agricultureminister;agricultureministry,agriculture analyst,"Chicago, IL",41.8781136,-87.6297982,,"41.8781136, -87.6297982",AgricultureAnalyst,Agriculture analyst,,eng_dgm_agr_mentioner_entities,6a4de7014d68761bdff92627c4f58a97,eng_dgm_agr_mentioner_entities__6a4de7014d68761bdff92627c4f58a97
tom__whittaker,Agriculture analyst,"london, uk",commodity match;ag commodity;company;country;stateprovince;drought;severe weather;soil;biofuel;pest;region;frost;agricultureminister;agricultureministry,agriculture analyst,"London, UK",51.5073509,-0.1277583,,"51.5073509, -0.1277583",AgricultureAnalyst,Agriculture analyst,,eng_dgm_agr_mentioner_entities,6a4de7014d68761bdff92627c4f58a97,eng_dgm_agr_mentioner_entities__6a4de7014d68761bdff92627c4f58a97
garciagrain,Agriculture analyst,"donna, tx",commodity match;ag commodity;company;country;stateprovince;drought;severe weather;soil;biofuel;pest;region;frost;agricultureminister;agricultureministry,agriculture analyst,"Donna, TX",26.1703525,-98.05195,,"26.1703525, -98.05195",AgricultureAnalyst,Agriculture analyst,,eng_dgm_agr_mentioner_entities,6a4de7014d68761bdff92627c4f58a97,eng_dgm_agr_mentioner_entities__6a4de7014d68761bdff92627c4f58a97
grainstats,Agriculture analyst,washington dc,commodity match;ag commodity;company;country;stateprovince;drought;severe weather;soil;biofuel;pest;region;frost;agricultureminister;agricultureministry,agriculture analyst,Washington DC,38.9071923,-77.0368707,,"38.9071923, -77.0368707",AgricultureAnalyst,Agriculture analyst,,eng_dgm_agr_mentioner_entities,6a4de7014d68761bdff92627c4f58a97,eng_dgm_agr_mentioner_entities__6a4de7014d68761bdff92627c4f58a97
