handle,caption_name,location,exclude_groups,,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
ministry_gambia,Gambian Defense Ministry,a458,gambia,Gambia,Shipping,Gambian Defense Ministry,,defmin_mentioner2,c45287957f6afd234da08779d3e3371f,defmin_mentioner2__c45287957f6afd234da08779d3e3371f
modgovge,Georgian Defense Ministry,a459,georgia,Georgia,FTO,Georgian Defense Ministry,,defmin_mentioner2,e3bc2247d584f241b99d3dca5e54d368,defmin_mentioner2__e3bc2247d584f241b99d3dca5e54d368
hellenic_mod,Greek Defense Ministry,a460,greece,Greece,Media,Greek Defense Ministry,,defmin_mentioner2,0608f7a754aa441bf989fd33ce2c0058,defmin_mentioner2__0608f7a754aa441bf989fd33ce2c0058
spokespersonmod,Indian Defense Ministry,a461,india,India,Consulates,Indian Defense Ministry,,defmin_mentioner2,50ba737660ae347654a7d2342b845e2d,defmin_mentioner2__50ba737660ae347654a7d2342b845e2d
irldeptdefence,Irish Defence Department,a462,ireland,Ireland,Keyphrase,Irish Defence Department,,defmin_mentioner2,5f51413dcb4a75a8613094b1597fe4b9,defmin_mentioner2__5f51413dcb4a75a8613094b1597fe4b9
israel_mod,Israeli Defense Ministry,a463,israel,Israel,Media,Israeli Defense Ministry,,defmin_mentioner2,089412cc99a962e4c5d3aa853f3dc827,defmin_mentioner2__089412cc99a962e4c5d3aa853f3dc827
ministerodifesa,Italian Defense Ministry,a464,italy,Italy,Shipping,Italian Defense Ministry,,defmin_mentioner2,79821fee33803b01c65ded616ffccd11,defmin_mentioner2__79821fee33803b01c65ded616ffccd11
modjapan_en,Japanese Defense Ministry,a466,japan,Japan,Person,Japanese Defense Ministry,,defmin_mentioner2,a2e74f7b0c7ba9d50e1eb8e7bcd489b0,defmin_mentioner2__a2e74f7b0c7ba9d50e1eb8e7bcd489b0
kdfinfo,Kenyan Defense Ministry,a467,kenya,Kenya,ForeignMinistry,Kenyan Defense Ministry,,defmin_mentioner2,559301378dc565db63a78ce00053dfe0,defmin_mentioner2__559301378dc565db63a78ce00053dfe0
lithuanian_mod,Lithuanian Defense Ministry,a468,lithuania,Lithuania,Diplomat,Lithuanian Defense Ministry,,defmin_mentioner2,bb7066f0465fffd0ec89117823881b0d,defmin_mentioner2__bb7066f0465fffd0ec89117823881b0d
mdn_madagascar,Madagascar Defense Ministry,a469,madagascar,Madagascar,LegislativeCommittee,Madagascar Defense Ministry,,defmin_mentioner2,9adc71accd4903a01b911f3855efd2cb,defmin_mentioner2__9adc71accd4903a01b911f3855efd2cb
modmv,Maldives Defense Ministry,a470,maldives,Maldives,CompanyKeyword,Maldives Defense Ministry,,defmin_mentioner2,743ef73cb1c248d25680323512037b40,defmin_mentioner2__743ef73cb1c248d25680323512037b40
armed_forces_mt,Maltese Armed Forces,a471,malta,Malta,IndustryTerm,Maltese Armed Forces,,defmin_mentioner2,3cc694c558931b49b90a71e52a6d9510,defmin_mentioner2__3cc694c558931b49b90a71e52a6d9510
md_nationalarmy,Moldovan Defense Ministry,a472,moldova,Moldova,AAEntity,Moldovan Defense Ministry,,defmin_mentioner2,0e24914bfdc7b78137c3dbafcbc453a5,defmin_mentioner2__0e24914bfdc7b78137c3dbafcbc453a5
modnigeria,Nigerian Defense Ministry,a473,nigeria,Nigeria,Organization,Nigerian Defense Ministry,,defmin_mentioner2,3863ddb43691878d5e83ebbdf4227332,defmin_mentioner2__3863ddb43691878d5e83ebbdf4227332
dndphl,Philippine Defense Ministry,a474,philippines,Philippines,Consulates,Philippine Defense Ministry,,defmin_mentioner2,2891213755c04e23bcf31facad520316,defmin_mentioner2__2891213755c04e23bcf31facad520316
poland_mod,Polish Defense Ministry,a475,poland,Poland,DiplomaticFacilities,Polish Defense Ministry,,defmin_mentioner2,c9f2e78a6bd63442d0fc456e9714adde,defmin_mentioner2__c9f2e78a6bd63442d0fc456e9714adde
maeromania,Romanian Defense Ministry,a476,romania,Romania,Person,Romanian Defense Ministry,,defmin_mentioner2,d6d50179df80db4320f25aee52101963,defmin_mentioner2__d6d50179df80db4320f25aee52101963
mindef_ru,Russian Defense Ministry,a477,russia,Russia,Exec,Russian Defense Ministry,,defmin_mentioner2,9a4ddd287d060aa690d105cdf3547f38,defmin_mentioner2__9a4ddd287d060aa690d105cdf3547f38
rwandamod,Rwandan Defense Ministry,a478,rwanda,Rwanda,CompanyKeyword,Rwandan Defense Ministry,,defmin_mentioner2,bc320075f4a29b1e1a1077baebcdd6e5,defmin_mentioner2__bc320075f4a29b1e1a1077baebcdd6e5
mindefsg,Singaporean Defense Ministry,a479,singapore,Singapore,ForeignMinistry,Singaporean Defense Ministry,,defmin_mentioner2,03ce01748bdc3a9bd7e0e4bef81c0ee5,defmin_mentioner2__03ce01748bdc3a9bd7e0e4bef81c0ee5
somalimod,Somalian Defense Ministry,a481,somalia,Somalia,Exec,Somalian Defense Ministry,,defmin_mentioner2,3a19129edcb6c409b2048d5d201c594c,defmin_mentioner2__3a19129edcb6c409b2048d5d201c594c
ugandadefence,Ugandan Defense Ministry,a483,uganda,Uganda,Media,Ugandan Defense Ministry,,defmin_mentioner2,df2f15089516c72f6bec2d03ede947aa,defmin_mentioner2__df2f15089516c72f6bec2d03ede947aa
defencehq,UK Defence Ministry,a484,unitedkingdom,United Kingdom,Media,UK Defence Ministry,,defmin_mentioner2,55096aaa53615fefb26c759c8aa93b98,defmin_mentioner2__55096aaa53615fefb26c759c8aa93b98
deptofdefense,US Department of Defense,a485,unitedstatesofamerica,United States of America,Shipping,US Department of Defense,,defmin_mentioner2,ced7b36debd9e4e274c1ea364a88f594,defmin_mentioner2__ced7b36debd9e4e274c1ea364a88f594
modafghanistan,Afghan Defense Ministry,a486,afghanistan,Afghanistan,Exec,Afghan Defense Ministry,,defmin_mentioner2,3b3cfc1f8c775d55aa30b40a94394abf,defmin_mentioner2__3b3cfc1f8c775d55aa30b40a94394abf
minmbrojtjes,Albanian Defense Ministry,a487,albania,Albania,ForeignMinistry,Albanian Defense Ministry,,defmin_mentioner2,effa7b04321afcb67219dd1a1ff06117,defmin_mentioner2__effa7b04321afcb67219dd1a1ff06117
mindefarg,Argentine Defense Ministry,a488,argentina,Argentina,CompanyKeyword,Argentine Defense Ministry,,defmin_mentioner2,8ba9bfe2eddc69a26f874ebc052e5cb8,defmin_mentioner2__8ba9bfe2eddc69a26f874ebc052e5cb8
bdf_bahrain,Bahrain Defence Force,a489,bahrain,Bahrain,DiplomaticFacilities,Bahrain Defence Force,,defmin_mentioner2,00b4c9188aa52656b47321fc13a0dee7,defmin_mentioner2__00b4c9188aa52656b47321fc13a0dee7
mindefbolivia,Bolivian Defense Ministry,a490,bolivia,Bolivia,Media,Bolivian Defense Ministry,,defmin_mentioner2,7c51a097d17ddb831724885de1503279,defmin_mentioner2__7c51a097d17ddb831724885de1503279
defesagovbr,Brazilian Defense Ministry,a491,brazil,Brazil,Pipeline,Brazilian Defense Ministry,,defmin_mentioner2,a7e78b1fc0008c6696da2b78a55128b2,defmin_mentioner2__a7e78b1fc0008c6696da2b78a55128b2
mdnacbi,Burundian National Defense Ministry,a492,burundi,Burundi,News,Burundian National Defense Ministry,,defmin_mentioner2,82a9b874256e0851dd5c28006116fcf8,defmin_mentioner2__82a9b874256e0851dd5c28006116fcf8
defensecanada,Canadian Defence Ministry,a452,canada,Canada,Shipping,Canadian Defence Ministry,,defmin_mentioner2,2941542bc5b018d2215d0e752fb77b3c,defmin_mentioner2__2941542bc5b018d2215d0e752fb77b3c
mindefchile,Chilean Defense Ministry,a493,chile,Chile,Organization,Chilean Defense Ministry,,defmin_mentioner2,86745373c8a3c0759fa6deb770003c89,defmin_mentioner2__86745373c8a3c0759fa6deb770003c89
mindefensa,Colombian Defense Ministry,a494,colombia,Colombia,Organization,Colombian Defense Ministry,,defmin_mentioner2,61d57f2a02c2eda05ed039f571fec40f,defmin_mentioner2__61d57f2a02c2eda05ed039f571fec40f
seguridadcrc,Costa Rican Defense Ministry,a495,costarica,Costa Rica,LegislativeCommittee,Costa Rican Defense Ministry,,defmin_mentioner2,1034e5a493094c01b5b6fa4f4692f50e,defmin_mentioner2__1034e5a493094c01b5b6fa4f4692f50e
morh_osrh,Croatian Defense Ministry,a496,croatia,Croatia,Diplomat,Croatian Defense Ministry,,defmin_mentioner2,1ce03124110dacda28239f33b2d2931e,defmin_mentioner2__1ce03124110dacda28239f33b2d2931e
obranatweetuje,Czech Defense Ministry,a497,czechrepublic,Czech Republic,Shipping,Czech Defense Ministry,,defmin_mentioner2,124ac77d996b7d03ad0932897723c2c4,defmin_mentioner2__124ac77d996b7d03ad0932897723c2c4
mdefensard,Dominican Republic Defense Ministry,a498,dominicanrepublic,Dominican Republic,Legislator,Dominican Republic Defense Ministry,,defmin_mentioner2,1997f4b003de2846b01fa7eb0125ac0c,defmin_mentioner2__1997f4b003de2846b01fa7eb0125ac0c
defensaec,Ecuadorian Defense Ministry,a499,ecuador,Ecuador,Pipeline,Ecuadorian Defense Ministry,,defmin_mentioner2,73b38cb06820273a4d146b20da917cb7,defmin_mentioner2__73b38cb06820273a4d146b20da917cb7
egyarmyspox,Egyptian Defense Ministry,a500,egypt,Egypt,Person,Egyptian Defense Ministry,,defmin_mentioner2,9948c21f7f82252a027d070fa652afc2,defmin_mentioner2__9948c21f7f82252a027d070fa652afc2
defensasv,Salvadoran Defense Ministry,a501,elsalvador,El Salvador,ForeignMinistry,Salvadoran Defense Ministry,,defmin_mentioner2,00a6ad37d80ac32de2ac98cc97315682,defmin_mentioner2__00a6ad37d80ac32de2ac98cc97315682
kaitsemin,Estonian Defense Ministry,a455,estonia,Estonia,ForeignMinistry,Estonian Defense Ministry,,defmin_mentioner2,26e170f5bfb20284210fecfc4a13cbd3,defmin_mentioner2__26e170f5bfb20284210fecfc4a13cbd3
armees_gouv,French Defense Ministry,a502,france,France,FTO,French Defense Ministry,,defmin_mentioner2,876da50e965fc62af1d7c1aba9818b39,defmin_mentioner2__876da50e965fc62af1d7c1aba9818b39
bmvg_bundeswehr,German Defense Ministry,a503,germany,Germany,CompanyKeyword,German Defense Ministry,,defmin_mentioner2,69344f90c228312f994f0f8e1afc7cd5,defmin_mentioner2__69344f90c228312f994f0f8e1afc7cd5
ejercito_gt,Guatemalan Defense Ministry,a504,guatemala,Guatemala,Keyphrase,Guatemalan Defense Ministry,,defmin_mentioner2,ecaee3f982c80da6063d31ee73e96b3b,defmin_mentioner2__ecaee3f982c80da6063d31ee73e96b3b
sedenahonduras,Honduran Defense Ministry,a505,honduras,Honduras,ForeignMinistry,Honduran Defense Ministry,,defmin_mentioner2,0caac2066fe3d8e35b4d37c886db64a0,defmin_mentioner2__0caac2066fe3d8e35b4d37c886db64a0
kemhan_ri,Indonesian Defense Ministry,a506,indonesia,Indonesia,Diplomat,Indonesian Defense Ministry,,defmin_mentioner2,8f3c4f322c177bb8e902bc6d91325cba,defmin_mentioner2__8f3c4f322c177bb8e902bc6d91325cba
modmiliq,Iraqi Defense Ministry,a507,iraq,Iraq,Shipping,Iraqi Defense Ministry,,defmin_mentioner2,42b997c452f1cb96f1bb7f26ec3d430b,defmin_mentioner2__42b997c452f1cb96f1bb7f26ec3d430b
modisrael,Israeli Defense Ministry,a463,israel,Israel,Person,Israeli Defense Ministry,,defmin_mentioner2,089412cc99a962e4c5d3aa853f3dc827,defmin_mentioner2__089412cc99a962e4c5d3aa853f3dc827
modjapan_jp,Japanese Defense Ministry,a466,japan,Japan,Legislator,Japanese Defense Ministry,,defmin_mentioner2,a2e74f7b0c7ba9d50e1eb8e7bcd489b0,defmin_mentioner2__a2e74f7b0c7ba9d50e1eb8e7bcd489b0
armedforcesjo,Jordanian Armed Forces,a508,jordan,Jordan,News,Jordanian Armed Forces,,defmin_mentioner2,c6f0af0cc4b1bef4d72b4ffeacfa3a14,defmin_mentioner2__c6f0af0cc4b1bef4d72b4ffeacfa3a14
mindefmalaysia,Malaysian Defense Ministry,a509,malaysia,Malaysia,space,Malaysian Defense Ministry,,defmin_mentioner2,01eb85840e55292c6329320d6f512aac,defmin_mentioner2__01eb85840e55292c6329320d6f512aac
sedenamx,Mexican Defense Ministry,a510,mexico,Mexico,FTO,Mexican Defense Ministry,,defmin_mentioner2,769cf3df3c1e005d8347eb8af7be0157,defmin_mentioner2__769cf3df3c1e005d8347eb8af7be0157
defence_mne,Montenegrin Defense Ministry,a511,montenegro,Montenegro,space,Montenegrin Defense Ministry,,defmin_mentioner2,bcaca6efaeed6a720f151b55074020f6,defmin_mentioner2__bcaca6efaeed6a720f151b55074020f6
defensie,Dutch Defense Ministry,a512,netherlands,Netherlands,CompanyKeyword,Dutch Defense Ministry,,defmin_mentioner2,5137c3abfa27c6c437f66edaf5bf9bb6,defmin_mentioner2__5137c3abfa27c6c437f66edaf5bf9bb6
defence_mkd,North Macedonian Defense Ministry,a513,northmacedonia,North Macedonia,AAEntity,North Macedonian Defense Ministry,,defmin_mentioner2,aaec2c2f5248ecc55dcc4e0f18e816ea,defmin_mentioner2__aaec2c2f5248ecc55dcc4e0f18e816ea
forsvarsdep,Norwegian Defense Ministry,a514,norway,Norway,Diplomat,Norwegian Defense Ministry,,defmin_mentioner2,cf47306d108d1ebb8d789ac21c05b2fb,defmin_mentioner2__cf47306d108d1ebb8d789ac21c05b2fb
mdn_py,Paraguayan Defense Ministry,a516,paraguay,Paraguay,Person,Paraguayan Defense Ministry,,defmin_mentioner2,b00765cd6e3fbdc0eda0c8715a4fdc01,defmin_mentioner2__b00765cd6e3fbdc0eda0c8715a4fdc01
mindefperu,Peruvian Defense Ministry,a517,peru,Peru,Diplomat,Peruvian Defense Ministry,,defmin_mentioner2,091b2c806b5e7ffaf6eb8dabfd555481,defmin_mentioner2__091b2c806b5e7ffaf6eb8dabfd555481
mon_gov_pl,Polish Defense Ministry,a475,poland,Poland,Keyphrase,Polish Defense Ministry,,defmin_mentioner2,c9f2e78a6bd63442d0fc456e9714adde,defmin_mentioner2__c9f2e78a6bd63442d0fc456e9714adde
defesa_pt,Portuguese Defense Ministry,a518,portugal,Portugal,Exec,Portuguese Defense Ministry,,defmin_mentioner2,de58c62d437be4bccdee8ff7f0ac7a19,defmin_mentioner2__de58c62d437be4bccdee8ff7f0ac7a19
mod_qatar,Qatari Defense Ministry,a519,qatar,Qatar,AAEntity,Qatari Defense Ministry,,defmin_mentioner2,95795dd47c6d4b5e15f5fc9ee7b105be,defmin_mentioner2__95795dd47c6d4b5e15f5fc9ee7b105be
mapnromania,Romanian Defense Ministry,a476,romania,Romania,Exec,Romanian Defense Ministry,,defmin_mentioner2,d6d50179df80db4320f25aee52101963,defmin_mentioner2__d6d50179df80db4320f25aee52101963
mod_russia,Russian Defense Ministry,a477,russia,Russia,Diplomat,Russian Defense Ministry,,defmin_mentioner2,9a4ddd287d060aa690d105cdf3547f38,defmin_mentioner2__9a4ddd287d060aa690d105cdf3547f38
modgovksa,Saudi Defense Ministry,a520,saudiarabia,Saudi Arabia,ForeignMinister,Saudi Defense Ministry,,defmin_mentioner2,c55b8dbc8620046a450ee619c9306eea,defmin_mentioner2__c55b8dbc8620046a450ee619c9306eea
mo_i_vs,Serbian Defense Ministry,a521,serbia,Serbia,CompanyKeyword,Serbian Defense Ministry,,defmin_mentioner2,f5ae2eebf44a47f587665d8c198c69f1,defmin_mentioner2__f5ae2eebf44a47f587665d8c198c69f1
mosr_official,Slovak Defense Ministry,a480,slovakia,Slovakia,Exec,Slovak Defense Ministry,,defmin_mentioner2,4924e9dce17179078da1df6a8c68ab13,defmin_mentioner2__4924e9dce17179078da1df6a8c68ab13
mo_rs,Slovenian Defense Ministry,a522,slovenia,Slovenia,Organization,Slovenian Defense Ministry,,defmin_mentioner2,93ffac8fbb4aafb3cbba5255e1035821,defmin_mentioner2__93ffac8fbb4aafb3cbba5255e1035821
rok_mnd,South Korean Defense Ministry,a523,southkorea,South Korea,Person,South Korean Defense Ministry,,defmin_mentioner2,634bd8acc14ee954dbf1d45a42b1b57a,defmin_mentioner2__634bd8acc14ee954dbf1d45a42b1b57a
defensagob,Spanish Defense Ministry,a524,spain,Spain,AAEntity,Spanish Defense Ministry,,defmin_mentioner2,37087ef21c6e49d0968e6e417dfb5e94,defmin_mentioner2__37087ef21c6e49d0968e6e417dfb5e94
forsvarsdepsv,Swedish Defense Ministry,a525,sweden,Sweden,Legislator,Swedish Defense Ministry,,defmin_mentioner2,a22bc6df7587d6bef27bfcbe3eda1f87,defmin_mentioner2__a22bc6df7587d6bef27bfcbe3eda1f87
vbs_ddps,Swiss Defense Department,a526,switzerland,Switzerland,Legislator,Swiss Defense Department,,defmin_mentioner2,813d08f3041ee4135aafa931c05594d6,defmin_mentioner2__813d08f3041ee4135aafa931c05594d6
mod_gov_sy,Syrian Defense Ministry,a527,syria,Syria,Consulates,Syrian Defense Ministry,,defmin_mentioner2,922add15cc3494cdeca9eb6ed34bfb0a,defmin_mentioner2__922add15cc3494cdeca9eb6ed34bfb0a
tcsavunma,Turkish Defense Ministry,a528,turkey,Turkey,News,Turkish Defense Ministry,,defmin_mentioner2,7612d7b24b366a8e2554c2f90a2c1b50,defmin_mentioner2__7612d7b24b366a8e2554c2f90a2c1b50
defenceu,Ukrainian Defense Ministry,a529,ukraine,Ukraine,LegislativeCommittee,Ukrainian Defense Ministry,,defmin_mentioner2,1c9d44152077df4371aea8d641477de6,defmin_mentioner2__1c9d44152077df4371aea8d641477de6
modgovae,UAE Defense Ministry,a530,unitedarabemirates,United Arab Emirates,Refinery,UAE Defense Ministry,,defmin_mentioner2,5821718e88f74758e5a1b744e7379397,defmin_mentioner2__5821718e88f74758e5a1b744e7379397
mdn_uruguay,Uruguayan National Defense Ministry,a531,uruguay,Uruguay,Media,Uruguayan National Defense Ministry,,defmin_mentioner2,de2d2f59aa875587fc2512d0a02c9ee2,defmin_mentioner2__de2d2f59aa875587fc2512d0a02c9ee2
prensafanb,Venezuelan Defense Ministry,a532,venezuela,Venezuela,Media,Venezuelan Defense Ministry,,defmin_mentioner2,24099042dbd932d37174ace3a938a15c,defmin_mentioner2__24099042dbd932d37174ace3a938a15c
peterdutton_mp,Australian Defence Minister Dutton,a448,australia,Australia,Media,Australian Defence Minister Dutton,,defmin_mentioner2,3d7984582a098d5c153ca46654c54929,defmin_mentioner2__3d7984582a098d5c153ca46654c54929
rj_markhart,Austrian Defense Minister Tanner,a533,austria,Austria,Refinery,Austrian Defense Minister Tanner,,defmin_mentioner2,76d503328614bdb3a31487413a861845,defmin_mentioner2__76d503328614bdb3a31487413a861845
dedonderludivin,Belgian Defense Minister Dedonder,a451,belgium,Belgium,Legislator,Belgian Defense Minister Dedonder,,defmin_mentioner2,e867b57d814aefd65d05cc4b31ee841a,defmin_mentioner2__e867b57d814aefd65d05cc4b31ee841a
harjitsajjan,Canadian Defence Minister Sajjan,a452,canada,Canada,Exec,Canadian Defence Minister Sajjan,,defmin_mentioner2,a3fac2736a38bd94d65c9de410812c36,defmin_mentioner2__a3fac2736a38bd94d65c9de410812c36
koyaramarie,Central African Republic Defense Minister Koyara,a535,centralafricanrepublic,Central African Republic,Legislator,Central African Republic Defense Minister Koyara,,defmin_mentioner2,ba52092d26b473457e3863c063a47c4e,defmin_mentioner2__ba52092d26b473457e3863c063a47c4e
petridesch,Cypriot Defense Minister Petrides,a453,cyprus,Cyprus,Shipping,Cypriot Defense Minister Petrides,,defmin_mentioner2,b20152442cb1303e807fbb5c1b6aa387,defmin_mentioner2__b20152442cb1303e807fbb5c1b6aa387
vnaupoto,Fiji Military Forces Commander Naupoto,a456,fiji,Fiji,Keyphrase,Fiji Military Forces Commander Naupoto,,defmin_mentioner2,976872012e9db3ccf6abf58b118056ed,defmin_mentioner2__976872012e9db3ccf6abf58b118056ed
anttikaikkonen,Finnish Defense Minister Kaikkonen,a457,finland,Finland,IndustryTerm,Finnish Defense Minister Kaikkonen,,defmin_mentioner2,03a624d1f394cee89036c5b8e2265c3d,defmin_mentioner2__03a624d1f394cee89036c5b8e2265c3d
florence_parly,French Defense Minister Parly,a502,france,France,Pipeline,French Defense Minister Parly,,defmin_mentioner2,858311453292241e215515bcb89c98eb,defmin_mentioner2__858311453292241e215515bcb89c98eb
rajnathsingh,Indian Defense Minister Singh,a461,india,India,LegislativeCommittee,Indian Defense Minister Singh,,defmin_mentioner2,d06dbb7c12719985e466f16557b11ca3,defmin_mentioner2__d06dbb7c12719985e466f16557b11ca3
prabowo,Indonesian Defense Minister Prabowo Subianto,a506,indonesia,Indonesia,ForeignMinistry,Indonesian Defense Minister Prabowo Subianto,,defmin_mentioner2,64815ba2c3d05b46f6b6b46bb92841f3,defmin_mentioner2__64815ba2c3d05b46f6b6b46bb92841f3
simoncoveney,Irish Defence Minister Coveney,a462,ireland,Ireland,Refinery,Irish Defence Minister Coveney,,defmin_mentioner2,40de5ea45ffe7803b83ec3a7aeacedb3,defmin_mentioner2__40de5ea45ffe7803b83ec3a7aeacedb3
guerini_lorenzo,Italian Defense Minister Guerini,a464,italy,Italy,ForeignMinistry,Italian Defense Minister Guerini,,defmin_mentioner2,1960c736f46632c8cf186ce93d35ee9d,defmin_mentioner2__1960c736f46632c8cf186ce93d35ee9d
csdefence_kenya,Kenyan Defense Minister Juma,a467,kenya,Kenya,ForeignMinister,Kenyan Defense Minister Juma,,defmin_mentioner2,b24fabeb22fb40f5bca0a6f4bbe48c6a,defmin_mentioner2__b24fabeb22fb40f5bca0a6f4bbe48c6a
pabriks,Latvian Defense Minister Pabriks,a536,latvia,Latvia,AAEntity,Latvian Defense Minister Pabriks,,defmin_mentioner2,7a9d31fb113f1c4cbaa919ff315c3fad,defmin_mentioner2__7a9d31fb113f1c4cbaa919ff315c3fad
a_anusauskas,Lithuanian Defense Minister Anusauskas,a468,lithuania,Lithuania,Organization,Lithuanian Defense Minister Anusauskas,,defmin_mentioner2,044881151faf7d8a98a4eabc39f786a6,defmin_mentioner2__044881151faf7d8a98a4eabc39f786a6
peenihenare,New Zealand Defence Minister Henare,a537,newzealand,New Zealand,Diplomat,New Zealand Defence Minister Henare,,defmin_mentioner2,7252ad8e99b5222e6c956f2ecccd3c77,defmin_mentioner2__7252ad8e99b5222e6c956f2ecccd3c77
genmagashi,Nigerian Defense Minister Magashi,a473,nigeria,Nigeria,Organization,Nigerian Defense Minister Magashi,,defmin_mentioner2,e39a018868d2ff679c097eb6fc679e85,defmin_mentioner2__e39a018868d2ff679c097eb6fc679e85
bakkejensen,Norwegian Defense Minister Bakke-Jensen,a514,norway,Norway,Pipeline,Norwegian Defense Minister Bakke-Jensen,,defmin_mentioner2,3cacdd90d6b5ced3b6f83c0cec73bac1,defmin_mentioner2__3cacdd90d6b5ced3b6f83c0cec73bac1
pervezkhattakpk,Pakistani Defense Minister Khattak,a538,pakistan,Pakistan,DiplomaticFacilities,Pakistani Defense Minister Khattak,,defmin_mentioner2,726a2d68a8ed22e9b6576eeeb6dad77a,defmin_mentioner2__726a2d68a8ed22e9b6576eeeb6dad77a
del_lorenzana,Philippine Defense Minister Lorenzana,a474,philippines,Philippines,FTO,Philippine Defense Minister Lorenzana,,defmin_mentioner2,8e7efb521b6102a4584ee617dc66a747,defmin_mentioner2__8e7efb521b6102a4584ee617dc66a747
joaocravinho,Portuguese Defense Minister Cravinho,a518,portugal,Portugal,ForeignMinister,Portuguese Defense Minister Cravinho,,defmin_mentioner2,f4c6c454ae2c6a962202abc2e5dc0214,defmin_mentioner2__f4c6c454ae2c6a962202abc2e5dc0214
pramkalawan,Seychelles Defense Minister Ramkalawan,a541,seychelles,Seychelles,IndustryTerm,Seychelles Defense Minister Ramkalawan,,defmin_mentioner2,954af8dbcdb8b8fa1b45c1f224f0a37d,defmin_mentioner2__954af8dbcdb8b8fa1b45c1f224f0a37d
paloconteh,Sierra Leonean Defense Minister Conteh,a542,sierraleone,Sierra Leone,AAEntity,Sierra Leonean Defense Minister Conteh,,defmin_mentioner2,0375783a150eba16e8d6157efd2ef0b3,defmin_mentioner2__0375783a150eba16e8d6157efd2ef0b3
ng_eng_hen,Singaporean Defense Minister Eng Hen,a479,singapore,Singapore,CompanyKeyword,Singaporean Defense Minister Eng Hen,,defmin_mentioner2,ca74741ccbd01ecc089bc966dc3b8a6c,defmin_mentioner2__ca74741ccbd01ecc089bc966dc3b8a6c
jaronad,Slovak Defense Minister Nad,a480,slovakia,Slovakia,FTO,Slovak Defense Minister Nad,,defmin_mentioner2,d28b4d402e0a9f64575e26536fc33e6e,defmin_mentioner2__d28b4d402e0a9f64575e26536fc33e6e
gotabayar,Sri Lankan Defense Minister Rajapaksa,a543,srilanka,Sri Lanka,News,Sri Lankan Defense Minister Rajapaksa,,defmin_mentioner2,6c9ac1bc3585da48b816bc651fe5dc38,defmin_mentioner2__6c9ac1bc3585da48b816bc651fe5dc38
bwallacemp,UK Defence Secretary Wallace,a484,unitedkingdom,United Kingdom,Consulates,UK Defence Secretary Wallace,,defmin_mentioner2,722633758552e13a617fd672fb4a7e1b,defmin_mentioner2__722633758552e13a617fd672fb4a7e1b
secdef,US Secretary of Defense Austin,a485,unitedstatesofamerica,United States of America,Media,US Secretary of Defense Austin,,defmin_mentioner2,2fd31ae716a1f0d971cbb5874bd5ad74,defmin_mentioner2__2fd31ae716a1f0d971cbb5874bd5ad74
