keyword,caption_name,threshold,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
15 kg,15 kg,general.alert2.local,CompanyKeyword,15 kg,,dgm_latamnarcoticsweight,803d9a54d7df4b233c936c92450084b9,dgm_latamnarcoticsweight__803d9a54d7df4b233c936c92450084b9
16 kg,16 kg,general.alert2.local,Person,16 kg,,dgm_latamnarcoticsweight,c64a249db133434bae2307631291e2ac,dgm_latamnarcoticsweight__c64a249db133434bae2307631291e2ac
17 kg,17 kg,general.alert2.local,Refinery,17 kg,,dgm_latamnarcoticsweight,2c0d9192c4a635d871780965fc016d97,dgm_latamnarcoticsweight__2c0d9192c4a635d871780965fc016d97
18 kg,18 kg,general.alert2.local,Media,18 kg,,dgm_latamnarcoticsweight,9210c730f7a8ed7b6614b9b5c2189407,dgm_latamnarcoticsweight__9210c730f7a8ed7b6614b9b5c2189407
19 kg,19 kg,general.alert2.local,Consulates,19 kg,,dgm_latamnarcoticsweight,f92b49bdc6afee9552b81735c6961abf,dgm_latamnarcoticsweight__f92b49bdc6afee9552b81735c6961abf
20 kg,20 kg,general.alert2.local,FTO,20 kg,,dgm_latamnarcoticsweight,9c1edb681eb077ba3eb7252156af7828,dgm_latamnarcoticsweight__9c1edb681eb077ba3eb7252156af7828
21 kg,21 kg,general.alert2.local,Person,21 kg,,dgm_latamnarcoticsweight,859a6c08806f9cf7144f47c1f784d934,dgm_latamnarcoticsweight__859a6c08806f9cf7144f47c1f784d934
22 kg,22 kg,general.alert2.local,Media,22 kg,,dgm_latamnarcoticsweight,d72c39cc7f34c0a94358e7ec071c7fb8,dgm_latamnarcoticsweight__d72c39cc7f34c0a94358e7ec071c7fb8
23 kg,23 kg,general.alert2.local,ForeignMinistry,23 kg,,dgm_latamnarcoticsweight,6836d1c2b7d0c82ba97e64ebba483899,dgm_latamnarcoticsweight__6836d1c2b7d0c82ba97e64ebba483899
24 kg,24 kg,general.alert2.local,Wells,24 kg,,dgm_latamnarcoticsweight,f956886bebfe70d46943ee28e8641943,dgm_latamnarcoticsweight__f956886bebfe70d46943ee28e8641943
25 kg,25 kg,general.alert2.local,CompanyKeyword,25 kg,,dgm_latamnarcoticsweight,2c36ef984ea3b5e95f3a55e72e43d193,dgm_latamnarcoticsweight__2c36ef984ea3b5e95f3a55e72e43d193
26 kg,26 kg,general.alert2.local,News,26 kg,,dgm_latamnarcoticsweight,6857323716f09a4a04673c88d9f7cd5e,dgm_latamnarcoticsweight__6857323716f09a4a04673c88d9f7cd5e
27 kg,27 kg,general.alert2.local,Legislator,27 kg,,dgm_latamnarcoticsweight,a537091bc193cd3870c8c5d852987be6,dgm_latamnarcoticsweight__a537091bc193cd3870c8c5d852987be6
28 kg,28 kg,general.alert2.local,DiplomaticFacilities,28 kg,,dgm_latamnarcoticsweight,7aad026d1811b98c3e0e14b6ea799165,dgm_latamnarcoticsweight__7aad026d1811b98c3e0e14b6ea799165
29 kg,29 kg,general.alert2.local,News,29 kg,,dgm_latamnarcoticsweight,1700015d1a728f3ff2042bd1c04acdb4,dgm_latamnarcoticsweight__1700015d1a728f3ff2042bd1c04acdb4
30 kg,30 kg,general.alert2.local,ForeignMinister,30 kg,,dgm_latamnarcoticsweight,e4ba6bac6891af0147f3c1e905913f01,dgm_latamnarcoticsweight__e4ba6bac6891af0147f3c1e905913f01
31 kg,31 kg,general.alert2.local,News,31 kg,,dgm_latamnarcoticsweight,dce1502c3c4dcbdef9d09cd3bd7ef59f,dgm_latamnarcoticsweight__dce1502c3c4dcbdef9d09cd3bd7ef59f
32 kg,32 kg,general.alert2.local,LegislativeCommittee,32 kg,,dgm_latamnarcoticsweight,f641a8a6b537677601d2c530da8f088f,dgm_latamnarcoticsweight__f641a8a6b537677601d2c530da8f088f
33 kg,33 kg,general.alert2.local,Person,33 kg,,dgm_latamnarcoticsweight,80877dcda5a374eef0805c5e89317dc2,dgm_latamnarcoticsweight__80877dcda5a374eef0805c5e89317dc2
34 kg,34 kg,general.alert2.local,Organization,34 kg,,dgm_latamnarcoticsweight,3e3b7dd39949dd927641620d1bfb5e35,dgm_latamnarcoticsweight__3e3b7dd39949dd927641620d1bfb5e35
35 kg,35 kg,general.alert2.local,AAEntity,35 kg,,dgm_latamnarcoticsweight,df6dc61a86c8ffbe8ae29fbaca4de5fe,dgm_latamnarcoticsweight__df6dc61a86c8ffbe8ae29fbaca4de5fe
36 kg,36 kg,general.alert2.local,Exec,36 kg,,dgm_latamnarcoticsweight,86db067ebd63d4058a259ede0ea69b38,dgm_latamnarcoticsweight__86db067ebd63d4058a259ede0ea69b38
37 kg,37 kg,general.alert2.local,Legislator,37 kg,,dgm_latamnarcoticsweight,152db8dadb7eafcbfefe7804c7f63ded,dgm_latamnarcoticsweight__152db8dadb7eafcbfefe7804c7f63ded
38 kg,38 kg,general.alert2.local,IndustryTerm,38 kg,,dgm_latamnarcoticsweight,42354237222c3d69d22fbe490c649947,dgm_latamnarcoticsweight__42354237222c3d69d22fbe490c649947
39 kg,39 kg,general.alert2.local,Pipeline,39 kg,,dgm_latamnarcoticsweight,7b388d840c398b929de01451ef6a6315,dgm_latamnarcoticsweight__7b388d840c398b929de01451ef6a6315
40 kg,40 kg,general.alert2.local,ForeignMinister,40 kg,,dgm_latamnarcoticsweight,fbc1cbdd4d1621e424c09ba2a19881b4,dgm_latamnarcoticsweight__fbc1cbdd4d1621e424c09ba2a19881b4
41 kg,41 kg,general.alert2.local,AAEntity,41 kg,,dgm_latamnarcoticsweight,c110232409c11f9a03e61ab80f799f40,dgm_latamnarcoticsweight__c110232409c11f9a03e61ab80f799f40
42 kg,42 kg,general.alert2.local,LegislativeCommittee,42 kg,,dgm_latamnarcoticsweight,4501a45abf9ed1ea9c7e227cdd9e5060,dgm_latamnarcoticsweight__4501a45abf9ed1ea9c7e227cdd9e5060
43 kg,43 kg,general.alert2.local,News,43 kg,,dgm_latamnarcoticsweight,1a65f732e7177c17ba84e18cffc12616,dgm_latamnarcoticsweight__1a65f732e7177c17ba84e18cffc12616
44 kg,44 kg,general.alert2.local,space,44 kg,,dgm_latamnarcoticsweight,688cc93c595405a50494ed60e61af32f,dgm_latamnarcoticsweight__688cc93c595405a50494ed60e61af32f
45 kg,45 kg,general.alert2.local,News,45 kg,,dgm_latamnarcoticsweight,1b54af9e38f853a28ed60e303057ae81,dgm_latamnarcoticsweight__1b54af9e38f853a28ed60e303057ae81
46 kg,46 kg,general.alert2.local,ForeignMinistry,46 kg,,dgm_latamnarcoticsweight,ce3b9c2c2707d21b50e26f1812f1cf9e,dgm_latamnarcoticsweight__ce3b9c2c2707d21b50e26f1812f1cf9e
47 kg,47 kg,general.alert2.local,ForeignMinister,47 kg,,dgm_latamnarcoticsweight,f1262cb6797d8db35a63c15140de07c8,dgm_latamnarcoticsweight__f1262cb6797d8db35a63c15140de07c8
48 kg,48 kg,general.alert2.local,Refinery,48 kg,,dgm_latamnarcoticsweight,24866536b754296e17dcc822f8f11b16,dgm_latamnarcoticsweight__24866536b754296e17dcc822f8f11b16
49 kg,49 kg,general.alert2.local,LegislativeCommittee,49 kg,,dgm_latamnarcoticsweight,ffdcb7361f851f79684cc6fbd6e8be09,dgm_latamnarcoticsweight__ffdcb7361f851f79684cc6fbd6e8be09
50 kg,50 kg,general.alert2.local,ForeignMinistry,50 kg,,dgm_latamnarcoticsweight,8c7dd407ece23dd55bfd71a49abc463c,dgm_latamnarcoticsweight__8c7dd407ece23dd55bfd71a49abc463c
51 kg,51 kg,general.alert2.local,Pipeline,51 kg,,dgm_latamnarcoticsweight,ec149af61234c3bb896c2e1c535c4471,dgm_latamnarcoticsweight__ec149af61234c3bb896c2e1c535c4471
52 kg,52 kg,general.alert2.local,Refinery,52 kg,,dgm_latamnarcoticsweight,873cf4aba7e4ec52f9f7ef68f0883776,dgm_latamnarcoticsweight__873cf4aba7e4ec52f9f7ef68f0883776
53 kg,53 kg,general.alert2.local,Person,53 kg,,dgm_latamnarcoticsweight,dff3fc5caf1b277a2ce8f2febca116f8,dgm_latamnarcoticsweight__dff3fc5caf1b277a2ce8f2febca116f8
54 kg,54 kg,general.alert2.local,ForeignMinister,54 kg,,dgm_latamnarcoticsweight,70f7b76e67c06ebffb783dee116b7417,dgm_latamnarcoticsweight__70f7b76e67c06ebffb783dee116b7417
55 kg,55 kg,general.alert2.local,AAEntity,55 kg,,dgm_latamnarcoticsweight,582ccfad829252a219df5c24d6bb3fb5,dgm_latamnarcoticsweight__582ccfad829252a219df5c24d6bb3fb5
56 kg,56 kg,general.alert2.local,IndustryTerm,56 kg,,dgm_latamnarcoticsweight,f7237ffbf134dcb63d49e80e6c5fc417,dgm_latamnarcoticsweight__f7237ffbf134dcb63d49e80e6c5fc417
57 kg,57 kg,general.alert2.local,LegislativeCommittee,57 kg,,dgm_latamnarcoticsweight,49528a71455ca360d03be2b06d07c8f1,dgm_latamnarcoticsweight__49528a71455ca360d03be2b06d07c8f1
58 kg,58 kg,general.alert2.local,space,58 kg,,dgm_latamnarcoticsweight,55368b2355fb579ee0814ef4caf56eba,dgm_latamnarcoticsweight__55368b2355fb579ee0814ef4caf56eba
59 kg,59 kg,general.alert2.local,Keyphrase,59 kg,,dgm_latamnarcoticsweight,50627032d6f6d325d47566e05e80b3d2,dgm_latamnarcoticsweight__50627032d6f6d325d47566e05e80b3d2
60 kg,60 kg,general.alert2.local,DiplomaticFacilities,60 kg,,dgm_latamnarcoticsweight,96a3cd0eda30e0872da3f31d631f5f50,dgm_latamnarcoticsweight__96a3cd0eda30e0872da3f31d631f5f50
61 kg,61 kg,general.alert2.local,Exec,61 kg,,dgm_latamnarcoticsweight,6447a81235b1c2918049f77b0f5bcb17,dgm_latamnarcoticsweight__6447a81235b1c2918049f77b0f5bcb17
62 kg,62 kg,general.alert2.local,CompanyKeyword,62 kg,,dgm_latamnarcoticsweight,f5e5653448bbbff8f4c869871b0838d0,dgm_latamnarcoticsweight__f5e5653448bbbff8f4c869871b0838d0
63 kg,63 kg,general.alert2.local,Refinery,63 kg,,dgm_latamnarcoticsweight,7b192e92ca9cdc6ba599115c9fcc3199,dgm_latamnarcoticsweight__7b192e92ca9cdc6ba599115c9fcc3199
64 kg,64 kg,general.alert2.local,AAEntity,64 kg,,dgm_latamnarcoticsweight,ebac4047ac125b9420b9d8ed7c33457b,dgm_latamnarcoticsweight__ebac4047ac125b9420b9d8ed7c33457b
65 kg,65 kg,general.alert2.local,Organization,65 kg,,dgm_latamnarcoticsweight,6fd83d4bf75e7c08890986570af51507,dgm_latamnarcoticsweight__6fd83d4bf75e7c08890986570af51507
66 kg,66 kg,general.alert2.local,CompanyKeyword,66 kg,,dgm_latamnarcoticsweight,549c276a3097581eaf6645f36cde978b,dgm_latamnarcoticsweight__549c276a3097581eaf6645f36cde978b
67 kg,67 kg,general.alert2.local,Legislator,67 kg,,dgm_latamnarcoticsweight,66b42f0d6dfe9b93d783de36174946ef,dgm_latamnarcoticsweight__66b42f0d6dfe9b93d783de36174946ef
68 kg,68 kg,general.alert2.local,CompanyKeyword,68 kg,,dgm_latamnarcoticsweight,ecf9ef8c65a630444695a033b7ddf018,dgm_latamnarcoticsweight__ecf9ef8c65a630444695a033b7ddf018
69 kg,69 kg,general.alert2.local,Exec,69 kg,,dgm_latamnarcoticsweight,3c6ac23773282026dc23e961113180bd,dgm_latamnarcoticsweight__3c6ac23773282026dc23e961113180bd
70 kg,70 kg,general.alert2.local,Person,70 kg,,dgm_latamnarcoticsweight,723df68b48a3374742382a6b601c14ba,dgm_latamnarcoticsweight__723df68b48a3374742382a6b601c14ba
71 kg,71 kg,general.alert2.local,ForeignMinister,71 kg,,dgm_latamnarcoticsweight,11362955fe481ef75eb2f3f8b9ea58a2,dgm_latamnarcoticsweight__11362955fe481ef75eb2f3f8b9ea58a2
72 kg,72 kg,general.alert2.local,Person,72 kg,,dgm_latamnarcoticsweight,dcbc4dd780057e7f35db6d9b54a19319,dgm_latamnarcoticsweight__dcbc4dd780057e7f35db6d9b54a19319
73 kg,73 kg,general.alert2.local,Legislator,73 kg,,dgm_latamnarcoticsweight,54769b24ef656e73d886f1105fdef0e0,dgm_latamnarcoticsweight__54769b24ef656e73d886f1105fdef0e0
74 kg,74 kg,general.alert2.local,LegislativeCommittee,74 kg,,dgm_latamnarcoticsweight,0d6ed7605578b5b9b5af7053a0a77b19,dgm_latamnarcoticsweight__0d6ed7605578b5b9b5af7053a0a77b19
75 kg,75 kg,general.alert2.local,Keyphrase,75 kg,,dgm_latamnarcoticsweight,e03600ccf0594a9760934acd1a190c59,dgm_latamnarcoticsweight__e03600ccf0594a9760934acd1a190c59
76 kg,76 kg,general.alert2.local,News,76 kg,,dgm_latamnarcoticsweight,5bb32126211a375ae0f57e96efd8fc97,dgm_latamnarcoticsweight__5bb32126211a375ae0f57e96efd8fc97
77 kg,77 kg,general.alert2.local,Organization,77 kg,,dgm_latamnarcoticsweight,08af8130f0d2739e700bdb0801fa8712,dgm_latamnarcoticsweight__08af8130f0d2739e700bdb0801fa8712
78 kg,78 kg,general.alert2.local,DiplomaticFacilities,78 kg,,dgm_latamnarcoticsweight,016ad3ac6a4887aeae243115fa279ec2,dgm_latamnarcoticsweight__016ad3ac6a4887aeae243115fa279ec2
79 kg,79 kg,general.alert2.local,Media,79 kg,,dgm_latamnarcoticsweight,32e439dd8355ceaf48ae0a1666b3f23a,dgm_latamnarcoticsweight__32e439dd8355ceaf48ae0a1666b3f23a
80 kg,80 kg,general.alert2.local,Shipping,80 kg,,dgm_latamnarcoticsweight,ea300bb8f88fd5c62f8b0a8b1c6524fa,dgm_latamnarcoticsweight__ea300bb8f88fd5c62f8b0a8b1c6524fa
81 kg,81 kg,general.alert2.local,AAEntity,81 kg,,dgm_latamnarcoticsweight,2ff2556c897e835b5e6e408892e088dd,dgm_latamnarcoticsweight__2ff2556c897e835b5e6e408892e088dd
82 kg,82 kg,general.alert2.local,AAEntity,82 kg,,dgm_latamnarcoticsweight,a67c4afe052ebeeb60abd6b1f348ac8d,dgm_latamnarcoticsweight__a67c4afe052ebeeb60abd6b1f348ac8d
83 kg,83 kg,general.alert2.local,Person,83 kg,,dgm_latamnarcoticsweight,5c70f7f4a008c69cf32c33f4f43602c3,dgm_latamnarcoticsweight__5c70f7f4a008c69cf32c33f4f43602c3
84 kg,84 kg,general.alert2.local,IndustryTerm,84 kg,,dgm_latamnarcoticsweight,7f5a0fd23f49ed6684e3817f6da04973,dgm_latamnarcoticsweight__7f5a0fd23f49ed6684e3817f6da04973
85 kg,85 kg,general.alert2.local,DiplomaticFacilities,85 kg,,dgm_latamnarcoticsweight,45b0516dcbf0060e2bc7399054418a80,dgm_latamnarcoticsweight__45b0516dcbf0060e2bc7399054418a80
86 kg,86 kg,general.alert2.local,LegislativeCommittee,86 kg,,dgm_latamnarcoticsweight,1dd84e2497e7cd3b32b55c6837566b68,dgm_latamnarcoticsweight__1dd84e2497e7cd3b32b55c6837566b68
87 kg,87 kg,general.alert2.local,Diplomat,87 kg,,dgm_latamnarcoticsweight,91a38c211258845e378f947485b5d9f3,dgm_latamnarcoticsweight__91a38c211258845e378f947485b5d9f3
88 kg,88 kg,general.alert2.local,CompanyKeyword,88 kg,,dgm_latamnarcoticsweight,bcc898487bfbaefae825afc367117054,dgm_latamnarcoticsweight__bcc898487bfbaefae825afc367117054
89 kg,89 kg,general.alert2.local,Shipping,89 kg,,dgm_latamnarcoticsweight,0ecf2f5357ea171dd9b9dffb222caae4,dgm_latamnarcoticsweight__0ecf2f5357ea171dd9b9dffb222caae4
90 kg,90 kg,general.alert2.local,Pipeline,90 kg,,dgm_latamnarcoticsweight,494c530576a0a2107b6b8017e1d1f58b,dgm_latamnarcoticsweight__494c530576a0a2107b6b8017e1d1f58b
91 kg,91 kg,general.alert2.local,Consulates,91 kg,,dgm_latamnarcoticsweight,1568c2cc1055bcd41dfe98dd05473e2f,dgm_latamnarcoticsweight__1568c2cc1055bcd41dfe98dd05473e2f
92 kg,92 kg,general.alert2.local,AAEntity,92 kg,,dgm_latamnarcoticsweight,95b369087280c27b38ed2ba854078677,dgm_latamnarcoticsweight__95b369087280c27b38ed2ba854078677
93 kg,93 kg,general.alert2.local,CompanyKeyword,93 kg,,dgm_latamnarcoticsweight,7336727d545910d4e7b8e5cc02e63916,dgm_latamnarcoticsweight__7336727d545910d4e7b8e5cc02e63916
94 kg,94 kg,general.alert2.local,Person,94 kg,,dgm_latamnarcoticsweight,3bfa41198f9af365e3eef627144509e1,dgm_latamnarcoticsweight__3bfa41198f9af365e3eef627144509e1
95 kg,95 kg,general.alert2.local,space,95 kg,,dgm_latamnarcoticsweight,0c99c062086cf9baff423deb28b4c30e,dgm_latamnarcoticsweight__0c99c062086cf9baff423deb28b4c30e
96 kg,96 kg,general.alert2.local,Wells,96 kg,,dgm_latamnarcoticsweight,28711157de9deca43ce033b5e057b80d,dgm_latamnarcoticsweight__28711157de9deca43ce033b5e057b80d
97 kg,97 kg,general.alert2.local,ForeignMinister,97 kg,,dgm_latamnarcoticsweight,6397497206cefee94bce3434c88f59ce,dgm_latamnarcoticsweight__6397497206cefee94bce3434c88f59ce
98 kg,98 kg,general.alert2.local,LegislativeCommittee,98 kg,,dgm_latamnarcoticsweight,fa24d9bfcd806647e8bdb0033f943d3d,dgm_latamnarcoticsweight__fa24d9bfcd806647e8bdb0033f943d3d
99 kg,99 kg,general.alert2.local,Diplomat,99 kg,,dgm_latamnarcoticsweight,b64d6648e0183226db322550664af79c,dgm_latamnarcoticsweight__b64d6648e0183226db322550664af79c
100 kg,100 kg,general.alert2.local,Refinery,100 kg,,dgm_latamnarcoticsweight,963885130fff2882d4f61cad53062049,dgm_latamnarcoticsweight__963885130fff2882d4f61cad53062049
101 kg,101 kg,general.alert2,Wells,101 kg,,dgm_latamnarcoticsweight,4679d4cc2656d9cb2e53c7796ec6aeda,dgm_latamnarcoticsweight__4679d4cc2656d9cb2e53c7796ec6aeda
102 kg,102 kg,general.alert2,Organization,102 kg,,dgm_latamnarcoticsweight,75aa8b21fdbabc761a2c98f31a44d165,dgm_latamnarcoticsweight__75aa8b21fdbabc761a2c98f31a44d165
103 kg,103 kg,general.alert2,DiplomaticFacilities,103 kg,,dgm_latamnarcoticsweight,73bfc3f63383aca17d69a4381a867d5a,dgm_latamnarcoticsweight__73bfc3f63383aca17d69a4381a867d5a
104 kg,104 kg,general.alert2,Exec,104 kg,,dgm_latamnarcoticsweight,f873655e093521930a2bf5533f795c3d,dgm_latamnarcoticsweight__f873655e093521930a2bf5533f795c3d
105 kg,105 kg,general.alert2,Diplomat,105 kg,,dgm_latamnarcoticsweight,8164a0d9e0c942d64e4f3ea8abb4d454,dgm_latamnarcoticsweight__8164a0d9e0c942d64e4f3ea8abb4d454
106 kg,106 kg,general.alert2,Person,106 kg,,dgm_latamnarcoticsweight,2491985c1f86c3d4946ca1f064adcab0,dgm_latamnarcoticsweight__2491985c1f86c3d4946ca1f064adcab0
107 kg,107 kg,general.alert2,space,107 kg,,dgm_latamnarcoticsweight,32d564e0ceba0a5df001dd020cf3e7f9,dgm_latamnarcoticsweight__32d564e0ceba0a5df001dd020cf3e7f9
108 kg,108 kg,general.alert2,Consulates,108 kg,,dgm_latamnarcoticsweight,be2341c55b5a9636e2860c279cfd5932,dgm_latamnarcoticsweight__be2341c55b5a9636e2860c279cfd5932
109 kg,109 kg,general.alert2,IndustryTerm,109 kg,,dgm_latamnarcoticsweight,68ffd4a7668a6f2e662c6c1148f8e593,dgm_latamnarcoticsweight__68ffd4a7668a6f2e662c6c1148f8e593
110 kg,110 kg,general.alert2,ForeignMinistry,110 kg,,dgm_latamnarcoticsweight,1966a29450380a9892b85675b4898813,dgm_latamnarcoticsweight__1966a29450380a9892b85675b4898813
111 kg,111 kg,general.alert2,Refinery,111 kg,,dgm_latamnarcoticsweight,b231c2c832c22cc0a066a022e8dd598a,dgm_latamnarcoticsweight__b231c2c832c22cc0a066a022e8dd598a
112 kg,112 kg,general.alert2,Shipping,112 kg,,dgm_latamnarcoticsweight,0b9cf2022fb32c235dd2738c8f673f2f,dgm_latamnarcoticsweight__0b9cf2022fb32c235dd2738c8f673f2f
113 kg,113 kg,general.alert2,ForeignMinister,113 kg,,dgm_latamnarcoticsweight,d4cb9cbd2a562ffa09391339a995ac7a,dgm_latamnarcoticsweight__d4cb9cbd2a562ffa09391339a995ac7a
114 kg,114 kg,general.alert2,CompanyKeyword,114 kg,,dgm_latamnarcoticsweight,81fcd7461cbc025c9fdd2249aca4965a,dgm_latamnarcoticsweight__81fcd7461cbc025c9fdd2249aca4965a
115 kg,115 kg,general.alert2,Media,115 kg,,dgm_latamnarcoticsweight,14de7397a621aae35860b954732b5cfe,dgm_latamnarcoticsweight__14de7397a621aae35860b954732b5cfe
116 kg,116 kg,general.alert2,News,116 kg,,dgm_latamnarcoticsweight,52f14c1c5b81b82e299101dd09f5d99e,dgm_latamnarcoticsweight__52f14c1c5b81b82e299101dd09f5d99e
117 kg,117 kg,general.alert2,FTO,117 kg,,dgm_latamnarcoticsweight,c0429ed1d9c732491054e4f7b9ee3d35,dgm_latamnarcoticsweight__c0429ed1d9c732491054e4f7b9ee3d35
118 kg,118 kg,general.alert2,Consulates,118 kg,,dgm_latamnarcoticsweight,1fe08c5e65c1edc054cc852351c0e590,dgm_latamnarcoticsweight__1fe08c5e65c1edc054cc852351c0e590
119 kg,119 kg,general.alert2,IndustryTerm,119 kg,,dgm_latamnarcoticsweight,ccaa61c6dd19f8e539009ec1ecdf011b,dgm_latamnarcoticsweight__ccaa61c6dd19f8e539009ec1ecdf011b
120 kg,120 kg,general.alert2,Consulates,120 kg,,dgm_latamnarcoticsweight,726035ad5d2f57893bc4c6fd8729a029,dgm_latamnarcoticsweight__726035ad5d2f57893bc4c6fd8729a029
121 kg,121 kg,general.alert2,Exec,121 kg,,dgm_latamnarcoticsweight,746240982e0cdf0139b7509d82458b1c,dgm_latamnarcoticsweight__746240982e0cdf0139b7509d82458b1c
122 kg,122 kg,general.alert2,Keyphrase,122 kg,,dgm_latamnarcoticsweight,0ad241f3862523656eccf9942b39c3fb,dgm_latamnarcoticsweight__0ad241f3862523656eccf9942b39c3fb
123 kg,123 kg,general.alert2,Refinery,123 kg,,dgm_latamnarcoticsweight,f05791c88a2c2ddb1f56a29090e3e5fd,dgm_latamnarcoticsweight__f05791c88a2c2ddb1f56a29090e3e5fd
124 kg,124 kg,general.alert2,Consulates,124 kg,,dgm_latamnarcoticsweight,34a3feefada7a1b51c260830196a8253,dgm_latamnarcoticsweight__34a3feefada7a1b51c260830196a8253
125 kg,125 kg,general.alert2,ForeignMinister,125 kg,,dgm_latamnarcoticsweight,0c82deb2e7e20deada35cc4bc68790fd,dgm_latamnarcoticsweight__0c82deb2e7e20deada35cc4bc68790fd
126 kg,126 kg,general.alert2,LegislativeCommittee,126 kg,,dgm_latamnarcoticsweight,f04e0b37142235c0f670c05b3ef176a3,dgm_latamnarcoticsweight__f04e0b37142235c0f670c05b3ef176a3
127 kg,127 kg,general.alert2,CompanyKeyword,127 kg,,dgm_latamnarcoticsweight,a931613500aad4fd7668133fc17c64b1,dgm_latamnarcoticsweight__a931613500aad4fd7668133fc17c64b1
128 kg,128 kg,general.alert2,Diplomat,128 kg,,dgm_latamnarcoticsweight,cd1488bc0101022d6f3a9c1ddf1ad1f9,dgm_latamnarcoticsweight__cd1488bc0101022d6f3a9c1ddf1ad1f9
129 kg,129 kg,general.alert2,ForeignMinister,129 kg,,dgm_latamnarcoticsweight,5ec1b690c1c35131c1a35939ce95349a,dgm_latamnarcoticsweight__5ec1b690c1c35131c1a35939ce95349a
130 kg,130 kg,general.alert2,Exec,130 kg,,dgm_latamnarcoticsweight,a072ffcda2df6680b651cd89b9b95070,dgm_latamnarcoticsweight__a072ffcda2df6680b651cd89b9b95070
131 kg,131 kg,general.alert2,IndustryTerm,131 kg,,dgm_latamnarcoticsweight,bb9711bfcdf0df7c4104548c13e44de0,dgm_latamnarcoticsweight__bb9711bfcdf0df7c4104548c13e44de0
132 kg,132 kg,general.alert2,Pipeline,132 kg,,dgm_latamnarcoticsweight,995b738069a7a82bcec5b4a6458e4aca,dgm_latamnarcoticsweight__995b738069a7a82bcec5b4a6458e4aca
133 kg,133 kg,general.alert2,IndustryTerm,133 kg,,dgm_latamnarcoticsweight,3651350f5a59c76ebfacc6c7dfd27ba0,dgm_latamnarcoticsweight__3651350f5a59c76ebfacc6c7dfd27ba0
134 kg,134 kg,general.alert2,space,134 kg,,dgm_latamnarcoticsweight,be8a77dd077a73cce8b9094af6795249,dgm_latamnarcoticsweight__be8a77dd077a73cce8b9094af6795249
135 kg,135 kg,general.alert2,Shipping,135 kg,,dgm_latamnarcoticsweight,18b5f09785ec26c5f49d49577c0f6690,dgm_latamnarcoticsweight__18b5f09785ec26c5f49d49577c0f6690
