keyword,caption_name,type,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
forced facemasks,face mask policies,brand risk theme,BrandRiskTheme,face mask policies,,element_mapping,ce30bf33373756362aae66c30b20dd23,element_mapping__ce30bf33373756362aae66c30b20dd23
forced masking,face mask policies,brand risk theme,BrandRiskTheme,face mask policies,,element_mapping,ce30bf33373756362aae66c30b20dd23,element_mapping__ce30bf33373756362aae66c30b20dd23
forced masks,face mask policies,brand risk theme,BrandRiskTheme,face mask policies,,element_mapping,ce30bf33373756362aae66c30b20dd23,element_mapping__ce30bf33373756362aae66c30b20dd23
mandate facemasks,face mask policies,brand risk theme,BrandRiskTheme,face mask policies,,element_mapping,ce30bf33373756362aae66c30b20dd23,element_mapping__ce30bf33373756362aae66c30b20dd23
mandate masks,face mask policies,brand risk theme,BrandRiskTheme,face mask policies,,element_mapping,ce30bf33373756362aae66c30b20dd23,element_mapping__ce30bf33373756362aae66c30b20dd23
mandated facemasking,face mask policies,brand risk theme,BrandRiskTheme,face mask policies,,element_mapping,ce30bf33373756362aae66c30b20dd23,element_mapping__ce30bf33373756362aae66c30b20dd23
mandated masking,face mask policies,brand risk theme,BrandRiskTheme,face mask policies,,element_mapping,ce30bf33373756362aae66c30b20dd23,element_mapping__ce30bf33373756362aae66c30b20dd23
mandates facemasking,face mask policies,brand risk theme,BrandRiskTheme,face mask policies,,element_mapping,ce30bf33373756362aae66c30b20dd23,element_mapping__ce30bf33373756362aae66c30b20dd23
mandates facemasks,face mask policies,brand risk theme,BrandRiskTheme,face mask policies,,element_mapping,ce30bf33373756362aae66c30b20dd23,element_mapping__ce30bf33373756362aae66c30b20dd23
mandates masking,face mask policies,brand risk theme,BrandRiskTheme,face mask policies,,element_mapping,ce30bf33373756362aae66c30b20dd23,element_mapping__ce30bf33373756362aae66c30b20dd23
mandates masks,face mask policies,brand risk theme,BrandRiskTheme,face mask policies,,element_mapping,ce30bf33373756362aae66c30b20dd23,element_mapping__ce30bf33373756362aae66c30b20dd23
mask guidelines,face mask policies,brand risk theme,BrandRiskTheme,face mask policies,,element_mapping,ce30bf33373756362aae66c30b20dd23,element_mapping__ce30bf33373756362aae66c30b20dd23
mask mandate,face mask policies,brand risk theme,BrandRiskTheme,face mask policies,,element_mapping,ce30bf33373756362aae66c30b20dd23,element_mapping__ce30bf33373756362aae66c30b20dd23
mask policy,face mask policies,brand risk theme,BrandRiskTheme,face mask policies,,element_mapping,ce30bf33373756362aae66c30b20dd23,element_mapping__ce30bf33373756362aae66c30b20dd23
mask requirement,face mask policies,brand risk theme,BrandRiskTheme,face mask policies,,element_mapping,ce30bf33373756362aae66c30b20dd23,element_mapping__ce30bf33373756362aae66c30b20dd23
mask requirements,face mask policies,brand risk theme,BrandRiskTheme,face mask policies,,element_mapping,ce30bf33373756362aae66c30b20dd23,element_mapping__ce30bf33373756362aae66c30b20dd23
mask rules,face mask policies,brand risk theme,BrandRiskTheme,face mask policies,,element_mapping,ce30bf33373756362aae66c30b20dd23,element_mapping__ce30bf33373756362aae66c30b20dd23
masked guidelines,face mask policies,brand risk theme,BrandRiskTheme,face mask policies,,element_mapping,ce30bf33373756362aae66c30b20dd23,element_mapping__ce30bf33373756362aae66c30b20dd23
masked mandate,face mask policies,brand risk theme,BrandRiskTheme,face mask policies,,element_mapping,ce30bf33373756362aae66c30b20dd23,element_mapping__ce30bf33373756362aae66c30b20dd23
masked policy,face mask policies,brand risk theme,BrandRiskTheme,face mask policies,,element_mapping,ce30bf33373756362aae66c30b20dd23,element_mapping__ce30bf33373756362aae66c30b20dd23
masked requirement,face mask policies,brand risk theme,BrandRiskTheme,face mask policies,,element_mapping,ce30bf33373756362aae66c30b20dd23,element_mapping__ce30bf33373756362aae66c30b20dd23
masked requirements,face mask policies,brand risk theme,BrandRiskTheme,face mask policies,,element_mapping,ce30bf33373756362aae66c30b20dd23,element_mapping__ce30bf33373756362aae66c30b20dd23
masked rules,face mask policies,brand risk theme,BrandRiskTheme,face mask policies,,element_mapping,ce30bf33373756362aae66c30b20dd23,element_mapping__ce30bf33373756362aae66c30b20dd23
masking guidelines,face mask policies,brand risk theme,BrandRiskTheme,face mask policies,,element_mapping,ce30bf33373756362aae66c30b20dd23,element_mapping__ce30bf33373756362aae66c30b20dd23
masking mandate,face mask policies,brand risk theme,BrandRiskTheme,face mask policies,,element_mapping,ce30bf33373756362aae66c30b20dd23,element_mapping__ce30bf33373756362aae66c30b20dd23
masking policy,face mask policies,brand risk theme,BrandRiskTheme,face mask policies,,element_mapping,ce30bf33373756362aae66c30b20dd23,element_mapping__ce30bf33373756362aae66c30b20dd23
masking requirement,face mask policies,brand risk theme,BrandRiskTheme,face mask policies,,element_mapping,ce30bf33373756362aae66c30b20dd23,element_mapping__ce30bf33373756362aae66c30b20dd23
masking requirements,face mask policies,brand risk theme,BrandRiskTheme,face mask policies,,element_mapping,ce30bf33373756362aae66c30b20dd23,element_mapping__ce30bf33373756362aae66c30b20dd23
masking rules,face mask policies,brand risk theme,BrandRiskTheme,face mask policies,,element_mapping,ce30bf33373756362aae66c30b20dd23,element_mapping__ce30bf33373756362aae66c30b20dd23
masks guidelines,face mask policies,brand risk theme,BrandRiskTheme,face mask policies,,element_mapping,ce30bf33373756362aae66c30b20dd23,element_mapping__ce30bf33373756362aae66c30b20dd23
masks policy,face mask policies,brand risk theme,BrandRiskTheme,face mask policies,,element_mapping,ce30bf33373756362aae66c30b20dd23,element_mapping__ce30bf33373756362aae66c30b20dd23
masks requirements,face mask policies,brand risk theme,BrandRiskTheme,face mask policies,,element_mapping,ce30bf33373756362aae66c30b20dd23,element_mapping__ce30bf33373756362aae66c30b20dd23
required facemasks,face mask policies,brand risk theme,BrandRiskTheme,face mask policies,,element_mapping,ce30bf33373756362aae66c30b20dd23,element_mapping__ce30bf33373756362aae66c30b20dd23
required mask,face mask policies,brand risk theme,BrandRiskTheme,face mask policies,,element_mapping,ce30bf33373756362aae66c30b20dd23,element_mapping__ce30bf33373756362aae66c30b20dd23
required masks,face mask policies,brand risk theme,BrandRiskTheme,face mask policies,,element_mapping,ce30bf33373756362aae66c30b20dd23,element_mapping__ce30bf33373756362aae66c30b20dd23
requiring facemasking,face mask policies,brand risk theme,BrandRiskTheme,face mask policies,,element_mapping,ce30bf33373756362aae66c30b20dd23,element_mapping__ce30bf33373756362aae66c30b20dd23
requiring facemasks,face mask policies,brand risk theme,BrandRiskTheme,face mask policies,,element_mapping,ce30bf33373756362aae66c30b20dd23,element_mapping__ce30bf33373756362aae66c30b20dd23
requiring masking,face mask policies,brand risk theme,BrandRiskTheme,face mask policies,,element_mapping,ce30bf33373756362aae66c30b20dd23,element_mapping__ce30bf33373756362aae66c30b20dd23
requiring masks,face mask policies,brand risk theme,BrandRiskTheme,face mask policies,,element_mapping,ce30bf33373756362aae66c30b20dd23,element_mapping__ce30bf33373756362aae66c30b20dd23
nomaskmandates,face mask policies,brand risk theme,BrandRiskTheme,face mask policies,,element_mapping,ce30bf33373756362aae66c30b20dd23,element_mapping__ce30bf33373756362aae66c30b20dd23
unmaskourchildren,face mask policies,brand risk theme,BrandRiskTheme,face mask policies,,element_mapping,ce30bf33373756362aae66c30b20dd23,element_mapping__ce30bf33373756362aae66c30b20dd23
masksdontwork,face mask policies,brand risk theme,BrandRiskTheme,face mask policies,,element_mapping,ce30bf33373756362aae66c30b20dd23,element_mapping__ce30bf33373756362aae66c30b20dd23
forced covid shot,vaccine policies,brand risk theme,BrandRiskTheme,vaccine policies,,element_mapping,dee546d30529e2e3d64f80fb2f774066,element_mapping__dee546d30529e2e3d64f80fb2f774066
forced vaccination,vaccine policies,brand risk theme,BrandRiskTheme,vaccine policies,,element_mapping,dee546d30529e2e3d64f80fb2f774066,element_mapping__dee546d30529e2e3d64f80fb2f774066
forced vaccines,vaccine policies,brand risk theme,BrandRiskTheme,vaccine policies,,element_mapping,dee546d30529e2e3d64f80fb2f774066,element_mapping__dee546d30529e2e3d64f80fb2f774066
mandate vaccination,vaccine policies,brand risk theme,BrandRiskTheme,vaccine policies,,element_mapping,dee546d30529e2e3d64f80fb2f774066,element_mapping__dee546d30529e2e3d64f80fb2f774066
mandated vaccination,vaccine policies,brand risk theme,BrandRiskTheme,vaccine policies,,element_mapping,dee546d30529e2e3d64f80fb2f774066,element_mapping__dee546d30529e2e3d64f80fb2f774066
mandates vaccination,vaccine policies,brand risk theme,BrandRiskTheme,vaccine policies,,element_mapping,dee546d30529e2e3d64f80fb2f774066,element_mapping__dee546d30529e2e3d64f80fb2f774066
mandates vaccine,vaccine policies,brand risk theme,BrandRiskTheme,vaccine policies,,element_mapping,dee546d30529e2e3d64f80fb2f774066,element_mapping__dee546d30529e2e3d64f80fb2f774066
required vaccinations,vaccine policies,brand risk theme,BrandRiskTheme,vaccine policies,,element_mapping,dee546d30529e2e3d64f80fb2f774066,element_mapping__dee546d30529e2e3d64f80fb2f774066
required vaccines,vaccine policies,brand risk theme,BrandRiskTheme,vaccine policies,,element_mapping,dee546d30529e2e3d64f80fb2f774066,element_mapping__dee546d30529e2e3d64f80fb2f774066
vaccination policy,vaccine policies,brand risk theme,BrandRiskTheme,vaccine policies,,element_mapping,dee546d30529e2e3d64f80fb2f774066,element_mapping__dee546d30529e2e3d64f80fb2f774066
vaccination requirements,vaccine policies,brand risk theme,BrandRiskTheme,vaccine policies,,element_mapping,dee546d30529e2e3d64f80fb2f774066,element_mapping__dee546d30529e2e3d64f80fb2f774066
vaccination rules,vaccine policies,brand risk theme,BrandRiskTheme,vaccine policies,,element_mapping,dee546d30529e2e3d64f80fb2f774066,element_mapping__dee546d30529e2e3d64f80fb2f774066
vaccine guidelines,vaccine policies,brand risk theme,BrandRiskTheme,vaccine policies,,element_mapping,dee546d30529e2e3d64f80fb2f774066,element_mapping__dee546d30529e2e3d64f80fb2f774066
vaccine mandate,vaccine policies,brand risk theme,BrandRiskTheme,vaccine policies,,element_mapping,dee546d30529e2e3d64f80fb2f774066,element_mapping__dee546d30529e2e3d64f80fb2f774066
vaccine policy,vaccine policies,brand risk theme,BrandRiskTheme,vaccine policies,,element_mapping,dee546d30529e2e3d64f80fb2f774066,element_mapping__dee546d30529e2e3d64f80fb2f774066
vaccine requirement,vaccine policies,brand risk theme,BrandRiskTheme,vaccine policies,,element_mapping,dee546d30529e2e3d64f80fb2f774066,element_mapping__dee546d30529e2e3d64f80fb2f774066
vaccine requirements,vaccine policies,brand risk theme,BrandRiskTheme,vaccine policies,,element_mapping,dee546d30529e2e3d64f80fb2f774066,element_mapping__dee546d30529e2e3d64f80fb2f774066
vaccine rules,vaccine policies,brand risk theme,BrandRiskTheme,vaccine policies,,element_mapping,dee546d30529e2e3d64f80fb2f774066,element_mapping__dee546d30529e2e3d64f80fb2f774066
requiring vaccines,vaccine policies,brand risk theme,BrandRiskTheme,vaccine policies,,element_mapping,dee546d30529e2e3d64f80fb2f774066,element_mapping__dee546d30529e2e3d64f80fb2f774066
requiring vaccinations,vaccine policies,brand risk theme,BrandRiskTheme,vaccine policies,,element_mapping,dee546d30529e2e3d64f80fb2f774066,element_mapping__dee546d30529e2e3d64f80fb2f774066
forced covid shots,vaccine policies,brand risk theme,BrandRiskTheme,vaccine policies,,element_mapping,dee546d30529e2e3d64f80fb2f774066,element_mapping__dee546d30529e2e3d64f80fb2f774066
mandate covid shot,vaccine policies,brand risk theme,BrandRiskTheme,vaccine policies,,element_mapping,dee546d30529e2e3d64f80fb2f774066,element_mapping__dee546d30529e2e3d64f80fb2f774066
mandated covid shot,vaccine policies,brand risk theme,BrandRiskTheme,vaccine policies,,element_mapping,dee546d30529e2e3d64f80fb2f774066,element_mapping__dee546d30529e2e3d64f80fb2f774066
mandates covid shot,vaccine policies,brand risk theme,BrandRiskTheme,vaccine policies,,element_mapping,dee546d30529e2e3d64f80fb2f774066,element_mapping__dee546d30529e2e3d64f80fb2f774066
required covid shots,vaccine policies,brand risk theme,BrandRiskTheme,vaccine policies,,element_mapping,dee546d30529e2e3d64f80fb2f774066,element_mapping__dee546d30529e2e3d64f80fb2f774066
covid shot policy,vaccine policies,brand risk theme,BrandRiskTheme,vaccine policies,,element_mapping,dee546d30529e2e3d64f80fb2f774066,element_mapping__dee546d30529e2e3d64f80fb2f774066
covid shot requirements,vaccine policies,brand risk theme,BrandRiskTheme,vaccine policies,,element_mapping,dee546d30529e2e3d64f80fb2f774066,element_mapping__dee546d30529e2e3d64f80fb2f774066
covid shot rules,vaccine policies,brand risk theme,BrandRiskTheme,vaccine policies,,element_mapping,dee546d30529e2e3d64f80fb2f774066,element_mapping__dee546d30529e2e3d64f80fb2f774066
covid shot guidelines,vaccine policies,brand risk theme,BrandRiskTheme,vaccine policies,,element_mapping,dee546d30529e2e3d64f80fb2f774066,element_mapping__dee546d30529e2e3d64f80fb2f774066
covid shot mandate,vaccine policies,brand risk theme,BrandRiskTheme,vaccine policies,,element_mapping,dee546d30529e2e3d64f80fb2f774066,element_mapping__dee546d30529e2e3d64f80fb2f774066
covid shot requirement,vaccine policies,brand risk theme,BrandRiskTheme,vaccine policies,,element_mapping,dee546d30529e2e3d64f80fb2f774066,element_mapping__dee546d30529e2e3d64f80fb2f774066
requiring covid shots,vaccine policies,brand risk theme,BrandRiskTheme,vaccine policies,,element_mapping,dee546d30529e2e3d64f80fb2f774066,element_mapping__dee546d30529e2e3d64f80fb2f774066
requiring covid shot,vaccine policies,brand risk theme,BrandRiskTheme,vaccine policies,,element_mapping,dee546d30529e2e3d64f80fb2f774066,element_mapping__dee546d30529e2e3d64f80fb2f774066
novaccinemandates,vaccine policies,brand risk theme,BrandRiskTheme,vaccine policies,,element_mapping,dee546d30529e2e3d64f80fb2f774066,element_mapping__dee546d30529e2e3d64f80fb2f774066
novaccinemandate,vaccine policies,brand risk theme,BrandRiskTheme,vaccine policies,,element_mapping,dee546d30529e2e3d64f80fb2f774066,element_mapping__dee546d30529e2e3d64f80fb2f774066
novaccinepassports,vaccine policies,brand risk theme,BrandRiskTheme,vaccine policies,,element_mapping,dee546d30529e2e3d64f80fb2f774066,element_mapping__dee546d30529e2e3d64f80fb2f774066
novaxpass,vaccine policies,brand risk theme,BrandRiskTheme,vaccine policies,,element_mapping,dee546d30529e2e3d64f80fb2f774066,element_mapping__dee546d30529e2e3d64f80fb2f774066
vaccine mandates,vaccine policies,brand risk theme,BrandRiskTheme,vaccine policies,,element_mapping,dee546d30529e2e3d64f80fb2f774066,element_mapping__dee546d30529e2e3d64f80fb2f774066
forced jab,vaccine policies,brand risk theme,BrandRiskTheme,vaccine policies,,element_mapping,dee546d30529e2e3d64f80fb2f774066,element_mapping__dee546d30529e2e3d64f80fb2f774066
forced jabs,vaccine policies,brand risk theme,BrandRiskTheme,vaccine policies,,element_mapping,dee546d30529e2e3d64f80fb2f774066,element_mapping__dee546d30529e2e3d64f80fb2f774066
require the jab,vaccine policies,brand risk theme,BrandRiskTheme,vaccine policies,,element_mapping,dee546d30529e2e3d64f80fb2f774066,element_mapping__dee546d30529e2e3d64f80fb2f774066
required the jab,vaccine policies,brand risk theme,BrandRiskTheme,vaccine policies,,element_mapping,dee546d30529e2e3d64f80fb2f774066,element_mapping__dee546d30529e2e3d64f80fb2f774066
forcing vaccine,vaccine policies,brand risk theme,BrandRiskTheme,vaccine policies,,element_mapping,dee546d30529e2e3d64f80fb2f774066,element_mapping__dee546d30529e2e3d64f80fb2f774066
forcing vaccines,vaccine policies,brand risk theme,BrandRiskTheme,vaccine policies,,element_mapping,dee546d30529e2e3d64f80fb2f774066,element_mapping__dee546d30529e2e3d64f80fb2f774066
forcing vaccination,vaccine policies,brand risk theme,BrandRiskTheme,vaccine policies,,element_mapping,dee546d30529e2e3d64f80fb2f774066,element_mapping__dee546d30529e2e3d64f80fb2f774066
forcing vaccinations,vaccine policies,brand risk theme,BrandRiskTheme,vaccine policies,,element_mapping,dee546d30529e2e3d64f80fb2f774066,element_mapping__dee546d30529e2e3d64f80fb2f774066
mandating vaccine,vaccine policies,brand risk theme,BrandRiskTheme,vaccine policies,,element_mapping,dee546d30529e2e3d64f80fb2f774066,element_mapping__dee546d30529e2e3d64f80fb2f774066
mandating vaccinations,vaccine policies,brand risk theme,BrandRiskTheme,vaccine policies,,element_mapping,dee546d30529e2e3d64f80fb2f774066,element_mapping__dee546d30529e2e3d64f80fb2f774066
mandating vaccines,vaccine policies,brand risk theme,BrandRiskTheme,vaccine policies,,element_mapping,dee546d30529e2e3d64f80fb2f774066,element_mapping__dee546d30529e2e3d64f80fb2f774066
mandating the vaccination,vaccine policies,brand risk theme,BrandRiskTheme,vaccine policies,,element_mapping,dee546d30529e2e3d64f80fb2f774066,element_mapping__dee546d30529e2e3d64f80fb2f774066
forced the vaccination,vaccine policies,brand risk theme,BrandRiskTheme,vaccine policies,,element_mapping,dee546d30529e2e3d64f80fb2f774066,element_mapping__dee546d30529e2e3d64f80fb2f774066
forcing the vaccination,vaccine policies,brand risk theme,BrandRiskTheme,vaccine policies,,element_mapping,dee546d30529e2e3d64f80fb2f774066,element_mapping__dee546d30529e2e3d64f80fb2f774066
mandated the vaccination,vaccine policies,brand risk theme,BrandRiskTheme,vaccine policies,,element_mapping,dee546d30529e2e3d64f80fb2f774066,element_mapping__dee546d30529e2e3d64f80fb2f774066
forced me to get the vaccine,vaccine policies,brand risk theme,BrandRiskTheme,vaccine policies,,element_mapping,dee546d30529e2e3d64f80fb2f774066,element_mapping__dee546d30529e2e3d64f80fb2f774066
forcing me to get the vaccine,vaccine policies,brand risk theme,BrandRiskTheme,vaccine policies,,element_mapping,dee546d30529e2e3d64f80fb2f774066,element_mapping__dee546d30529e2e3d64f80fb2f774066
forced us to get the vaccines,vaccine policies,brand risk theme,BrandRiskTheme,vaccine policies,,element_mapping,dee546d30529e2e3d64f80fb2f774066,element_mapping__dee546d30529e2e3d64f80fb2f774066
forcing us to get the vaccines,vaccine policies,brand risk theme,BrandRiskTheme,vaccine policies,,element_mapping,dee546d30529e2e3d64f80fb2f774066,element_mapping__dee546d30529e2e3d64f80fb2f774066
required me to get the vaccine,vaccine policies,brand risk theme,BrandRiskTheme,vaccine policies,,element_mapping,dee546d30529e2e3d64f80fb2f774066,element_mapping__dee546d30529e2e3d64f80fb2f774066
requiring us to get the vaccine,vaccine policies,brand risk theme,BrandRiskTheme,vaccine policies,,element_mapping,dee546d30529e2e3d64f80fb2f774066,element_mapping__dee546d30529e2e3d64f80fb2f774066
requiring me to get the vaccine,vaccine policies,brand risk theme,BrandRiskTheme,vaccine policies,,element_mapping,dee546d30529e2e3d64f80fb2f774066,element_mapping__dee546d30529e2e3d64f80fb2f774066
required us to get the vaccine,vaccine policies,brand risk theme,BrandRiskTheme,vaccine policies,,element_mapping,dee546d30529e2e3d64f80fb2f774066,element_mapping__dee546d30529e2e3d64f80fb2f774066
forced staff to get the vaccine,vaccine policies,brand risk theme,BrandRiskTheme,vaccine policies,,element_mapping,dee546d30529e2e3d64f80fb2f774066,element_mapping__dee546d30529e2e3d64f80fb2f774066
forcing staff to get the vaccine,vaccine policies,brand risk theme,BrandRiskTheme,vaccine policies,,element_mapping,dee546d30529e2e3d64f80fb2f774066,element_mapping__dee546d30529e2e3d64f80fb2f774066
forced workers to get the vaccine,vaccine policies,brand risk theme,BrandRiskTheme,vaccine policies,,element_mapping,dee546d30529e2e3d64f80fb2f774066,element_mapping__dee546d30529e2e3d64f80fb2f774066
forcing workers to get the vaccine,vaccine policies,brand risk theme,BrandRiskTheme,vaccine policies,,element_mapping,dee546d30529e2e3d64f80fb2f774066,element_mapping__dee546d30529e2e3d64f80fb2f774066
forced staff to get vaccinated,vaccine policies,brand risk theme,BrandRiskTheme,vaccine policies,,element_mapping,dee546d30529e2e3d64f80fb2f774066,element_mapping__dee546d30529e2e3d64f80fb2f774066
forcing staff to get vaccinated,vaccine policies,brand risk theme,BrandRiskTheme,vaccine policies,,element_mapping,dee546d30529e2e3d64f80fb2f774066,element_mapping__dee546d30529e2e3d64f80fb2f774066
requiring staff to get vaccinated,vaccine policies,brand risk theme,BrandRiskTheme,vaccine policies,,element_mapping,dee546d30529e2e3d64f80fb2f774066,element_mapping__dee546d30529e2e3d64f80fb2f774066
required staff to get vaccinated,vaccine policies,brand risk theme,BrandRiskTheme,vaccine policies,,element_mapping,dee546d30529e2e3d64f80fb2f774066,element_mapping__dee546d30529e2e3d64f80fb2f774066
required workers to get vaccinated,vaccine policies,brand risk theme,BrandRiskTheme,vaccine policies,,element_mapping,dee546d30529e2e3d64f80fb2f774066,element_mapping__dee546d30529e2e3d64f80fb2f774066
forced employees to get the vaccine,vaccine policies,brand risk theme,BrandRiskTheme,vaccine policies,,element_mapping,dee546d30529e2e3d64f80fb2f774066,element_mapping__dee546d30529e2e3d64f80fb2f774066
forcing employees to get the vaccine,vaccine policies,brand risk theme,BrandRiskTheme,vaccine policies,,element_mapping,dee546d30529e2e3d64f80fb2f774066,element_mapping__dee546d30529e2e3d64f80fb2f774066
forced employees to get vaccinated,vaccine policies,brand risk theme,BrandRiskTheme,vaccine policies,,element_mapping,dee546d30529e2e3d64f80fb2f774066,element_mapping__dee546d30529e2e3d64f80fb2f774066
forcing employees to get vaccinated,vaccine policies,brand risk theme,BrandRiskTheme,vaccine policies,,element_mapping,dee546d30529e2e3d64f80fb2f774066,element_mapping__dee546d30529e2e3d64f80fb2f774066
warehouse,warehouse,infrastructure,Infrastructure,warehouse,,element_mapping,372d30dd2849813ef674855253900679,element_mapping__372d30dd2849813ef674855253900679
store,store,infrastructure,Infrastructure,store,,element_mapping,8cd892b7b97ef9489ae4479d3f4ef0fc,element_mapping__8cd892b7b97ef9489ae4479d3f4ef0fc
SOC,Security Operations Center,infrastructure,Infrastructure,Security Operations Center,,element_mapping,3b5f4aa1575ec47e618272d5a4802d59,element_mapping__3b5f4aa1575ec47e618272d5a4802d59
skyscraper,building,infrastructure,Infrastructure,building,,element_mapping,1b20e9021b3a16b059287caddc7862f6,element_mapping__1b20e9021b3a16b059287caddc7862f6
security operations centre,Security Operations Center,infrastructure,Infrastructure,Security Operations Center,,element_mapping,3b5f4aa1575ec47e618272d5a4802d59,element_mapping__3b5f4aa1575ec47e618272d5a4802d59
security operations center,Security Operations Center,infrastructure,Infrastructure,Security Operations Center,,element_mapping,3b5f4aa1575ec47e618272d5a4802d59,element_mapping__3b5f4aa1575ec47e618272d5a4802d59
refinery,refinery,infrastructure,Infrastructure,refinery,,element_mapping,29f89695e6378f74efa37c1e53a5c8b7,element_mapping__29f89695e6378f74efa37c1e53a5c8b7
refineries,refineries,infrastructure,Infrastructure,refineries,,element_mapping,f6f752d4dedfa84ee0eead1d97a27bb2,element_mapping__f6f752d4dedfa84ee0eead1d97a27bb2
production facility,production facility,infrastructure,Infrastructure,production facility,,element_mapping,8fc165f8c87ce45576ae32e59bf19ae7,element_mapping__8fc165f8c87ce45576ae32e59bf19ae7
power plant,power plant,infrastructure,Infrastructure,power plant,,element_mapping,b55ec97c9b1a544939e5d89b7b4fe0ad,element_mapping__b55ec97c9b1a544939e5d89b7b4fe0ad
plant,plant,infrastructure,Infrastructure,plant,,element_mapping,9ea0a36b3a20901fafe834eb519a595c,element_mapping__9ea0a36b3a20901fafe834eb519a595c
pipeline,pipeline,infrastructure,Infrastructure,pipeline,,element_mapping,99f6f4be0908f24bb4a22a4ffb277da4,element_mapping__99f6f4be0908f24bb4a22a4ffb277da4
operations centre,operations center,infrastructure,Infrastructure,operations center,,element_mapping,7384b8f130cda6426c16ebf56b8e817f,element_mapping__7384b8f130cda6426c16ebf56b8e817f
operations center,operations center,infrastructure,Infrastructure,operations center,,element_mapping,7384b8f130cda6426c16ebf56b8e817f,element_mapping__7384b8f130cda6426c16ebf56b8e817f
offices,offices,infrastructure,Infrastructure,offices,,element_mapping,2b80472febb0c52ab4551deca95dcd7b,element_mapping__2b80472febb0c52ab4551deca95dcd7b
office tower,office tower,infrastructure,Infrastructure,office tower,,element_mapping,5d5c15ecc1e467201dbb9575e91a53c8,element_mapping__5d5c15ecc1e467201dbb9575e91a53c8
office building,office building,infrastructure,Infrastructure,office building,,element_mapping,59e92c543866a67afdd4fc6fb35f597e,element_mapping__59e92c543866a67afdd4fc6fb35f597e
office,office,infrastructure,Infrastructure,office,,element_mapping,e72f4545eb68c96c754f91fc01573517,element_mapping__e72f4545eb68c96c754f91fc01573517
meeting room,office,infrastructure,Infrastructure,office,,element_mapping,e72f4545eb68c96c754f91fc01573517,element_mapping__e72f4545eb68c96c754f91fc01573517
manufacturing plant,manufacturing plant,infrastructure,Infrastructure,manufacturing plant,,element_mapping,938bf7fb8e807ff1fd4e52bcc51a316a,element_mapping__938bf7fb8e807ff1fd4e52bcc51a316a
