keyword,caption_name,topic_id,entity_type,threshold,Paired term,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
#mps,MPS,188233;188202,Startups,general.alert3,,Startups,MPS,,dgm_emergingtech_term,e7eabfc914389c1778ccb48a7b204600,dgm_emergingtech_term__e7eabfc914389c1778ccb48a7b204600
#distributedledger,distributed ledger,188273;188233,Startups,general.alert3,,Startups,distributed ledger,,dgm_emergingtech_term,b471cd8e75514898631b5d2017698959,dgm_emergingtech_term__b471cd8e75514898631b5d2017698959
#distributeddatabase,distributed database,188233;188360,Startups,general.alert3,,Startups,distributed database,,dgm_emergingtech_term,7a253f0684cdddb493e6bf82939683a8,dgm_emergingtech_term__7a253f0684cdddb493e6bf82939683a8
#tokenization,tokenization,188273,Startups,general.alert3,,Startups,tokenization,,dgm_emergingtech_term,ab5666a35077652f89f61827ad8a5c05,dgm_emergingtech_term__ab5666a35077652f89f61827ad8a5c05
#frictionlesspayments,frictionless payments,188273;188214,Startups,general.alert3,,Startups,frictionless payments,,dgm_emergingtech_term,9c3d629a9bc730273dcb086d0cda3147,dgm_emergingtech_term__9c3d629a9bc730273dcb086d0cda3147
#digitaltwins,digital twins,188233;188202,Startups,general.alert3,,Startups,digital twins,,dgm_emergingtech_term,8112b11669a0a3a82fd9a290dcb220ea,dgm_emergingtech_term__8112b11669a0a3a82fd9a290dcb220ea
#intelligenttwins,intelligent twins,188233;188202,Startups,general.alert3,,Startups,intelligent twins,,dgm_emergingtech_term,0c0e7941241398ebeb2e548c65f2a1da,dgm_emergingtech_term__0c0e7941241398ebeb2e548c65f2a1da
#virtualmodel,virtual model,188233;188202,Startups,general.alert3,,Startups,virtual model,,dgm_emergingtech_term,85c5d828159c44ecb94b47da3f784f7f,dgm_emergingtech_term__85c5d828159c44ecb94b47da3f784f7f
#informationtechnology,information technology,188233;188202,Startups,general.alert3,,Startups,information technology,,dgm_emergingtech_term,7f6b254d9ac32f27e6a748a66ebdb1b9,dgm_emergingtech_term__7f6b254d9ac32f27e6a748a66ebdb1b9
#culturedmeat,cultured meat,188158;188312,Startups,general.alert3,,Startups,cultured meat,,dgm_emergingtech_term,955f03c571a61ee33a3c9275a4cd0dc4,dgm_emergingtech_term__955f03c571a61ee33a3c9275a4cd0dc4
#agriculturalrobotics,agricultural robotics,188158;188313,Startups,general.alert3,,Startups,agricultural robotics,,dgm_emergingtech_term,4cf162fcb6c808034bea6bd88efb2761,dgm_emergingtech_term__4cf162fcb6c808034bea6bd88efb2761
#closedecologicalsystems,closed ecological systems,188158;188313,Startups,general.alert3,,Startups,closed ecological systems,,dgm_emergingtech_term,37117df39b53030264b0d91c4847f392,dgm_emergingtech_term__37117df39b53030264b0d91c4847f392
#verticalfarming,vertical farming,188158;188313,Startups,general.alert3,,Startups,vertical farming,,dgm_emergingtech_term,8eb9333f7fdafc103aa920d047e4b506,dgm_emergingtech_term__8eb9333f7fdafc103aa920d047e4b506
#plasmapropulsion,plasma propulsion,188219;188301,Startups,general.alert3,,Startups,plasma propulsion,,dgm_emergingtech_term,3c70b883d263ed3fc993d59c3d16956b,dgm_emergingtech_term__3c70b883d263ed3fc993d59c3d16956b
#pulsedetonationengine,pulse detonation engine,188219;188301,Startups,general.alert3,,Startups,pulse detonation engine,,dgm_emergingtech_term,36a20d85498e1993f1b56c7acd0830e3,dgm_emergingtech_term__36a20d85498e1993f1b56c7acd0830e3
#arcology,arcology,188221,Startups,general.alert3,,Startups,arcology,,dgm_emergingtech_term,2ffb0a8987c38b42b784664086c06a04,dgm_emergingtech_term__2ffb0a8987c38b42b784664086c06a04
#four-dimensionalprinting,four-dimensional printing,188221,Startups,general.alert3,,Startups,four-dimensional printing,,dgm_emergingtech_term,96e95f3faf417f95a3730643939e6154,dgm_emergingtech_term__96e95f3faf417f95a3730643939e6154
#domedcity,domed city,188339;188221,Startups,general.alert3,,Startups,domed city,,dgm_emergingtech_term,00b8b65f58d96a965ae9b0ecea5fbf57,dgm_emergingtech_term__00b8b65f58d96a965ae9b0ecea5fbf57
#aerogel,aerogel,188220,Startups,general.alert3,,Startups,aerogel,,dgm_emergingtech_term,ede8c5314cd15cdcedd4d036d3ad70b8,dgm_emergingtech_term__ede8c5314cd15cdcedd4d036d3ad70b8
#amorphousmetal,amorphous metal,188220;188163;188164,Startups,general.alert3,,Startups,amorphous metal,,dgm_emergingtech_term,f74401164098afa952464ca69d13ba46,dgm_emergingtech_term__f74401164098afa952464ca69d13ba46
#bioplastic,bioplastic,188220,Startups,general.alert3,,Startups,bioplastic,,dgm_emergingtech_term,1dc49b50b646e7706bf745ed13fb39ff,dgm_emergingtech_term__1dc49b50b646e7706bf745ed13fb39ff
#conductivepolymers,conductive polymers,188220,Startups,general.alert3,,Startups,conductive polymers,,dgm_emergingtech_term,ec6e980d1bc8601cca399eb306a367ce,dgm_emergingtech_term__ec6e980d1bc8601cca399eb306a367ce
#cryogenictreatment,cryogenic treatment,188220,Startups,general.alert3,,Startups,cryogenic treatment,,dgm_emergingtech_term,8ec304363e2efa951bc7b13c2f979d24,dgm_emergingtech_term__8ec304363e2efa951bc7b13c2f979d24
#dynamicarmor,dynamic armor,188220,Startups,general.alert3,,Startups,dynamic armor,,dgm_emergingtech_term,2541cc98e293d3b9d3fa0614d80dfd06,dgm_emergingtech_term__2541cc98e293d3b9d3fa0614d80dfd06
#fullerene,fullerene,188220,Startups,general.alert3,,Startups,fullerene,,dgm_emergingtech_term,f850b46b129c784d2e94f42cb34e1a58,dgm_emergingtech_term__f850b46b129c784d2e94f42cb34e1a58
#graphene,graphene,188220,Startups,general.alert3,,Startups,graphene,,dgm_emergingtech_term,ebde8080c092fc908416083a701feb30,dgm_emergingtech_term__ebde8080c092fc908416083a701feb30
#lab-on-a-chip,lab-on-a-chip,188220;188202,Startups,general.alert3,,Startups,lab-on-a-chip,,dgm_emergingtech_term,8fdb3c08b36aac68d484a3effa228299,dgm_emergingtech_term__8fdb3c08b36aac68d484a3effa228299
#high-temperaturesuperconductivity,high-temperature superconductivity,188220,Startups,general.alert3,,Startups,high-temperature superconductivity,,dgm_emergingtech_term,016a11796c2aeffd5c8342eb5d61c12b,dgm_emergingtech_term__016a11796c2aeffd5c8342eb5d61c12b
#magnetorheologicalfluid,magnetorheological fluid,188220;188219,Startups,general.alert3,,Startups,magnetorheological fluid,,dgm_emergingtech_term,9810957bd601ac4d5a794eac4f3fa04f,dgm_emergingtech_term__9810957bd601ac4d5a794eac4f3fa04f
#high-temperaturesuperfluidity,high-temperature superfluidity,188220;188160,Startups,general.alert3,,Startups,high-temperature superfluidity,,dgm_emergingtech_term,64580e28200c4403aa20720d892fe692,dgm_emergingtech_term__64580e28200c4403aa20720d892fe692
#metamaterials,metamaterials,188220,Startups,general.alert3,,Startups,metamaterials,,dgm_emergingtech_term,e2b042d30f6708c9afd3f2f290ce5e41,dgm_emergingtech_term__e2b042d30f6708c9afd3f2f290ce5e41
#metalfoam,metal foam,188220,Startups,general.alert3,,Startups,metal foam,,dgm_emergingtech_term,3cf2bfc66b7bc8fceee8195971906cb3,dgm_emergingtech_term__3cf2bfc66b7bc8fceee8195971906cb3
#multi-functionstructures,multi-function structures,188220,Startups,general.alert3,,Startups,multi-function structures,,dgm_emergingtech_term,b49262c7284cf7b54edd313f30e946eb,dgm_emergingtech_term__b49262c7284cf7b54edd313f30e946eb
#nanomaterials,nanomaterials,188220,Startups,general.alert3,,Startups,nanomaterials,,dgm_emergingtech_term,a7f74322de86ec38240f81ea7de366d6,dgm_emergingtech_term__a7f74322de86ec38240f81ea7de366d6
#carbonnanotubes,carbon nanotubes,188220,Startups,general.alert3,,Startups,carbon nanotubes,,dgm_emergingtech_term,dff035135c4f5065e6109f1afa4649ea,dgm_emergingtech_term__dff035135c4f5065e6109f1afa4649ea
#programmablematter,programmable matter,188220,Startups,general.alert3,,Startups,programmable matter,,dgm_emergingtech_term,f222b1ad7829f3073298dde5d3feb71b,dgm_emergingtech_term__f222b1ad7829f3073298dde5d3feb71b
#quantumdots,quantum dots,188220,Startups,general.alert3,,Startups,quantum dots,,dgm_emergingtech_term,c0b93a6fa10e322651be3f0b17f946ea,dgm_emergingtech_term__c0b93a6fa10e322651be3f0b17f946ea
#silicene,silicene,188220,Startups,general.alert3,,Startups,silicene,,dgm_emergingtech_term,5dc7dcb35cad131d39580b975ad318ab,dgm_emergingtech_term__5dc7dcb35cad131d39580b975ad318ab
#superalloy,superalloy,188220,Startups,general.alert3,,Startups,superalloy,,dgm_emergingtech_term,7d7f94dfee242d8017db1441c0095217,dgm_emergingtech_term__7d7f94dfee242d8017db1441c0095217
#syntheticdiamond,synthetic diamond,188220,Startups,general.alert3,,Startups,synthetic diamond,,dgm_emergingtech_term,7bef645fc32a9eb7eb9bafd790a5f6b9,dgm_emergingtech_term__7bef645fc32a9eb7eb9bafd790a5f6b9
#timecrystals,time crystals,188220,Startups,general.alert3,,Startups,time crystals,,dgm_emergingtech_term,68454414a9a74909124ce1b197e9bd14,dgm_emergingtech_term__68454414a9a74909124ce1b197e9bd14
#translucentconcrete,translucent concrete,188220,Startups,general.alert3,,Startups,translucent concrete,,dgm_emergingtech_term,459718d68bf2463725eb60ac5922f062,dgm_emergingtech_term__459718d68bf2463725eb60ac5922f062
#optoelectronics,optoelectronics,188233;188202,Startups,general.alert3,,Startups,optoelectronics,,dgm_emergingtech_term,ac286e53778c43c1606d6d1c3b51c0bf,dgm_emergingtech_term__ac286e53778c43c1606d6d1c3b51c0bf
#volumetricdisplays,volumetric displays,188202;188325,Startups,general.alert3,,Startups,volumetric displays,,dgm_emergingtech_term,8064bdd179688dfb4fe15c7cfed66701,dgm_emergingtech_term__8064bdd179688dfb4fe15c7cfed66701
#laservideodisplays,laser video displays,188202;188325,Startups,general.alert3,,Startups,laser video displays,,dgm_emergingtech_term,39e6cb2d1d4330cedd4ef7316fd7a3b9,dgm_emergingtech_term__39e6cb2d1d4330cedd4ef7316fd7a3b9
(#laservideodisplays; venture),laser video displays,188202;188325,Startups,general.alert3,,Startups,laser video displays,,dgm_emergingtech_term,39e6cb2d1d4330cedd4ef7316fd7a3b9,dgm_emergingtech_term__39e6cb2d1d4330cedd4ef7316fd7a3b9
(#laservideodisplays; vc),laser video displays,188202;188325,Startups,general.alert3,,Startups,laser video displays,,dgm_emergingtech_term,39e6cb2d1d4330cedd4ef7316fd7a3b9,dgm_emergingtech_term__39e6cb2d1d4330cedd4ef7316fd7a3b9
(#laservideodisplays; startup),laser video displays,188202;188325,Startups,general.alert3,,Startups,laser video displays,,dgm_emergingtech_term,39e6cb2d1d4330cedd4ef7316fd7a3b9,dgm_emergingtech_term__39e6cb2d1d4330cedd4ef7316fd7a3b9
(#laservideodisplays; technology),laser video displays,188202;188325,Startups,general.alert3,,Startups,laser video displays,,dgm_emergingtech_term,39e6cb2d1d4330cedd4ef7316fd7a3b9,dgm_emergingtech_term__39e6cb2d1d4330cedd4ef7316fd7a3b9
#holographicdisplay,holographic display,188202;188325,Startups,general.alert3,,Startups,holographic display,,dgm_emergingtech_term,a8644bde8756570406de5c766aca98b7,dgm_emergingtech_term__a8644bde8756570406de5c766aca98b7
#opticaltransistor,optical transistor,188202,Startups,general.alert3,,Startups,optical transistor,,dgm_emergingtech_term,7f869f08f6734ceac2e95e3d1b14e077,dgm_emergingtech_term__7f869f08f6734ceac2e95e3d1b14e077
#screenlessdisplay,screenless display,188202;188325,Startups,general.alert3,,Startups,screenless display,,dgm_emergingtech_term,8d05c426ed341a10484cf96bab560f9e,dgm_emergingtech_term__8d05c426ed341a10484cf96bab560f9e
#digitalscenttechnology,digital scent technology,188202,Startups,general.alert3,,Startups,digital scent technology,,dgm_emergingtech_term,1d2fa820caecd6383e389ebbcc543fcb,dgm_emergingtech_term__1d2fa820caecd6383e389ebbcc543fcb
#electronicnose,electronic nose,188202;188339,Startups,general.alert3,,Startups,electronic nose,,dgm_emergingtech_term,27ddb9c1cde248be9a837abdce343489,dgm_emergingtech_term__27ddb9c1cde248be9a837abdce343489
#e-textiles,e-textiles,188202,Startups,general.alert3,,Startups,e-textiles,,dgm_emergingtech_term,1733c8358461f1d1a7be6a81e877ade7,dgm_emergingtech_term__1733c8358461f1d1a7be6a81e877ade7
#flexibleelectronics,flexible electronics,188202,Startups,general.alert3,,Startups,flexible electronics,,dgm_emergingtech_term,dcd89ca017318060e470e7c977087f68,dgm_emergingtech_term__dcd89ca017318060e470e7c977087f68
#memristor,memristor,188202,Startups,general.alert3,,Startups,memristor,,dgm_emergingtech_term,32e0cb0a831e43feb108ffb28de8218d,dgm_emergingtech_term__32e0cb0a831e43feb108ffb28de8218d
#molecularelectronics,molecular electronics,188202;188220,Startups,general.alert3,,Startups,molecular electronics,,dgm_emergingtech_term,ccb6a6ef5371a414ed46ca7912a0dc2a,dgm_emergingtech_term__ccb6a6ef5371a414ed46ca7912a0dc2a
#nanoelectromechanicalsystems,nanoelectromechanical systems,188202;188220,Startups,general.alert3,,Startups,nanoelectromechanical systems,,dgm_emergingtech_term,84010c83c6dcbba295ea6038e8019c05,dgm_emergingtech_term__84010c83c6dcbba295ea6038e8019c05
#solid-statetransformer,solid-state transformer,188202,Startups,general.alert3,,Startups,solid-state transformer,,dgm_emergingtech_term,ae8515eb0af9a3428a1c584953be8126,dgm_emergingtech_term__ae8515eb0af9a3428a1c584953be8126
#spintronics,spintronics,188202;188231,Startups,general.alert3,,Startups,spintronics,,dgm_emergingtech_term,1c4652d1bd087c8a931ab1f3b1098db5,dgm_emergingtech_term__1c4652d1bd087c8a931ab1f3b1098db5
#thermalcopperpillarbump,thermal copper pillar bump,188202,Startups,general.alert3,,Startups,thermal copper pillar bump,,dgm_emergingtech_term,616a3d5f17ec8f49b22384d31c172ae8,dgm_emergingtech_term__616a3d5f17ec8f49b22384d31c172ae8
#three-dimensionalintegratedcircuit,three-dimensional integrated circuit,188202,Startups,general.alert3,,Startups,three-dimensional integrated circuit,,dgm_emergingtech_term,c23c60ea706caca607883829163de58a,dgm_emergingtech_term__c23c60ea706caca607883829163de58a
#twistronics,twistronics,188202,Startups,general.alert3,,Startups,twistronics,,dgm_emergingtech_term,d31205941857cb3b7935f036a514cece,dgm_emergingtech_term__d31205941857cb3b7935f036a514cece
#airbornewindturbine,airborne wind turbine,188160,Startups,general.alert3,,Startups,airborne wind turbine,,dgm_emergingtech_term,7a91399899c2c562bfb7f7249971b98c,dgm_emergingtech_term__7a91399899c2c562bfb7f7249971b98c
#americiumbattery,americium battery,188160,Startups,general.alert3,,Startups,americium battery,,dgm_emergingtech_term,ae1f7453920cd3a1e665302d542fa07a,dgm_emergingtech_term__ae1f7453920cd3a1e665302d542fa07a
#artificialphotosynthesis,artificial photosynthesis,188160,Startups,general.alert3,,Startups,artificial photosynthesis,,dgm_emergingtech_term,c34ef9998cabbb7e97a9b5f287327686,dgm_emergingtech_term__c34ef9998cabbb7e97a9b5f287327686
#concentratedsolarpower,concentrated solar power,188160,Startups,general.alert3,,Startups,concentrated solar power,,dgm_emergingtech_term,3515085ba4e02d9253dfce95d926a7dd,dgm_emergingtech_term__3515085ba4e02d9253dfce95d926a7dd
#electricdouble-layercapacitor,electric double-layer capacitor,188160,Startups,general.alert3,,Startups,electric double-layer capacitor,,dgm_emergingtech_term,aea22cd1d7ed006bf4268fcc68f8d8b4,dgm_emergingtech_term__aea22cd1d7ed006bf4268fcc68f8d8b4
#energyharvesting,energy harvesting,188160,Startups,general.alert3,,Startups,energy harvesting,,dgm_emergingtech_term,e880c381e87f98f2ad5943f4ec9c13fc,dgm_emergingtech_term__e880c381e87f98f2ad5943f4ec9c13fc
#flywheelenergystorage,flywheel energy storage,188160,Startups,general.alert3,,Startups,flywheel energy storage,,dgm_emergingtech_term,752857f5393bbe7245d8438d2449df4a,dgm_emergingtech_term__752857f5393bbe7245d8438d2449df4a
#fusionpower,fusion power,188160,Startups,general.alert3,,Startups,fusion power,,dgm_emergingtech_term,74f696e00c221b39b98aca8f1f83277d,dgm_emergingtech_term__74f696e00c221b39b98aca8f1f83277d
#generationivnuclearreactor,generation iv nuclear reactor,188160,Startups,general.alert3,,Startups,generation iv nuclear reactor,,dgm_emergingtech_term,a10fb04f0c1317c2c010061d23c0b12b,dgm_emergingtech_term__a10fb04f0c1317c2c010061d23c0b12b
#gravitybattery,gravity battery,188160,Startups,general.alert3,,Startups,gravity battery,,dgm_emergingtech_term,32e64a811eb2f9a349df34b251ef8b3a,dgm_emergingtech_term__32e64a811eb2f9a349df34b251ef8b3a
#homefuelcell,home fuel cell,188160,Startups,general.alert3,,Startups,home fuel cell,,dgm_emergingtech_term,b1571eb49d576cc3fc28162124313af2,dgm_emergingtech_term__b1571eb49d576cc3fc28162124313af2
#lithium-airbattery,lithium-air battery,188160,Startups,general.alert3,,Startups,lithium-air battery,,dgm_emergingtech_term,f92924232621456c95ce9a3a3c8aaf88,dgm_emergingtech_term__f92924232621456c95ce9a3a3c8aaf88
#lithiumironphosphatebattery,lithium iron phosphate battery,188160,Startups,general.alert3,,Startups,lithium iron phosphate battery,,dgm_emergingtech_term,e54e0f4985e616014d777c9342691359,dgm_emergingtech_term__e54e0f4985e616014d777c9342691359
#lithium–sulfurbattery,lithium–sulfur battery,188160,Startups,general.alert3,,Startups,lithium–sulfur battery,,dgm_emergingtech_term,580ebc1187ccce659e957aaa4f77fab0,dgm_emergingtech_term__580ebc1187ccce659e957aaa4f77fab0
#magnesiumbattery,magnesium battery,188160,Startups,general.alert3,,Startups,magnesium battery,,dgm_emergingtech_term,83829a5ad23f3fa384175791b5276016,dgm_emergingtech_term__83829a5ad23f3fa384175791b5276016
#magnonics,magnonics,188160,Startups,general.alert3,,Startups,magnonics,,dgm_emergingtech_term,747040d85bf5da7d1d7365d060990625,dgm_emergingtech_term__747040d85bf5da7d1d7365d060990625
#moltensaltreactor,molten salt reactor,188160,Startups,general.alert3,,Startups,molten salt reactor,,dgm_emergingtech_term,ed2a4f8015402bee9b8e5e1e6b50b743,dgm_emergingtech_term__ed2a4f8015402bee9b8e5e1e6b50b743
#nanowirebattery,nanowire battery,188160,Startups,general.alert3,,Startups,nanowire battery,,dgm_emergingtech_term,b123d434cc5a7e6d5bdd28e1a58ffb98,dgm_emergingtech_term__b123d434cc5a7e6d5bdd28e1a58ffb98
#nantenna,nantenna,188160,Startups,general.alert3,,Startups,nantenna,,dgm_emergingtech_term,33fd7ff830e9d2f74c3a9c145d151275,dgm_emergingtech_term__33fd7ff830e9d2f74c3a9c145d151275
#oceanthermalenergyconversion,ocean thermal energy conversion,188160,Startups,general.alert3,,Startups,ocean thermal energy conversion,,dgm_emergingtech_term,8e27c71a22c59c34b5627c6828f70ae9,dgm_emergingtech_term__8e27c71a22c59c34b5627c6828f70ae9
#solid-statebattery,solid-state battery,188160,Startups,general.alert3,,Startups,solid-state battery,,dgm_emergingtech_term,46703dda0bbf85b09f0734c1e3b5fdd4,dgm_emergingtech_term__46703dda0bbf85b09f0734c1e3b5fdd4
