keyword,guid,caption_name,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
american electric power,41a6ce85ffd66124357de8ba23e871ba,American Electric Power,Consulates,American Electric Power,,keyword_to_guid_teamblind,35ea1836d307e9d2646c8afc87d239a2,keyword_to_guid_teamblind__35ea1836d307e9d2646c8afc87d239a2
amgen,cbbf605ac8c153dab40ee70a8371ed1b,Amgen,Keyphrase,Amgen,,keyword_to_guid_teamblind,c142e310cf1889900ac13cc74784585c,keyword_to_guid_teamblind__c142e310cf1889900ac13cc74784585c
amzn,32ec5fc746a720416749e18927068772,Amazon,Shipping,Amazon,,keyword_to_guid_teamblind,b3b3a6ac74ecbd56bcdbefa4799fb9df,keyword_to_guid_teamblind__b3b3a6ac74ecbd56bcdbefa4799fb9df
analog devices,f44897f85f40b6f4782195431f1d0d3e,Analog Devices,Consulates,Analog Devices,,keyword_to_guid_teamblind,a689b578db5cfeb81f455b7d92de4d8a,keyword_to_guid_teamblind__a689b578db5cfeb81f455b7d92de4d8a
android,69bb2b0e88234d04213412ad72e44ee5,Alphabet,Refinery,Alphabet,,keyword_to_guid_teamblind,49c3fc5da1c39b28dd9e2956e7aec9a9,keyword_to_guid_teamblind__49c3fc5da1c39b28dd9e2956e7aec9a9
apple,2adac6e9b077021a8c4e5de1a3aa057b,Apple,Shipping,Apple,,keyword_to_guid_teamblind,9f6290f4436e5a2351f12e03b6433c3c,keyword_to_guid_teamblind__9f6290f4436e5a2351f12e03b6433c3c
applied materials,aeffb8b4c91e2e01eab6b28143fdc489,Applied Materials,space,Applied Materials,,keyword_to_guid_teamblind,75174b90c21a43a27785315d9e0ba66c,keyword_to_guid_teamblind__75174b90c21a43a27785315d9e0ba66c
archer daniels,b77236a889ac01314f318337ee2f9524,Archer Daniels Midland,Refinery,Archer Daniels Midland,,keyword_to_guid_teamblind,9a4888b6dedb0a6d3f1938161e934c55,keyword_to_guid_teamblind__9a4888b6dedb0a6d3f1938161e934c55
asus,98c0bc8470a9bc632bd151315bebace1,ASUS,LegislativeCommittee,ASUS,,keyword_to_guid_teamblind,5ed0b5f41b21804e51e82664dc24e2dd,keyword_to_guid_teamblind__5ed0b5f41b21804e51e82664dc24e2dd
at&t,eb4c37efac8ef073aaf6d5e9f4120e0a,AT&T,Diplomat,AT&T,,keyword_to_guid_teamblind,b74e69c4545cf7fc29395289f96240c2,keyword_to_guid_teamblind__b74e69c4545cf7fc29395289f96240c2
atari,eea8c66f137678173d10b2feb9092520,Atari,News,Atari,,keyword_to_guid_teamblind,ac8fe873bc90b3779dd13935dd6f29f2,keyword_to_guid_teamblind__ac8fe873bc90b3779dd13935dd6f29f2
atlassian,35a45188f9e78b1540dd2874d754ba49,Atlassian Plc,AAEntity,Atlassian Plc,,keyword_to_guid_teamblind,c93de5014cf5b9134237c0618af9ca55,keyword_to_guid_teamblind__c93de5014cf5b9134237c0618af9ca55
att,eb4c37efac8ef073aaf6d5e9f4120e0a,AT&T,FTO,AT&T,,keyword_to_guid_teamblind,b74e69c4545cf7fc29395289f96240c2,keyword_to_guid_teamblind__b74e69c4545cf7fc29395289f96240c2
aurora,5be06721d75b2f7cf827b8931723a53c,Aurora Innovation,AAEntity,Aurora Innovation,,keyword_to_guid_teamblind,04f50aa3686a210a7e2898b82aaa4750,keyword_to_guid_teamblind__04f50aa3686a210a7e2898b82aaa4750
autodesk,f449a8ec62c60096d771929048835ad8,Autodesk,Refinery,Autodesk,,keyword_to_guid_teamblind,983ea436405fa9ab72f858e1f1b874a7,keyword_to_guid_teamblind__983ea436405fa9ab72f858e1f1b874a7
autozone,a8aab37f3ec4d5cbc37ec5df7b1cb8a8,AutoZone,Legislator,AutoZone,,keyword_to_guid_teamblind,a93c760af8cf581763854a3489ffef7b,keyword_to_guid_teamblind__a93c760af8cf581763854a3489ffef7b
aws,32ec5fc746a720416749e18927068772,Amazon,ForeignMinistry,Amazon,,keyword_to_guid_teamblind,b3b3a6ac74ecbd56bcdbefa4799fb9df,keyword_to_guid_teamblind__b3b3a6ac74ecbd56bcdbefa4799fb9df
bae systems,68de11995b3eaa7243a40b135a58219b,BAE Systems,ForeignMinistry,BAE Systems,,keyword_to_guid_teamblind,48c7e055cb46ce0c9f686921c0ac63b2,keyword_to_guid_teamblind__48c7e055cb46ce0c9f686921c0ac63b2
baidu,e124818c3e704f0866b798552089cd98,Baidu,Pipeline,Baidu,,keyword_to_guid_teamblind,d36e219e608d6f9aa15b1e42081689fa,keyword_to_guid_teamblind__d36e219e608d6f9aa15b1e42081689fa
bank of america,e672678f644ea6ca9d8396db9db0bdf0,Bank of America,Refinery,Bank of America,,keyword_to_guid_teamblind,e4b68a3710443456cf882f506dfa2af5,keyword_to_guid_teamblind__e4b68a3710443456cf882f506dfa2af5
basf,8d49b8dc5ba98024dc999c10317deae7,BASF,ForeignMinistry,BASF,,keyword_to_guid_teamblind,1672f5c14b0beab044c02884a30f1e5b,keyword_to_guid_teamblind__1672f5c14b0beab044c02884a30f1e5b
bayer,735fd268d87cca49f96ee489716771a0,Bayer,ForeignMinistry,Bayer,,keyword_to_guid_teamblind,d4ff4823ac2f6adeccc0e9df435e2e20,keyword_to_guid_teamblind__d4ff4823ac2f6adeccc0e9df435e2e20
bb&t,2916b651bbc29138a226e7904de313ff,BB&T,ForeignMinister,BB&T,,keyword_to_guid_teamblind,eb50b6281b9cd0eab5f472d9889e3307,keyword_to_guid_teamblind__eb50b6281b9cd0eab5f472d9889e3307
bcg,2e782cdf90647fa9b827009f6d6818e9,Boston Consulting Group,Exec,Boston Consulting Group,,keyword_to_guid_teamblind,7ddcc78d3f09886602edbfc226721ad6,keyword_to_guid_teamblind__7ddcc78d3f09886602edbfc226721ad6
berkshire hathaway energy,"ed2de4f3fbc207e1265ef3ce4a4c7ec1,316ac0d178c7571f4693c5ba010cdda6",Berkshire Hathaway Energy,Shipping,Berkshire Hathaway Energy,,keyword_to_guid_teamblind,c1360926b3ca0194c4516ad2472c402e,keyword_to_guid_teamblind__c1360926b3ca0194c4516ad2472c402e
bharti airtel,aeb746a44282235dfa29024bbcf75a60,Bharti Airtel,FTO,Bharti Airtel,,keyword_to_guid_teamblind,9ccee7b820781b3a4f42f987a5efc8ab,keyword_to_guid_teamblind__9ccee7b820781b3a4f42f987a5efc8ab
bhp,f9a9781261ae2f3459d525486c12a37d,BHP Group,Refinery,BHP Group,,keyword_to_guid_teamblind,710dcf8a9fbb8e63e1894d10b83fa65d,keyword_to_guid_teamblind__710dcf8a9fbb8e63e1894d10b83fa65d
bhp,c503f35fcdc52d4912f2ca64ea221306,BHP Group,Consulates,BHP Group,,keyword_to_guid_teamblind,710dcf8a9fbb8e63e1894d10b83fa65d,keyword_to_guid_teamblind__710dcf8a9fbb8e63e1894d10b83fa65d
bidu,e124818c3e704f0866b798552089cd98,BIDU,LegislativeCommittee,BIDU,,keyword_to_guid_teamblind,dce9478ceb4a003ce2197348692ce9a8,keyword_to_guid_teamblind__dce9478ceb4a003ce2197348692ce9a8
biogen,1f46a67ae7e6023e6cffca51f4a46c16,Biogen,Organization,Biogen,,keyword_to_guid_teamblind,b34193a9204d2f50d15aedf8b222dbad,keyword_to_guid_teamblind__b34193a9204d2f50d15aedf8b222dbad
blizzard,5f1a65971ad63c9cf9be9b25b89b5e28,Activision Blizzard,Organization,Activision Blizzard,,keyword_to_guid_teamblind,c87cb90e721691623d804d736e398318,keyword_to_guid_teamblind__c87cb90e721691623d804d736e398318
bloomberg,f00730160093fc497dc7ebc0f77af425,Bloomberg,DiplomaticFacilities,Bloomberg,,keyword_to_guid_teamblind,208421fcbc090a62f099f85472ded9ba,keyword_to_guid_teamblind__208421fcbc090a62f099f85472ded9ba
boeing,fa7be71100c59377ed582e21587318d6,Boeing,Wells,Boeing,,keyword_to_guid_teamblind,44787ee9ad7082c7e379356589456000,keyword_to_guid_teamblind__44787ee9ad7082c7e379356589456000
bofa,e672678f644ea6ca9d8396db9db0bdf0,Bank of America,DiplomaticFacilities,Bank of America,,keyword_to_guid_teamblind,e4b68a3710443456cf882f506dfa2af5,keyword_to_guid_teamblind__e4b68a3710443456cf882f506dfa2af5
booz allen,fb39ab5b2d2020ac31120923f8cf5d07,Booz Allen Hamilton,DiplomaticFacilities,Booz Allen Hamilton,,keyword_to_guid_teamblind,00a861641d84876df2b914533ee33a41,keyword_to_guid_teamblind__00a861641d84876df2b914533ee33a41
bose,960e0d172242014d2a3c40d906cdefce,Bose,ForeignMinistry,Bose,,keyword_to_guid_teamblind,20383fe03b614c5fb3a4da13e1d0b873,keyword_to_guid_teamblind__20383fe03b614c5fb3a4da13e1d0b873
boston consulting group,2e782cdf90647fa9b827009f6d6818e9,Boston Consulting Group,Person,Boston Consulting Group,,keyword_to_guid_teamblind,7ddcc78d3f09886602edbfc226721ad6,keyword_to_guid_teamblind__7ddcc78d3f09886602edbfc226721ad6
boston scientific,19ed1a9f49895c64e95dc95d23bf95f7,Boston Scientific,Pipeline,Boston Scientific,,keyword_to_guid_teamblind,fc7e7271fb92a64ec66a3c9974fb1aaa,keyword_to_guid_teamblind__fc7e7271fb92a64ec66a3c9974fb1aaa
british american tobacco,2037bdb717b3511c220447491342823c,British American Tobacco,Pipeline,British American Tobacco,,keyword_to_guid_teamblind,a13c37478a66be4a7bbe4b077a1816c5,keyword_to_guid_teamblind__a13c37478a66be4a7bbe4b077a1816c5
broadcom,eee2375af82b2a26a74ebb6b1a6a9d73,Broadcom,News,Broadcom,,keyword_to_guid_teamblind,93933c6ca68705cf2c6eee19987428b0,keyword_to_guid_teamblind__93933c6ca68705cf2c6eee19987428b0
brookshire grocery,feb6bf7a1d9be9bd5e5f9123d8a38045,Brookshire Grocery,Organization,Brookshire Grocery,,keyword_to_guid_teamblind,a50be55ccac1c2a2d16b880b961b25a7,keyword_to_guid_teamblind__a50be55ccac1c2a2d16b880b961b25a7
bskyb,2e4b0c3f87d475be72b4f23ccfab4d2d,Comcast,Legislator,Comcast,,keyword_to_guid_teamblind,2c57439101d1d9696fd1c023ae70d511,keyword_to_guid_teamblind__2c57439101d1d9696fd1c023ae70d511
bt group,a98f5dda46d57336b33d73648ba46419,BT Group (British Telecom),ForeignMinistry,BT Group (British Telecom),,keyword_to_guid_teamblind,c0f993432ae845e07e93f712165358d2,keyword_to_guid_teamblind__c0f993432ae845e07e93f712165358d2
burberry,04d198d7d4f14e412c2639b980e1ac31,Burberry,News,Burberry,,keyword_to_guid_teamblind,4476771a6c90eeeec43dd09d7c6d1eea,keyword_to_guid_teamblind__4476771a6c90eeeec43dd09d7c6d1eea
bytedance,2bf23a2c9aa1a7926027916cf6946500,Bytedance,FTO,Bytedance,,keyword_to_guid_teamblind,d5396835cf425d0e3152646984d2b5f1,keyword_to_guid_teamblind__d5396835cf425d0e3152646984d2b5f1
capital one,11a15878b8b8b4b13fc8246f628fa84b,Capital One,Person,Capital One,,keyword_to_guid_teamblind,69d59a17f8e7d182ae0e0368c9eec9ac,keyword_to_guid_teamblind__69d59a17f8e7d182ae0e0368c9eec9ac
cardinal health,859d479ca8ddbcc2bbca3d5d5f1c8156,Cardinal Health,Media,Cardinal Health,,keyword_to_guid_teamblind,8a7d4af18b64df6b29be9483344342ef,keyword_to_guid_teamblind__8a7d4af18b64df6b29be9483344342ef
carefirst,e0fd16625154955ddc280a50899171a1,CareFirst of Maryland,Media,CareFirst of Maryland,,keyword_to_guid_teamblind,d15c7391442d544d2ea82065afeffdd6,keyword_to_guid_teamblind__d15c7391442d544d2ea82065afeffdd6
cargill,173ffc846f2c3792c5e439621237cc2b,Cargill,CompanyKeyword,Cargill,,keyword_to_guid_teamblind,556d98e75f0e9956d6120436fb17523f,keyword_to_guid_teamblind__556d98e75f0e9956d6120436fb17523f
casper,32a5926eaf14f371c07d68ddd29eaf74,Casper Sleep,Keyphrase,Casper Sleep,,keyword_to_guid_teamblind,ca5de3854595f56da3111d2ce1ca074d,keyword_to_guid_teamblind__ca5de3854595f56da3111d2ce1ca074d
catalent,91e31d7af1bd3451cb93f8f38bf5e036,Catalent,AAEntity,Catalent,,keyword_to_guid_teamblind,d54f060c536527037a22f6a3be40f303,keyword_to_guid_teamblind__d54f060c536527037a22f6a3be40f303
cbs,f12542dac0394a8d082f1ed4b3397f72,CBS Television Stations,Organization,CBS Television Stations,,keyword_to_guid_teamblind,45de0de79b02e3fe75d589b14c08f45e,keyword_to_guid_teamblind__45de0de79b02e3fe75d589b14c08f45e
cedar fair entertainment,aa4f7640a7be9a678a3c2e6e104f82ec,Cedar Fair,Wells,Cedar Fair,,keyword_to_guid_teamblind,890f6479ea587c73d5450c9712b86b7e,keyword_to_guid_teamblind__890f6479ea587c73d5450c9712b86b7e
cellcom,8ead5bb9f23aa11b67559f265976bfca,Cellcom Israel,News,Cellcom Israel,,keyword_to_guid_teamblind,77a96a9f653f27e5f69689729c909d32,keyword_to_guid_teamblind__77a96a9f653f27e5f69689729c909d32
charter communications,595d63918059be0782465194f326597e,Charter Communications,ForeignMinister,Charter Communications,,keyword_to_guid_teamblind,da8b7a9538b4b84e38602d0760082ebc,keyword_to_guid_teamblind__da8b7a9538b4b84e38602d0760082ebc
chevron,f41dd1b2abb0c41f225675ebb448ce63,Chevron,ForeignMinistry,Chevron,,keyword_to_guid_teamblind,9a37a3059e7c4ad00788c63f90dc8980,keyword_to_guid_teamblind__9a37a3059e7c4ad00788c63f90dc8980
china mobile,d4e494bd291cd29fda19f156d85ea576,China Mobile Limited,Shipping,China Mobile Limited,,keyword_to_guid_teamblind,64aca9ab3d4f267f4e1fcdcaff216078,keyword_to_guid_teamblind__64aca9ab3d4f267f4e1fcdcaff216078
china telecom,1f752e63315b2f27599ac68cd6b27f15,China Telecom Limited,Refinery,China Telecom Limited,,keyword_to_guid_teamblind,79d87b0f6c7e61c75eb9dc01e5865e88,keyword_to_guid_teamblind__79d87b0f6c7e61c75eb9dc01e5865e88
china unicom,48fdedb48c1b370843a11a8a2a9183de,China Unicom,FTO,China Unicom,,keyword_to_guid_teamblind,3dd993da503ad5a36398c3936d58b23b,keyword_to_guid_teamblind__3dd993da503ad5a36398c3936d58b23b
choice hotels,16276952d344372a55016b95b3cbb2b9,Choice Hotels,ForeignMinistry,Choice Hotels,,keyword_to_guid_teamblind,a17b4065cb275e7c4d999d1064d58d99,keyword_to_guid_teamblind__a17b4065cb275e7c4d999d1064d58d99
chromebook,69bb2b0e88234d04213412ad72e44ee5,Alphabet,Exec,Alphabet,,keyword_to_guid_teamblind,49c3fc5da1c39b28dd9e2956e7aec9a9,keyword_to_guid_teamblind__49c3fc5da1c39b28dd9e2956e7aec9a9
cincinnati bell,35588014a02429a4791c62c2b0eeefa0,Cincinnati Bell,Exec,Cincinnati Bell,,keyword_to_guid_teamblind,d107089fe2c5e07b24ba1fe05b03e559,keyword_to_guid_teamblind__d107089fe2c5e07b24ba1fe05b03e559
cirrus,16f5ded0b55bce05cb22430473f30d22,Cirrus Logic,AAEntity,Cirrus Logic,,keyword_to_guid_teamblind,cdb3419eb75f3ca2c12cad41e94e10e4,keyword_to_guid_teamblind__cdb3419eb75f3ca2c12cad41e94e10e4
cisco,ccd248e1c6fdd1da82a2ce08a0791fbd,Cisco Systems,ForeignMinister,Cisco Systems,,keyword_to_guid_teamblind,d6545329455aff8da17ad054a7f807d0,keyword_to_guid_teamblind__d6545329455aff8da17ad054a7f807d0
cision,a0ec8f77a477a84b08ee0222e9eec738,Cision,Pipeline,Cision,,keyword_to_guid_teamblind,2cb09bcad58debcf4eb2ee0a9821044c,keyword_to_guid_teamblind__2cb09bcad58debcf4eb2ee0a9821044c
citadel,a6fcf4438b6796c183ab63dd6eb1baee,Citadel,ForeignMinister,Citadel,,keyword_to_guid_teamblind,6a51af6c472004eb3bf8288f45b38501,keyword_to_guid_teamblind__6a51af6c472004eb3bf8288f45b38501
citi,eda335e4cc9dcfb9e0419735d0f597be,Citigroup,CompanyKeyword,Citigroup,,keyword_to_guid_teamblind,35b85f7fa633bdc479aa5da4f536c8e9,keyword_to_guid_teamblind__35b85f7fa633bdc479aa5da4f536c8e9
citic,eda335e4cc9dcfb9e0419735d0f597be,Citigroup,AAEntity,Citigroup,,keyword_to_guid_teamblind,35b85f7fa633bdc479aa5da4f536c8e9,keyword_to_guid_teamblind__35b85f7fa633bdc479aa5da4f536c8e9
citigroup,eda335e4cc9dcfb9e0419735d0f597be,Citigroup,Shipping,Citigroup,,keyword_to_guid_teamblind,35b85f7fa633bdc479aa5da4f536c8e9,keyword_to_guid_teamblind__35b85f7fa633bdc479aa5da4f536c8e9
citrix,37b993d33960128b055b1d0ec74b5a89,Citrix Systems,Consulates,Citrix Systems,,keyword_to_guid_teamblind,213721669c9eeab553feafa6a740060f,keyword_to_guid_teamblind__213721669c9eeab553feafa6a740060f
ck hutchison,0f50de2c63ba48f16e6a9496869c9030,CK Hutchison,Diplomat,CK Hutchison,,keyword_to_guid_teamblind,1b0e035edf14c74dbf3db8a22aed0895,keyword_to_guid_teamblind__1b0e035edf14c74dbf3db8a22aed0895
cleveland clinic,fb8cb1d75ce0a544ab419d5e263a5215,Cleveland Clinic,Refinery,Cleveland Clinic,,keyword_to_guid_teamblind,6532a6f89c78d994222df0fa29fe8c7d,keyword_to_guid_teamblind__6532a6f89c78d994222df0fa29fe8c7d
cogent,4190a032edc8f5078e2bf28d0eddae68,Cogent Communications,Organization,Cogent Communications,,keyword_to_guid_teamblind,1536605e9023c4e5850c0ba3a5537197,keyword_to_guid_teamblind__1536605e9023c4e5850c0ba3a5537197
cognizant,a7b5599d2f512bee58ad7e711f2713d4,Cognizant Technology Solutions,News,Cognizant Technology Solutions,,keyword_to_guid_teamblind,5981f475807ab195e0d6985087225df9,keyword_to_guid_teamblind__5981f475807ab195e0d6985087225df9
collins aerospace,5e02bfead62c3c9cc7846a3f1cd5bf3d,Collins Aerospace,Diplomat,Collins Aerospace,,keyword_to_guid_teamblind,8e15fad695efcb408b103bd0c68ba598,keyword_to_guid_teamblind__8e15fad695efcb408b103bd0c68ba598
comcast,2e4b0c3f87d475be72b4f23ccfab4d2d,Comcast,DiplomaticFacilities,Comcast,,keyword_to_guid_teamblind,2c57439101d1d9696fd1c023ae70d511,keyword_to_guid_teamblind__2c57439101d1d9696fd1c023ae70d511
commscope,85fd07047e9a06d0c80f9e47bce9505e,CommScope Holding Company,Media,CommScope Holding Company,,keyword_to_guid_teamblind,9b8b3511ad4be41099bfae0b09dc42fb,keyword_to_guid_teamblind__9b8b3511ad4be41099bfae0b09dc42fb
consolidated communications,66f503e64ec2d9f64f7b4114f655dcaa,Consolidated Communications Holdings,Legislator,Consolidated Communications Holdings,,keyword_to_guid_teamblind,589a6b5d09837df97d3898f69d733d40,keyword_to_guid_teamblind__589a6b5d09837df97d3898f69d733d40
cox enterprises,396f47ec54178e3c5815ba042d1010e7,Cox Enterprises,Diplomat,Cox Enterprises,,keyword_to_guid_teamblind,47ac6f5aeeff6238ca0722594054edae,keyword_to_guid_teamblind__47ac6f5aeeff6238ca0722594054edae
craig federighi,2adac6e9b077021a8c4e5de1a3aa057b,Apple executive Craig Federighi,Refinery,Apple executive Craig Federighi,,keyword_to_guid_teamblind,fa09d162c5ca12fd442cecb08da1a2e6,keyword_to_guid_teamblind__fa09d162c5ca12fd442cecb08da1a2e6
csg systems,78c910f7c9322e4c9ffe5a4730070d84,CSG Systems International,Person,CSG Systems International,,keyword_to_guid_teamblind,4cc9e528572be8cc05c87d2d89b13fc4,keyword_to_guid_teamblind__4cc9e528572be8cc05c87d2d89b13fc4
curevac,0a2371576dacd8c8e7898eb7e6f45408,CureVac,LegislativeCommittee,CureVac,,keyword_to_guid_teamblind,2d63e96e07bfc3876b323be67e671812,keyword_to_guid_teamblind__2d63e96e07bfc3876b323be67e671812
cvs,480b1d303f9e1e9b2d443e70ac8d14b3,CVS,Media,CVS,,keyword_to_guid_teamblind,51332b8fec73c1f1aeb5259d61fabb3a,keyword_to_guid_teamblind__51332b8fec73c1f1aeb5259d61fabb3a
daimler,15b3b39434e24514040c575fdecb4a7e,Daimler,space,Daimler,,keyword_to_guid_teamblind,ab1ebc1de72d369a2f6b7867862d58a2,keyword_to_guid_teamblind__ab1ebc1de72d369a2f6b7867862d58a2
daniel schulman,cb5aa0e62a22c02eea509f4ed369f97e,Paypal CEO Daniel Schulman,CompanyKeyword,Paypal CEO Daniel Schulman,,keyword_to_guid_teamblind,b8d991cabc168757e91a796c973ff777,keyword_to_guid_teamblind__b8d991cabc168757e91a796c973ff777
darren woods,ca7e1e10c738703f369aafb8278af324,ExxonMobil CEO Darren Woods,Organization,ExxonMobil CEO Darren Woods,,keyword_to_guid_teamblind,18e43b3e1d70b71b95bc38893de904ca,keyword_to_guid_teamblind__18e43b3e1d70b71b95bc38893de904ca
deepmind,"29d99882da5223603d025ccb959dfcbf,69bb2b0e88234d04213412ad72e44ee5",Deepmind,Legislator,Deepmind,,keyword_to_guid_teamblind,2901fb6e364a50a6403299fd62bccbfa,keyword_to_guid_teamblind__2901fb6e364a50a6403299fd62bccbfa
dell,172f134c7db3f3afed258f79968ffde0,Dell,Keyphrase,Dell,,keyword_to_guid_teamblind,ab2724d10b490217916b1bcc56aef48f,keyword_to_guid_teamblind__ab2724d10b490217916b1bcc56aef48f
deloitte,797bb8c12c01507ad8669b06b9abe7ac,Deloitte,IndustryTerm,Deloitte,,keyword_to_guid_teamblind,370c2482dacb3fffbd4043cfca5674fe,keyword_to_guid_teamblind__370c2482dacb3fffbd4043cfca5674fe
dentsu,a9b1940a7d5898af62001fcff3ea8fab,Dentsu Aegis Network,Wells,Dentsu Aegis Network,,keyword_to_guid_teamblind,3c16b6cb6699128ef06be0385b5224d9,keyword_to_guid_teamblind__3c16b6cb6699128ef06be0385b5224d9
deutsche boerse,4c1cc52d48963075b04cb3ae577b4ea7,Deutsche Boerse,AAEntity,Deutsche Boerse,,keyword_to_guid_teamblind,dfc288dba81aa4d1b6836c2aff68d28f,keyword_to_guid_teamblind__dfc288dba81aa4d1b6836c2aff68d28f
