handle,caption_name,location,include_groups,location_lower,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
reconscammers,Scam Detector,"San Francisco, CA",resale_hashtags;resale_mentions;cryptocurrency_scam;rewards;gift_cards;products;counterfeit_company;client_credit_card;discount_code,"san francisco, ca",Keyphrase,Scam Detector,,dgm_fraud_handles,181ae8cba04c9361da64c5e4a63cf8a5,dgm_fraud_handles__181ae8cba04c9361da64c5e4a63cf8a5
cybersupportnet,Scam Detector,"San Francisco, CA",resale_hashtags;resale_mentions;cryptocurrency_scam;rewards;gift_cards;products;counterfeit_company;client_credit_card;discount_code,"san francisco, ca",Person,Scam Detector,,dgm_fraud_handles,181ae8cba04c9361da64c5e4a63cf8a5,dgm_fraud_handles__181ae8cba04c9361da64c5e4a63cf8a5
aa419,Scam Detector,"San Francisco, CA",resale_hashtags;resale_mentions;cryptocurrency_scam;rewards;gift_cards;products;counterfeit_company;client_credit_card;discount_code,"ann arbor, mi",Refinery,Scam Detector,,dgm_fraud_handles,181ae8cba04c9361da64c5e4a63cf8a5,dgm_fraud_handles__181ae8cba04c9361da64c5e4a63cf8a5
scamadviser,Scam Detector,"San Francisco, CA",resale_hashtags;resale_mentions;cryptocurrency_scam;rewards;gift_cards;products;counterfeit_company;client_credit_card;discount_code,"san francisco, ca",AAEntity,Scam Detector,,dgm_fraud_handles,181ae8cba04c9361da64c5e4a63cf8a5,dgm_fraud_handles__181ae8cba04c9361da64c5e4a63cf8a5
sps_fraudwatch,Scam Detector,"San Francisco, CA",resale_hashtags;resale_mentions;cryptocurrency_scam;rewards;gift_cards;products;counterfeit_company;client_credit_card;discount_code,"san francisco, ca",Shipping,Scam Detector,,dgm_fraud_handles,181ae8cba04c9361da64c5e4a63cf8a5,dgm_fraud_handles__181ae8cba04c9361da64c5e4a63cf8a5
getsafeonline,Scam Detector,"San Francisco, CA",resale_hashtags;resale_mentions;cryptocurrency_scam;rewards;gift_cards;products;counterfeit_company;client_credit_card;discount_code,"san francisco, ca",LegislativeCommittee,Scam Detector,,dgm_fraud_handles,181ae8cba04c9361da64c5e4a63cf8a5,dgm_fraud_handles__181ae8cba04c9361da64c5e4a63cf8a5
reverd_com,Scam Detector,"San Francisco, CA",resale_hashtags;resale_mentions;cryptocurrency_scam;rewards;gift_cards;products;counterfeit_company;client_credit_card;discount_code,"san francisco, ca",FTO,Scam Detector,,dgm_fraud_handles,181ae8cba04c9361da64c5e4a63cf8a5,dgm_fraud_handles__181ae8cba04c9361da64c5e4a63cf8a5
consumer_gripes,Scam Detector,"San Francisco, CA",resale_hashtags;resale_mentions;cryptocurrency_scam;rewards;gift_cards;products;counterfeit_company;client_credit_card;discount_code,"san francisco, ca",Shipping,Scam Detector,,dgm_fraud_handles,181ae8cba04c9361da64c5e4a63cf8a5,dgm_fraud_handles__181ae8cba04c9361da64c5e4a63cf8a5
9jascamalert,Scam Detector,"San Francisco, CA",resale_hashtags;resale_mentions;cryptocurrency_scam;rewards;gift_cards;products;counterfeit_company;client_credit_card;discount_code,"san francisco, ca",Diplomat,Scam Detector,,dgm_fraud_handles,181ae8cba04c9361da64c5e4a63cf8a5,dgm_fraud_handles__181ae8cba04c9361da64c5e4a63cf8a5
againstscams,Scam Detector,"San Francisco, CA",resale_hashtags;resale_mentions;cryptocurrency_scam;rewards;gift_cards;products;counterfeit_company;client_credit_card;discount_code,"san francisco, ca",News,Scam Detector,,dgm_fraud_handles,181ae8cba04c9361da64c5e4a63cf8a5,dgm_fraud_handles__181ae8cba04c9361da64c5e4a63cf8a5
ntsscamsteam,Scam Detector,"San Francisco, CA",resale_hashtags;resale_mentions;cryptocurrency_scam;rewards;gift_cards;products;counterfeit_company;client_credit_card;discount_code,"san francisco, ca",News,Scam Detector,,dgm_fraud_handles,181ae8cba04c9361da64c5e4a63cf8a5,dgm_fraud_handles__181ae8cba04c9361da64c5e4a63cf8a5
anti_scams,Scam Detector,"San Francisco, CA",resale_hashtags;resale_mentions;cryptocurrency_scam;rewards;gift_cards;products;counterfeit_company;client_credit_card;discount_code,"san francisco, ca",ForeignMinister,Scam Detector,,dgm_fraud_handles,181ae8cba04c9361da64c5e4a63cf8a5,dgm_fraud_handles__181ae8cba04c9361da64c5e4a63cf8a5
antiscam_watch,Scam Detector,"San Francisco, CA",resale_hashtags;resale_mentions;cryptocurrency_scam;rewards;gift_cards;products;counterfeit_company;client_credit_card;discount_code,"san francisco, ca",ForeignMinistry,Scam Detector,,dgm_fraud_handles,181ae8cba04c9361da64c5e4a63cf8a5,dgm_fraud_handles__181ae8cba04c9361da64c5e4a63cf8a5
antiscam,Scam Detector,"San Francisco, CA",resale_hashtags;resale_mentions;cryptocurrency_scam;rewards;gift_cards;products;counterfeit_company;client_credit_card;discount_code,"san francisco, ca",Wells,Scam Detector,,dgm_fraud_handles,181ae8cba04c9361da64c5e4a63cf8a5,dgm_fraud_handles__181ae8cba04c9361da64c5e4a63cf8a5
immobilisecrime,Scam Detector,"San Francisco, CA",resale_hashtags;resale_mentions;cryptocurrency_scam;rewards;gift_cards;products;counterfeit_company;client_credit_card;discount_code,"san francisco, ca",Exec,Scam Detector,,dgm_fraud_handles,181ae8cba04c9361da64c5e4a63cf8a5,dgm_fraud_handles__181ae8cba04c9361da64c5e4a63cf8a5
cyberessentials,Scam Detector,"San Francisco, CA",resale_hashtags;resale_mentions;cryptocurrency_scam;rewards;gift_cards;products;counterfeit_company;client_credit_card;discount_code,"san francisco, ca",Diplomat,Scam Detector,,dgm_fraud_handles,181ae8cba04c9361da64c5e4a63cf8a5,dgm_fraud_handles__181ae8cba04c9361da64c5e4a63cf8a5
cyberawaregov,Scam Detector,"San Francisco, CA",resale_hashtags;resale_mentions;cryptocurrency_scam;rewards;gift_cards;products;counterfeit_company;client_credit_card;discount_code,"san francisco, ca",Keyphrase,Scam Detector,,dgm_fraud_handles,181ae8cba04c9361da64c5e4a63cf8a5,dgm_fraud_handles__181ae8cba04c9361da64c5e4a63cf8a5
tsecrime,Scam Detector,"San Francisco, CA",resale_hashtags;resale_mentions;cryptocurrency_scam;rewards;gift_cards;products;counterfeit_company;client_credit_card;discount_code,"san francisco, ca",LegislativeCommittee,Scam Detector,,dgm_fraud_handles,181ae8cba04c9361da64c5e4a63cf8a5,dgm_fraud_handles__181ae8cba04c9361da64c5e4a63cf8a5
uk_sic,Scam Detector,"San Francisco, CA",resale_hashtags;resale_mentions;cryptocurrency_scam;rewards;gift_cards;products;counterfeit_company;client_credit_card;discount_code,"san francisco, ca",IndustryTerm,Scam Detector,,dgm_fraud_handles,181ae8cba04c9361da64c5e4a63cf8a5,dgm_fraud_handles__181ae8cba04c9361da64c5e4a63cf8a5
glossafercyber,Scam Detector,"San Francisco, CA",resale_hashtags;resale_mentions;cryptocurrency_scam;rewards;gift_cards;products;counterfeit_company;client_credit_card;discount_code,"san francisco, ca",AAEntity,Scam Detector,,dgm_fraud_handles,181ae8cba04c9361da64c5e4a63cf8a5,dgm_fraud_handles__181ae8cba04c9361da64c5e4a63cf8a5
cyberprotectuk,Scam Detector,"San Francisco, CA",resale_hashtags;resale_mentions;cryptocurrency_scam;rewards;gift_cards;products;counterfeit_company;client_credit_card;discount_code,"san francisco, ca",Person,Scam Detector,,dgm_fraud_handles,181ae8cba04c9361da64c5e4a63cf8a5,dgm_fraud_handles__181ae8cba04c9361da64c5e4a63cf8a5
childnet,Scam Detector,"San Francisco, CA",resale_hashtags;resale_mentions;cryptocurrency_scam;rewards;gift_cards;products;counterfeit_company;client_credit_card;discount_code,"san francisco, ca",Diplomat,Scam Detector,,dgm_fraud_handles,181ae8cba04c9361da64c5e4a63cf8a5,dgm_fraud_handles__181ae8cba04c9361da64c5e4a63cf8a5
scam_alert_uk,Scam Detector,"San Francisco, CA",resale_hashtags;resale_mentions;cryptocurrency_scam;rewards;gift_cards;products;counterfeit_company;client_credit_card;discount_code,"san francisco, ca",Organization,Scam Detector,,dgm_fraud_handles,181ae8cba04c9361da64c5e4a63cf8a5,dgm_fraud_handles__181ae8cba04c9361da64c5e4a63cf8a5
slamonlinescams,Scam Detector,"San Francisco, CA",resale_hashtags;resale_mentions;cryptocurrency_scam;rewards;gift_cards;products;counterfeit_company;client_credit_card;discount_code,"san francisco, ca",Consulates,Scam Detector,,dgm_fraud_handles,181ae8cba04c9361da64c5e4a63cf8a5,dgm_fraud_handles__181ae8cba04c9361da64c5e4a63cf8a5
crimestoppersuk,Scam Detector,"San Francisco, CA",resale_hashtags;resale_mentions;cryptocurrency_scam;rewards;gift_cards;products;counterfeit_company;client_credit_card;discount_code,"san francisco, ca",Keyphrase,Scam Detector,,dgm_fraud_handles,181ae8cba04c9361da64c5e4a63cf8a5,dgm_fraud_handles__181ae8cba04c9361da64c5e4a63cf8a5
fraudoftheday,Scam Detector,"San Francisco, CA",resale_hashtags;resale_mentions;cryptocurrency_scam;rewards;gift_cards;products;counterfeit_company;client_credit_card;discount_code,"san francisco, ca",Wells,Scam Detector,,dgm_fraud_handles,181ae8cba04c9361da64c5e4a63cf8a5,dgm_fraud_handles__181ae8cba04c9361da64c5e4a63cf8a5
jtmarkscpa,US FCPA Adviser Marks,"Philadelphia, PA",fraud;counterfeit;cryptocurrency_scam;aml;resale_hashtags;counterfeit_company,"philadelphia, pa",FTO,US FCPA Adviser Marks,,dgm_fraud_handles,45a7ad28aaa916778f2c8cceb8d049b6,dgm_fraud_handles__45a7ad28aaa916778f2c8cceb8d049b6
ncsc,UK National Cyber Security Center,"London, UK",fraud;counterfeit;cryptocurrency_scam;aml;resale_hashtags;counterfeit_company,"london, uk",Organization,UK National Cyber Security Center,,dgm_fraud_handles,2e3743988064cb93d0abd812713e5efb,dgm_fraud_handles__2e3743988064cb93d0abd812713e5efb
canantifraud,Canadian Anti-Fraud Centre,"Ottawa, Canada",fraud;counterfeit;cryptocurrency_scam;aml;resale_hashtags;counterfeit_company,"ottawa, canada",Consulates,Canadian Anti-Fraud Centre,,dgm_fraud_handles,393841e2e116c9b7af9cce2e292d8f29,dgm_fraud_handles__393841e2e116c9b7af9cce2e292d8f29
euantifraud,EU Anti-Fraud,"Brussels, Belgium",fraud;counterfeit;cryptocurrency_scam;aml;resale_hashtags;counterfeit_company,"brussels, belgium",FTO,EU Anti-Fraud,,dgm_fraud_handles,5e6b34198bff33195fe356c27c75e371,dgm_fraud_handles__5e6b34198bff33195fe356c27c75e371
cifasuk,CIFAS UK,"London, UK",fraud;counterfeit;cryptocurrency_scam;aml;resale_hashtags;counterfeit_company,"london, uk",News,CIFAS UK,,dgm_fraud_handles,8affd069d5d676e5a7b90fb4dc11b681,dgm_fraud_handles__8affd069d5d676e5a7b90fb4dc11b681
actionfrauduk,Action Fraud UK,"London, UK",fraud;counterfeit;cryptocurrency_scam;aml;resale_hashtags;counterfeit_company,"london, uk",AAEntity,Action Fraud UK,,dgm_fraud_handles,d9703bf2a2c21c9d0dd90c709273280d,dgm_fraud_handles__d9703bf2a2c21c9d0dd90c709273280d
uksfo,UK Serious Fraud Office,"London, UK",fraud;counterfeit;cryptocurrency_scam;aml;resale_hashtags;counterfeit_company,"london, uk",Organization,UK Serious Fraud Office,,dgm_fraud_handles,5b9773b1142aaae5cabf7a27de785d6b,dgm_fraud_handles__5b9773b1142aaae5cabf7a27de785d6b
citypolicefraud,London Fraud Police,"London, UK",fraud;counterfeit;cryptocurrency_scam;aml;resale_hashtags;counterfeit_company,"london, uk",DiplomaticFacilities,London Fraud Police,,dgm_fraud_handles,4cf6680575d1ad661e2909b9cc7aafaf,dgm_fraud_handles__4cf6680575d1ad661e2909b9cc7aafaf
citypoliceifed,London Fraud Police IFED,"London, UK",fraud;counterfeit;cryptocurrency_scam;aml;resale_hashtags;counterfeit_company,"london, uk",Person,London Fraud Police IFED,,dgm_fraud_handles,02020ce36075328f9f05674240401337,dgm_fraud_handles__02020ce36075328f9f05674240401337
nottsfraudcops,Nottinghamshire Fraud Police,"Nottingham, UK",fraud;counterfeit;cryptocurrency_scam;aml;resale_hashtags;counterfeit_company,"nottingham, uk",Exec,Nottinghamshire Fraud Police,,dgm_fraud_handles,6c70257a816453d54753fb2deb4a64a7,dgm_fraud_handles__6c70257a816453d54753fb2deb4a64a7
lancsfraudcyber,Lancashire Fraud Police,"Preston, UK",fraud;counterfeit;cryptocurrency_scam;aml;resale_hashtags;counterfeit_company,"preston, uk",Shipping,Lancashire Fraud Police,,dgm_fraud_handles,ccfd8d29d716cd24a95655c5902a09fe,dgm_fraud_handles__ccfd8d29d716cd24a95655c5902a09fe
derpolfraud,Derbyshire Fraud Police,"Derbyshire, UK",fraud;counterfeit;cryptocurrency_scam;aml;resale_hashtags;counterfeit_company,"derbyshire, uk",Person,Derbyshire Fraud Police,,dgm_fraud_handles,a9c4c226732efde3274d9e942e150d8b,dgm_fraud_handles__a9c4c226732efde3274d9e942e150d8b
theacfe,Association of Certified Fraud Examiners,"Austin, TX",fraud;counterfeit;cryptocurrency_scam;aml;resale_hashtags;counterfeit_company,"austin, tx",Wells,Association of Certified Fraud Examiners,,dgm_fraud_handles,20b3d3458fb61f2ffe88fc3f3fe6c995,dgm_fraud_handles__20b3d3458fb61f2ffe88fc3f3fe6c995
irs_ci,IRS Criminal Investigation,"Washington, DC",fraud;counterfeit;cryptocurrency_scam;aml;resale_hashtags;counterfeit_company,"washington, dc",FTO,IRS Criminal Investigation,,dgm_fraud_handles,117254eb28e9710722a6d0515f5987b3,dgm_fraud_handles__117254eb28e9710722a6d0515f5987b3
bbb_us,Better Business Bureau US,"Washington, DC",fraud;counterfeit;cryptocurrency_scam;aml;resale_hashtags;counterfeit_company,"washington, dc",DiplomaticFacilities,Better Business Bureau US,,dgm_fraud_handles,7229a0fff9ab643db1335fb4addc115e,dgm_fraud_handles__7229a0fff9ab643db1335fb4addc115e
nhscfa,NHS Counter Fraud Authority,"London, UK",fraud;counterfeit;cryptocurrency_scam;aml;resale_hashtags;counterfeit_company,"london, uk",Wells,NHS Counter Fraud Authority,,dgm_fraud_handles,efa291a717ef36b07ff407926adcfd55,dgm_fraud_handles__efa291a717ef36b07ff407926adcfd55
offshorealert,Offshore Alert,"Washington, DC",fraud;counterfeit;cryptocurrency_scam;aml;resale_hashtags;counterfeit_company,"washington, dc",Refinery,Offshore Alert,,dgm_fraud_handles,ade13b56a7cb3c306a3348d5e8859100,dgm_fraud_handles__ade13b56a7cb3c306a3348d5e8859100
nca_uk,National Crime Agency UK,"London, UK",fraud;counterfeit;cryptocurrency_scam;aml;resale_hashtags;counterfeit_company,"london, uk",Legislator,National Crime Agency UK,,dgm_fraud_handles,b0c9b69f8704a9b1d5247e39193adad8,dgm_fraud_handles__b0c9b69f8704a9b1d5247e39193adad8
njinsurfraud,NJ Insurance Fraud,"Trenton, NJ",fraud;counterfeit;cryptocurrency_scam;aml;resale_hashtags;counterfeit_company,"trenton, nj",Organization,NJ Insurance Fraud,,dgm_fraud_handles,879c7ecce85c7aa7fbb5127567a3d4ee,dgm_fraud_handles__879c7ecce85c7aa7fbb5127567a3d4ee
wyp_ecocrmunit,West Yorkshire Fraud Police,"West Yorkshire, UK",fraud;counterfeit;cryptocurrency_scam;aml;resale_hashtags;counterfeit_company,"west yorkshire, uk",Pipeline,West Yorkshire Fraud Police,,dgm_fraud_handles,a89718739fae50869fa6b228abd941d4,dgm_fraud_handles__a89718739fae50869fa6b228abd941d4
stopfraudco,Stop Fraud Colorado,"Denver, CO",fraud;counterfeit;cryptocurrency_scam;aml;resale_hashtags;counterfeit_company,"denver, co",News,Stop Fraud Colorado,,dgm_fraud_handles,f8f9e5209f93c0a990febb04ed5d1a9d,dgm_fraud_handles__f8f9e5209f93c0a990febb04ed5d1a9d
gcfprofession,Government Counter Fraud Profession,"London, UK",fraud;counterfeit;cryptocurrency_scam;aml;resale_hashtags;counterfeit_company,"london, uk",FTO,Government Counter Fraud Profession,,dgm_fraud_handles,af77f112394a62335148958192d15222,dgm_fraud_handles__af77f112394a62335148958192d15222
mff_forum,Midlands Fraud Forum,"London, UK",fraud;counterfeit;cryptocurrency_scam;aml;resale_hashtags;counterfeit_company,"london, uk",ForeignMinistry,Midlands Fraud Forum,,dgm_fraud_handles,60c2c018f76c51a4b12dbf513d55f7a1,dgm_fraud_handles__60c2c018f76c51a4b12dbf513d55f7a1
fraud_panel,Fraud Advisory Panel,"London, UK",fraud;counterfeit;cryptocurrency_scam;aml;resale_hashtags;counterfeit_company,"london, uk",News,Fraud Advisory Panel,,dgm_fraud_handles,a515340358f8c2f2222d9e3b43609ffb,dgm_fraud_handles__a515340358f8c2f2222d9e3b43609ffb
_icaie,International Coalition Against Illicit Economies,"Washington, DC",fraud;counterfeit;cryptocurrency_scam;aml;resale_hashtags;counterfeit_company,"washington, dc",FTO,International Coalition Against Illicit Economies,,dgm_fraud_handles,852f312af589eb50d918efb0b6958484,dgm_fraud_handles__852f312af589eb50d918efb0b6958484
fatfnews,Financial Action Task Force,"Paris, France",fraud;counterfeit;cryptocurrency_scam;aml;resale_hashtags;counterfeit_company,"paris, france",ForeignMinister,Financial Action Task Force,,dgm_fraud_handles,40dc63774a187d39ad6071fcdc44a432,dgm_fraud_handles__40dc63774a187d39ad6071fcdc44a432
lasdcyber,LASD Fraud & Cyber Crimes Bureau,"Los Angeles County, CA",fraud;counterfeit;cryptocurrency_scam;aml;resale_hashtags;counterfeit_company,"los angeles county, ca",Keyphrase,LASD Fraud & Cyber Crimes Bureau,,dgm_fraud_handles,c02f0ea7f051fef95eb9ed4596edcdcf,dgm_fraud_handles__c02f0ea7f051fef95eb9ed4596edcdcf
nhsscfs,NHS Scotland Counter Fraud,"Edinburgh, UK",fraud;counterfeit;cryptocurrency_scam;aml;resale_hashtags;counterfeit_company,"edinburgh, uk",Refinery,NHS Scotland Counter Fraud,,dgm_fraud_handles,cda90c4785d6a6d9885e51132d27eb67,dgm_fraud_handles__cda90c4785d6a6d9885e51132d27eb67
aarpfraudwatch,AARP Fraud Watch Network,"Washington, DC",fraud;counterfeit;cryptocurrency_scam;aml;resale_hashtags;counterfeit_company,"washington, dc",Consulates,AARP Fraud Watch Network,,dgm_fraud_handles,c4734737c1b8af9c69ba11b6a94bd611,dgm_fraud_handles__c4734737c1b8af9c69ba11b6a94bd611
fraudwatchza,IRS Forensic Investigations,"Johannesburg, South Africa",fraud;counterfeit;cryptocurrency_scam;aml;resale_hashtags;counterfeit_company,"johannesburg, south africa",IndustryTerm,IRS Forensic Investigations,,dgm_fraud_handles,b5bc8739b9117b7f8226a0cb44da6bf6,dgm_fraud_handles__b5bc8739b9117b7f8226a0cb44da6bf6
fraudwatchuk,Fraud Watch UK,"Beverley, UK",fraud;counterfeit;cryptocurrency_scam;aml;resale_hashtags;counterfeit_company,"beverley, uk",ForeignMinistry,Fraud Watch UK,,dgm_fraud_handles,9c0cd4f182ed65cf23e5e2144c782ae1,dgm_fraud_handles__9c0cd4f182ed65cf23e5e2144c782ae1
tvpcyber_fraud,TVP Cyber and Fraud,"Thames Valley, UK",fraud;counterfeit;cryptocurrency_scam;aml;resale_hashtags;counterfeit_company,"thames valley, uk",DiplomaticFacilities,TVP Cyber and Fraud,,dgm_fraud_handles,3de96e6de5af732c02c0981a7e92cf3f,dgm_fraud_handles__3de96e6de5af732c02c0981a7e92cf3f
takefive,TakeFive,"London, UK",fraud;counterfeit;cryptocurrency_scam;aml;resale_hashtags;counterfeit_company,"london, uk",Organization,TakeFive,,dgm_fraud_handles,0a21393afd227111620d303479e75875,dgm_fraud_handles__0a21393afd227111620d303479e75875
ukftweets,UK Finance,"London, UK",fraud;counterfeit;cryptocurrency_scam;aml;resale_hashtags;counterfeit_company,"london, uk",FTO,UK Finance,,dgm_fraud_handles,ee432ae288230000104b5433e71cfa0e,dgm_fraud_handles__ee432ae288230000104b5433e71cfa0e
thefca,UK Financial Conduct Authority,"London, UK",fraud;counterfeit;cryptocurrency_scam;aml;resale_hashtags;counterfeit_company,"london, uk",Shipping,UK Financial Conduct Authority,,dgm_fraud_handles,2663314ee072c07fcf8cd4509899fe00,dgm_fraud_handles__2663314ee072c07fcf8cd4509899fe00
financialombuds,UK Financial Ombudsman Service,"London, UK",fraud;counterfeit;cryptocurrency_scam;aml;resale_hashtags;counterfeit_company,"london, uk",Organization,UK Financial Ombudsman Service,,dgm_fraud_handles,5d33d1bdd5e4960e5fc31d28400d36c7,dgm_fraud_handles__5d33d1bdd5e4960e5fc31d28400d36c7
trinvestigator,Thompson Reuters Clear,"Washington, DC",fraud;counterfeit;cryptocurrency_scam;aml;resale_hashtags;counterfeit_company,"washington, dc",Wells,Thompson Reuters Clear,,dgm_fraud_handles,46a1da94af41b6acd42d8a418100dc59,dgm_fraud_handles__46a1da94af41b6acd42d8a418100dc59
acams_ml_com,ACAMS,"London, UK",fraud;counterfeit;cryptocurrency_scam;aml;resale_hashtags;counterfeit_company,"london, uk",space,ACAMS,,dgm_fraud_handles,23f409191d8bd92f7d7ab01862d78fe6,dgm_fraud_handles__23f409191d8bd92f7d7ab01862d78fe6
fcpa,FCPA,"Austin, TX",fraud;counterfeit;cryptocurrency_scam;aml;resale_hashtags;counterfeit_company,"austin, tx",CompanyKeyword,FCPA,,dgm_fraud_handles,671cf143fea9f800b90ee847a275f4b2,dgm_fraud_handles__671cf143fea9f800b90ee847a275f4b2
acamstoday,ACAMS,"London, UK",fraud;counterfeit;cryptocurrency_scam;aml;resale_hashtags;counterfeit_company,"london, uk",ForeignMinister,ACAMS,,dgm_fraud_handles,23f409191d8bd92f7d7ab01862d78fe6,dgm_fraud_handles__23f409191d8bd92f7d7ab01862d78fe6
hmrcgovuk,UK HMRC,"London, UK",fraud;counterfeit;cryptocurrency_scam;aml;resale_hashtags;counterfeit_company,"london, uk",IndustryTerm,UK HMRC,,dgm_fraud_handles,aa0d635d14c53a1c0121ac0fad09c8f2,dgm_fraud_handles__aa0d635d14c53a1c0121ac0fad09c8f2
protectne,Protect The Good Life,"Lincoln, NE",fraud;counterfeit;cryptocurrency_scam;aml;resale_hashtags;counterfeit_company,"lincoln, ne",Legislator,Protect The Good Life,,dgm_fraud_handles,a9acfcac15876befa3c9a70c475eb836,dgm_fraud_handles__a9acfcac15876befa3c9a70c475eb836
ftc,US Federal Trade Commission,"Washington, DC",counterfeit;fraud;aml;cryptocurrency_scam;skimming;counterfeit_company;resale_hastags;resale_mentions,"washington, dc",DiplomaticFacilities,US Federal Trade Commission,,dgm_fraud_handles,469ea3f85915441737b26d089948b9da,dgm_fraud_handles__469ea3f85915441737b26d089948b9da
fcc,US Federal Communications Commission,"Washington, DC",counterfeit;fraud;aml;cryptocurrency_scam;skimming;counterfeit_company;resale_hastags;resale_mentions,"washington, dc",News,US Federal Communications Commission,,dgm_fraud_handles,37ef8502d5dcb0f98e16f5a6486b2014,dgm_fraud_handles__37ef8502d5dcb0f98e16f5a6486b2014
citizensadvice,Citizens Advice,"London, UK",counterfeit;fraud;aml;cryptocurrency_scam;skimming;counterfeit_company;resale_hastags;resale_mentions,"london, uk",ForeignMinister,Citizens Advice,,dgm_fraud_handles,bd3999c7d82eaaae27ff721a634d4e00,dgm_fraud_handles__bd3999c7d82eaaae27ff721a634d4e00
cfpb,US Consumer Financial Protection Bureau,"Washington, DC",counterfeit;fraud;aml;cryptocurrency_scam;skimming;counterfeit_company;resale_hastags;resale_mentions,"washington, dc",Legislator,US Consumer Financial Protection Bureau,,dgm_fraud_handles,27ef30288a0e51ed135455275c05f82e,dgm_fraud_handles__27ef30288a0e51ed135455275c05f82e
cci_compliance,Corporate Compliance Insights,"Washington, DC",counterfeit;fraud;aml;cryptocurrency_scam;skimming;counterfeit_company;resale_hastags;resale_mentions;scam,"washington, dc",CompanyKeyword,Corporate Compliance Insights,,dgm_fraud_handles,ea5f01cdfcfaa164fcc78aa4db986209,dgm_fraud_handles__ea5f01cdfcfaa164fcc78aa4db986209
whichuk,Which UK,"London, UK",counterfeit;fraud;aml;cryptocurrency_scam;skimming;counterfeit_company;resale_hastags;resale_mentions;scam,"london, uk",AAEntity,Which UK,,dgm_fraud_handles,69bb58f76baabcb68fbe3dcaaac96aab,dgm_fraud_handles__69bb58f76baabcb68fbe3dcaaac96aab
