keyword,caption_name,Caption Example,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
mephedrone,mephedrone,"""mephedrone""",Organization,mephedrone,,narco_dgm_mapping,8229098a227307c0e3914cfea1fed207,narco_dgm_mapping__8229098a227307c0e3914cfea1fed207
oxycontin,OxyContin,"""OxyContin""",AAEntity,OxyContin,,narco_dgm_mapping,e30c9e1de36ca9e6626c28d1c8cc5b8b,narco_dgm_mapping__e30c9e1de36ca9e6626c28d1c8cc5b8b
promethazine,promethazine,"""promethazine""",Shipping,promethazine,,narco_dgm_mapping,a13c4853956b1bbbd6993d8632e7a192,narco_dgm_mapping__a13c4853956b1bbbd6993d8632e7a192
alprazolam,Alprazolam,"""Alprazolam""",Media,Alprazolam,,narco_dgm_mapping,bd0f5514480041af7280197263a9af47,narco_dgm_mapping__bd0f5514480041af7280197263a9af47
bromazolam,Bromazolam,"""Bromazolam""",CompanyKeyword,Bromazolam,,narco_dgm_mapping,1fe737689aa2d8cc3b5e9fca6ea64bcc,narco_dgm_mapping__1fe737689aa2d8cc3b5e9fca6ea64bcc
oxy,Oxy,"""Oxy""",LegislativeCommittee,Oxy,,narco_dgm_mapping,bdf2393e6495b69e296e3d574f0204cb,narco_dgm_mapping__bdf2393e6495b69e296e3d574f0204cb
mdma,MDMA,"""MDMA""",Pipeline,MDMA,,narco_dgm_mapping,8cbedee7f47af0e2630c6b67011abf2f,narco_dgm_mapping__8cbedee7f47af0e2630c6b67011abf2f
lsd,LSD,"""LSD""",FTO,LSD,,narco_dgm_mapping,cccf51b3cb3320e8dd936bd1bb473a3e,narco_dgm_mapping__cccf51b3cb3320e8dd936bd1bb473a3e
molly,Molly,"""Molly""",Keyphrase,Molly,,narco_dgm_mapping,9dd5d0d80c6edf7f55faaa698ceff84a,narco_dgm_mapping__9dd5d0d80c6edf7f55faaa698ceff84a
etizolam,Etizolam,"""Etizolam""",FTO,Etizolam,,narco_dgm_mapping,1fa0de17e4ed7cc8b63cea447a4cff78,narco_dgm_mapping__1fa0de17e4ed7cc8b63cea447a4cff78
diclazepam,Diclazepam,"""Diclazepam""",Refinery,Diclazepam,,narco_dgm_mapping,55c890ac8c4f81c550e89dbb8bf98d12,narco_dgm_mapping__55c890ac8c4f81c550e89dbb8bf98d12
hexen,Hexen,"""Hexen""",Media,Hexen,,narco_dgm_mapping,f1b8f7044a309f98eb2dd7cfe3f53dfc,narco_dgm_mapping__f1b8f7044a309f98eb2dd7cfe3f53dfc
n-ethylhexedrone,N-Ethylhexedrone,"""N-Ethylhexedrone""",Exec,N-Ethylhexedrone,,narco_dgm_mapping,0646bc12cd4c04b8322496bd63bb5bd9,narco_dgm_mapping__0646bc12cd4c04b8322496bd63bb5bd9
#methylphenidate,methylphenidate,,Organization,methylphenidate,,narco_dgm_mapping,291caa562bec61361e7a40c3a29c9ad7,narco_dgm_mapping__291caa562bec61361e7a40c3a29c9ad7
#heroin_mixed_with_marijuana,heroin mixed with marijuana,,CompanyKeyword,heroin mixed with marijuana,,narco_dgm_mapping,c25979cee6804d99bcf4922ccd9caa17,narco_dgm_mapping__c25979cee6804d99bcf4922ccd9caa17
#heroin,heroin,,News,heroin,,narco_dgm_mapping,66c4e6fa3361e746620634353e6f15e3,narco_dgm_mapping__66c4e6fa3361e746620634353e6f15e3
#fentanyl,fentanyl,,Shipping,fentanyl,,narco_dgm_mapping,a2266bea0e0b9ec32d8dcd7ee86c12a5,narco_dgm_mapping__a2266bea0e0b9ec32d8dcd7ee86c12a5
#xanax,xanax,,Keyphrase,xanax,,narco_dgm_mapping,e47388012bbe22589ec4af96e2808e4e,narco_dgm_mapping__e47388012bbe22589ec4af96e2808e4e
#acetaminophen-hydrocodone,acetaminophen-hydrocodone,,Diplomat,acetaminophen-hydrocodone,,narco_dgm_mapping,4d7a13a8a396d265a350ccc04dfadb86,narco_dgm_mapping__4d7a13a8a396d265a350ccc04dfadb86
#acetyl_fentanyl,acetyl fentanyl,,space,acetyl fentanyl,,narco_dgm_mapping,b5d815dd7e2361af8ad3aecee06eca15,narco_dgm_mapping__b5d815dd7e2361af8ad3aecee06eca15
#cocaine,cocaine,,DiplomaticFacilities,cocaine,,narco_dgm_mapping,627b30a713d41bcf4a7bb4765c90bd9e,narco_dgm_mapping__627b30a713d41bcf4a7bb4765c90bd9e
#opium,opium,,space,opium,,narco_dgm_mapping,6afc16e4d47b14fa1a0834cdf66001c8,narco_dgm_mapping__6afc16e4d47b14fa1a0834cdf66001c8
#benzodiazepine,benzodiazepine,,Person,benzodiazepine,,narco_dgm_mapping,41c16e99779b1fa0c0873a314f61efc8,narco_dgm_mapping__41c16e99779b1fa0c0873a314f61efc8
#benzodiazepines,benzodiazepines,,Shipping,benzodiazepines,,narco_dgm_mapping,0d9dcacde917e68ad4765ea4060e9780,narco_dgm_mapping__0d9dcacde917e68ad4765ea4060e9780
#oxycodone,oxycodone,,Refinery,oxycodone,,narco_dgm_mapping,d5d554790c974e8783821dfd8e208252,narco_dgm_mapping__d5d554790c974e8783821dfd8e208252
#diazepam,diazepam,,Media,diazepam,,narco_dgm_mapping,60e35ca8363a9f9dff8868112a0a5369,narco_dgm_mapping__60e35ca8363a9f9dff8868112a0a5369
#hydrocodone,hydrocodone,,LegislativeCommittee,hydrocodone,,narco_dgm_mapping,22c8bb0ff4da51126ae2ba746ab01fdf,narco_dgm_mapping__22c8bb0ff4da51126ae2ba746ab01fdf
#morphine,morphine,,Refinery,morphine,,narco_dgm_mapping,ddf2805b5fff8b11b77adf537cd43c66,narco_dgm_mapping__ddf2805b5fff8b11b77adf537cd43c66
#mephedrone,mephedrone,,Consulates,mephedrone,,narco_dgm_mapping,8229098a227307c0e3914cfea1fed207,narco_dgm_mapping__8229098a227307c0e3914cfea1fed207
#oxycontin,OxyContin,,IndustryTerm,OxyContin,,narco_dgm_mapping,e30c9e1de36ca9e6626c28d1c8cc5b8b,narco_dgm_mapping__e30c9e1de36ca9e6626c28d1c8cc5b8b
#promethazine,promethazine,,Wells,promethazine,,narco_dgm_mapping,a13c4853956b1bbbd6993d8632e7a192,narco_dgm_mapping__a13c4853956b1bbbd6993d8632e7a192
#alprazolam,Alprazolam,,Diplomat,Alprazolam,,narco_dgm_mapping,bd0f5514480041af7280197263a9af47,narco_dgm_mapping__bd0f5514480041af7280197263a9af47
#bromazolam_,Bromazolam,,CompanyKeyword,Bromazolam,,narco_dgm_mapping,1fe737689aa2d8cc3b5e9fca6ea64bcc,narco_dgm_mapping__1fe737689aa2d8cc3b5e9fca6ea64bcc
#oxy,Oxy,,Organization,Oxy,,narco_dgm_mapping,bdf2393e6495b69e296e3d574f0204cb,narco_dgm_mapping__bdf2393e6495b69e296e3d574f0204cb
#mdma,MDMA,,Organization,MDMA,,narco_dgm_mapping,8cbedee7f47af0e2630c6b67011abf2f,narco_dgm_mapping__8cbedee7f47af0e2630c6b67011abf2f
#lsd,LSD,,ForeignMinister,LSD,,narco_dgm_mapping,cccf51b3cb3320e8dd936bd1bb473a3e,narco_dgm_mapping__cccf51b3cb3320e8dd936bd1bb473a3e
#molly,Molly,,Shipping,Molly,,narco_dgm_mapping,9dd5d0d80c6edf7f55faaa698ceff84a,narco_dgm_mapping__9dd5d0d80c6edf7f55faaa698ceff84a
#etizolam,Etizolam,,space,Etizolam,,narco_dgm_mapping,1fa0de17e4ed7cc8b63cea447a4cff78,narco_dgm_mapping__1fa0de17e4ed7cc8b63cea447a4cff78
#diclazepam,Diclazepam,,Exec,Diclazepam,,narco_dgm_mapping,55c890ac8c4f81c550e89dbb8bf98d12,narco_dgm_mapping__55c890ac8c4f81c550e89dbb8bf98d12
#hexen,Hexen,,IndustryTerm,Hexen,,narco_dgm_mapping,f1b8f7044a309f98eb2dd7cfe3f53dfc,narco_dgm_mapping__f1b8f7044a309f98eb2dd7cfe3f53dfc
#n-ethylhexedrone,N-Ethylhexedrone,,LegislativeCommittee,N-Ethylhexedrone,,narco_dgm_mapping,0646bc12cd4c04b8322496bd63bb5bd9,narco_dgm_mapping__0646bc12cd4c04b8322496bd63bb5bd9
ketamine,Ketamine,,Media,Ketamine,,narco_dgm_mapping,f9a41ad9c9dcc00116d699c3c2564410,narco_dgm_mapping__f9a41ad9c9dcc00116d699c3c2564410
crystal meth,crystal methamphetamine,,Media,crystal methamphetamine,,narco_dgm_mapping,91bc20a48c044cf421ba5736456685c4,narco_dgm_mapping__91bc20a48c044cf421ba5736456685c4
meth,crystal methamphetamine,,ForeignMinistry,crystal methamphetamine,,narco_dgm_mapping,91bc20a48c044cf421ba5736456685c4,narco_dgm_mapping__91bc20a48c044cf421ba5736456685c4
acetaminophen,acetaminophen,,Diplomat,acetaminophen,,narco_dgm_mapping,9321661b46400c27651a09266462217e,narco_dgm_mapping__9321661b46400c27651a09266462217e
ritaline,Methylphenidate,,Diplomat,Methylphenidate,,narco_dgm_mapping,c6cafaae4e1ef6855a52c91bff7f373b,narco_dgm_mapping__c6cafaae4e1ef6855a52c91bff7f373b
blow,cocaine,,LegislativeCommittee,cocaine,,narco_dgm_mapping,627b30a713d41bcf4a7bb4765c90bd9e,narco_dgm_mapping__627b30a713d41bcf4a7bb4765c90bd9e
oxycodone,Oxycodone,,ForeignMinistry,Oxycodone,,narco_dgm_mapping,35d9657bdde323a7585d9bf299a68e5a,narco_dgm_mapping__35d9657bdde323a7585d9bf299a68e5a
