keyword,keys,location,lat,lon,ranking,caption_text,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
northwest of novaya zemlya islands,northwest of novaya zemlya islands,"Murmansk, Murmansk Oblast, Russia",68.96188888,33.05829979,1,"to northwest of Novaya Zemlya Islands, off Russia",CompanyKeyword,"to northwest of Novaya Zemlya Islands, off Russia",,radio_nav_warnings_locations_russia_mapping,05b959b99702cb3ca11d223cfd9647d5,radio_nav_warnings_locations_russia_mapping__05b959b99702cb3ca11d223cfd9647d5
pomorsky strait,pomorsky strait,"Murmansk, Murmansk Oblast, Russia",68.96188888,33.05829979,1,"in Pomorsky Strait, off Russia",Wells,"in Pomorsky Strait, off Russia",,radio_nav_warnings_locations_russia_mapping,1c6aad9636d9227e9da5959fb1eeecd9,radio_nav_warnings_locations_russia_mapping__1c6aad9636d9227e9da5959fb1eeecd9
southeast barents sea,southeast barents sea,"Murmansk, Murmansk Oblast, Russia",68.96188888,33.05829979,1,"in southeast Barents Sea, off Russia",IndustryTerm,"in southeast Barents Sea, off Russia",,radio_nav_warnings_locations_russia_mapping,48a3aaf7253c3adccb672bc032f100a9,radio_nav_warnings_locations_russia_mapping__48a3aaf7253c3adccb672bc032f100a9
varanger fjord bay,varanger fjord bay,"Kirkenes, Norway",69.72671424,30.04244111,1,"in Varangerfjorden, Norway",Refinery,"in Varangerfjorden, Norway",,radio_nav_warnings_locations_russia_mapping,2fdc43fb104b27aa0c6ea5aef95b4f42,radio_nav_warnings_locations_russia_mapping__2fdc43fb104b27aa0c6ea5aef95b4f42
varanger fjorden,varanger fjorden,"Kirkenes, Norway",69.72671424,30.04244111,1,"in Varangerfjorden, Norway",Pipeline,"in Varangerfjorden, Norway",,radio_nav_warnings_locations_russia_mapping,2fdc43fb104b27aa0c6ea5aef95b4f42,radio_nav_warnings_locations_russia_mapping__2fdc43fb104b27aa0c6ea5aef95b4f42
varanger-fiord,varanger-fiord,"Kirkenes, Norway",69.72671424,30.04244111,1,"in Varangerfjorden, Norway",Diplomat,"in Varangerfjorden, Norway",,radio_nav_warnings_locations_russia_mapping,2fdc43fb104b27aa0c6ea5aef95b4f42,radio_nav_warnings_locations_russia_mapping__2fdc43fb104b27aa0c6ea5aef95b4f42
west of novaya,west of novaya,"Murmansk, Murmansk Oblast, Russia",68.96188888,33.05829979,2,"to west of Novaya Zemlya Islands, off Russia",Shipping,"to west of Novaya Zemlya Islands, off Russia",,radio_nav_warnings_locations_russia_mapping,869779f5863c2adc56a22814c7a008a0,radio_nav_warnings_locations_russia_mapping__869779f5863c2adc56a22814c7a008a0
west of novaya zemlya islands,west of novaya zemlya islands,"Murmansk, Murmansk Oblast, Russia",68.96188888,33.05829979,1,"to west of Novaya Zemlya Islands, off Russia",ForeignMinistry,"to west of Novaya Zemlya Islands, off Russia",,radio_nav_warnings_locations_russia_mapping,869779f5863c2adc56a22814c7a008a0,radio_nav_warnings_locations_russia_mapping__869779f5863c2adc56a22814c7a008a0
west part of zemlya frantsa iosifa,west part of zemlya frantsa iosifa,"Murmansk, Murmansk Oblast, Russia",68.96188888,33.05829979,1,"to west of Zemlya Frantsa-Iosifa, Russia",Media,"to west of Zemlya Frantsa-Iosifa, Russia",,radio_nav_warnings_locations_russia_mapping,30d909ea74a5b2ddf75da7ae9af031c4,radio_nav_warnings_locations_russia_mapping__30d909ea74a5b2ddf75da7ae9af031c4
zemlya frantsa-iosifa islands,zemlya frantsa-iosifa islands,"Murmansk, Murmansk Oblast, Russia",68.96188888,33.05829979,2,"off Zemlya Frantsa-Iosifa, Russia",Diplomat,"off Zemlya Frantsa-Iosifa, Russia",,radio_nav_warnings_locations_russia_mapping,0e571dc0b6453744653784a409173e7a,radio_nav_warnings_locations_russia_mapping__0e571dc0b6453744653784a409173e7a
bering strait,bering strait,"Anadyr, Chukotka Autonomous Okrug, Russia",64.70684224,177.4565316,2,"in Bering Strait, off Russia",Shipping,"in Bering Strait, off Russia",,radio_nav_warnings_locations_russia_mapping,47aa4efa631cf816f884b6d150350a90,radio_nav_warnings_locations_russia_mapping__47aa4efa631cf816f884b6d150350a90
chukchi sea,chukchi sea,"Uelen,  Chukotka Autonomous Okrug, Russia",66.16071734,-169.8203015,1,"in Chukchi Sea, off Russia",ForeignMinistry,"in Chukchi Sea, off Russia",,radio_nav_warnings_locations_russia_mapping,24021481b5e5c7e8c8beb2e38f2e5127,radio_nav_warnings_locations_russia_mapping__24021481b5e5c7e8c8beb2e38f2e5127
kamchatka east coast,kamchatka east coast,"Anadyr, Chukotka Autonomous Okrug, Russia",64.70684224,177.4565316,2,"to east of Kamchatka Peninsula, Russia",Wells,"to east of Kamchatka Peninsula, Russia",,radio_nav_warnings_locations_russia_mapping,1faf2d1a04f88941d1f7bba78d929c5b,radio_nav_warnings_locations_russia_mapping__1faf2d1a04f88941d1f7bba78d929c5b
kamchatka south east coast,kamchatka south east coast,"Anadyr, Chukotka Autonomous Okrug, Russia",64.70684224,177.4565316,1,"to south east of Kamchatka Peninsula, Russia",CompanyKeyword,"to south east of Kamchatka Peninsula, Russia",,radio_nav_warnings_locations_russia_mapping,07b737e41cf00a928c21499e11170b72,radio_nav_warnings_locations_russia_mapping__07b737e41cf00a928c21499e11170b72
kuril`skiye ostrova,kuril`skiye ostrova,"Magadan, Magadan Oblast, Russia",59.5460236,150.7917004,1,"off Kuril Islands, Russia",FTO,"off Kuril Islands, Russia",,radio_nav_warnings_locations_russia_mapping,8ffc507a47c07c7b8ecedb48f1975890,radio_nav_warnings_locations_russia_mapping__8ffc507a47c07c7b8ecedb48f1975890
north pacific,north pacific,"Honololu, HI",21.32135235,-157.8839111,3,in North Pacific,space,in North Pacific,,radio_nav_warnings_locations_russia_mapping,3db8565b3a9bb67054e713bd71b6cecb,radio_nav_warnings_locations_russia_mapping__3db8565b3a9bb67054e713bd71b6cecb
north west pacific,north west pacific,"Hachinohe, Japan",40.50707049,141.4792306,2,in northwest Pacific,Media,in northwest Pacific,,radio_nav_warnings_locations_russia_mapping,2f170b7dab27d2d3232b29db60451f4c,radio_nav_warnings_locations_russia_mapping__2f170b7dab27d2d3232b29db60451f4c
proliv laperuza,proliv laperuza,"Tomakomai, Japan",42.64638657,141.5598831,1,"in La Pérouse Strait, off Japan",News,"in La Pérouse Strait, off Japan",,radio_nav_warnings_locations_russia_mapping,ed3260b4b1285bb0ab82ef91cdb39a13,radio_nav_warnings_locations_russia_mapping__ed3260b4b1285bb0ab82ef91cdb39a13
sea of japan,sea of japan,"Vladivostok, Primorsky Krai, Russia",43.10837907,131.9369705,2,in Sea of Japan,Media,in Sea of Japan,,radio_nav_warnings_locations_russia_mapping,3ff6489d70fcd9516092be68c022a51b,radio_nav_warnings_locations_russia_mapping__3ff6489d70fcd9516092be68c022a51b
sea of okhotsk,sea of okhotsk,"Magadan, Magadan Oblast, Russia",59.5460236,150.7917004,1,"in Sea of Okhotsk, off Russia",Organization,"in Sea of Okhotsk, off Russia",,radio_nav_warnings_locations_russia_mapping,9445493860084e3bcda10395f26b8c83,radio_nav_warnings_locations_russia_mapping__9445493860084e3bcda10395f26b8c83
tatarskiy proliv,tatarskiy proliv,"Vladivostok, Primorsky Krai, Russia",43.10837907,131.9369705,2,"in Tatarskiy Proliv, off Russia",Refinery,"in Tatarskiy Proliv, off Russia",,radio_nav_warnings_locations_russia_mapping,7cc822efa41f294ce773853d42626ce4,radio_nav_warnings_locations_russia_mapping__7cc822efa41f294ce773853d42626ce4
proliv laperuza,proliv laperuza,"Vladivostok, Primorsky Krai, Russia",43.10837907,131.9369705,1,"in Proliv Laperuza, off Russia",Consulates,"in Proliv Laperuza, off Russia",,radio_nav_warnings_locations_russia_mapping,9cc9405289a84cfb3fa6426810ba14f8,radio_nav_warnings_locations_russia_mapping__9cc9405289a84cfb3fa6426810ba14f8
zaliv nevel'skogo,zaliv nevel'skogo,"Vladivostok, Primorsky Krai, Russia",43.10837907,131.9369705,1,"in Zaliv Nevel'skogo, off Russia",space,"in Zaliv Nevel'skogo, off Russia",,radio_nav_warnings_locations_russia_mapping,f67d0b7eb8d5c53d567506fb743c5848,radio_nav_warnings_locations_russia_mapping__f67d0b7eb8d5c53d567506fb743c5848
zaliv aniva,zaliv aniva,"Tomakomai, Japan",42.64638657,141.5598831,1,"in Zaliv Aniva, off Russia",Person,"in Zaliv Aniva, off Russia",,radio_nav_warnings_locations_russia_mapping,a300c300f2286700922fc85c334eb2c7,radio_nav_warnings_locations_russia_mapping__a300c300f2286700922fc85c334eb2c7
zaliv petra velikogo,zaliv petra velikogo,"Vladivostok, Primorsky Krai, Russia",43.10837907,131.9369705,1,"in Zaliv Petra Velikogo, off Russia",Pipeline,"in Zaliv Petra Velikogo, off Russia",,radio_nav_warnings_locations_russia_mapping,b915e1697a845920e3eb2ac55f7e47e9,radio_nav_warnings_locations_russia_mapping__b915e1697a845920e3eb2ac55f7e47e9
zaliv shelikhova,zaliv shelikhova,"Magadan, Magadan Oblast, Russia",59.5460236,150.7917004,1,"in Zaliv Shelikhova, off Russia",CompanyKeyword,"in Zaliv Shelikhova, off Russia",,radio_nav_warnings_locations_russia_mapping,2f3e929c7f7442789070b114d3a92219,radio_nav_warnings_locations_russia_mapping__2f3e929c7f7442789070b114d3a92219
norwegian sea,norwegian sea,"Narvik, Norway",68.43726204,17.40928744,2,in Norwegian Sea,DiplomaticFacilities,in Norwegian Sea,,radio_nav_warnings_locations_russia_mapping,b9cd5780fa77f69eae51cee4e9014cac,radio_nav_warnings_locations_russia_mapping__b9cd5780fa77f69eae51cee4e9014cac
