chinadc_identifier,dccaption_name,chinatagging_location,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
浦东新区,"Pudong district of Shanghai, China",pudongshanghai,AAEntity,"Pudong district of Shanghai, China",,dgm_chinadclocations,4a8497f651356ca336a80477e62329f2,dgm_chinadclocations__4a8497f651356ca336a80477e62329f2
金山区,"Jinshan district of Shanghai, China",jinshanshanghai,Refinery,"Jinshan district of Shanghai, China",,dgm_chinadclocations,12b82bd9e85a8e0d8d27f640e11923ca,dgm_chinadclocations__12b82bd9e85a8e0d8d27f640e11923ca
松江区,"Songjiang district of Shanghai, China",songjiangshanghai,AAEntity,"Songjiang district of Shanghai, China",,dgm_chinadclocations,9d683a041972e196cbfa98a1a04a088c,dgm_chinadclocations__9d683a041972e196cbfa98a1a04a088c
青浦区,"Qingpu district of Shanghai, China",qingpushanghai,News,"Qingpu district of Shanghai, China",,dgm_chinadclocations,d46b23f9c18f45c3d3b5f12c07ba70b4,dgm_chinadclocations__d46b23f9c18f45c3d3b5f12c07ba70b4
奉贤区,"Fengxian district of Shanghai, China",fengxianshanghai,Media,"Fengxian district of Shanghai, China",,dgm_chinadclocations,bc99ce92212b3d3c031a1b4562dbdabb,dgm_chinadclocations__bc99ce92212b3d3c031a1b4562dbdabb
崇明区,"Chongming district of Shanghai, China",chongmingshanghai,Diplomat,"Chongming district of Shanghai, China",,dgm_chinadclocations,e2e846afffe4b53a974a8ffa1f80dd1e,dgm_chinadclocations__e2e846afffe4b53a974a8ffa1f80dd1e
临翔区,"Linxiang district of Lincang, Yunnan, China",linxianglincang,Diplomat,"Linxiang district of Lincang, Yunnan, China",,dgm_chinadclocations,ca3496944b1ef3ce6265207f55745a9c,dgm_chinadclocations__ca3496944b1ef3ce6265207f55745a9c
古城区,"Gucheng district of Lijiang, Yunnan, China",guchenglijiang,LegislativeCommittee,"Gucheng district of Lijiang, Yunnan, China",,dgm_chinadclocations,befc000952f44bebfae9abc234fcd71a,dgm_chinadclocations__befc000952f44bebfae9abc234fcd71a
隆阳区,"Longyang district of Baoshan, Yunnan, China",longyangbaoshan,LegislativeCommittee,"Longyang district of Baoshan, Yunnan, China",,dgm_chinadclocations,deb27c3e8b6eb8ef5c4fcacad65b91d2,dgm_chinadclocations__deb27c3e8b6eb8ef5c4fcacad65b91d2
五华区,"Wuhua district of Kunming, Yunnan, China",wuhuakunming,Wells,"Wuhua district of Kunming, Yunnan, China",,dgm_chinadclocations,63bdcae42c72e769d84ae132210ca64f,dgm_chinadclocations__63bdcae42c72e769d84ae132210ca64f
盘龙区,"Panlong district of Kunming, Yunnan, China",panlongkunming,ForeignMinistry,"Panlong district of Kunming, Yunnan, China",,dgm_chinadclocations,3db5b03646193e92be7ec269f83af3f9,dgm_chinadclocations__3db5b03646193e92be7ec269f83af3f9
官渡区,"Guandu district of Kunming, Yunnan, China",guandukunming,Organization,"Guandu district of Kunming, Yunnan, China",,dgm_chinadclocations,8a7978dd46f80eb582eecb031d6a1b0e,dgm_chinadclocations__8a7978dd46f80eb582eecb031d6a1b0e
西山区,"Xishan district of Kunming, Yunnan, China",xishankunming,Organization,"Xishan district of Kunming, Yunnan, China",,dgm_chinadclocations,50043919635c83451e44be239bb0326e,dgm_chinadclocations__50043919635c83451e44be239bb0326e
呈贡区,"Chenggong district of Kunming, Yunnan, China",chenggongkunming,space,"Chenggong district of Kunming, Yunnan, China",,dgm_chinadclocations,21557bae69022c0b4900bb51c897a802,dgm_chinadclocations__21557bae69022c0b4900bb51c897a802
东川区,"Dongchuan district of Kunming, Yunnan, China",dongchuankunming,Diplomat,"Dongchuan district of Kunming, Yunnan, China",,dgm_chinadclocations,f02458c3b3c227b897323a109695869d,dgm_chinadclocations__f02458c3b3c227b897323a109695869d
晋宁区,"Jinning district of Kunming, Yunnan, China",jinningkunming,Legislator,"Jinning district of Kunming, Yunnan, China",,dgm_chinadclocations,28f3c7c42ed98ba0352bbb3d28565a4f,dgm_chinadclocations__28f3c7c42ed98ba0352bbb3d28565a4f
昭阳区,"Zhaoyang district of Zhaotong, Yunnan, China",zhaoyangzhaotong,Legislator,"Zhaoyang district of Zhaotong, Yunnan, China",,dgm_chinadclocations,b6f7ac173eb526d6f8c4ecce9f69f525,dgm_chinadclocations__b6f7ac173eb526d6f8c4ecce9f69f525
思茅区,"Simao district of Pu'er, Yunnan, China",simaopuer,Wells,"Simao district of Pu'er, Yunnan, China",,dgm_chinadclocations,a110bd40fb873b297dd2811a162ba76f,dgm_chinadclocations__a110bd40fb873b297dd2811a162ba76f
麒麟区,"Qilin district of Qujing, Yunnan, China",qilinqujing,Pipeline,"Qilin district of Qujing, Yunnan, China",,dgm_chinadclocations,a8ec8117abc035bc7031273664365a7b,dgm_chinadclocations__a8ec8117abc035bc7031273664365a7b
沾益区,"Zhanyi district of Qujing, Yunnan, China",zhanyiqujing,CompanyKeyword,"Zhanyi district of Qujing, Yunnan, China",,dgm_chinadclocations,e91c211a11e3835224a2cd32a52557be,dgm_chinadclocations__e91c211a11e3835224a2cd32a52557be
马龙区,"Malong district of Qujing, Yunnan, China",malongqujing,Refinery,"Malong district of Qujing, Yunnan, China",,dgm_chinadclocations,3a66ec4ccfbcc285afa2239971b7ec95,dgm_chinadclocations__3a66ec4ccfbcc285afa2239971b7ec95
红塔区,"Hongta district of Yuxi, Yunnan, China",hongtayuxi,Legislator,"Hongta district of Yuxi, Yunnan, China",,dgm_chinadclocations,d8f6397d36cb2ecd34911e44bee2b302,dgm_chinadclocations__d8f6397d36cb2ecd34911e44bee2b302
江川区,"Jiangchuan district of Yuxi, Yunnan, China",jiangchuanyuxi,LegislativeCommittee,"Jiangchuan district of Yuxi, Yunnan, China",,dgm_chinadclocations,02ce4ca3d05a059930d7cdb33932dc0a,dgm_chinadclocations__02ce4ca3d05a059930d7cdb33932dc0a
集宁区,"Jining district of Ulanqab, Inner Mongolia, China",jiningulanqab,space,"Jining district of Ulanqab, Inner Mongolia, China",,dgm_chinadclocations,1162da5a4c0d2b6fd65d99945fbcf66d,dgm_chinadclocations__1162da5a4c0d2b6fd65d99945fbcf66d
海勃湾区,"Haibowan district of Baotou, Inner Mongolia, China",haibowanbaotou,Person,"Haibowan district of Baotou, Inner Mongolia, China",,dgm_chinadclocations,125137e93f07761203111e73bce09930,dgm_chinadclocations__125137e93f07761203111e73bce09930
海南区,"Hainan district of Wuhai, Inner Mongolia, China",hainanwuhai,Organization,"Hainan district of Wuhai, Inner Mongolia, China",,dgm_chinadclocations,5c62537c32fc895cd99447637dfcc0c5,dgm_chinadclocations__5c62537c32fc895cd99447637dfcc0c5
乌达区,"Wuda district of Wuhai, Inner Mongolia, China",wudawuhai,Keyphrase,"Wuda district of Wuhai, Inner Mongolia, China",,dgm_chinadclocations,dbf0fa04235c893b7466f3a7b7eaaa93,dgm_chinadclocations__dbf0fa04235c893b7466f3a7b7eaaa93
东河区,"Donghe district of Baotou, Inner Mongolia, China",donghebaotou,ForeignMinistry,"Donghe district of Baotou, Inner Mongolia, China",,dgm_chinadclocations,151f4fb636e43598c6ceb88f457c42b7,dgm_chinadclocations__151f4fb636e43598c6ceb88f457c42b7
昆都仑区,"Hondlon district of Baotou, Inner Mongolia, China",hondlonbaotou,IndustryTerm,"Hondlon district of Baotou, Inner Mongolia, China",,dgm_chinadclocations,2d53645bb7608ee0b3765abc48d739ca,dgm_chinadclocations__2d53645bb7608ee0b3765abc48d739ca
青山区,"Qingshan district of Baotou, Inner Mongolia, China",qingshanbaotou,Wells,"Qingshan district of Baotou, Inner Mongolia, China",,dgm_chinadclocations,77e94fe4994d9db60c98197fdc5173e0,dgm_chinadclocations__77e94fe4994d9db60c98197fdc5173e0
石拐区,"Shiguai district of Baotou, Inner Mongolia, China",shiguaibaotou,FTO,"Shiguai district of Baotou, Inner Mongolia, China",,dgm_chinadclocations,877cda36f04144a5c4d089e8010c2900,dgm_chinadclocations__877cda36f04144a5c4d089e8010c2900
白云鄂博矿区,"Bayan Obo district of Baotou, Inner Mongolia, China",bayanobobaotou,Media,"Bayan Obo district of Baotou, Inner Mongolia, China",,dgm_chinadclocations,7c87f0923853dca5d98825e51ecff784,dgm_chinadclocations__7c87f0923853dca5d98825e51ecff784
九原区,"Jiuyuan district of Baotou, Inner Mongolia, China",jiuyuanbaotou,space,"Jiuyuan district of Baotou, Inner Mongolia, China",,dgm_chinadclocations,dec894e5210b33a5abe2005e7f423639,dgm_chinadclocations__dec894e5210b33a5abe2005e7f423639
滨河新,"Binhe New district of Baotou, Inner Mongolia, China",binhenewbaotou,Exec,"Binhe New district of Baotou, Inner Mongolia, China",,dgm_chinadclocations,2c9bee56134d0b7d3895c07e8db73dee,dgm_chinadclocations__2c9bee56134d0b7d3895c07e8db73dee
海拉尔区,"Hailar district of Hulunbuir, Inner Mongolia, China",hailarhulunbuir,AAEntity,"Hailar district of Hulunbuir, Inner Mongolia, China",,dgm_chinadclocations,1dfc1df61d85aacf72b2391806cf8825,dgm_chinadclocations__1dfc1df61d85aacf72b2391806cf8825
扎赉诺尔区,"Jalainur district of Hulunbuir, Inner Mongolia, China",jalainurhulunbuir,Consulates,"Jalainur district of Hulunbuir, Inner Mongolia, China",,dgm_chinadclocations,0a4769433db57e10bbc82e3aa3f671a3,dgm_chinadclocations__0a4769433db57e10bbc82e3aa3f671a3
新城区,"Xincheng district of Hohhot, Inner Mongolia, China",xinchenghohhot,Consulates,"Xincheng district of Hohhot, Inner Mongolia, China",,dgm_chinadclocations,4ca92d4a234498fbbeec63bd5115522f,dgm_chinadclocations__4ca92d4a234498fbbeec63bd5115522f
回民区,"Huimin district of Hohhot, Inner Mongolia, China",huiminhohhot,IndustryTerm,"Huimin district of Hohhot, Inner Mongolia, China",,dgm_chinadclocations,9355ee033bdc4f7c3f0c87e024fa4c91,dgm_chinadclocations__9355ee033bdc4f7c3f0c87e024fa4c91
玉泉区,"Yuquan district of Hohhot, Inner Mongolia, China",yuquanhohhot,ForeignMinister,"Yuquan district of Hohhot, Inner Mongolia, China",,dgm_chinadclocations,1823738c0e87d46293779944c91a9c10,dgm_chinadclocations__1823738c0e87d46293779944c91a9c10
赛罕区,"Saihan district of Hohhot, Inner Mongolia, China",saihanhohhot,space,"Saihan district of Hohhot, Inner Mongolia, China",,dgm_chinadclocations,ead627fbe69b7d2b9f1abe791c777f1f,dgm_chinadclocations__ead627fbe69b7d2b9f1abe791c777f1f
临河区,"Linhe district of Bayannur, Inner Mongolia, China",linhebayannur,space,"Linhe district of Bayannur, Inner Mongolia, China",,dgm_chinadclocations,fd00d51ee9b518cf4a383afed7ce11bc,dgm_chinadclocations__fd00d51ee9b518cf4a383afed7ce11bc
红山区,"Hongshan district of Wuhai, Inner Mongolia, China",hongshanwuhai,space,"Hongshan district of Wuhai, Inner Mongolia, China",,dgm_chinadclocations,d71662cbd7b4b898de46059c038c786d,dgm_chinadclocations__d71662cbd7b4b898de46059c038c786d
元宝山区,"Yuanbaoshan district of Chifeng, Inner Mongolia, China",yuanbaoshanchifeng,Legislator,"Yuanbaoshan district of Chifeng, Inner Mongolia, China",,dgm_chinadclocations,a7575a57a7fa1b2aaefc5a359091af64,dgm_chinadclocations__a7575a57a7fa1b2aaefc5a359091af64
松山区,"Songshan district of Chifeng, Inner Mongolia, China",songshanchifeng,space,"Songshan district of Chifeng, Inner Mongolia, China",,dgm_chinadclocations,4ac9ac35cd8621f319b9ec033dbc48d0,dgm_chinadclocations__4ac9ac35cd8621f319b9ec033dbc48d0
科尔沁区,"Horqin district of Chifeng, Inner Mongolia, China",horqinchifeng,Exec,"Horqin district of Chifeng, Inner Mongolia, China",,dgm_chinadclocations,2a60ed8c6ba79de89002db1553373325,dgm_chinadclocations__2a60ed8c6ba79de89002db1553373325
东胜区,"Dongsheng district of Tongliao, Inner Mongolia, China",dongshengtongliao,Consulates,"Dongsheng district of Tongliao, Inner Mongolia, China",,dgm_chinadclocations,bd4c2943c1a144a1ea6e0ed9b547c47f,dgm_chinadclocations__bd4c2943c1a144a1ea6e0ed9b547c47f
康巴什区,"Kangbashi district of Ordos, Inner Mongolia, China",kangbashiordos,DiplomaticFacilities,"Kangbashi district of Ordos, Inner Mongolia, China",,dgm_chinadclocations,225c19e624420cb2bf9114441ece69cd,dgm_chinadclocations__225c19e624420cb2bf9114441ece69cd
东城区,"Dongcheng district of Beijing, China",dongchengbeijing,Diplomat,"Dongcheng district of Beijing, China",,dgm_chinadclocations,f33d3c027c6307e6e2c6cd695799e825,dgm_chinadclocations__f33d3c027c6307e6e2c6cd695799e825
西城区,"Xicheng district of Beijing, China",xichengbeijing,Consulates,"Xicheng district of Beijing, China",,dgm_chinadclocations,2347d9f6bd87ae0561d29303a28013f5,dgm_chinadclocations__2347d9f6bd87ae0561d29303a28013f5
朝阳区,"Chaoyang district of Beijing, China",chaoyangbeijing,Organization,"Chaoyang district of Beijing, China",,dgm_chinadclocations,52aec1b489bbea7c95ffee7666edcc5f,dgm_chinadclocations__52aec1b489bbea7c95ffee7666edcc5f
丰台区,"Fengtai district of Beijing, China",fengtaibeijing,LegislativeCommittee,"Fengtai district of Beijing, China",,dgm_chinadclocations,b16ebb4df4e93d9406df10d8e8954c38,dgm_chinadclocations__b16ebb4df4e93d9406df10d8e8954c38
石景山区,"Shijingshan district of Beijing, China",shijingshanbeijing,Wells,"Shijingshan district of Beijing, China",,dgm_chinadclocations,d76159d1d20656980a00ad8f5b41f5b5,dgm_chinadclocations__d76159d1d20656980a00ad8f5b41f5b5
海淀区,"Haidian district of Beijing, China",haidianbeijing,space,"Haidian district of Beijing, China",,dgm_chinadclocations,22fc7a7e172b76b0926e30494476243d,dgm_chinadclocations__22fc7a7e172b76b0926e30494476243d
门头沟区,"Mentougou district of Beijing, China",mentougoubeijing,Refinery,"Mentougou district of Beijing, China",,dgm_chinadclocations,2c73ca85dc1a897b6cbc9d84ab4843fc,dgm_chinadclocations__2c73ca85dc1a897b6cbc9d84ab4843fc
房山区,"Fangshan district of Beijing, China",fangshanbeijing,Keyphrase,"Fangshan district of Beijing, China",,dgm_chinadclocations,5fc451e1a251536a514e2d760ca483ba,dgm_chinadclocations__5fc451e1a251536a514e2d760ca483ba
通州区,"Tongzhou district of Beijing, China",tongzhoubeijing,Media,"Tongzhou district of Beijing, China",,dgm_chinadclocations,03ff672951e8640e69bb3e8738171f2a,dgm_chinadclocations__03ff672951e8640e69bb3e8738171f2a
顺义区,"Shunyi district of Beijing, China",shunyibeijing,Keyphrase,"Shunyi district of Beijing, China",,dgm_chinadclocations,f7ba535144989bf02e54e95dc4a6587f,dgm_chinadclocations__f7ba535144989bf02e54e95dc4a6587f
昌平区,"Changping district of Beijing, China",changpingbeijing,CompanyKeyword,"Changping district of Beijing, China",,dgm_chinadclocations,cb7cb3197933305eb39ac607c0f6e33f,dgm_chinadclocations__cb7cb3197933305eb39ac607c0f6e33f
大兴区,"Daxing district of Beijing, China",daxingbeijing,DiplomaticFacilities,"Daxing district of Beijing, China",,dgm_chinadclocations,b994e1352231a598971eadba0fb73c6a,dgm_chinadclocations__b994e1352231a598971eadba0fb73c6a
怀柔区,"Huairou district of Beijing, China",huairoubeijing,CompanyKeyword,"Huairou district of Beijing, China",,dgm_chinadclocations,c2ee01f22043a007d70831ce012c6aa4,dgm_chinadclocations__c2ee01f22043a007d70831ce012c6aa4
平谷区,"Pinggu district of Beijing, China",pinggubeijing,DiplomaticFacilities,"Pinggu district of Beijing, China",,dgm_chinadclocations,c378b7b708a9c8626456729c6232f67b,dgm_chinadclocations__c378b7b708a9c8626456729c6232f67b
密云区,"Miyun district of Beijing, China",miyunbeijing,Consulates,"Miyun district of Beijing, China",,dgm_chinadclocations,dfb2af9027902dc234b6d775ed41f8a4,dgm_chinadclocations__dfb2af9027902dc234b6d775ed41f8a4
延庆区,"Yanqing district of Beijing, China",yanqingbeijing,IndustryTerm,"Yanqing district of Beijing, China",,dgm_chinadclocations,43e75d9d5adec0484cbe867832249bb9,dgm_chinadclocations__43e75d9d5adec0484cbe867832249bb9
船营区,"Chuanying district of Jilin City, Jilin, China",chuanyingjilin,Legislator,"Chuanying district of Jilin City, Jilin, China",,dgm_chinadclocations,baf8b7a8cf5e54749569395a25f0befb,dgm_chinadclocations__baf8b7a8cf5e54749569395a25f0befb
昌邑区,"Changyi district of Jilin City, Jilin, China",changyijilin,News,"Changyi district of Jilin City, Jilin, China",,dgm_chinadclocations,33e368e84dbcccc5e3675ce53a441bc8,dgm_chinadclocations__33e368e84dbcccc5e3675ce53a441bc8
龙潭区,"Longtan district of Jilin City, Jilin, China",longtanjilin,Organization,"Longtan district of Jilin City, Jilin, China",,dgm_chinadclocations,06a11e11cceb55f4cb4703b633c61c59,dgm_chinadclocations__06a11e11cceb55f4cb4703b633c61c59
丰满区,"Fengman district of Jilin City, Jilin, China",fengmanjilin,space,"Fengman district of Jilin City, Jilin, China",,dgm_chinadclocations,840b8abcff0f64cd20dfca4f920d247e,dgm_chinadclocations__840b8abcff0f64cd20dfca4f920d247e
铁西区,"Tiexi district of Siping, Jilin, China",tiexisiping,Consulates,"Tiexi district of Siping, Jilin, China",,dgm_chinadclocations,07b3b9318fa5042ce6c665fb4fa2c7e1,dgm_chinadclocations__07b3b9318fa5042ce6c665fb4fa2c7e1
铁东区,"Tiedong district of Siping, Jilin, China",tiedongsiping,AAEntity,"Tiedong district of Siping, Jilin, China",,dgm_chinadclocations,7d9b866bed4d18c503c1baf9d623baff,dgm_chinadclocations__7d9b866bed4d18c503c1baf9d623baff
宁江区,"Ningjiang district of Songyuan, Jilin, China",ningjiangsongyuan,IndustryTerm,"Ningjiang district of Songyuan, Jilin, China",,dgm_chinadclocations,3e8247409d940716e96e2f19e8f51c49,dgm_chinadclocations__3e8247409d940716e96e2f19e8f51c49
洮北区,"Taobei district of Baicheng, Jilin, China",taobeibaicheng,Keyphrase,"Taobei district of Baicheng, Jilin, China",,dgm_chinadclocations,d259b5f33c9b90c5fdd2b6ba63400703,dgm_chinadclocations__d259b5f33c9b90c5fdd2b6ba63400703
浑江区,"Hunjiang district of Baishan, Jilin, China",hunjiangbaishan,Keyphrase,"Hunjiang district of Baishan, Jilin, China",,dgm_chinadclocations,57d62ee2d41f93d3fe3d105d708b5312,dgm_chinadclocations__57d62ee2d41f93d3fe3d105d708b5312
江源区,"Jiangyuan district of Baishan, Jilin, China",jiangyuanbaishan,FTO,"Jiangyuan district of Baishan, Jilin, China",,dgm_chinadclocations,6ff9acfa4d6ecb6b37671aedb6a63f50,dgm_chinadclocations__6ff9acfa4d6ecb6b37671aedb6a63f50
龙山区,"Longshan district of Liaoyuan, Jilin, China",longshanliaoyuan,DiplomaticFacilities,"Longshan district of Liaoyuan, Jilin, China",,dgm_chinadclocations,f7fe9487c5f1c1235ac4fc67bd07dbc6,dgm_chinadclocations__f7fe9487c5f1c1235ac4fc67bd07dbc6
西安区,"Xi'an district of Liaoyuan, Jilin, China",xianliaoyuan,Keyphrase,"Xi'an district of Liaoyuan, Jilin, China",,dgm_chinadclocations,abfdc4e1272c3592ca52ba725c0a816b,dgm_chinadclocations__abfdc4e1272c3592ca52ba725c0a816b
东昌区,"Dongchang district of Tonghua, Jilin, China",dongchangtonghua,LegislativeCommittee,"Dongchang district of Tonghua, Jilin, China",,dgm_chinadclocations,9deebaf8efab18ed87d3ac4679067649,dgm_chinadclocations__9deebaf8efab18ed87d3ac4679067649
二道江区,"Erdaojiang district of Tonghua, Jilin, China",erdaojiangtonghua,News,"Erdaojiang district of Tonghua, Jilin, China",,dgm_chinadclocations,518ca5afaad31a7ff986a061138a116a,dgm_chinadclocations__518ca5afaad31a7ff986a061138a116a
南关区,"Nanguan district of Changchun, Jilin, China",nanguanchangchun,Organization,"Nanguan district of Changchun, Jilin, China",,dgm_chinadclocations,169c8bec77ab6908f71bfb33c033cc88,dgm_chinadclocations__169c8bec77ab6908f71bfb33c033cc88
宽城区,"Kuancheng district of Changchun, Jilin, China",kuanchengchangchun,ForeignMinistry,"Kuancheng district of Changchun, Jilin, China",,dgm_chinadclocations,2abf3085f671718717b413234dcbcd5e,dgm_chinadclocations__2abf3085f671718717b413234dcbcd5e
二道区,"Erdao district of Changchun, Jilin, China",erdaochangchun,Refinery,"Erdao district of Changchun, Jilin, China",,dgm_chinadclocations,4f4aac4a37e8be761e02f3b856bca753,dgm_chinadclocations__4f4aac4a37e8be761e02f3b856bca753
绿园区,"Luyuan district of Changchun, Jilin, China",luyuanchangchun,Consulates,"Luyuan district of Changchun, Jilin, China",,dgm_chinadclocations,476999d6becc9e9eeccccb635b9e78a0,dgm_chinadclocations__476999d6becc9e9eeccccb635b9e78a0
双阳区,"Shuangyang district of Changchun, Jilin, China",shuangyangchangchun,Consulates,"Shuangyang district of Changchun, Jilin, China",,dgm_chinadclocations,63e11bc709783745004feb30264611e3,dgm_chinadclocations__63e11bc709783745004feb30264611e3
九台区,"Jiutai district of Changchun, Jilin, China",jiutaichangchun,Person,"Jiutai district of Changchun, Jilin, China",,dgm_chinadclocations,259e7eaf0503d0119bf487e74c588e88,dgm_chinadclocations__259e7eaf0503d0119bf487e74c588e88
市中区,"Shizhong district of Leshan, Sichuan, China",shizhongleshan,Exec,"Shizhong district of Leshan, Sichuan, China",,dgm_chinadclocations,fd7c289ac957a75227f5a10947017574,dgm_chinadclocations__fd7c289ac957a75227f5a10947017574
沙湾区,"Shawan district of Leshan, Sichuan, China",shawanleshan,Diplomat,"Shawan district of Leshan, Sichuan, China",,dgm_chinadclocations,ecd9c854ade5e10c97f7bafb66f529a1,dgm_chinadclocations__ecd9c854ade5e10c97f7bafb66f529a1
五通桥区,"Wutongqiao district of Leshan, Sichuan, China",wutongqiaoleshan,IndustryTerm,"Wutongqiao district of Leshan, Sichuan, China",,dgm_chinadclocations,b2edbf9bd03a5c017f39fd711e5276f0,dgm_chinadclocations__b2edbf9bd03a5c017f39fd711e5276f0
金口河区,"Jinkouhe district of Leshan, Sichuan, China",jinkouheleshan,Legislator,"Jinkouhe district of Leshan, Sichuan, China",,dgm_chinadclocations,7c8638952ba562005676bc3d14342999,dgm_chinadclocations__7c8638952ba562005676bc3d14342999
东兴区,"Dongxing district of Neijiang, Sichuan, China",dongxingneijiang,Wells,"Dongxing district of Neijiang, Sichuan, China",,dgm_chinadclocations,4704a9ca3ce9a10685ff80f754bb4af2,dgm_chinadclocations__4704a9ca3ce9a10685ff80f754bb4af2
顺庆区,"Shunqing district of Nanchong, Sichuan, China",shunqingnanchong,Diplomat,"Shunqing district of Nanchong, Sichuan, China",,dgm_chinadclocations,ff76794eaa71f02bed251cd8a0fe3534,dgm_chinadclocations__ff76794eaa71f02bed251cd8a0fe3534
高坪区,"Gaoping district of Nanchong, Sichuan, China",gaopingnanchong,Media,"Gaoping district of Nanchong, Sichuan, China",,dgm_chinadclocations,daf4734d61fe86a36e156b538d235681,dgm_chinadclocations__daf4734d61fe86a36e156b538d235681
嘉陵区,"Jialing district of Nanchong, Sichuan, China",jialingnanchong,IndustryTerm,"Jialing district of Nanchong, Sichuan, China",,dgm_chinadclocations,d1526ac810677cf07749be0a64ceadfa,dgm_chinadclocations__d1526ac810677cf07749be0a64ceadfa
翠屏区,"Cuiping district of Yibin, Sichuan, China",cuipingyibin,FTO,"Cuiping district of Yibin, Sichuan, China",,dgm_chinadclocations,c3fda7e76b4e3cad03359d8d782cb174,dgm_chinadclocations__c3fda7e76b4e3cad03359d8d782cb174
南溪区,"Nanxi district of Yibin, Sichuan, China",nanxiyibin,DiplomaticFacilities,"Nanxi district of Yibin, Sichuan, China",,dgm_chinadclocations,41d74de334f5146b6827f23dff2b78c3,dgm_chinadclocations__41d74de334f5146b6827f23dff2b78c3
叙州区,"Xuzhou district of Yibin, Sichuan, China",xuzhouyibin,Exec,"Xuzhou district of Yibin, Sichuan, China",,dgm_chinadclocations,dccae5251f7b3b11d80bb49a33d56116,dgm_chinadclocations__dccae5251f7b3b11d80bb49a33d56116
巴州区,"Bazhou district of Bazhong, Sichuan, China",bazhoubazhong,Legislator,"Bazhou district of Bazhong, Sichuan, China",,dgm_chinadclocations,8088acb29d23a7f913e19f378786d70b,dgm_chinadclocations__8088acb29d23a7f913e19f378786d70b
恩阳区,"Enyang district of Bazhong, Sichuan, China",enyangbazhong,Refinery,"Enyang district of Bazhong, Sichuan, China",,dgm_chinadclocations,75fec32f9e3a3ebabcc2c7d037f49174,dgm_chinadclocations__75fec32f9e3a3ebabcc2c7d037f49174
利州区,"Lizhou district of Guangyuan, Sichuan, China",lizhouguangyuan,CompanyKeyword,"Lizhou district of Guangyuan, Sichuan, China",,dgm_chinadclocations,21e5fde9912a7295b458b20d37dce0e3,dgm_chinadclocations__21e5fde9912a7295b458b20d37dce0e3
昭化区,"Zhaohua district of Guangyuan, Sichuan, China",zhaohuaguangyuan,ForeignMinister,"Zhaohua district of Guangyuan, Sichuan, China",,dgm_chinadclocations,ca35f760c19e625d12f96234f67b295a,dgm_chinadclocations__ca35f760c19e625d12f96234f67b295a
朝天区,"Chaotian district of Guangyuan, Sichuan, China",chaotianguangyuan,DiplomaticFacilities,"Chaotian district of Guangyuan, Sichuan, China",,dgm_chinadclocations,01f7b2a9aa17cb9bd8a4e8af9c24ae56,dgm_chinadclocations__01f7b2a9aa17cb9bd8a4e8af9c24ae56
